name,variant,max_features,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,reg_lambda,reg_alpha,cv_accuracy,cv_qwk,public_submission,private_submission,combined_submission
xgb_title_year_d2_5k,title_year,5000,2,0.05,350,0.85,0.75,6.0,0.0,0.3628708901363272,0.44414436715734695,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_year_d2_5k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_year_d2_5k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_year_d2_5k_submission.csv
xgb_title_first_surname_year_d2_10k_lr03,title_first_surname_year,10000,2,0.03,550,0.85,0.75,6.0,0.0,0.3396150761828388,0.438283586878239,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_year_d2_10k_lr03_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_year_d2_10k_lr03_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_year_d2_10k_lr03_submission.csv
xgb_title_x2_year_d2_10k,title_x2_year,10000,2,0.05,350,0.85,0.75,6.0,0.0,0.3500400962309543,0.43560425536016956,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_x2_year_d2_10k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_x2_year_d2_10k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_x2_year_d2_10k_submission.csv
xgb_title_first_surname_venue_d2_10k,title_first_surname_venue,10000,2,0.05,350,0.85,0.75,6.0,0.0,0.33279871692060947,0.43273327742467105,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_venue_d2_10k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_venue_d2_10k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_venue_d2_10k_submission.csv
xgb_title_first_surname_year_d2_10k,title_first_surname_year,10000,2,0.05,350,0.85,0.75,6.0,0.0,0.3392141138732959,0.4325054094864552,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_year_d2_10k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_year_d2_10k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_year_d2_10k_submission.csv
xgb_title_year_d2_10k_lr03,title_year,10000,2,0.03,550,0.85,0.75,6.0,0.0,0.34643143544506816,0.43082376843447967,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_year_d2_10k_lr03_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_year_d2_10k_lr03_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_year_d2_10k_lr03_submission.csv
xgb_title_first_surname_d2_10k,title_first_surname,10000,2,0.05,350,0.85,0.75,6.0,0.0,0.3536487570168404,0.428228329988257,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_d2_10k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_d2_10k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_d2_10k_submission.csv
xgb_title_first_surname_venue_year_d2_10k,title_first_surname_venue_year,10000,2,0.05,350,0.85,0.75,6.0,0.0,0.32999198075380914,0.42156302036576976,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_venue_year_d2_10k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_venue_year_d2_10k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_first_surname_venue_year_d2_10k_submission.csv
xgb_title_year_d3_10k,title_year,10000,3,0.05,350,0.85,0.75,8.0,0.0,0.3440256615878107,0.41995008059619765,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_year_d3_10k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_year_d3_10k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_year_d3_10k_submission.csv
xgb_title_venue_year_d2_10k,title_venue_year,10000,2,0.05,350,0.85,0.75,6.0,0.0,0.3448275862068966,0.4048423892179329,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_venue_year_d2_10k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_venue_year_d2_10k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\xgboost_candidates\submissions\xgb_title_venue_year_d2_10k_submission.csv
