name,variant,c,char_ngram,word_max_features,char_max_features,cv_accuracy,cv_qwk,public_submission,private_submission,combined_submission
title_full_authors_venue_c1_5,title_full_authors_venue,1.5,3-5,20000,30000,0.41259021651964717,0.5320621407660409,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_c1_5_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_c1_5_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_c1_5_submission.csv
title_first_full_venue_c3,title_first_full_venue,3.0,3-5,20000,30000,0.41499599037690454,0.5311182387435478,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_full_venue_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_full_venue_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_full_venue_c3_submission.csv
title_first_surname_c1_5,title_first_surname,1.5,3-5,20000,30000,0.41339214113873296,0.5293710565012935,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_c1_5_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_c1_5_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_c1_5_submission.csv
title_first_full_c3,title_first_full,3.0,3-5,20000,30000,0.41499599037690454,0.5283742429337944,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_full_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_full_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_full_c3_submission.csv
title_first_surname_venue_c3,title_first_surname_venue,3.0,3-5,20000,30000,0.41058540497193263,0.5266933712758803,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_venue_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_venue_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_venue_c3_submission.csv
anchor_title_first_surname_c3,title_first_surname,3.0,3-5,20000,30000,0.41339214113873296,0.5260644388463682,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\anchor_title_first_surname_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\anchor_title_first_surname_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\anchor_title_first_surname_c3_submission.csv
title_venue_year_c3,title_venue_year,3.0,3-5,20000,30000,0.40898155573376105,0.5247432045520188,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_venue_year_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_venue_year_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_venue_year_c3_submission.csv
title_first_surname_venue_year_c3,title_first_surname_venue_year,3.0,3-5,20000,30000,0.41058540497193263,0.5235786744290127,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_venue_year_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_venue_year_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_venue_year_c3_submission.csv
title_full_authors_c3,title_full_authors,3.0,3-5,20000,30000,0.40978348035284684,0.5233424178878153,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_c3_submission.csv
title_venue_c3,title_venue,3.0,3-5,20000,30000,0.4117882919005613,0.5224321493024038,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_venue_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_venue_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_venue_c3_submission.csv
title_full_authors_venue_c3,title_full_authors_venue,3.0,3-5,20000,30000,0.4069767441860465,0.5212081641788484,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_c3_submission.csv
title_first_surname_char4_6_c3,title_first_surname,3.0,4-6,20000,30000,0.4057738572574178,0.5207645309244364,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_char4_6_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_char4_6_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_char4_6_c3_submission.csv
title_full_authors_venue_year_c3,title_full_authors_venue_year,3.0,3-5,20000,30000,0.4065757818765036,0.5196889293571114,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_year_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_year_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_year_c3_submission.csv
title_first_surname_c6,title_first_surname,6.0,3-5,20000,30000,0.404971932638332,0.5168825188340387,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_c6_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_c6_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_first_surname_c6_submission.csv
title_full_authors_venue_c6,title_full_authors_venue,6.0,3-5,20000,30000,0.4033680834001604,0.5128454021025854,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_c6_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_c6_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\title_full_authors_venue_c6_submission.csv
author_venue_only_c3,author_venue_only,3.0,3-5,20000,30000,0.297514033680834,0.24386715661591185,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\author_venue_only_c3_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\author_venue_only_c3_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\author_venue_candidates\submissions\author_venue_only_c3_submission.csv
