id,Label,oof_score,oof_pred
0,1,1.9026829177581746,1
1,1,2.3999661486637653,2
2,2,2.891378606187174,3
3,1,2.5705124540565785,3
4,1,2.1343278254751077,1
5,2,2.538033252748189,3
6,3,2.5336535003246454,3
7,3,2.7718677519517927,3
8,4,2.5492615170591026,3
9,1,2.3651886483611113,2
10,3,3.214434224434342,5
11,4,2.8117126220359023,3
12,4,2.439748474928355,3
13,2,2.5577040088711858,3
14,5,3.890123877263565,5
15,2,3.0210201312960314,4
16,4,3.0094750199097646,4
17,5,3.107654077815852,4
18,5,2.826374895327743,3
19,4,3.0566867693259887,4
20,4,3.1375513962787407,4
21,2,2.195066662186444,2
22,5,3.486595623802761,5
23,5,3.3590868824186346,5
24,3,2.4087960811243674,3
25,2,2.5599743298679103,3
26,5,3.598339656528707,5
27,4,2.4458695007774676,3
28,4,3.053816036800863,4
29,4,2.9100329489550583,3
30,4,3.721745560955862,5
31,5,3.3496353672939208,5
32,5,3.090125344317123,4
33,4,3.667930836250123,5
34,3,1.7153913392158384,1
35,3,2.1737111921417123,2
36,3,2.6140422104684253,3
37,4,3.1980245404555694,5
38,5,3.5815307545620163,5
39,5,3.665494357477049,5
40,3,2.852630392469048,3
41,5,3.0920500835779667,4
42,5,3.283282307076585,5
43,5,3.0699449593564743,4
44,1,1.9963984606253384,1
45,4,3.3002258512385594,5
46,1,2.424084295739753,3
47,5,4.390950288826492,5
48,4,2.9736582940478646,4
49,1,1.781731683154535,1
50,4,3.002380483633277,4
51,3,3.2722879630382535,5
52,5,2.69784004670358,3
53,4,3.157980046801712,4
54,1,1.9960763787619726,1
55,1,2.448928746592631,3
56,2,3.060544348702223,4
57,1,2.0584510541379637,1
58,1,1.725001305734154,1
59,2,2.4378126418737636,3
60,4,4.058361103893126,5
61,3,3.156310332522725,4
62,2,3.087054496465921,4
63,5,4.800698496836637,5
64,4,3.940044027749461,5
65,5,3.3377964584409883,5
66,3,3.734304821112802,5
67,1,1.7881144901832868,1
68,4,3.329657912109172,5
69,5,3.2845558359455564,5
70,3,2.9772263213198613,4
71,3,2.9536898425795948,3
72,5,3.5527806136875477,5
73,2,2.062616893806484,1
74,4,2.5135931743238347,3
75,5,4.44127458319268,5
76,5,4.9795060297231135,5
77,5,5.0,5
78,2,2.732586106318162,3
79,3,2.4236700326198237,3
80,1,2.2449809571728663,2
81,2,3.5061365105184317,5
82,3,2.36581553269088,2
83,2,2.5578470165606406,3
84,3,2.19380976566973,2
85,1,2.508238817133038,3
86,5,3.366454558907923,5
87,1,1.133049346911941,1
88,1,1.3429303450706804,1
89,1,1.54838879131181,1
90,2,3.6838889331596056,5
91,4,3.1982119808662146,5
92,4,3.4576039974845507,5
93,3,3.1230227143518388,4
94,4,3.9166044545728043,5
95,2,2.388143465605486,2
96,4,3.034876900649459,4
97,4,2.9149778151337804,3
98,4,2.6523887330054916,3
99,5,3.540364618743925,5
100,3,2.7316860449218083,3
101,4,1.979462876087029,1
102,3,2.8153750009549627,3
103,1,2.1102638214925884,1
104,2,3.304476185935637,5
105,1,2.7755050408254434,3
106,3,3.855934795088605,5
107,4,2.8135799687491767,3
108,1,3.109760148448393,4
109,1,3.494916774494898,5
110,3,3.8749434748208764,5
111,5,3.6248878631466566,5
112,4,2.840134603137134,3
113,2,2.9550390029712084,3
114,4,2.5411677629654514,3
115,3,3.0332070368276716,4
116,1,2.011743422304039,1
117,2,2.7273842796705074,3
118,1,2.312860711950207,2
119,3,2.8438139348435656,3
120,1,2.622023536653197,3
121,3,3.7230981810250983,5
122,5,3.4492510829785217,5
123,5,2.871008342906427,3
124,5,3.6371753196130663,5
125,3,3.5967851551478467,5
126,4,3.215065934933707,5
127,2,1.73136618197045,1
128,3,2.9851599396476383,4
129,5,2.3033911512784924,2
130,4,3.1712818131663227,4
131,3,2.4628806643759638,3
132,1,2.0024839092474602,1
133,2,2.3660094777745746,2
134,5,3.208299303826652,5
135,5,2.626171583760299,3
136,1,2.230965432917434,2
137,1,2.0672336067266643,1
138,3,3.265923462531309,5
139,5,4.554274229834701,5
140,5,4.157687579915224,5
141,5,4.370973107021814,5
142,5,3.2913253651913847,5
143,3,2.267421937912924,2
