seed,fold,valid_rows,valid_score_mean,valid_score_std
252,1,499,2.4544665200892615,0.636045928009289
252,2,499,2.4267360680640992,0.628597921498007
252,3,499,2.422289146441861,0.6135942854711468
252,4,499,2.458017505009072,0.643056821142458
252,5,498,2.4777505758179332,0.6407259572775317
253,1,499,2.462255099406708,0.6115057122933792
253,2,499,2.481842649923861,0.6596888399882854
253,3,499,2.4327037527619884,0.6264219892959985
253,4,499,2.4243619069955886,0.6306465045123802
253,5,498,2.422000170544143,0.628849627618863
254,1,499,2.4251079188801947,0.6199769893399394
254,2,499,2.432105528065183,0.6310026479719678
254,3,499,2.4553481513549467,0.668363176148362
254,4,499,2.4283905460437927,0.63789262605727
254,5,498,2.4833908422342525,0.60671932023032
255,1,499,2.429430387189106,0.6070689964457595
255,2,499,2.50003491065259,0.6703467357345253
255,3,499,2.437127941766948,0.6482351789701586
255,4,499,2.462428569389834,0.6273351732412702
255,5,498,2.424501416712404,0.612679098653607
256,1,499,2.4895187118339006,0.6593434837618983
256,2,499,2.4301451696693195,0.6157131294928291
256,3,499,2.443011333937922,0.621724480727468
256,4,499,2.456138734957169,0.6418593832129251
256,5,498,2.4148577794138686,0.6303062217600723
