id,Label,oof_score,oof_pred
0,1,1.0,1
1,1,2.2662760416666665,2
2,2,3.0384114583333335,3
3,1,3.8736979166666665,4
4,1,2.29296875,2
5,2,2.5989583333333335,3
6,3,3.2578125,4
7,3,3.3834635416666665,4
8,4,4.136067708333333,5
9,1,2.1416015625,2
10,3,4.40625,5
11,4,3.2565104166666665,4
12,4,2.431640625,2
13,2,1.779296875,1
14,5,4.6953125,5
15,2,3.478515625,4
16,4,4.108072916666667,4
17,5,3.0201822916666665,3
18,5,4.479166666666667,5
19,4,2.908203125,3
20,4,4.622395833333333,5
21,2,2.4134114583333335,2
22,5,4.735677083333333,5
23,5,3.5670572916666665,4
24,3,2.802734375,3
25,2,2.5319010416666665,3
26,5,3.9309895833333335,4
27,4,2.5384114583333335,3
28,4,2.681640625,3
29,4,3.3665364583333335,4
30,4,3.8763020833333335,4
31,5,4.49609375,5
32,5,3.4641927083333335,4
33,4,4.286458333333333,5
34,3,1.6246744791666667,1
35,3,3.140625,3
36,3,2.4622395833333335,3
37,4,4.163411458333333,5
38,5,4.666666666666667,5
39,5,3.7506510416666665,4
40,3,2.8528645833333335,3
41,5,4.25,5
42,5,1.8209635416666667,2
43,5,4.44140625,5
44,1,1.5423177083333333,1
45,4,3.8658854166666665,4
46,1,3.3828125,4
47,5,4.947916666666667,5
48,4,4.0,4
49,1,1.0494791666666667,1
50,4,3.2024739583333335,3
51,3,3.2291666666666665,3
52,5,3.4563802083333335,4
53,4,2.9596354166666665,3
54,1,2.1520182291666665,2
55,1,3.6432291666666665,4
56,2,2.994140625,3
57,1,2.6783854166666665,3
58,1,1.3551432291666667,1
59,2,2.1695963541666665,2
60,4,4.930989583333333,5
61,3,4.117838541666667,4
62,2,4.041015625,4
63,5,4.244140625,5
64,4,4.003255208333333,4
65,5,3.6940104166666665,4
66,3,4.75,5
67,1,1.3531901041666667,1
68,4,3.8743489583333335,4
69,5,4.45703125,5
70,3,3.8333333333333335,4
71,3,3.6959635416666665,4
72,5,4.430989583333333,5
73,2,1.5325520833333333,1
74,4,2.2565104166666665,2
75,5,4.588541666666667,5
76,5,5.0,5
77,5,5.0,5
78,2,3.0084635416666665,3
79,3,3.8287760416666665,4
80,1,2.1901041666666665,2
81,2,3.4479166666666665,4
82,3,3.6321614583333335,4
83,2,3.060546875,3
84,3,3.1627604166666665,3
85,1,1.6982421875,1
86,5,4.220703125,5
87,1,1.0,1
88,1,1.0162760416666667,1
89,1,1.0159505208333333,1
90,2,4.229166666666667,5
91,4,4.73046875,5
92,4,2.7096354166666665,3
93,3,2.8430989583333335,3
