id,score,pred
2491,1.759577400154127,1
2707,1.7102362663126798,1
1248,3.391564333082388,4
1433,2.7674271853358263,3
2339,1.3644634460049045,1
773,2.111694845599974,2
1330,3.923980257333277,5
1561,2.157910787320571,2
1904,1.5434120703365122,1
912,1.7625764028983046,1
2420,1.8842878156561553,1
888,1.8306698755916915,1
1780,1.806393144962005,1
1395,3.5983789801027877,4
2551,2.804081555860865,3
1778,2.2019775863700533,2
2060,2.3898100711924704,2
2834,1.1592369314456015,1
2089,2.5394560473675387,3
744,1.140061210601992,1
2205,2.17325805983323,2
2156,3.4366323896726967,4
1229,3.9310411998895276,5
963,2.5645252301766703,3
2769,2.5583766397813856,3
885,1.8454226178467805,1
2712,2.594476870802325,3
2657,1.7019317210408627,1
1545,2.8937886262910864,3
1509,1.0349150534658151,1
1791,1.5420930147316614,1
2322,1.524287890043325,1
1838,1.7612121566352337,1
749,3.1905661160298457,4
947,3.106547339623904,3
981,2.174467718984821,2
2471,1.8211831822306923,1
2180,1.1433446709914197,1
1895,2.0001486942021445,2
2113,1.740113225150724,1
1255,3.45540279401128,4
1893,1.734098467660066,1
2277,1.4826635829635793,1
1955,2.6306786735193803,3
2346,1.6119793302667647,1
2871,1.2222975894973775,1
874,3.179115780738612,4
2589,2.282097696406893,2
1616,2.715462851976085,3
2653,1.8088470662813503,1
2305,2.038632911498671,2
2357,1.7633777184029829,1
1890,1.577439244253245,1
1701,1.7704636801576186,1
3005,1.6387004428292582,1
2591,1.8212898824888188,1
2148,2.6956442223379717,3
1623,2.5847677394368356,3
2410,1.792293617191318,1
2165,1.5256697257239857,1
3063,2.122991441232651,2
2535,1.297648685465866,1
1222,2.1021927681856747,2
1816,1.253251468232027,1
1700,4.319041783029688,5
811,2.292247381279107,2
2639,1.7486106613323944,1
2208,2.0125749896748704,2
2538,1.6054705505879097,1
1087,3.6404397134803768,4
1662,1.3206586124048791,1
3077,1.5161456529666164,1
2917,2.1762031027083806,2
1922,2.0766845165406758,2
2866,1.6956444222104337,1
2691,2.07367854875473,2
1557,1.43159251164032,1
1896,1.9879204322880035,2
2247,1.8757915549134796,1
2583,2.1457929715850184,2
2893,2.4558355703555366,2
1126,2.1178116737177346,2
2877,3.6104658862633197,4
1332,3.2577730616052025,4
2209,1.4516953848246454,1
2460,1.7368639747019996,1
1054,2.2718716599754463,2
1455,1.2248984147986863,1
2292,2.0123393783270265,2
1753,1.0560472075981877,1
2793,2.399975536846939,2
2190,1.9944652473469455,2
2848,1.5587870049303563,1
1813,2.4795880800367724,2
1907,1.3682074170743912,1
940,2.2648518313600414,2
2066,1.108681428330852,1
2304,1.2984594358973445,1
2211,1.3857213708306821,1
1464,3.0135432391198878,3
1337,4.372212854550991,5
1592,1.59901028487938,1
2805,1.3036615905948827,1
1764,1.3344695564652453,1
1195,2.4756307358258134,2
2486,3.4957813051123914,4
1988,1.9577415674389336,2
770,3.244096369193426,4
2153,1.785080911896098,1
1615,2.5247158191518753,3
2497,1.566012707749233,1
2103,2.115703339715173,2
1540,1.9668776723234975,2
1013,1.503604989343622,1
868,3.0851642987118817,3
1150,2.9735724374164136,3
2188,1.3319124654068402,1
2282,2.0253575116862743,2
1157,1.4975287591356672,1
2826,1.14779075769117,1
2400,1.8374350223202582,1
2855,1.5329725200464464,1
2570,1.5762476999671242,1
2154,1.6008152060043799,1
2676,1.9445298439014211,2
2931,3.5001149645187857,4
2518,1.5444519124040124,1
2409,1.365604463562816,1
2844,2.9475755913291657,3
1632,2.8540079828767246,3
2161,1.7814020931380266,1
937,2.0734869279289554,2
2438,1.5092392924575675,1
2822,2.344779089908365,2
1510,1.0977209184039949,1
3079,4.042151260292118,5
1733,3.796915875393847,4
1122,3.7056528983836756,4
1354,2.5191540427926205,3
1133,3.1591198689131326,4
1254,2.8599991976454096,3
2057,1.9803913960371577,2
1178,1.4784626337119375,1
2122,2.196634530826241,2
1342,4.291465982989023,5
1803,3.5784903930841025,4
2967,1.8279876888170863,1
959,3.9503443963586484,5
1143,4.663712206087726,5
2868,2.4181407384032,2
2030,3.4915389549696902,4
1110,3.2464779861982205,4
784,3.709648780779809,4
2900,1.6961923912716697,1
2709,1.7005736842407577,1
3015,2.4577366963772764,2
1186,2.2065062357726855,2
2542,2.925148233444674,3
939,2.444680774898549,2
776,1.7626527153547835,1
2167,1.7922468601978898,1
1944,1.2327212159361776,1
1264,3.8847600719622255,4
999,1.1484885192459537,1
2130,2.2127978749756405,2
2450,1.7964046941155827,1
3028,1.6394726544319216,1
3080,1.6627199023677544,1
2059,3.54894033673495,4
1050,1.5640939287509559,1
2136,1.5133337991796272,1
2078,1.5532264866755472,1
2428,1.5494219244832808,1
2514,1.52653371699816,1
2483,1.3982510236253982,1
3053,2.173015930605808,2
2933,1.601766682255108,1
2408,3.41080255730275,4
2889,2.20460012519875,2
1817,1.9293939938169387,1
1717,4.059052156281123,5
2994,1.339119117975914,1
1736,1.892207318046084,1
1161,1.482707370421141,1
1637,1.2355046979947601,1
1003,3.7445831396947815,4
1673,1.7783493901410221,1
835,2.513066842570261,3
824,1.9028281466022654,1
2905,3.165303230707896,4
1459,1.7914628396081356,1
879,3.292886464367747,4
2052,2.1654034418594925,2
2397,2.001663693424788,2
1837,4.2658022261362785,5
903,4.3605995445939225,5
1567,3.1462349881381098,4
2692,1.2706165410758192,1
918,2.1932206424075904,2
1937,2.6693810660416193,3
2284,2.3762139852877247,2
1066,2.41959152272604,2
1164,1.4342301733978373,1
1502,3.6633543953139975,4
1629,1.8167683596928004,1
2475,1.5803041708479006,1
1227,2.8803325489345273,3
1107,1.8903955102438141,1
878,2.6299749716358276,3
1887,1.5968897916175324,1
1407,4.136698165883925,5
1393,4.4035569790461775,5
1281,2.7412721692028033,3
1800,3.3837155549601654,4
2689,1.2329104609788635,1
2685,2.5237939650131143,3
2344,1.5127726637980192,1
1556,2.3234103346914963,2
2484,1.9363868531706485,1
2843,2.868891580397603,3
1182,1.1435751654388788,1
1865,1.195570806456089,1
751,3.82060665988036,4
809,3.1016060890615353,3
818,2.6762678584506308,3
1116,2.9131988954056847,3
2251,1.529361475863707,1
1804,2.34821858992491,2
1920,3.8416785823281723,4
1456,2.2744157757133188,2
2430,1.5772572493709216,1
2432,1.306141519245505,1
1207,4.555297838307979,5
2296,1.767317130493807,1
954,1.6168446633947582,1
1507,1.0206295297780859,1
2876,2.431624421329862,2
2544,1.1008176656880981,1
2199,2.8996784626000203,3
2782,1.3367579010459738,1
2266,2.3667715960166626,2
2702,1.197526414568735,1
2746,1.1510260984419427,1
1603,1.0585309201985122,1
991,4.51873065256685,5
930,2.7901705112750994,3
1024,1.2327789969435634,1
2112,1.71573901585609,1
2290,1.6194932146882157,1
2360,1.2141444533292503,1
834,2.255519483832266,2
911,4.150088834925937,5
2329,1.492207096778299,1
1963,1.8495426077118873,1
2477,1.6165827262616699,1
1761,1.7955994487651243,1
1171,1.3562635220816395,1
1108,3.341506742551427,4
1531,2.5470787040999108,3
2654,1.1600412377199327,1
2956,1.704679493208162,1
1067,2.5187204759496984,3
1377,1.9533736240068593,2
1317,3.684760268874758,4
1329,1.8670482478050205,1
2007,1.530404556076677,1
1767,2.76706419956474,3
2884,1.722472724225008,1
2423,2.142770734673518,2
1536,2.576488284981242,3
1021,1.2492633848806478,1
1802,1.9870767301730543,2
1586,2.3209493396422647,2
1378,4.637143264389889,5
743,1.2034615887001059,1
2730,2.4876880673059816,3
1723,2.1671536838873102,2
713,2.7168286078864146,3
1488,3.020070990106074,3
2656,2.9567430494897744,3
975,2.0020530146996722,2
1318,2.200450815761866,2
3035,4.169618127552673,5
2501,1.943034405999648,1
1102,4.186559902730192,5
1562,1.398315434099581,1
2625,1.8149329836170578,1
1351,3.5066187767020898,4
1343,4.920639931026679,5
1613,1.208990545332452,1
1754,1.0551376134104529,1
2225,1.3888799364745164,1
1140,2.9407342642229515,3
2829,1.7008880347309145,1
1785,2.1904182849196134,2
2620,1.532450711786546,1
765,4.106899318404635,5
2635,1.4901321240607732,1
