id,Label,oof_score,oof_pred
0,1,1.0231119791666667,1
1,1,2.166015625,2
2,2,2.9505208333333335,3
3,1,3.4290364583333335,4
4,1,1.7620442708333333,1
5,2,2.294921875,2
6,3,2.6451822916666665,3
7,3,3.173828125,3
8,4,3.7233072916666665,4
9,1,1.9615885416666667,2
10,3,3.1907552083333335,3
11,4,3.7037760416666665,4
12,4,3.3365885416666665,4
13,2,2.5120442708333335,3
14,5,4.783854166666667,5
15,2,3.55859375,4
16,4,4.303385416666667,5
17,5,2.5169270833333335,3
18,5,3.8665364583333335,4
19,4,3.3977864583333335,4
20,4,4.544270833333333,5
21,2,2.3352864583333335,2
22,5,4.787760416666667,5
23,5,3.6015625,4
24,3,2.0729166666666665,2
25,2,2.4440104166666665,2
26,5,3.919921875,4
27,4,2.4772135416666665,2
28,4,2.642578125,3
29,4,2.181640625,2
30,4,3.474609375,4
31,5,4.235026041666667,5
32,5,3.71484375,4
33,4,3.9557291666666665,4
34,3,1.59375,1
35,3,2.1477864583333335,2
36,3,2.4095052083333335,2
37,4,3.9921875,4
38,5,4.697916666666667,5
39,5,3.5481770833333335,4
40,3,3.255859375,4
41,5,3.677734375,4
42,5,1.9453125,2
43,5,4.091145833333333,5
44,1,1.2122395833333333,1
45,4,3.806640625,4
46,1,3.3880208333333335,4
47,5,5.0,5
48,4,4.333984375,5
49,1,1.2679036458333333,1
50,4,3.9967447916666665,4
51,3,3.6223958333333335,4
52,5,2.97265625,3
53,4,3.6015625,4
54,1,1.5823567708333333,1
55,1,3.5123697916666665,4
56,2,3.5279947916666665,4
57,1,2.7272135416666665,3
58,1,1.4075520833333333,1
59,2,2.3645833333333335,2
60,4,5.0,5
61,3,4.27734375,5
62,2,3.8385416666666665,4
63,5,4.4765625,5
64,4,4.4921875,5
65,5,4.125,5
66,3,4.765625,5
67,1,1.7197265625,1
68,4,4.083333333333333,5
69,5,4.045572916666667,5
70,3,3.392578125,4
71,3,3.9928385416666665,4
72,5,3.8873697916666665,4
73,2,1.4231770833333333,1
74,4,2.0651041666666665,2
75,5,4.43359375,5
76,5,5.0,5
77,5,5.0,5
78,2,2.4615885416666665,2
79,3,3.5169270833333335,4
80,1,2.2389322916666665,2
81,2,2.98828125,3
82,3,3.5807291666666665,4
83,2,3.37109375,4
84,3,2.56640625,3
85,1,2.423828125,2
86,5,3.955078125,4
87,1,1.0,1
88,1,1.0478515625,1
89,1,1.0426432291666667,1
90,2,4.004557291666667,4
91,4,4.609375,5
92,4,3.5240885416666665,4
93,3,3.626953125,4
94,4,4.846354166666667,5
95,2,2.767578125,3
96,4,4.155598958333333,5
97,4,3.6848958333333335,4
98,4,4.385416666666667,5
99,5,3.2819010416666665,4
100,3,2.5240885416666665,3
101,4,2.3460286458333335,2
102,3,3.130859375,3
103,1,2.2262369791666665,2
104,2,4.266276041666667,5
105,1,1.9095052083333333,2
106,3,4.6796875,5
107,4,3.9127604166666665,4
108,1,3.330078125,4
109,1,4.179036458333333,5
110,3,4.786458333333333,5
111,5,3.6432291666666665,4
112,4,2.9244791666666665,3
113,2,3.7897135416666665,4
114,4,4.475260416666667,5
115,3,2.31640625,2
116,1,2.0830078125,2
117,2,2.2893880208333335,2
118,1,2.9654947916666665,3
119,3,2.85546875,3
120,1,3.6451822916666665,4
121,3,2.884765625,3
122,5,3.947265625,4
123,5,2.2431640625,2
124,5,4.33984375,5
125,3,3.73046875,4
126,4,3.8177083333333335,4
127,2,2.0647786458333335,2
128,3,3.9225260416666665,4
129,5,1.5628255208333333,1
130,4,2.8932291666666665,3
131,3,3.7747395833333335,4
132,1,2.802734375,3
133,2,2.12109375,2
134,5,3.6373697916666665,4
135,5,2.4283854166666665,2
136,1,3.068359375,3
137,1,1.1321614583333333,1
138,3,3.6497395833333335,4
139,5,4.708333333333333,5
140,5,4.51171875,5
141,5,4.635416666666667,5
142,5,4.69140625,5
143,3,1.7190755208333333,1
144,1,3.4661458333333335,4
145,4,1.8151041666666667,1
146,5,5.0,5
147,1,1.2682291666666667,1
148,1,3.8522135416666665,4
149,1,1.0,1
150,2,3.0748697916666665,3
151,4,4.809895833333333,5
152,4,3.1471354166666665,3
153,1,2.2884114583333335,2
154,1,2.9928385416666665,3
155,5,3.2434895833333335,4
156,4,4.834635416666667,5
157,1,2.2356770833333335,2
158,1,4.35546875,5
159,2,3.4283854166666665,4
160,2,1.8971354166666667,2
161,3,4.061848958333333,5
162,4,1.4928385416666667,1
163,5,4.639322916666667,5
164,1,1.0,1
165,2,2.6744791666666665,3
166,1,1.2216796875,1
167,1,2.64453125,3
168,3,2.0084635416666665,2
169,5,2.8404947916666665,3
170,5,4.899739583333333,5
171,5,4.786458333333333,5
172,4,2.6666666666666665,3
173,3,3.4303385416666665,4
174,1,3.783203125,4
175,4,4.873697916666667,5
176,4,3.033203125,3
177,4,2.92578125,3
178,5,4.700520833333333,5
179,3,3.7141927083333335,4
180,4,4.837239583333333,5
181,5,4.15234375,5
182,2,3.2701822916666665,4
183,3,2.0296223958333335,2
184,1,4.606770833333333,5
185,4,3.2447916666666665,4
186,5,5.0,5
187,2,3.0852864583333335,3
188,5,2.7825520833333335,3
189,4,3.3509114583333335,4
190,2,2.9791666666666665,3
191,1,2.6031901041666665,3
192,2,4.787760416666667,5
193,5,4.026692708333333,4
194,4,4.807291666666667,5
195,3,3.4251302083333335,4
196,1,3.134765625,3
197,1,1.7063802083333333,1
198,2,4.145833333333333,5
199,3,2.3645833333333335,2
200,2,2.728515625,3
201,5,4.375,5
202,5,4.973958333333333,5
203,5,5.0,5
204,4,4.735677083333333,5
205,2,3.0950520833333335,3
206,1,4.854166666666667,5
207,2,4.21484375,5
208,3,3.3645833333333335,4
209,1,1.0087890625,1
210,1,1.0,1
211,4,3.8268229166666665,4
212,1,3.5553385416666665,4
213,4,2.74609375,3
214,5,4.114583333333333,5
215,4,3.6126302083333335,4
216,3,3.2884114583333335,4
217,1,3.3294270833333335,4
218,1,1.1897786458333333,1
219,5,3.083984375,3
220,4,3.8359375,4
221,5,4.51171875,5
222,5,4.3515625,5
223,3,4.454427083333333,5
224,1,1.7825520833333333,1
225,5,4.505208333333333,5
226,5,4.194010416666667,5
227,4,3.376953125,4
228,4,4.348958333333333,5
229,2,2.923828125,3
230,5,4.958333333333333,5
231,4,4.57421875,5
232,4,2.41015625,2
233,4,2.2428385416666665,2
234,3,2.3330078125,2
235,5,4.411458333333333,5
236,1,1.8180338541666667,1
237,1,1.8782552083333333,1
238,1,3.3040364583333335,4
239,2,3.154296875,3
240,2,3.92578125,4
241,1,1.31640625,1
242,3,4.9140625,5
243,3,3.5390625,4
244,4,4.630208333333333,5
245,5,4.997395833333333,5
246,4,4.221354166666667,5
247,5,4.2578125,5
248,3,1.8473307291666667,1
249,1,1.0563151041666667,1
250,1,1.0618489583333333,1
251,4,4.30078125,5
252,5,4.59375,5
253,5,4.2421875,5
254,1,1.0709635416666667,1
255,2,3.0026041666666665,3
256,2,3.8990885416666665,4
257,5,3.599609375,4
258,4,3.0670572916666665,3
259,5,5.0,5
260,1,3.1477864583333335,3
261,4,4.117838541666667,5
262,2,2.8268229166666665,3
263,4,4.315755208333333,5
264,3,4.639322916666667,5
265,3,3.9036458333333335,4
266,1,1.4690755208333333,1
267,1,1.1754557291666667,1
268,2,3.2760416666666665,4
269,3,4.856770833333333,5
270,4,4.096354166666667,5
271,5,4.787760416666667,5
272,5,2.7799479166666665,3
273,4,3.033203125,3
274,4,4.050130208333333,5
275,5,4.986979166666667,5
276,2,2.3997395833333335,2
277,2,4.380208333333333,5
278,1,2.072265625,2
279,4,4.776041666666667,5
280,3,3.0279947916666665,3
281,1,1.9215494791666667,2
282,5,3.7532552083333335,4
283,4,4.541666666666667,5
284,2,4.36328125,5
285,4,4.15234375,5
286,1,1.5406901041666667,1
287,4,2.1881510416666665,2
288,1,2.5524088541666665,3
289,1,2.1487630208333335,2
290,1,3.5078125,4
291,5,4.6328125,5
292,4,4.390625,5
293,5,4.9609375,5
294,1,1.669921875,1
295,2,1.8190104166666667,1
296,3,3.91796875,4
297,3,3.2825520833333335,4
298,4,4.095703125,5
299,5,4.428385416666667,5
300,3,2.4427083333333335,2
301,2,4.350260416666667,5
302,4,5.0,5
303,5,4.645833333333333,5
304,5,4.302083333333333,5
305,1,1.2744140625,1
306,1,1.0904947916666667,1
307,1,2.40625,2
308,2,4.098958333333333,5
309,2,1.4111328125,1
310,4,4.206380208333333,5
