candidate,oof_qwk,oof_mae,oof_macro_f1,thresholds,oof_l1_dist,test_combined_l1_dist,label_dist_combined,label_dist_public,label_dist_private,weights
huber_meta,0.6545326532651254,0.7746591820368885,0.4123378499296523,"[1.8457959462775997, 2.430515564750449, 3.1001525923331514, 3.900612664606936]",0.008821170809943879,0.1690419422721915,"{1: 259, 2: 130, 3: 101, 4: 57, 5: 49}","{1: 121, 2: 65, 3: 55, 4: 30, 5: 27}","{1: 138, 2: 65, 3: 46, 4: 27, 5: 22}","[0.39840314366757806, -0.2890611320826929, 0.45316329345142325, 0.3852391473017519, 0.1533596418280969, 0.03878579719596419, -0.03869663856434354]"
ridge_meta_a1,0.6534277880300958,0.7774659182036888,0.4087241882389536,"[1.8986869360283964, 2.4582479348835418, 3.0672415421979284, 3.817963542657863]",0.005613472333600614,0.1723976469701781,"{1: 258, 2: 132, 3: 101, 4: 59, 5: 46}","{1: 121, 2: 66, 3: 55, 4: 31, 5: 25}","{1: 137, 2: 66, 3: 46, 4: 28, 5: 21}","[0.3894760677122072, -0.1813770405223068, 0.27960885700823734, 0.37194106587357034, 0.14045871991247139, 0.05776643271216343, -0.02163652305472733]"
blend_3anchor_scincl_specter_ridge_35_35_30,0.6501354772075967,0.7826784282277466,0.40885410538484745,"[1.941905547852298, 2.4572874939337375, 3.070199052565393, 3.7919283899401948]",0.023255813953488358,0.1757533516681647,"{1: 258, 2: 133, 3: 97, 4: 60, 5: 48}","{1: 120, 2: 64, 3: 56, 4: 34, 5: 24}","{1: 138, 2: 69, 3: 41, 4: 26, 5: 24}","{'scincl': 0.35, 'specter_3s': 0.35, 'ridge_5x5': 0.3}"
constrained_blend,0.6498262912527197,0.7778668805132317,0.41102615756209887,"[1.9739084473620565, 2.5263307220112954, 3.13456023886179, 3.8658345596258767]",0.008821170809943837,0.18917617046011095,"{1: 260, 2: 135, 3: 98, 4: 59, 5: 44}","{1: 122, 2: 66, 3: 55, 4: 33, 5: 22}","{1: 138, 2: 69, 3: 43, 4: 26, 5: 22}","[0.33716678382512005, 1.5151725360484924e-17, 0.18727836501075684, 0.2970479602417167, 0.10710918129116277, 0.07099384486701073, 0.0004038647642329902]"
blend_3anchor_50_30_20,0.6492507239831831,0.7746591820368885,0.42080537914852806,"[1.9416030405726825, 2.51689986372487, 3.161302946626102, 3.870531763097142]",0.008821170809943837,0.18917617046011098,"{1: 258, 2: 137, 3: 97, 4: 56, 5: 48}","{1: 122, 2: 67, 3: 53, 4: 32, 5: 24}","{1: 136, 2: 70, 3: 44, 4: 24, 5: 24}","{'specter_3s': 0.5, 'ridge_5x5': 0.3, 'scibert': 0.2}"
blend_2anchor_60_specter,0.6477395491221651,0.7798716920609463,0.41382194500542957,"[1.95938090775264, 2.4788473681300585, 3.069708908884845, 3.800701242362355]",0.013632718524458687,0.1757533516681647,"{1: 255, 2: 136, 3: 99, 4: 57, 5: 49}","{1: 122, 2: 65, 3: 54, 4: 30, 5: 27}","{1: 133, 2: 71, 3: 45, 4: 27, 5: 22}","[0.4, 0.6]"
blend_3anchor_50_25_25,0.6475943491861267,0.7782678428227746,0.4187952770811626,"[1.9356190708191712, 2.5228004968546145, 3.170771739419613, 3.924353685783905]",0.006415396952686475,0.189176170460111,"{1: 257, 2: 138, 3: 95, 4: 59, 5: 47}","{1: 122, 2: 66, 3: 53, 4: 34, 5: 23}","{1: 135, 2: 72, 3: 42, 4: 25, 5: 24}","{'specter_3s': 0.5, 'ridge_5x5': 0.25, 'scibert': 0.25}"
blend_3anchor_60_25_15,0.64746449118876,0.7802726543704892,0.41976469790300275,"[1.9290752068945791, 2.4957270033585384, 3.1568729438577354, 3.890327836367275]",0.010425020048115505,0.1690419422721915,"{1: 258, 2: 131, 3: 100, 4: 56, 5: 51}","{1: 122, 2: 64, 3: 54, 4: 33, 5: 25}","{1: 136, 2: 67, 3: 46, 4: 23, 5: 26}","{'specter_3s': 0.6, 'ridge_5x5': 0.25, 'scibert': 0.15}"
blend_3anchor_55_25_20,0.6472943803498326,0.7774659182036888,0.4204618876407535,"[1.9258362348594213, 2.498205073673887, 3.1772443288161227, 3.9258171067221377]",0.010425020048115491,0.1723976469701781,"{1: 256, 2: 134, 3: 100, 4: 58, 5: 48}","{1: 120, 2: 67, 3: 54, 4: 33, 5: 24}","{1: 136, 2: 67, 3: 46, 4: 25, 5: 24}","{'specter_3s': 0.55, 'ridge_5x5': 0.25, 'scibert': 0.2}"
biased_specter3s_70_avg_other,0.6468840115287318,0.7858861267040899,0.41020043118503813,"[1.8462857144995544, 2.494836484696207, 3.232720298504029, 4.039438674092998]",0.006415396952686447,0.18582046576212444,"{1: 261, 2: 133, 3: 96, 4: 61, 5: 45}","{1: 122, 2: 67, 3: 55, 4: 30, 5: 24}","{1: 139, 2: 66, 3: 41, 4: 31, 5: 21}","[0.7, 0.30000000000000004]"
