name,w_e5,w_scincl,w_specter,w_ridge,oof_qwk,oof_round_qwk,test_l1,knob_distance,thresholds,pub_dist,pri_dist
e5_0p40_scincl_0p40_specter_0p15_ridge_0p05,0.4,0.4,0.15,0.05,0.657685515738639,0.6443811947967455,0.1623305328762184,0,"1.920237,2.526941,3.239513,4.090026","{1: 125, 2: 58, 3: 60, 4: 35, 5: 20}","{1: 139, 2: 65, 3: 41, 4: 32, 5: 21}"
e5_0p45_scincl_0p35_specter_0p15_ridge_0p05,0.45,0.35,0.15,0.05,0.6612004040243502,0.6474524753398171,0.15226341878225863,2,"1.895048,2.498144,3.234896,4.058016","{1: 125, 2: 58, 3: 60, 4: 33, 5: 22}","{1: 135, 2: 66, 3: 43, 4: 31, 5: 23}"
e5_0p50_scincl_0p30_specter_0p15_ridge_0p05,0.5,0.3,0.15,0.05,0.6613307337877563,0.6476943973326071,0.1690419422721915,2,"1.917175,2.528465,3.236315,4.104270","{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 66, 3: 40, 4: 34, 5: 21}"
e5_0p55_scincl_0p30_specter_0p10_ridge_0p05,0.55,0.3,0.1,0.05,0.6618064066233054,0.646235446826052,0.16568623757420492,3,"1.899195,2.520691,3.234129,4.063722","{1: 123, 2: 63, 3: 54, 4: 36, 5: 22}","{1: 135, 2: 67, 3: 43, 4: 30, 5: 23}"
e5_0p50_scincl_0p35_specter_0p10_ridge_0p05,0.5,0.35,0.1,0.05,0.6611912215425934,0.6461674891698276,0.14890771408427203,3,"1.893367,2.495612,3.214101,4.090114","{1: 123, 2: 61, 3: 56, 4: 36, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 34, 5: 21}"
e5_0p45_scincl_0p40_specter_0p10_ridge_0p05,0.45,0.4,0.1,0.05,0.660389594952874,0.6439654525463236,0.14890771408427206,2,"1.893213,2.497283,3.218919,4.055425","{1: 120, 2: 63, 3: 59, 4: 34, 5: 22}","{1: 135, 2: 65, 3: 44, 4: 32, 5: 22}"
e5_0p50_scincl_0p40_specter_0p05_ridge_0p05,0.5,0.4,0.05,0.05,0.6609580874557925,0.6445098535627354,0.15505669983800044,2,"1.911156,2.499181,3.214302,4.073326","{1: 123, 2: 61, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 61, 3: 44, 4: 33, 5: 21}"
e5_0p50_scincl_0p30_specter_0p10_ridge_0p10,0.5,0.3,0.1,0.1,0.6626184083981621,0.6426601682245006,0.16568623757420495,4,"1.931706,2.526779,3.212143,4.059598","{1: 124, 2: 62, 3: 56, 4: 35, 5: 21}","{1: 140, 2: 62, 3: 43, 4: 31, 5: 22}"
e5_0p35_scincl_0p45_specter_0p15_ridge_0p05,0.35,0.45,0.15,0.05,0.6574696283216659,0.6438019996271783,0.17183522332793338,2,"1.926052,2.526455,3.245650,4.072782","{1: 125, 2: 59, 3: 59, 4: 35, 5: 20}","{1: 142, 2: 61, 3: 42, 4: 32, 5: 21}"
e5_0p30_scincl_0p50_specter_0p15_ridge_0p05,0.3,0.5,0.15,0.05,0.6575237221173535,0.6402561233139547,0.17519092802591996,2,"1.930506,2.544953,3.255316,4.090165","{1: 125, 2: 61, 3: 57, 4: 37, 5: 18}","{1: 143, 2: 60, 3: 44, 4: 31, 5: 20}"
e5_0p30_scincl_0p45_specter_0p20_ridge_0p05,0.3,0.45,0.2,0.05,0.656917575691449,0.643144717461211,0.1533694289112662,3,"1.905795,2.499654,3.248826,4.070426","{1: 123, 2: 59, 3: 61, 4: 35, 5: 20}","{1: 138, 2: 64, 3: 44, 4: 32, 5: 20}"
e5_0p50_scincl_0p30_specter_0p20_ridge_0p00,0.5,0.3,0.2,0.0,0.6592849557593436,0.647483270016774,0.1421963046882989,4,"1.876577,2.491860,3.263623,4.140085","{1: 123, 2: 59, 3: 59, 4: 36, 5: 21}","{1: 132, 2: 67, 3: 45, 4: 32, 5: 22}"
