name,c,class_weight,char_ngram,word_max_features,char_max_features,cv_accuracy,cv_qwk,public_submission,private_submission,combined_submission
title_first_surname_c0_6,0.6,balanced,3-5,20000,30000,0.4153969526864475,0.5351624174550382,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c0_6_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c0_6_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c0_6_submission.csv
title_first_surname_c0_8,0.8,balanced,3-5,20000,30000,0.41419406575781875,0.5325624497692878,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c0_8_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c0_8_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c0_8_submission.csv
title_first_surname_c1_5_caps30k50k,1.5,balanced,3-5,30000,50000,0.41259021651964717,0.5315102720596776,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_caps30k50k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_caps30k50k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_caps30k50k_submission.csv
title_first_surname_c1_5_char3_6,1.5,balanced,3-6,20000,30000,0.41339214113873296,0.5308749488497819,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_char3_6_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_char3_6_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_char3_6_submission.csv
title_first_surname_c1_0,1.0,balanced,3-5,20000,30000,0.41419406575781875,0.5297729296012867,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_0_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_0_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_0_submission.csv
title_first_surname_c1_5,1.5,balanced,3-5,20000,30000,0.41339214113873296,0.5293710565012935,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_submission.csv
title_first_surname_c1_2_caps30k50k,1.2,balanced,3-5,30000,50000,0.41299117882919006,0.5288387937681334,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_2_caps30k50k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_2_caps30k50k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_2_caps30k50k_submission.csv
title_first_surname_c1_5_char4_6,1.5,balanced,4-6,20000,30000,0.41058540497193263,0.5287117924838088,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_char4_6_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_char4_6_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_5_char4_6_submission.csv
title_first_surname_c2_0,2.0,balanced,3-5,20000,30000,0.41339214113873296,0.5282830862538287,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c2_0_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c2_0_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c2_0_submission.csv
title_first_surname_c1_8_caps30k50k,1.8,balanced,3-5,30000,50000,0.41299117882919006,0.5282206250237074,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_8_caps30k50k_public_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_8_caps30k50k_private_submission.csv,C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\best_tuning\submissions\title_first_surname_c1_8_caps30k50k_submission.csv
