first_author_token,test_count,public_count,private_count,predicted_labels,prediction_mean,train_count,unique_train_labels,train_label_min,train_label_max,train_label_mean,train_labels,seen_in_train,single_train_label_repeated_test,single_train_label5_repeated_test,pure_author_repeated_test,all_predictions_match_only_train_label
first_author_ahmetaj,2,0,2,"1,3",2.0,1,1,1.0,1.0,1.0,1,True,True,False,False,False
first_author_badings,2,1,1,"1,3",2.0,1,1,3.0,3.0,3.0,3,True,True,False,False,False
first_author_bene,2,1,1,"1,3",2.0,1,1,3.0,3.0,3.0,3,True,True,False,False,False
first_author_daviaud,2,2,0,"1,2",1.5,1,1,1.0,1.0,1.0,1,True,True,False,False,False
first_author_esparza,2,1,1,"1,3",2.0,1,1,2.0,2.0,2.0,2,True,True,False,False,False
first_author_fedyukovich,2,0,2,2,2.0,1,1,2.0,2.0,2.0,2,True,True,False,False,True
first_author_hofman,2,1,1,"1,2",1.5,1,1,2.0,2.0,2.0,2,True,True,False,False,False
first_author_jiang,2,0,2,"1,5",3.0,1,1,2.0,2.0,2.0,2,True,True,False,False,False
first_author_lhote,2,1,1,"1,3",2.0,1,1,1.0,1.0,1.0,1,True,True,False,False,False
first_author_alfano,2,2,0,"3,5",4.0,2,1,4.0,4.0,4.0,4,True,False,False,True,False
