id,text
979,"Title: Explainable Planning Using Answer Set Programming.
Venue: kr
Authors: Van Nguyen, Stylianos Loukas Vasileiou, Tran Cao Son, William Yeoh
Abstract: In human-aware planning problems, the planning agent may need to explain its plan to a human user, especially when the plan appears infeasible or suboptimal for the user. A popular approach to do so is called model reconciliation, where the planning agent tries to reconcile the differences between its model and the model of the user such that its plan is also feasible and optimal to the user. This problem can be viewed as an optimization problem, where the goal is to find a subset-minimal explanation that one can use to modify the model of the user such that the plan of the agent is also feasible and optimal to the user. This paper presents an algorithm for solving such problems using answer set programming.
Semantic Scholar venue: International Conference on Principles of Knowledge Representation and Reasoning
Publication types: JournalArticle|Conference
Fields of study: Computer Science"
1106,"Title: SOGrounder: Modelling and Solving Second-Order Logic.
Venue: kr
Authors: 
Abstract: SOGrounder is described, a system that can ground SO Logic speciﬁcations to QBF and further techniques for reducing grounding are suggested, for example by introducing Binary Quanti ﬁcation as a language construct that takes two formules: One formula generating variable instantiations and one formula that must be instantiated.
Semantic Scholar venue: BNAIC/BENELEARN
Publication types: JournalArticle
Fields of study: Computer Science"
1894,"Title: Refinement for Structured Concurrent Programs.
Venue: cav
Authors: 
Abstract: This paper presents a foundation for refining concurrent programs with structured control flow. The verification problem is decomposed into subproblems that aid interactive program development, proof reuse, and automation. The formalization in this paper is the basis of a new design and implementation of the Civl verifier.
Semantic Scholar venue: International Conference on Computer Aided Verification
Publication types: JournalArticle|Conference
Fields of study: Computer Science"
1718,"Title: Randomized Synthesis for Diversity and Cost Constraints with Control Improvisation.
Venue: cav
Authors: Andreas Gittis, Eric Vin, Daniel J. Fremont
Abstract: In many synthesis problems, it can be essential to generate implementations which not only satisfy functional constraints but are also randomized to improve variety, robustness, or unpredictability. The recently-proposed framework of control improvisation (CI) provides techniques for the correct-by-construction synthesis of randomized systems subject to hard and soft constraints. However, prior work on CI has focused on qualitative specifications, whereas in robotic planning and other areas we often have quantitative quality metrics which can be traded against each other. For example, a designer of a patrolling security robot might want to know by how much the average patrol time needs to be increased in order to ensure that a particular aspect of the robot's route is sufficiently diverse and hence unpredictable. In this paper, we enable this type of application by generalizing the CI problem to support quantitative soft constraints which bound the expected value of a given cost function, and randomness constraints which enforce diversity of the generated traces with respect to a given label function. We establish the basic theory of labelled quantitative CI problems, and develop efficient algorithms for solving them when the specifications are encoded by finite automata. We also provide an approximate improvisation algorithm based on constraint solving for any specifications encodable as Boolean formulas. We demonstrate the utility of our problem formulation and algorithms with experiments applying them to generate diverse near-optimal plans for robotic planning problems.
Semantic Scholar venue: International Conference on Computer Aided Verification
Publication types: JournalArticle|Conference
Fields of study: Computer Science|Engineering"
1989,"Title: Inferring Inductive Invariants from Phase Structures.
Venue: cav
Authors: Yotam M. Y. Feldman, James R. Wilcox, Sharon Shoham, Mooly Sagiv
Abstract: Infinite-state systems such as distributed protocols are challenging to verify using interactive theorem provers or automatic verification tools. Of these techniques, deductive verification is highly expressive but requires the user to annotate the system with inductive invariants. To relieve the user from this labor-intensive and challenging task, invariant inference aims to find inductive invariants automatically. Unfortunately, when applied to infinite-state systems such as distributed protocols, existing inference techniques often diverge, which limits their applicability. 
This paper proposes user-guided invariant inference based on phase invariants, which capture the different logical phases of the protocol. Users conveys their intuition by specifying a phase structure, an automaton with edges labeled by program transitions; the tool automatically infers assertions that hold in the automaton's states, resulting in a full safety proof.The additional structure from phases guides the inference procedure towards finding an invariant. 
Our results show that user guidance by phase structures facilitates successful inference beyond the state of the art. We find that phase structures are pleasantly well matched to the intuitive reasoning routinely used by domain experts to understand why distributed protocols are correct, so that providing a phase structure reuses this existing intuition.
Semantic Scholar venue: International Conference on Computer Aided Verification
Publication types: JournalArticle|Conference
Fields of study: Computer Science"
2010,"Title: Clock Bound Repair for Timed Systems.
Venue: cav
Authors: Martin Kölbl, Stefan Leue, Thomas Wies
Abstract: We present algorithms and techniques for the repair of timed system models, given as networks of timed automata (NTA). The repair is based on an analysis of timed diagnostic traces (TDTs) that are computed by real-time model checking tools, such as UPPAAL, when they detect the violation of a timed safety property. We present an encoding of TDTs in linear real arithmetic and use the MaxSMT capabilities of the SMT solver Z3 to compute possible repairs to clock bound values that minimize the necessary changes to the automaton. We then present an admissibility criterion, called functional equivalence, that assesses whether a proposed repair is admissible in the overall context of the NTA. We have implemented a proof-of-concept tool called TarTar for the repair and admissibility analysis. To illustrate the method, we have considered a number of case studies taken from the literature and automatically injected changes to clock bounds to generate faulty mutations. Our technique is able to compute a feasible repair for \(91\%\) of the faults detected by UPPAAL in the generated mutants.
Semantic Scholar venue: International Conference on Computer Aided Verification
Publication types: JournalArticle|Conference
Fields of study: Computer Science"
2356,"Title: Completing Gordon&apos;s Higher-Order Logic.
Venue: lics
Authors: Andrei Popescu
Abstract: Mike Gordon’s Higher-Order Logic (HOL) is one of the most important logical foundations for interactive theorem proving. The standard semantics of HOL, due to Andrew Pitts, employs a downward closed universe of sets, and interprets HOL’s Hilbert choice operator via a global choice function on the universe. In this paper we fill a gap in the meta-theory of HOL: We provide a natural Henkin-style notion of general model corresponding to the standard models, and discover an enrichment of HOL deduction that we prove to be sound and complete w.r.t. these general models.
Semantic Scholar venue: Logic in Computer Science
Publication types: JournalArticle
Fields of study: Computer Science"
1179,"Title: Placement of Gates in ECC Designs.
Venue: kr
Authors: H.J. Kappen, F.M.J. de Bont
Abstract: This work describes the first experiments for the development of an intelligent placement of logic gates and register flip flops in the layout using an implementation of the Montgomery kP algorithm using projective López-Dahab coordinates for the NIST EC B-163.
Semantic Scholar venue: Krypto-Tag
Publication types: JournalArticle
Fields of study: Computer Science"
3001,"Title: Definability of summation problems for Abelian groups and semigroups.
Venue: lics
Authors: Faried Abu Zaid, Anuj Dawar, Erich Gradel, Wied Pakusa
Abstract: We study the descriptive complexity of summation problems in Abelian groups and semigroups. In general, an input to the summation problem consists of an Abelian semigroup G, explicitly represented by its multiplication table, and a subset X of G. The task is to determine the sum over all elements of X. Algorithmically this is a very simple problem. If the elements of X come in some order, then we can process these elements along that order and calculate the sum in a trivial way. However, what makes this fundamental problem so interesting for us is that from the viewpoint of logical definability its tractability is much more delicate. If we consider the semigroup G as an abstract structure and X as an abstract set, without a linear order and hence without a canonical way to process the elements one by one, then it is unclear how to define the sum in any logic that does not have the power to quantify over a linear order. Indeed the trivial summation algorithm cannot be expressed in any polynomial-time logic or, in fact, in any computational model which works on abstract mathematical structures in an isomorphism-invariant way without violating polynomial resource bounds. The surprising difficulty, in terms of logical definability, of this basic mathematical problem is the reason why Ben Rossman asked, more than ten years ago, whether it can be expressed in the logic Choiceless Polynomial Time with counting (CPT). Note that, to date, CPT is one of the most powerful known candidates for a logic that might be capable of defining every polynomial-time property of finite structures. In this paper we clarify the status of the definability for the summation problem for Abelian groups and semigroups in important polynomial-time logics. In our first main result we show that the problem can be defined in fixed-point logic with counting (FPC). Since FPC is contained in CPT this settles Rossman's question. Our proof is based on a dynamic programming approach and heavily uses the counting mechanism of FPC. In our second main result we give a matching lower bound and show that the use of counting operators cannot be avoided: the summation problem, even over Abelian groups, cannot be defined in pure fixed-point logic without counting. Our proof is based on a probabilistic argument.
Semantic Scholar venue: Logic in Computer Science
Publication types: JournalArticle
Fields of study: Computer Science|Mathematics"
796,"Title: Who&apos;s the Expert? On Multi-source Belief Change.
Venue: kr
Authors: Joseph Singleton, Richard Booth
Abstract: Technological innovation has become an integral aspect of our daily life, such as wearable and information technology, virtual reality and the Internet of Things which have contributed to transforming healthcare business and operations. Patients will now have a broader range and more mindful healthcare choices and experience a new era of healthcare with a patient-centric culture. Digital transformation determines personal and institutional health care. This paper aims to analyse the changes taking place in the field of healthcare due to digital transformation. For this purpose, a systematic bibliographic review is performed, utilising Scopus, Science Direct and PubMed databases from 2008 to 2021. Our methodology is based on the approach by Wester and Watson, which classify the related articles based on a concept-centric method and an ad hoc classification system which identify the categories used to describe areas of literature. The search was made during August 2022 and identified 5847 papers, of which 321 fulfilled the inclusion criteria for further process. Finally, by removing and adding additional studies, we ended with 287 articles grouped into five themes: information technology in health, the educational impact of e-health, the acceptance of e-health, telemedicine and security issues."
1771,"Title: Computing Bottom SCCs Symbolically Using Transition Guided Reduction.
Venue: cav
Authors: Nikola Beneš, Luboš Brim, Samuel Pastva, David Šafránek
Abstract: Detection of bottom strongly connected components (BSCC) in state-transition graphs is an important problem with many applications, such as detecting recurrent states in Markov chains or attractors in dynamical systems. However, these graphs’ size is often entirely out of reach for algorithms using explicit state-space exploration, necessitating alternative approaches such as the symbolic one.Symbolic methods for BSCC detection often show impressive performance, but can sometimes take a long time to converge in large graphs. In this paper, we provide a symbolic state-space reduction method for labelled transition systems, called interleaved transition guided reduction (ITGR), which aims to alleviate current problems of BSCC detection by efficiently identifying large portions of the non-BSCC states.We evaluate the suggested heuristic on an extensive collection of 125 real-world biologically motivated systems. We show that ITGR can easily handle all these models while being either the only method to finish, or providing at least an order-of-magnitude speedup over existing state-of-the-art methods. We then use a set of synthetic benchmarks to demonstrate that the technique also consistently scales to graphs with more than $$2^{1000}$$
 
 2
 1000
 
 vertices, which was not possible using previous methods.
Semantic Scholar venue: International Conference on Computer Aided Verification
Publication types: JournalArticle|Conference
Fields of study: Computer Science"
