id,text
0,"Title: Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.
Venue: iclp
Authors: Paul Tarau
Abstract: Abstract Approximation fixpoint theory (AFT) is an algebraic framework designed to study the semantics of non-monotonic logics. Despite its success, AFT is not readily applicable to higher-order definitions. To solve such an issue, we devise a formal mathematical framework employing concepts drawn from category theory. In particular, we make use of the notion of Cartesian closed category to inductively construct higher-order approximation spaces while preserving the structures necessary for the correct application of AFT. We show that this novel theoretical approach extends standard AFT to a higher-order environment and generalizes the AFT setting of Charalambidis et al. (2018).
Semantic Scholar venue: International Conference on Logic Programming
Publication types: Conference
Fields of study: Computer Science"
1,"Title: Conditionals and Temporal Conditionals for Gradual Argumentation.
Venue: iclp
Authors: 
Abstract: The approach exploits a two-valued temporal conditional logic with typicality, combining a preferential logic with Linear Time Temporal Logic (LTL) to introduce a dynamic dimension to conditional reasoning in gradual argumentation, enabling the verification of conditional properties across time.
Semantic Scholar venue: AI^3@ICLP
Publication types: JournalArticle
Fields of study: Computer Science"
2,"Title: Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).
Venue: iclp
Authors: Ofer Arieli, Jesse Heyninck
Abstract: An overview of ABA Learn, a recent approach to symbolic machine learning, which makes use of transformation rules to draw ABA frameworks from a background knowledge and positive and negative examples and how to deal with contestability.
Semantic Scholar venue: AI^3@ICLP
Publication types: JournalArticle|Review
Fields of study: Computer Science"
3,"Title: Agentified Argumentative Learning (short paper).
Venue: iclp
Authors: 
Semantic Scholar venue: AI^3@ICLP
Publication types: JournalArticle
Fields of study: Computer Science"
4,"Title: Empowering Public Interest Communication with Argumentation - Project Report (short paper).
Venue: iclp
Authors: Alejandra Casas Niño de Rivera
Abstract: A summary of the technical results of the EPICA project is provided and future research direction is discussed, which discusses future research direction.
Semantic Scholar venue: AI^3@ICLP
Publication types: JournalArticle
Fields of study: Computer Science"
5,"Title: Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.
Venue: iclp
Authors: Shuang Wang, Wenjie Chen, Yang Zhang, Ting Chen, Jian Du
Abstract: This work investigates the causal factors underlying energy use in DNN training, using structure learning algorithms such as the PC algorithm to derive candidate causal graphs and introduces a novel approach to evaluate each inferred link through formal argumentation, showing potential for rendering causal claims more transparent and contestable.
Semantic Scholar venue: AI^3@ICLP
Publication types: JournalArticle
Fields of study: Computer Science"
6,"Title: Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.
Venue: iclp
Authors: 
Abstract: This paper reports on (and demo) some recent important extensions of the Prolog Playground which include being able to develop the notebooks with embedded running examples and quizzes now directly within the Playground, also being able to develop slides with such examples and quizzes as well as doing presentations within the Playground.
Semantic Scholar venue: ICLP Workshops
Publication types: JournalArticle
Fields of study: Computer Science"
7,"Title: Temporal Conditional Reasoning with Weighted Knowledge Bases.
Venue: iclp
Authors: Christian Eichhorn
Abstract: A temporal, conditional logic with typicality is introduced, which combines a multi-preferential conditional logic, allowing for defeasible reasoning, with the temporal modalities of Linear Time Temporal Logic.
Semantic Scholar venue: ICLP Workshops
Publication types: JournalArticle
Fields of study: Computer Science"
8,"Title: Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).
Venue: iclp
Authors: Terri Lindenberg
Abstract: This talk presents a new approach to code reuse in logic programming through ASP templates, now integrated into the ASP Chef platform, and introduces a new mechanism for integrating ASP with third-party frameworks.
Semantic Scholar venue: ICLP Workshops
Publication types: JournalArticle
Fields of study: Computer Science"
9,"Title: A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.
Venue: iclp
Authors: Amad Atiq, George Ubakanma, Muddesar Iqbal
Abstract: This study lays the groundwork for a full-stack integration of LLM-based reasoning in virtual retail assistants by comparing performance across a range of open models including Mistral, Gemma, Qwen, and DeepSeek.
Semantic Scholar venue: ICLP Workshops
Publication types: JournalArticle
Fields of study: Computer Science"
