id,Label,oof_score,oof_pred
0,1,1.0,1
1,1,1.7005208333333333,1
2,2,3.21875,3
3,1,3.3854166666666665,4
4,1,1.953125,2
5,2,2.8489583333333335,3
6,3,2.921875,3
7,3,3.1875,3
8,4,4.447916666666667,5
9,1,2.5677083333333335,3
10,3,4.041666666666667,4
11,4,3.875,4
12,4,2.5677083333333335,3
13,2,2.8020833333333335,3
14,5,5.0,5
15,2,2.03125,2
16,4,3.9375,4
17,5,3.4375,4
18,5,4.791666666666667,5
19,4,3.0572916666666665,3
20,4,4.75,5
21,2,3.1197916666666665,3
22,5,4.364583333333333,5
23,5,3.6041666666666665,4
24,3,3.328125,4
25,2,2.1979166666666665,2
26,5,4.260416666666667,5
27,4,2.7395833333333335,3
28,4,2.4635416666666665,2
29,4,3.1875,3
30,4,3.8177083333333335,4
31,5,4.333333333333333,5
32,5,3.1302083333333335,3
33,4,4.489583333333333,5
34,3,1.2473958333333333,1
35,3,2.6354166666666665,3
36,3,2.1875,2
37,4,4.53125,5
38,5,4.791666666666667,5
39,5,4.635416666666667,5
40,3,3.2760416666666665,3
41,5,3.453125,4
42,5,3.640625,4
43,5,3.2708333333333335,3
44,1,1.4296875,1
45,4,3.9583333333333335,4
46,1,3.0572916666666665,3
47,5,4.067708333333333,4
48,4,3.84375,4
49,1,1.1380208333333333,1
50,4,3.890625,4
51,3,3.2135416666666665,3
52,5,4.036458333333333,4
53,4,3.625,4
54,1,2.3802083333333335,2
55,1,3.2916666666666665,3
56,2,3.3645833333333335,4
57,1,3.0104166666666665,3
58,1,1.6744791666666667,1
59,2,2.0963541666666665,2
60,4,4.979166666666667,5
61,3,3.9635416666666665,4
62,2,4.213541666666667,5
63,5,5.0,5
64,4,3.8802083333333335,4
65,5,3.9895833333333335,4
66,3,4.0,4
67,1,1.015625,1
68,4,3.328125,4
69,5,3.1145833333333335,3
70,3,4.010416666666667,4
71,3,3.6614583333333335,4
72,5,3.78125,4
73,2,1.6848958333333333,1
74,4,2.1588541666666665,2
75,5,4.989583333333333,5
76,5,5.0,5
77,5,5.0,5
78,2,3.5416666666666665,4
79,3,4.729166666666667,5
80,1,2.2317708333333335,2
81,2,4.03125,4
82,3,4.197916666666667,4
83,2,2.6875,3
84,3,2.7291666666666665,3
85,1,1.9921875,2
86,5,4.854166666666667,5
87,1,1.0,1
88,1,1.0963541666666667,1
89,1,1.0234375,1
90,2,4.71875,5
91,4,4.208333333333333,5
92,4,3.453125,4
93,3,3.3489583333333335,4
94,4,4.96875,5
95,2,2.6041666666666665,3
96,4,3.84375,4
97,4,4.34375,5
98,4,4.854166666666667,5
99,5,3.453125,4
100,3,2.578125,3
101,4,1.6770833333333333,1
102,3,2.5520833333333335,3
103,1,2.0729166666666665,2
104,2,3.875,4
105,1,2.59375,3
106,3,4.739583333333333,5
107,4,3.9635416666666665,4
108,1,3.546875,4
109,1,4.197916666666667,4
110,3,5.0,5
111,5,3.7864583333333335,4
112,4,3.9322916666666665,4
113,2,4.286458333333333,5
114,4,4.6875,5
115,3,2.6979166666666665,3
116,1,2.796875,3
117,2,2.9375,3
118,1,3.1145833333333335,3
119,3,3.265625,3
120,1,2.75,3
121,3,3.6927083333333335,4
122,5,4.125,4
123,5,2.59375,3
124,5,4.239583333333333,5
125,3,4.25,5
126,4,3.7552083333333335,4
127,2,1.3255208333333333,1
128,3,3.3385416666666665,4
129,5,2.15625,2
130,4,4.1875,4
131,3,2.7552083333333335,3
132,1,3.625,4
133,2,2.0885416666666665,2
134,5,3.8177083333333335,4
135,5,2.7083333333333335,3
136,1,2.3229166666666665,2
137,1,1.2708333333333333,1
138,3,4.177083333333333,4
139,5,4.854166666666667,5
140,5,5.0,5
141,5,4.854166666666667,5
142,5,4.989583333333333,5
143,3,2.6822916666666665,3
144,1,2.9192708333333335,3
145,4,2.6666666666666665,3
146,5,5.0,5
147,1,1.1953125,1
148,1,4.260416666666667,5
149,1,1.0,1
150,2,3.8229166666666665,4
151,4,4.479166666666667,5
152,4,3.7447916666666665,4
153,1,2.6927083333333335,3
154,1,3.0260416666666665,3
155,5,4.510416666666667,5
156,4,4.96875,5
157,1,3.1770833333333335,3
158,1,3.421875,4
159,2,3.828125,4
160,2,1.7239583333333333,1
161,3,4.03125,4
162,4,1.0572916666666667,1
163,5,4.770833333333333,5
164,1,1.1067708333333333,1
165,2,2.828125,3
166,1,1.4661458333333333,1
167,1,2.8697916666666665,3
168,3,1.9479166666666667,2
169,5,3.4114583333333335,4
170,5,4.90625,5
171,5,4.427083333333333,5
172,4,3.34375,4
