source_split,id,title,year,doi,doi_norm,s2_paper_id,abstract,abstract_source,abstract_len,has_abstract,s2_lookup_id,s2_found,s2_abstract,s2_tldr,s2_s2_paper_id,s2_title,s2_year,s2_venue,s2_publication_types,s2_fields_of_study,s2_citation_count,s2_reference_count,s2_external_ids_json,oa_doi_norm,oa_found,oa_abstract,oa_openalex_id,oa_title,oa_year,oa_cited_by_count,oa_referenced_works_count,oa_fwci,oa_is_retracted,oa_type,oa_type_crossref,cr_doi_norm,cr_found,cr_abstract,cr_publisher,cr_type,cr_container_title,cr_subjects,oat_source_title,oat_found,oat_abstract,oat_match_score,oat_openalex_id,oat_openalex_title,oat_year,oat_cited_by_count,oat_referenced_works_count,oat_fwci,oat_is_retracted,oat_doi
train,0,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",2026,https://www.semanticscholar.org/paper/f7391104e89d3ae6456960c316a2758d5850e6b0,,f7391104e89d3ae6456960c316a2758d5850e6b0,"Abstract Approximation fixpoint theory (AFT) is an algebraic framework designed to study the semantics of non-monotonic logics. Despite its success, AFT is not readily applicable to higher-order definitions. To solve such an issue, we devise a formal mathematical framework employing concepts drawn from category theory. In particular, we make use of the notion of Cartesian closed category to inductively construct higher-order approximation spaces while preserving the structures necessary for the correct application of AFT. We show that this novel theoretical approach extends standard AFT to a higher-order environment and generalizes the AFT setting of Charalambidis et al. (2018).",oat_abstract,687,True,S2:f7391104e89d3ae6456960c316a2758d5850e6b0,True,,,f7391104e89d3ae6456960c316a2758d5850e6b0,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025",2026.0,International Conference on Logic Programming,Conference,Computer Science,0.0,0.0,"{""DBLP"": ""journals/corr/abs-2601-00047"", ""DOI"": ""10.48550/arXiv.2601.00047"", ""CorpusId"": 286169586}",,,,,,,,,,,,,,,,,,,,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",False,"Abstract Approximation fixpoint theory (AFT) is an algebraic framework designed to study the semantics of non-monotonic logics. Despite its success, AFT is not readily applicable to higher-order definitions. To solve such an issue, we devise a formal mathematical framework employing concepts drawn from category theory. In particular, we make use of the notion of Cartesian closed category to inductively construct higher-order approximation spaces while preserving the structures necessary for the correct application of AFT. We show that this novel theoretical approach extends standard AFT to a higher-order environment and generalizes the AFT setting of Charalambidis et al. (2018).",0.1904761904761904,https://openalex.org/W4416904744,A Category-Theoretic Perspective on Higher-Order Approximation Fixpoint Theory,2025.0,0.0,25.0,0.0,False,https://doi.org/10.1017/s1471068425100367
train,1,Conditionals and Temporal Conditionals for Gradual Argumentation.,2025,https://www.semanticscholar.org/paper/8328d53dae0b05fd09b0d1f2326bda354ee250b7,,8328d53dae0b05fd09b0d1f2326bda354ee250b7,"The approach exploits a two-valued temporal conditional logic with typicality, combining a preferential logic with Linear Time Temporal Logic (LTL) to introduce a dynamic dimension to conditional reasoning in gradual argumentation, enabling the verification of conditional properties across time.",s2_tldr,296,True,S2:8328d53dae0b05fd09b0d1f2326bda354ee250b7,True,,"The approach exploits a two-valued temporal conditional logic with typicality, combining a preferential logic with Linear Time Temporal Logic (LTL) to introduce a dynamic dimension to conditional reasoning in gradual argumentation, enabling the verification of conditional properties across time.",8328d53dae0b05fd09b0d1f2326bda354ee250b7,Conditionals and Temporal Conditionals for Gradual Argumentation,2025.0,AI^3@ICLP,JournalArticle,Computer Science,1.0,46.0,"{""DBLP"": ""conf/ai3/AlvianoGD25"", ""CorpusId"": 282150734}",,,,,,,,,,,,,,,,,,,,Conditionals and Temporal Conditionals for Gradual Argumentation.,False,"Talk of linguistic universals has given cognitive scientists the impression that languages are all built to a common pattern. In fact, there are vanishingly few universals of language in the direct sense that all languages exhibit them. Instead, diversity can be found at almost every level of linguistic organization. This fundamentally changes the object of enquiry from a cognitive science perspective. This target article summarizes decades of cross-linguistic work by typologists and descriptive linguists, showing just how few and unprofound the universal characteristics of language are, once we honestly confront the diversity offered to us by the world's 6,000 to 8,000 languages. After surveying the various uses of ""universal,"" we illustrate the ways languages vary radically in sound, meaning, and syntactic organization, and then we examine in more detail the core grammatical machinery of recursion, constituency, and grammatical relations. Although there are significant recurrent patterns in organization, these are better explained as stable engineering solutions satisfying multiple design constraints, reflecting both cultural-historical factors and the constraints of human cognition. Linguistic diversity then becomes the crucial datum for cognitive science: we are the only species with a communication system that is fundamentally variable at all levels. Recognizing the true extent of structural diversity in human language opens up exciting new research directions for cognitive scientists, offering thousands of different natural experiments given by different languages, with new opportunities for dialogue with biological paradigms concerned with change and diversity, and confronting us with the extraordinary plasticity of the highest human skills.",0.3461538461538461,https://openalex.org/W2000196122,The myth of language universals: Language diversity and its importance for cognitive science,2009.0,2619.0,460.0,1231.2621,False,https://doi.org/10.1017/s0140525x0999094x
train,2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,2025,https://www.semanticscholar.org/paper/1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,,1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,"An overview of ABA Learn, a recent approach to symbolic machine learning, which makes use of transformation rules to draw ABA frameworks from a background knowledge and positive and negative examples and how to deal with contestability.",s2_tldr,236,True,S2:1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,True,,"An overview of ABA Learn, a recent approach to symbolic machine learning, which makes use of transformation rules to draw ABA frameworks from a background knowledge and positive and negative examples and how to deal with contestability.",1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk),2025.0,AI^3@ICLP,JournalArticle|Review,Computer Science,0.0,0.0,"{""DBLP"": ""conf/ai3/Angelis25"", ""CorpusId"": 285072859}",,,,,,,,,,,,,,,,,,,,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,False,"Henry Jenkins, Director of the Comparative Media Studies Program at the Massachusetts Institute of Technology authored this white paper, exploring new frameworks and models for media literacy.",0.3571428571428571,https://openalex.org/W2112957339,Confronting the Challenges of Participatory Culture: Media Education for the 21st Century,2006.0,3191.0,11.0,200.6913,False,
train,3,Agentified Argumentative Learning (short paper).,2025,https://www.semanticscholar.org/paper/666f0fa6242f59f0efad52bf4fca6e57dec3df21,,666f0fa6242f59f0efad52bf4fca6e57dec3df21,,,0,False,S2:666f0fa6242f59f0efad52bf4fca6e57dec3df21,True,,,666f0fa6242f59f0efad52bf4fca6e57dec3df21,Agentified Argumentative Learning (short paper),2025.0,AI^3@ICLP,JournalArticle,Computer Science,0.0,0.0,"{""DBLP"": ""conf/ai3/AngelisPT25"", ""CorpusId"": 285072899}",,,,,,,,,,,,,,,,,,,,Agentified Argumentative Learning (short paper).,False,,0.0,,,,,,,False,
train,4,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,2025,https://www.semanticscholar.org/paper/08195948156fdb7d400d37e1cd8af51fbcd2918b,,08195948156fdb7d400d37e1cd8af51fbcd2918b,"A summary of the technical results of the EPICA project is provided and future research direction is discussed, which discusses future research direction.",s2_tldr,154,True,S2:08195948156fdb7d400d37e1cd8af51fbcd2918b,True,,"A summary of the technical results of the EPICA project is provided and future research direction is discussed, which discusses future research direction.",08195948156fdb7d400d37e1cd8af51fbcd2918b,Empowering Public Interest Communication with Argumentation - Project Report (short paper),2025.0,AI^3@ICLP,JournalArticle,Computer Science,0.0,10.0,"{""DBLP"": ""conf/ai3/BaroniBFFFFGPPRSTV25"", ""CorpusId"": 282300697}",,,,,,,,,,,,,,,,,,,,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,False,,0.3823529411764705,https://openalex.org/W2981731882,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",2019.0,8663.0,668.0,341.5098,False,https://doi.org/10.1016/j.inffus.2019.12.012
train,5,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,2025,https://www.semanticscholar.org/paper/650254488e053873c1d94fbf2e1c9fb0442a202b,,650254488e053873c1d94fbf2e1c9fb0442a202b,"This work investigates the causal factors underlying energy use in DNN training, using structure learning algorithms such as the PC algorithm to derive candidate causal graphs and introduces a novel approach to evaluate each inferred link through formal argumentation, showing potential for rendering causal claims more transparent and contestable.",s2_tldr,348,True,S2:650254488e053873c1d94fbf2e1c9fb0442a202b,True,,"This work investigates the causal factors underlying energy use in DNN training, using structure learning algorithms such as the PC algorithm to derive candidate causal graphs and introduces a novel approach to evaluate each inferred link through formal argumentation, showing potential for rendering causal claims more transparent and contestable.",650254488e053873c1d94fbf2e1c9fb0442a202b,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs,2025.0,AI^3@ICLP,JournalArticle,Computer Science,0.0,52.0,"{""DBLP"": ""conf/ai3/BaroniCGLZ25"", ""CorpusId"": 282204414}",,,,,,,,,,,,,,,,,,,,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,True,"The rapid growth of Deep Neural Networks (DNNs) has brought substantial advances in artificial intelligence across domains such as vision, language, and recommendation systems. However, this progress comes at a steep energy cost, with model training and deployment contributing significantly to global computational energy consumption. Understanding what drives this energy demand requires more than empirical correlation- it demands causal explanations. In this work, we investigate the causal factors underlying energy use in DNN training, using structure learning algorithms such as the PC algorithm to derive candidate causal graphs. Recognising the limitations of such methods-particularly in terms of assumptions and finite data-we introduce a novel approach to evaluate each inferred link through formal argumentation. We treat each proposed causal relationship as a dialectical object, generating arguments and counterarguments that articulate its plausibility, underlying mechanisms, and possible confounders. We operationalise this reasoning using large language models in a zero-shot prompting setup, surfacing the evidential and conceptual assumptions behind each causal claim. This hybrid approach, combining causal discovery with structured argumentative evaluation, promotes interpretability and critical scrutiny in data-driven causal modelling. Preliminary results demonstrate its potential for rendering causal claims more transparent and contestable.",1.0,https://openalex.org/W7112487812,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs,2025.0,0.0,0.0,0.0,False,
train,6,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,2025,https://www.semanticscholar.org/paper/e0033a1ff429de2549c3758e1c5bf8591ecd9c53,,e0033a1ff429de2549c3758e1c5bf8591ecd9c53,"This paper reports on (and demo) some recent important extensions of the Prolog Playground which include being able to develop the notebooks with embedded running examples and quizzes now directly within the Playground, also being able to develop slides with such examples and quizzes as well as doing presentations within the Playground.",s2_tldr,338,True,S2:e0033a1ff429de2549c3758e1c5bf8591ecd9c53,True,,"This paper reports on (and demo) some recent important extensions of the Prolog Playground which include being able to develop the notebooks with embedded running examples and quizzes now directly within the Playground, also being able to develop slides with such examples and quizzes as well as doing presentations within the Playground.",e0033a1ff429de2549c3758e1c5bf8591ecd9c53,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom,2025.0,ICLP Workshops,JournalArticle,Computer Science,0.0,17.0,"{""DBLP"": ""conf/iclp/0001FH25"", ""CorpusId"": 281326858}",,,,,,,,,,,,,,,,,,,,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,False,,0.0,,,,,,,False,
train,7,Temporal Conditional Reasoning with Weighted Knowledge Bases.,2025,https://www.semanticscholar.org/paper/450304e6da31299973eefb780ea12ee91305da4c,,450304e6da31299973eefb780ea12ee91305da4c,"A temporal, conditional logic with typicality is introduced, which combines a multi-preferential conditional logic, allowing for defeasible reasoning, with the temporal modalities of Linear Time Temporal Logic.",s2_tldr,210,True,S2:450304e6da31299973eefb780ea12ee91305da4c,True,,"A temporal, conditional logic with typicality is introduced, which combines a multi-preferential conditional logic, allowing for defeasible reasoning, with the temporal modalities of Linear Time Temporal Logic.",450304e6da31299973eefb780ea12ee91305da4c,Temporal Conditional Reasoning with Weighted Knowledge Bases,2025.0,ICLP Workshops,JournalArticle,Computer Science,0.0,29.0,"{""DBLP"": ""conf/iclp/Alviano0D25"", ""CorpusId"": 283687232}",,,,,,,,,,,,,,,,,,,,Temporal Conditional Reasoning with Weighted Knowledge Bases.,False,,0.3166666666666666,https://openalex.org/W2020519533,The Human Connectome Project: A data acquisition perspective,2012.0,2793.0,70.0,36.6228,False,https://doi.org/10.1016/j.neuroimage.2012.02.018
train,8,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,2025,https://www.semanticscholar.org/paper/7d8de01e15f2da146f1633cbca841525f518dfa2,,7d8de01e15f2da146f1633cbca841525f518dfa2,"This talk presents a new approach to code reuse in logic programming through ASP templates, now integrated into the ASP Chef platform, and introduces a new mechanism for integrating ASP with third-party frameworks.",s2_tldr,214,True,S2:7d8de01e15f2da146f1633cbca841525f518dfa2,True,,"This talk presents a new approach to code reuse in logic programming through ASP templates, now integrated into the ASP Chef platform, and introduces a new mechanism for integrating ASP with third-party frameworks.",7d8de01e15f2da146f1633cbca841525f518dfa2,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk),2025.0,ICLP Workshops,JournalArticle,Computer Science,0.0,0.0,"{""DBLP"": ""conf/iclp/Alviano25"", ""CorpusId"": 284139860}",,,,,,,,,,,,,,,,,,,,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,False,"An international association advancing the multidisciplinary study of informing systems. Founded in 1998, the Informing Science Institute (ISI) is a global community of academics shaping the future of informing science.",0.3538461538461538,https://openalex.org/W1549176255,Using Video to Record Summary Lectures to Aid Students' Revision,2007.0,89.0,27.0,3.5411,False,https://doi.org/10.28945/393
train,9,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,2025,https://www.semanticscholar.org/paper/e1ee65ae926531b70297e837445bb5e10a048588,,e1ee65ae926531b70297e837445bb5e10a048588,"This study lays the groundwork for a full-stack integration of LLM-based reasoning in virtual retail assistants by comparing performance across a range of open models including Mistral, Gemma, Qwen, and DeepSeek.",s2_tldr,212,True,S2:e1ee65ae926531b70297e837445bb5e10a048588,True,,"This study lays the groundwork for a full-stack integration of LLM-based reasoning in virtual retail assistants by comparing performance across a range of open models including Mistral, Gemma, Qwen, and DeepSeek.",e1ee65ae926531b70297e837445bb5e10a048588,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project,2025.0,ICLP Workshops,JournalArticle,Computer Science,0.0,24.0,"{""DBLP"": ""conf/iclp/AlvianoCGKSP25"", ""CorpusId"": 283675320}",,,,,,,,,,,,,,,,,,,,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,False,"We study the overall process of automatic formalization of GDPR provisions using large language models, within a human-in-the-loop verification framework. Rather than aiming for full autonomy, we adopt a role-specialized workflow in which LLM-based AI components, operating in a multi-agent setting with iterative feedback, generate legal scenarios, formal rules, and atomic facts. This is coupled with independent verification modules which include human reviewers' assessment of representational, logical, and legal correctness. Using this approach, we construct a high-quality dataset to be used for GDPR auto-formalization, and analyze both successful and problematic cases. Our results show that structured verification and targeted human oversight are essential for reliable legal formalization, especially in the presence of legal nuance and context-sensitive reasoning.",0.2981366459627329,https://openalex.org/W7154865593,GDPR Auto-Formalization with AI Agents and Human Verification,2026.0,0.0,0.0,0.0,False,
