doi_norm,crossref_found,crossref_error,crossref_title,crossref_publisher,crossref_type,crossref_subjects,crossref_subject_count,crossref_reference_count,crossref_is_referenced_by_count,crossref_license_count,crossref_has_abstract
10.1007/978-1-4757-3452-2_14,True,,Syllogistic Tableaux,Springer New York,book-chapter,,0,0,0,2,0
10.1007/978-3-030-20528-7_1,True,,Train Scheduling with Hybrid ASP,Springer International Publishing,book-chapter,,0,17,20,1,0
10.1007/978-3-030-20528-7_11,True,,Founded World Views with Autoepistemic Equilibrium Logic,Springer International Publishing,book-chapter,,0,22,6,1,0
10.1007/978-3-030-20528-7_13,True,,"A Sequent-Type Calculus for Three-Valued Default Logic, Or: Tweety Meets Quartum Non Datur",Springer International Publishing,book-chapter,,0,37,1,1,0
10.1007/978-3-030-20528-7_15,True,,Repair-Based Degrees of Database Inconsistency,Springer International Publishing,book-chapter,,0,33,11,1,0
10.1007/978-3-030-20528-7_2,True,,Telco Network Inventory Validation with NoHR,Springer International Publishing,book-chapter,,0,22,2,1,0
10.1007/978-3-030-20528-7_20,True,,Verifying Strong Equivalence of Programs in the Input Language of gringo,Springer International Publishing,book-chapter,,0,11,15,1,0
10.1007/978-3-030-20528-7_21,True,,The Return of xorro,Springer International Publishing,book-chapter,,0,24,1,1,0
10.1007/978-3-030-20528-7_22,True,,Degrees of Laziness in Grounding,Springer International Publishing,book-chapter,,0,26,3,1,0
10.1007/978-3-030-20528-7_25,True,,Declarative Local Search for Predicate Logic,Springer International Publishing,book-chapter,,0,13,0,1,0
10.1007/978-3-030-20528-7_3,True,,An ASP-Based Framework for the Manipulation of Articulated Objects Using Dual-Arm Robots,Springer International Publishing,book-chapter,,0,32,2,1,0
10.1007/978-3-030-20528-7_4,True,,C-ASP: Continuous ASP-Based Reasoning over RDF Streams,Springer International Publishing,book-chapter,,0,9,6,1,0
10.1007/978-3-030-20528-7_5,True,,Internet Routing and Non-monotonic Reasoning,Springer International Publishing,book-chapter,,0,9,1,1,0
10.1007/978-3-030-20528-7_6,True,,Assessing Arguments with Schemes and Fallacies,Springer International Publishing,book-chapter,,0,34,1,1,0
10.1007/978-3-030-20528-7_8,True,,Argumentation-Based Explanations for Answer Sets Using ADF,Springer International Publishing,book-chapter,,0,15,1,1,0
10.1007/978-3-030-20528-7_9,True,,Treewidth and Counting Projected Answer Sets,Springer International Publishing,book-chapter,,0,21,4,1,0
10.1007/978-3-030-25540-4_10,True,,Security-Aware Synthesis Using Delayed-Action Games,Springer International Publishing,book-chapter,,0,30,3,1,0
10.1007/978-3-030-25540-4_11,True,,Automated Hypersafety Verification,Springer International Publishing,book-chapter,,0,28,35,1,0
10.1007/978-3-030-25540-4_12,True,,Automated Synthesis of Secure Platform Mappings,Springer International Publishing,book-chapter,,0,42,5,1,0
10.1007/978-3-030-25540-4_13,True,,Synthesizing Approximate Implementations for Unrealizable Specifications,Springer International Publishing,book-chapter,,0,14,2,1,0
10.1007/978-3-030-25540-4_14,True,,Quantified Invariants via Syntax-Guided Synthesis,Springer International Publishing,book-chapter,,0,36,41,1,0
10.1007/978-3-030-25540-4_16,True,,Membership-Based Synthesis of Linear Hybrid Automata,Springer International Publishing,book-chapter,,0,22,13,1,0
10.1007/978-3-030-25540-4_19,True,,BMC for Weak Memory Models: Relation Analysis for Compact SMT Encodings,Springer International Publishing,book-chapter,,0,29,47,1,0
10.1007/978-3-030-25540-4_21,True,,Extending nuXmv with Timed Transition Systems and Timed Temporal Properties,Springer International Publishing,book-chapter,,0,26,22,1,0
10.1007/978-3-030-25540-4_22,True,,Cerberus-BMC: A Principled Reference Semantics and Exploration Tool for Concurrent and Sequential C,Springer International Publishing,book-chapter,,0,38,9,1,0
10.1007/978-3-030-25540-4_23,True,,Multi-armed Bandits for Boolean Connectives in Hybrid System Falsification,Springer International Publishing,book-chapter,,0,38,22,1,0
10.1007/978-3-030-25540-4_24,True,,StreamLAB: Stream-based Monitoring of Cyber-Physical Systems,Springer International Publishing,book-chapter,,0,24,62,1,0
10.1007/978-3-030-25540-4_25,True,,VerifAI: A Toolkit for the Formal Design and Analysis of Artificial Intelligence-Based Systems,Springer International Publishing,book-chapter,,0,27,150,1,0
10.1007/978-3-030-25540-4_26,True,,The Marabou Framework for Verification and Analysis of Deep Neural Networks,Springer International Publishing,book-chapter,,0,24,348,1,0
10.1007/978-3-030-25540-4_27,True,,Probabilistic Bisimulation for Parameterized Systems,Springer International Publishing,book-chapter,,0,54,8,1,0
10.1007/978-3-030-25540-4_29,True,,PAC Statistical Model Checking for Markov Decision Processes and Stochastic Games,Springer International Publishing,book-chapter,,0,64,38,1,0
10.1007/978-3-030-25540-4_3,True,,Fast Algorithms for Handling Diagonal Constraints in Timed Automata,Springer International Publishing,book-chapter,,0,33,5,1,0
10.1007/978-3-030-25540-4_30,True,,Symbolic Monitoring Against Specifications Parametric in Time and Data,Springer International Publishing,book-chapter,,0,36,5,1,0
10.1007/978-3-030-25540-4_31,True,,STAMINA: STochastic Approximate Model-Checker for INfinite-State Analysis,Springer International Publishing,book-chapter,,0,24,12,1,0
10.1007/978-3-030-25540-4_33,True,,Robust Controller Synthesis in Timed Büchi Automata: A Symbolic Approach,Springer International Publishing,book-chapter,,0,28,2,1,0
10.1007/978-3-030-25540-4_34,True,,Flexible Computational Pipelines for Robust Abstraction-Based Control Synthesis,Springer International Publishing,book-chapter,,0,23,1,1,0
10.1007/978-3-030-25540-4_35,True,,Temporal Stream Logic: Synthesis Beyond the Bools,Springer International Publishing,book-chapter,,0,53,22,1,0
10.1007/978-3-030-25540-4_36,True,,Run-Time Optimization for Learned Controllers Through Quantitative Games,Springer International Publishing,book-chapter,,0,49,25,1,0
10.1007/978-3-030-25540-4_37,True,,Taming Delays in Dynamical Systems,Springer International Publishing,book-chapter,,0,47,8,1,0
10.1007/978-3-030-25540-4_4,True,,Safety and Co-safety Comparator Automata for Discounted-Sum Inclusion,Springer International Publishing,book-chapter,,0,40,1,1,0
10.1007/978-3-030-25540-4_5,True,,Clock Bound Repair for Timed Systems,Springer International Publishing,book-chapter,,0,31,10,1,0
10.1007/978-3-030-25540-4_6,True,,Verifying Asynchronous Interactions via Communicating Session Automata,Springer International Publishing,book-chapter,,0,68,26,1,0
10.1007/978-3-030-25540-4_7,True,,Verifying Hyperliveness,Springer International Publishing,book-chapter,,0,31,50,1,0
10.1007/978-3-030-25540-4_8,True,,Quantitative Mitigation of Timing Side Channels,Springer International Publishing,book-chapter,,0,49,13,1,0
10.1007/978-3-030-25543-5_10,True,,Icing: Supporting Fast-Math Style Optimizations in a Verified Compiler,Springer International Publishing,book-chapter,,0,41,1,1,0
10.1007/978-3-030-25543-5_11,True,,Sound Approximation of Programs with Elementary Functions,Springer International Publishing,book-chapter,,0,28,8,1,0
10.1007/978-3-030-25543-5_13,True,,SecCSL: Security Concurrent Separation Logic,Springer International Publishing,book-chapter,,0,50,20,1,0
10.1007/978-3-030-25543-5_15,True,,Verification of Threshold-Based Distributed Algorithms by Decomposition to Decidable Logics,Springer International Publishing,book-chapter,,0,44,24,1,0
10.1007/978-3-030-25543-5_17,True,,Checking Robustness Against Snapshot Isolation,Springer International Publishing,book-chapter,,0,24,14,1,0
10.1007/978-3-030-25543-5_18,True,,Efficient Verification of Network Fault Tolerance via Counterexample-Guided Refinement,Springer International Publishing,book-chapter,,0,25,10,1,0
10.1007/978-3-030-25543-5_19,True,,On the Complexity of Checking Consistency for Replicated Data Types,Springer International Publishing,book-chapter,,0,38,3,1,0
10.1007/978-3-030-25543-5_2,True,,High-Level Abstractions for Simplifying Extended String Constraints in SMT,Springer International Publishing,book-chapter,,0,25,11,1,0
10.1007/978-3-030-25543-5_22,True,,Verifying Asynchronous Event-Driven Programs Using Partial Abstract Transformers,Springer International Publishing,book-chapter,,0,29,4,1,0
10.1007/978-3-030-25543-5_23,True,,Inferring Inductive Invariants from Phase Structures,Springer International Publishing,book-chapter,,0,62,12,1,0
10.1007/978-3-030-25543-5_24,True,,Termination of Triangular Integer Loops is Decidable,Springer International Publishing,book-chapter,,0,15,14,1,0
10.1007/978-3-030-25543-5_25,True,,AliveInLean: A Verified LLVM Peephole Optimization Verifier,Springer International Publishing,book-chapter,,0,26,6,1,0
10.1007/978-3-030-25543-5_26,True,,Automated Parameterized Verification of CRDTs,Springer International Publishing,book-chapter,,0,24,10,1,0
