doi_norm,openalex_found,openalex_error,openalex_id,openalex_title,openalex_year,cited_by_count,referenced_works_count,fwci,is_retracted
10.1007/978-1-4757-3452-2_14,True,,https://openalex.org/W4247588691,Syllogistic Tableaux,2001.0,0.0,0.0,0.0,False
10.1007/978-3-030-20528-7_1,True,,https://openalex.org/W2946766242,Train Scheduling with Hybrid ASP,2019.0,32.0,15.0,7.7335,False
10.1007/978-3-030-20528-7_11,True,,https://openalex.org/W2915453592,Founded World Views with Autoepistemic Equilibrium Logic,2019.0,14.0,28.0,3.3052,False
10.1007/978-3-030-20528-7_13,True,,https://openalex.org/W2945669152,"A Sequent-Type Calculus for Three-Valued Default Logic, Or: Tweety Meets Quartum Non Datur",2019.0,1.0,34.0,0.2754,False
10.1007/978-3-030-20528-7_15,True,,https://openalex.org/W2944853547,Repair-Based Degrees of Database Inconsistency,2019.0,18.0,36.0,3.5805,False
10.1007/978-3-030-20528-7_2,True,,https://openalex.org/W2946419582,Telco Network Inventory Validation with NoHR,2019.0,3.0,21.0,1.3649,False
10.1007/978-3-030-20528-7_20,True,,https://openalex.org/W2945261847,Verifying Strong Equivalence of Programs in the Input Language of gringo,2019.0,20.0,11.0,2.7542,False
10.1007/978-3-030-20528-7_21,True,,https://openalex.org/W2945270526,The Return of xorro,2019.0,5.0,23.0,1.1017,False
10.1007/978-3-030-20528-7_22,True,,https://openalex.org/W3125507995,Degrees of Laziness in Grounding,2019.0,3.0,30.0,0.8263,False
10.1007/978-3-030-20528-7_25,True,,https://openalex.org/W2945315430,Declarative Local Search for Predicate Logic,2019.0,2.0,12.0,0.2756,False
10.1007/978-3-030-20528-7_3,True,,https://openalex.org/W2943538292,An ASP-Based Framework for the Manipulation of Articulated Objects Using Dual-Arm Robots,2019.0,3.0,34.0,0.8263,False
10.1007/978-3-030-20528-7_4,True,,https://openalex.org/W2945038147,C-ASP: Continuous ASP-Based Reasoning over RDF Streams,2019.0,7.0,9.0,0.8263,False
10.1007/978-3-030-20528-7_5,True,,https://openalex.org/W2945125502,Internet Routing and Non-monotonic Reasoning,2019.0,1.0,7.0,0.0,False
10.1007/978-3-030-20528-7_6,True,,https://openalex.org/W2946437219,Assessing Arguments with Schemes and Fallacies,2019.0,1.0,31.0,0.0,False
10.1007/978-3-030-20528-7_8,True,,https://openalex.org/W2945085690,Argumentation-Based Explanations for Answer Sets Using ADF,2019.0,4.0,16.0,0.8263,False
10.1007/978-3-030-20528-7_9,True,,https://openalex.org/W2924142368,Treewidth and Counting Projected Answer Sets,2019.0,18.0,23.0,3.8588,False
10.1007/978-3-030-25540-4_10,True,,https://openalex.org/W2913967299,Security-Aware Synthesis Using Delayed-Action Games,2019.0,0.0,33.0,0.0,False
10.1007/978-3-030-25540-4_11,True,,https://openalex.org/W2962297646,Automated Hypersafety Verification,2019.0,40.0,36.0,4.7287,False
10.1007/978-3-030-25540-4_12,True,,https://openalex.org/W2966157352,Automated Synthesis of Secure Platform Mappings,2019.0,6.0,46.0,0.5508,False
10.1007/978-3-030-25540-4_13,True,,https://openalex.org/W2961049340,Synthesizing Approximate Implementations for Unrealizable Specifications,2019.0,3.0,16.0,1.4673,False
10.1007/978-3-030-25540-4_14,True,,https://openalex.org/W2960656136,Quantified Invariants via Syntax-Guided Synthesis,2019.0,56.0,44.0,17.1143,False
10.1007/978-3-030-25540-4_16,True,,https://openalex.org/W2958210738,Membership-Based Synthesis of Linear Hybrid Automata,2019.0,20.0,23.0,7.8263,False
