source_split,id,source_title,found,abstract,tldr,match_score,s2_paper_id,s2_title,error
train,3,Agentified Argumentative Learning (short paper).,False,,,1.0,666f0fa6242f59f0efad52bf4fca6e57dec3df21,Agentified Argumentative Learning (short paper),
train,11,neXSim: A System for Explaining Nexus of Similarities.,False,,,1.0,74d9f339477a40f464005794d75a93938d61fef7,neXSim: A System for Explaining Nexus of Similarities,
train,29,LLMASP: A Framework for Mitigating Hallucinations and Supporting Symbolic Reasoning in Large Language Models.,False,,,1.0,615536c864f8fc6c74d7a4553c900cd9f03ba1fc,LLMASP: A Framework for Mitigating Hallucinations and Supporting Symbolic Reasoning in Large Language Models,
train,36,Visualizing Kripke Models in LogiKEy: the Case of SDL.,False,,,1.0,7aa66cf8977d670bbcf5f9d9b0c40decbac738da,Visualizing Kripke Models in LogiKEy: the Case of SDL,
train,45,Global Type Inference for Java using Answer Set Programming.,False,,,1.0,a8d0072174a860973275797417309962b721c861,Global Type Inference for Java using Answer Set Programming,
train,87,"Proceedings of the 9th Workshop on Advances in Argumentation in Artificial Intelligence (AI3 2025) co-located with the 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 13, 2025.",False,,,0.9975903614457832,491ddddaf4b898429670ffb3182dde86d20d71af,"Proceedings of the 9th Workshop on Advances in Argumentation in Artificial Intelligence (AI^3 2025) co-located with the 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 13, 2025",
train,88,"Joint Proceedings of the Workshops and Doctoral Consortium of the 41st International Conference on Logic Programming (ICLP-WS-DC 2025) co-located with 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 9-13, 2025.",False,,,1.0,0abc223877f00d8dded1163cb92e085708fa8fd3,"Joint Proceedings of the Workshops and Doctoral Consortium of the 41st International Conference on Logic Programming (ICLP-WS-DC 2025) co-located with 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 9-13, 2025",
train,95,Statistical Syllogistic Tableaux.,False,,,1.0,a4d732023784b257cfe5ca2fc6758d487dd5f7ae,Statistical Syllogistic Tableaux,
train,103,A Framework for Defining Behavior Modes in Policy-Aware Autonomous Agents.,False,,,1.0,b61ad27cdc4725f487da3dd1330e1ee4535ea60f,A Framework for Defining Behavior Modes in Policy-Aware Autonomous Agents,
train,107,Controlled Natural Language Models.,False,,,1.0,87145d100bdb1aa8ed2e0c093c04d02007aa5685,Controlled Natural Language Models,
train,211,Constrained Default Logic Programming.,False,,,1.0,4d3d4620ce84404fd3a179799ce7218e040f69db,Constrained Default Logic Programming,
train,223,Automating Defeasible Reasoning in Law with Answer Set Programming.,False,,,1.0,aac4e404ee83f0e217ccbc3a6fdfbb799b2101b8,Automating Defeasible Reasoning in Law with Answer Set Programming,
train,250,"Proceedings 38th International Conference on Logic Programming, ICLP 2022 Technical Communications / Doctoral Consortium, Haifa, Israel, 31st July 2022 - 6th August 2022.",False,,,1.0,cbccb52c1754970ecf96f668c0bd289e05ae6510,"Proceedings 38th International Conference on Logic Programming, ICLP 2022 Technical Communications / Doctoral Consortium, Haifa, Israel, 31st July 2022 - 6th August 2022",
train,251,Reasoning About Actions with EL(bot) Ontologies and Temporal Answer Sets.,False,,,1.0,2878dfca545478eef14ff01fede7563efeebaa59,Reasoning About Actions with EL(bot) Ontologies and Temporal Answer Sets,
train,264,aspmc: An Algebraic Answer Set Counter.,False,,,1.0,0650a10cd8d348b95ce0a7fd1469687bfb976041,aspmc: An Algebraic Answer Set Counter,
train,269,From Probabilistic Programming to Probabilistic Argumentation.,True,,"This work discusses the basic framework in the propositional setting, some reasoning ideas and extensions that allow handling inconsistent information, and its relationship to probabilistic epistemic argumentation.",1.0,43d9f68aa24395e654c92b496e3e30158c4fb661,From Probabilistic Programming to Probabilistic Argumentation,
train,271,Theory Revision with Goal-directed ASP.,False,,,1.0,c3d685d918018b3148c7fc108dd458824eda3f4c,Theory Revision with Goal-directed ASP,
train,428,A Hitchhiker&apos;s Guide to Reinventing a Prolog Machine.,False,,,0.0,,,"HTTP 404: {""error"":""Title match not found""}
"
train,545,Using Ontology to Analyze Sentiment of Comments on Vietnamese Social Media.,False,,,1.0,f707047e2c10cf0b2593f952ba494f3bf3114a8b,Using Ontology to Analyze Sentiment of Comments on Vietnamese Social Media,
train,546,An Experiment with LLM in Contract Extraction.,False,,,1.0,fa172c25dd08aba33a7cec87dcd6aea6b11ee76b,An Experiment with LLM in Contract Extraction,
train,548,Formal Aspects of Strategic Reasoning.,False,,,1.0,dcd0a0449ead0f1e740405fe3acf2c74346a0ebf,Formal Aspects of Strategic Reasoning,
train,641,"Joint Proceedings of the Joint Workshop on Knowledge Diversity and Cognitive Aspects of KR and the Workshop on Symbolic and Neuro-Symbolic Architectures for Intelligent Robotics Technology (KoDis-CAKR-SYNERGY 2024) co-located with the 21st International Conference on Principles of Knowledge Representation and Reasoning (KR 2024), Hanoi, Vietnam, November 2-8, 2024.",False,,,0.0,,,"HTTP 404: {""error"":""Title match not found""}
"
train,643,Copredication and Ontological Mutability.,False,,,1.0,673829d517c4288e849c764011bdd38181966494,Copredication and Ontological Mutability,
train,646,Cognitively Adequate Complexity of Reasoning in a Description Logic.,False,,,1.0,0e19cd90639e63aae31163ac5b1f80879b9283d0,Cognitively Adequate Complexity of Reasoning in a Description Logic,
train,647,Voting for Bins: Integrating Imprecise Probabilistic Beliefs into the Condorcet Jury Theorem.,False,,,1.0,b12fb8873ecc277717d7438543fb4fe85e6a4201,Voting for Bins: Integrating Imprecise Probabilistic Beliefs into the Condorcet Jury Theorem,
train,648,Explaining Agent Behaviour via Causal Analysis of Mental States.,False,,,1.0,7f36ce3bd2005c89d2c1546744bf68d2fed47173,Explaining Agent Behaviour via Causal Analysis of Mental States,
train,676,Everything You AlwaysWanted to Know About Urban Water Networks ButWere Afraid to Ask.,False,,,0.0,,,"HTTP 404: {""error"":""Title match not found""}
"
train,745,"Proceedings of 1st Workshop on AI-driven heterogeneous data management: Completing, merging, handling inconsistencies and query-answering, co-located with 20th International Conference on Principles of Knowledge Representation and Reasoning (KR 2023), Rhodes, Greece, September 3-4, 2023.",False,,,1.0,abef72c3246f15cfd2334021f3c96dc11b2a5222,"Proceedings of 1st Workshop on AI-driven heterogeneous data management: Completing, merging, handling inconsistencies and query-answering, co-located with 20th International Conference on Principles of Knowledge Representation and Reasoning (KR 2023), Rhodes, Greece, September 3-4, 2023",
