lookup_id,lookup_type,lookup_value,s2_found,s2_error,s2_paper_id,s2_title,s2_venue,s2_year,s2_reference_count,s2_citation_count,s2_influential_citation_count,s2_publication_types,s2_fields_of_study,s2_is_open_access
DOI:10.1007/978-1-4757-3452-2_14,doi,10.1007/978-1-4757-3452-2_14,False,,,,,,,,,,,
DOI:10.1007/978-3-030-20528-7_1,doi,10.1007/978-3-030-20528-7_1,True,,cb516fb27001d1d8837e19b316ae0d3e385a4b9a,Train Scheduling with Hybrid ASP,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,18.0,37.0,4.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_11,doi,10.1007/978-3-030-20528-7_11,True,,7e045a4300688e27844c82c1d00d63c573637ed8,Founded World Views with Autoepistemic Equilibrium Logic,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,28.0,16.0,3.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_13,doi,10.1007/978-3-030-20528-7_13,True,,3b432c27759ddc934714ab4ee022cd94517a4608,"A Sequent-Type Calculus for Three-Valued Default Logic, Or: Tweety Meets Quartum Non Datur",International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,32.0,1.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_15,doi,10.1007/978-3-030-20528-7_15,True,,c49c54377a7f4d1eb72ee86f848f47c7c1645fb6,Repair-Based Degrees of Database Inconsistency: Computation and Complexity,International Conference on Logic Programming and Non-Monotonic Reasoning,2018.0,63.0,29.0,2.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_2,doi,10.1007/978-3-030-20528-7_2,True,,93b4285daf2a42d80d0981f4e3b38fab50b06f0e,Telco Network Inventory Validation with NoHR,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,25.0,3.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_20,doi,10.1007/978-3-030-20528-7_20,True,,e4cb2967cc82b3d7905255a43c29112d37ffd45b,Verifying Strong Equivalence of Programs in the Input Language of gringo,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,13.0,25.0,8.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_21,doi,10.1007/978-3-030-20528-7_21,True,,ac702a95bf16426c88798dd92344c6c9a4fae0c0,The Return of xorro,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,28.0,6.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_22,doi,10.1007/978-3-030-20528-7_22,True,,d6b7d0945cbc24837854ba18c71d56d3c350e4b9,Degrees of Laziness in Grounding: Effects of Lazy-Grounding Strategies on ASP Solving,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,30.0,11.0,0.0,JournalArticle,Computer Science,True
DOI:10.1007/978-3-030-20528-7_25,doi,10.1007/978-3-030-20528-7_25,True,,2ae95bcc92fa658a28978c471257bd23ae1c8c03,Declarative Local Search for Predicate Logic,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,9.0,2.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_3,doi,10.1007/978-3-030-20528-7_3,True,,33f320de750dfd8003dfe9332363266735ff8caf,An ASP-Based Framework for the Manipulation of Articulated Objects Using Dual-Arm Robots,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,35.0,6.0,0.0,JournalArticle,Computer Science,True
DOI:10.1007/978-3-030-20528-7_4,doi,10.1007/978-3-030-20528-7_4,True,,1fce308b73ab1aa436507c54ffb94d7eee6dcbba,C-ASP: Continuous ASP-Based Reasoning over RDF Streams,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,9.0,10.0,3.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_5,doi,10.1007/978-3-030-20528-7_5,True,,a0d8e0a9f7e694821b346eab3065312447a97ef0,Internet Routing and Non-monotonic Reasoning,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,8.0,1.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_6,doi,10.1007/978-3-030-20528-7_6,True,,9b804dd5ee23f61f532772616be5fd5c14906e4e,Assessing Arguments with Schemes and Fallacies,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,48.0,2.0,0.0,JournalArticle,Computer Science,True
