id,Label,oof_score,oof_pred,p_label_1,p_label_2,p_label_3,p_label_4,p_label_5
0,1,5.0,5,0.0,0.0,0.0,0.0,1.0
1,1,2.0,2,0.0,1.0,0.0,0.0,0.0
2,2,2.0,2,0.0,1.0,0.0,0.0,0.0
3,1,2.0,2,0.0,1.0,0.0,0.0,0.0
4,1,2.0,2,0.0,1.0,0.0,0.0,0.0
5,2,2.0,2,0.0,1.0,0.0,0.0,0.0
6,3,2.0,2,0.0,1.0,0.0,0.0,0.0
7,3,2.0,2,0.0,1.0,0.0,0.0,0.0
8,4,5.0,5,0.0,0.0,0.0,0.0,1.0
9,1,3.0,3,0.0,0.0,1.0,0.0,0.0
10,3,5.0,5,0.0,0.0,0.0,0.0,1.0
11,4,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
12,4,4.0,4,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22
13,2,2.0,2,0.0,1.0,0.0,0.0,0.0
14,5,5.0,5,0.0,0.0,0.0,0.0,1.0
15,2,1.0,1,1.0,0.0,0.0,0.0,0.0
16,4,2.0,2,0.0,1.0,0.0,0.0,0.0
17,5,5.0,5,0.0,0.0,0.0,0.0,1.0
18,5,5.0,5,0.0,0.0,0.0,0.0,1.0
19,4,5.0,5,0.0,0.0,0.0,0.0,1.0
20,4,5.0,5,0.0,0.0,0.0,0.0,1.0
21,2,2.0,2,0.0,1.0,0.0,0.0,0.0
22,5,5.0,5,0.0,0.0,0.0,0.0,1.0
23,5,5.0,5,0.0,0.0,0.0,0.0,1.0
24,3,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
25,2,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
26,5,5.0,5,0.0,0.0,0.0,0.0,1.0
27,4,2.0,2,0.0,1.0,0.0,0.0,0.0
28,4,2.0,2,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
29,4,5.0,5,0.0,0.0,0.0,0.0,1.0
30,4,4.0,4,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22
31,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
32,5,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
33,4,5.0,5,0.0,0.0,0.0,0.0,1.0
34,3,3.0,3,0.0,0.0,1.0,0.0,0.0
35,3,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
36,3,1.0,1,1.0,0.0,0.0,0.0,0.0
37,4,5.0,5,0.0,0.0,0.0,0.0,1.0
38,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
39,5,5.0,5,0.0,0.0,0.0,0.0,1.0
40,3,2.0,2,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
41,5,3.0,3,0.0,0.0,1.0,0.0,0.0
42,5,3.0,3,0.0,0.0,1.0,0.0,0.0
43,5,4.0,4,0.0,0.0,0.0,1.0,0.0
44,1,4.0,4,0.0,0.0,0.0,1.0,0.0
45,4,5.0,5,0.0,0.0,0.0,0.0,1.0
46,1,3.0,3,0.0,0.0,1.0,0.0,0.0
47,5,1.0,1,1.0,0.0,0.0,0.0,0.0
48,4,4.0,4,0.0,0.0,0.0,1.0,0.0
49,1,5.0,5,0.0,0.0,0.0,0.0,1.0
50,4,2.0,2,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
51,3,4.0,4,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22
52,5,1.0,1,1.0,0.0,0.0,0.0,0.0
53,4,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
54,1,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
55,1,4.0,4,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22
56,2,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
57,1,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
58,1,1.0,1,1.0,0.0,0.0,0.0,0.0
59,2,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
60,4,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
61,3,5.0,5,0.0,0.0,0.0,0.0,1.0
62,2,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
63,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
64,4,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
65,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
66,3,4.0,4,0.0,0.0,0.0,1.0,0.0
67,1,3.0,3,0.0,0.0,1.0,0.0,0.0
68,4,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
69,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
70,3,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
71,3,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
72,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
73,2,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
74,4,5.0,5,0.0,0.0,0.0,0.0,1.0
75,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
76,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
77,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
78,2,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
79,3,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
80,1,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
81,2,5.0,5,0.0,0.0,0.0,0.0,1.0
82,3,5.0,5,0.0,0.0,0.0,0.0,1.0
83,2,5.0,5,0.0,0.0,0.0,0.0,1.0
84,3,3.0,3,0.0,0.0,1.0,0.0,0.0
85,1,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
86,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
87,1,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
88,1,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
89,1,5.0,5,0.0,0.0,0.0,0.0,1.0
90,2,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
91,4,5.0,5,0.0,0.0,0.0,0.0,1.0
92,4,5.0,5,0.0,0.0,0.0,0.0,1.0
93,3,4.0,4,0.0,0.0,0.0,1.0,0.0
94,4,1.0,1,1.0,0.0,0.0,0.0,0.0
95,2,1.0,1,1.0,0.0,0.0,0.0,0.0
96,4,2.0,2,0.0,1.0,0.0,0.0,0.0
97,4,5.0,5,0.0,0.0,0.0,0.0,1.0
98,4,3.0,3,0.0,0.0,1.0,0.0,0.0
99,5,1.0,1,1.0,0.0,0.0,0.0,0.0
100,3,3.0,3,0.0,0.0,1.0,0.0,0.0
101,4,5.0,5,0.0,0.0,0.0,0.0,1.0
102,3,3.0,3,0.0,0.0,1.0,0.0,0.0
