id,Label,oof_score,oof_pred
0,1,3.4095802340785966,5
1,1,3.3476019164082422,5
2,2,3.2621623091513867,5
3,1,2.5291195723394764,3
4,1,2.8355366502156065,4
5,2,3.0225564818169786,4
6,3,2.3010495469996908,2
7,3,3.1818276725056287,5
8,4,3.243132987346529,5
9,1,2.835681662802987,4
10,3,3.0127031568625298,4
11,4,2.5258366071780496,3
12,4,2.730472104461001,3
13,2,2.765299596336714,3
14,5,2.7922124862687596,4
15,2,2.378029761113942,2
16,4,3.1488434635914797,5
17,5,3.1902700313698595,5
18,5,2.9345795968313713,4
19,4,2.847466228613088,4
20,4,2.770719687394763,3
21,2,3.0010504758437975,4
22,5,4.177885766295422,5
23,5,3.3030157675651473,5
24,3,2.876831541757454,4
25,2,2.7239501186506394,3
26,5,3.468287696263571,5
27,4,3.25961284396304,5
28,4,2.793804734423052,4
29,4,2.0707884376280816,1
30,4,3.466297219527235,5
31,5,3.1517804089966917,5
32,5,2.6709751828633017,3
33,4,3.4994368526053456,5
34,3,3.2189771636841518,5
35,3,2.6719762030035503,3
36,3,2.6363881506581124,3
37,4,2.6507440149466994,3
38,5,3.4093114054355915,5
39,5,2.4933864183063235,3
40,3,2.7515690357514853,3
41,5,3.1230613405259127,5
42,5,2.891312930503594,4
43,5,2.8899051551894757,4
44,1,3.5141660708732996,5
45,4,3.773005708555947,5
46,1,2.5060498082608103,3
47,5,2.837504421273581,4
48,4,3.0398573247444403,4
49,1,2.893717519721868,4
50,4,3.1746721486929217,5
51,3,2.8297021809824208,4
52,5,2.747820130278219,3
53,4,2.6958529143168515,3
54,1,2.814074071531005,4
55,1,3.0659778524977264,4
56,2,2.861659926989681,4
57,1,2.723722959179339,3
58,1,2.976934321340963,4
59,2,3.2458021055405837,5
60,4,2.7881128501029084,4
61,3,2.8178079148394386,4
62,2,2.6991547794016704,3
63,5,2.0752133258574825,1
64,4,3.756177127097429,5
65,5,3.4634890955552478,5
66,3,2.869676611245246,4
67,1,2.681681144271612,3
68,4,3.2985366074714473,5
69,5,2.91621668451497,4
70,3,3.02198184796546,4
71,3,2.798720447037516,4
72,5,2.883639211664248,4
73,2,3.0573929853645705,4
74,4,2.681166451056136,3
75,5,2.787294485498022,4
76,5,3.2502612327442044,5
77,5,3.3117787506741134,5
78,2,2.850962184911896,4
79,3,2.4218775511361152,2
80,1,2.701060711801959,3
81,2,2.4978231283875307,3
82,3,2.7376783363975097,3
83,2,2.5839691249281103,3
84,3,2.927974090794681,4
85,1,2.9095337187942434,4
86,5,2.8940955347310156,4
87,1,2.0393885260349456,1
88,1,1.862794237227548,1
89,1,2.1915424172759077,2
90,2,3.74990713939142,5
91,4,2.905315322757881,4
92,4,3.0180727789194104,4
93,3,2.9961559338161066,4
94,4,3.3124149161174006,5
95,2,1.516932487884857,1
96,4,3.4176814330090224,5
97,4,3.542641302119062,5
98,4,3.052497236410879,4
99,5,2.7396735481910963,3
100,3,3.2149927169821133,5
101,4,2.8774062315956996,4
102,3,3.097852616253045,4
103,1,2.686201354635178,3
104,2,3.1853382873625318,5
105,1,2.4575130165979786,2
106,3,2.9543279342444375,4
107,4,3.2889855738671536,5
108,1,3.30416338595271,5
109,1,2.682825460484859,3
110,3,3.241302102174475,5
111,5,3.3551714915079245,5
112,4,2.4641697837096452,3
113,2,2.5863028544767688,3
114,4,3.6087733401283164,5
115,3,2.620072880162575,3
116,1,3.3423136203284654,5
117,2,3.2560830118699875,5
118,1,2.8826225165175408,4
119,3,2.9430331900667928,4
120,1,3.125109330813647,5
121,3,3.2946423021898767,5
122,5,3.048638437030601,4
123,5,3.9105704973604287,5
124,5,3.16167745705341,5
125,3,2.7824086015346636,3
126,4,3.214874587197038,5
127,2,2.9463504394552054,4
128,3,3.283328502913291,5
129,5,3.7331001902133196,5
130,4,2.8235448600878374,4
131,3,2.9219987050844476,4
132,1,3.0530482250633626,4
133,2,2.688283622512292,3
134,5,3.3082202232876443,5
135,5,3.076432639771999,4
136,1,2.753826971539097,3
137,1,3.0155506980062143,4
138,3,3.7822038288378237,5
139,5,3.678581128702964,5
140,5,3.9216661276820215,5
141,5,3.575285317140478,5
142,5,3.6557312722214754,5
143,3,3.174409572208272,5
144,1,3.0035779043311392,4
145,4,2.775189614540904,3
146,5,3.1560075648139043,5
147,1,2.838550264516064,4
148,1,2.7463259865584653,3
149,1,1.944585925501683,1
150,2,3.1416627182046586,5
151,4,3.5566209056428613,5
152,4,3.448469076838059,5
153,1,2.7648882278090015,3
154,1,3.664952703378022,5
155,5,3.2518196047513546,5
156,4,3.0406260315995546,4
157,1,2.772994459852787,3
158,1,2.4795832585341278,3
159,2,2.698087858234669,3
160,2,3.5601330367639807,5
161,3,3.429591500618468,5
162,4,3.0399297794977365,4
163,5,4.701691605673637,5
164,1,2.778867734943278,3
165,2,2.6237354733519407,3
166,1,2.904294629677457,4
167,1,2.841399041751799,4
168,3,2.897052525057784,4
169,5,2.836518446680024,4
170,5,3.0976053257777423,4
171,5,2.7490025719741555,3
172,4,3.0156323151519735,4
173,3,3.2342678969690333,5
174,1,3.8076463710032336,5
175,4,2.2170271827144785,2
176,4,2.8069621979476906,4
177,4,3.158907940907136,5
178,5,3.603863152604863,5
179,3,3.0585514381788683,4
180,4,3.42792274657184,5
181,5,3.2733156464135083,5
182,2,3.1590055918661464,5
183,3,3.2420848983473527,5
184,1,3.2706896582683136,5
185,4,3.240134031687655,5
186,5,2.943584605452718,4
187,2,3.053759971440899,4
188,5,2.6262285404291723,3
189,4,2.9946719934494506,4
190,2,3.0343034657822714,4
191,1,3.16946754548581,5
192,2,3.039426756676354,4
193,5,3.466151375492428,5
194,4,3.371955242048395,5
195,3,2.958766104385193,4
196,1,2.983247011965309,4
197,1,3.21854488389357,5
198,2,2.3713469125572417,2
199,3,2.5154364955158264,3
200,2,3.1907020450111574,5
201,5,3.164096516238305,5
202,5,2.8647596959923107,4
203,5,3.00232027561661,4
204,4,3.1582901961496694,5
205,2,3.0094320677076793,4
206,1,3.1464925036582265,5
207,2,3.2181322402254504,5
208,3,2.660664843354892,3
209,1,1.916214792030379,1
210,1,2.3406096616297885,2
211,4,3.9151138736753026,5
212,1,2.620448832796546,3
213,4,2.869841914839616,4
214,5,2.9026561834191327,4
215,4,3.2522110209421142,5
216,3,3.0978510449269048,4
217,1,3.027804237636566,4
218,1,3.1298782800197906,5
219,5,2.695114495107427,3
220,4,3.6639650283603893,5
221,5,2.7934296416773763,4
222,5,2.9078413502119282,4
223,3,2.6075392922248515,3
224,1,2.9710038255912337,4
225,5,3.932232887936586,5
226,5,2.343344698803208,2
227,4,2.74468647418527,3
228,4,2.8725422623531465,4
229,2,3.2850901011876577,5
230,5,4.4970009026961675,5
231,4,3.496020927004498,5
232,4,3.388190202172877,5
233,4,2.6376405217602503,3
234,3,3.288919928251921,5
235,5,3.8398329773896713,5
236,1,2.6917680023107633,3
237,1,2.820381999815463,4
238,1,2.9409889253101604,4
239,2,3.165393281329967,5
240,2,3.653043496827877,5
241,1,2.4689239218163066,3
242,3,3.0475499740932257,4
243,3,2.642763982467937,3
244,4,2.9257302429611083,4
245,5,3.3230728269270706,5
246,4,3.020482014186792,4
247,5,2.9397867664526154,4
