id,Label,oof_score,oof_pred
0,1,1.0,1
1,1,1.625,1
2,2,2.34375,2
3,1,3.0625,3
4,1,2.421875,2
5,2,2.171875,2
6,3,3.5625,4
7,3,3.59375,4
8,4,4.40625,5
9,1,2.640625,3
10,3,4.8125,5
11,4,3.171875,3
12,4,1.0,1
13,2,2.6875,3
14,5,5.0,5
15,2,2.578125,3
16,4,3.984375,4
17,5,3.125,3
18,5,4.4375,5
19,4,3.765625,4
20,4,4.65625,5
21,2,2.078125,2
22,5,3.515625,4
23,5,2.96875,3
24,3,3.046875,3
25,2,2.90625,3
26,5,4.9375,5
27,4,2.3125,2
28,4,2.328125,2
29,4,2.59375,3
30,4,4.40625,5
31,5,4.375,5
32,5,3.0625,3
33,4,4.21875,5
34,3,1.2734375,1
35,3,2.078125,2
36,3,2.171875,2
37,4,4.9375,5
38,5,4.5625,5
39,5,5.0,5
40,3,3.484375,4
41,5,2.765625,3
42,5,4.28125,5
43,5,3.484375,4
44,1,1.234375,1
45,4,4.0,4
46,1,3.703125,4
47,5,5.0,5
48,4,4.28125,5
49,1,1.0,1
50,4,3.953125,4
51,3,3.703125,4
52,5,4.75,5
53,4,3.53125,4
54,1,2.296875,2
55,1,3.640625,4
56,2,3.921875,4
57,1,2.84375,3
58,1,2.578125,3
59,2,1.7734375,1
60,4,4.8125,5
61,3,4.6875,5
62,2,4.84375,5
63,5,5.0,5
64,4,4.5625,5
65,5,4.09375,4
66,3,4.875,5
67,1,1.0,1
68,4,3.0625,3
69,5,3.390625,4
70,3,3.140625,3
71,3,3.84375,4
72,5,3.53125,4
73,2,1.7890625,2
74,4,3.140625,3
75,5,5.0,5
76,5,5.0,5
77,5,5.0,5
78,2,3.4375,4
79,3,4.4375,5
80,1,2.890625,3
81,2,4.5,5
82,3,3.34375,4
83,2,3.09375,3
84,3,2.1875,2
85,1,2.765625,3
86,5,5.0,5
87,1,1.0,1
88,1,1.0,1
89,1,1.0,1
90,2,4.875,5
91,4,5.0,5
92,4,3.734375,4
93,3,2.921875,3
94,4,4.53125,5
95,2,2.296875,2
96,4,4.78125,5
97,4,3.96875,4
98,4,4.9375,5
99,5,3.8125,4
100,3,3.46875,4
101,4,1.765625,1
102,3,2.96875,3
103,1,1.203125,1
104,2,4.5,5
105,1,2.34375,2
106,3,5.0,5
107,4,3.1875,3
108,1,3.5625,4
109,1,5.0,5
110,3,4.84375,5
111,5,4.59375,5
112,4,3.15625,3
113,2,3.640625,4
114,4,4.5,5
115,3,3.5,4
116,1,2.59375,3
117,2,3.03125,3
118,1,4.3125,5
119,3,3.203125,3
120,1,2.25,2
121,3,4.4375,5
122,5,4.84375,5
123,5,3.1875,3
124,5,4.78125,5
125,3,4.15625,4
126,4,3.546875,4
127,2,1.0,1
128,3,2.796875,3
129,5,3.109375,3
130,4,3.3125,4
131,3,2.578125,3
132,1,3.15625,3
133,2,2.359375,2
134,5,3.6875,4
135,5,2.640625,3
136,1,2.703125,3
137,1,1.0,1
138,3,4.9375,5
139,5,4.78125,5
140,5,5.0,5
141,5,5.0,5
142,5,4.5625,5
143,3,2.921875,3
144,1,2.390625,2
145,4,1.90625,2
146,5,4.65625,5
147,1,1.0,1
148,1,3.90625,4
149,1,1.0,1
150,2,3.203125,3
151,4,4.5,5
152,4,3.03125,3
153,1,2.359375,2
154,1,2.875,3
155,5,4.28125,5
156,4,5.0,5
157,1,3.734375,4
158,1,5.0,5
159,2,2.859375,3
160,2,1.890625,2
161,3,4.59375,5
162,4,1.0,1
163,5,4.8125,5
164,1,1.0390625,1
165,2,2.3125,2
166,1,1.0,1
167,1,3.015625,3
168,3,2.296875,2
169,5,3.375,4
170,5,5.0,5
171,5,4.0625,4
172,4,3.234375,3
173,3,3.890625,4
174,1,4.03125,4
175,4,5.0,5
176,4,2.6875,3
177,4,3.34375,4
178,5,5.0,5
179,3,3.703125,4
180,4,5.0,5
181,5,5.0,5
182,2,2.859375,3
183,3,2.171875,2
184,1,3.515625,4
185,4,4.84375,5
186,5,5.0,5
187,2,3.078125,3
188,5,4.3125,5
189,4,4.125,4
190,2,2.546875,3
191,1,2.34375,2
192,2,4.40625,5
193,5,4.71875,5
194,4,4.8125,5
195,3,3.65625,4
196,1,2.71875,3
197,1,2.125,2
198,2,4.15625,4
199,3,2.90625,3
200,2,3.53125,4
201,5,5.0,5
202,5,5.0,5
203,5,5.0,5
204,4,5.0,5
205,2,2.796875,3
206,1,4.6875,5
207,2,4.0625,4
208,3,4.15625,4
209,1,1.0,1
210,1,1.0,1
211,4,2.921875,3
212,1,4.5625,5
213,4,3.359375,4
214,5,4.59375,5
215,4,3.828125,4
216,3,3.515625,4
217,1,3.90625,4
218,1,2.546875,3
219,5,2.359375,2
220,4,4.59375,5
221,5,4.59375,5
222,5,5.0,5
223,3,5.0,5
224,1,2.1875,2
225,5,5.0,5
226,5,3.90625,4
227,4,4.3125,5
228,4,4.8125,5
229,2,2.34375,2
230,5,5.0,5
231,4,4.71875,5
232,4,3.828125,4
233,4,3.0625,3
234,3,3.765625,4
235,5,4.09375,4
236,1,1.453125,1
237,1,2.734375,3
238,1,3.328125,4
239,2,1.0625,1
240,2,3.25,3
241,1,1.8984375,2
242,3,5.0,5
243,3,5.0,5
244,4,4.46875,5
245,5,5.0,5
246,4,5.0,5
247,5,4.3125,5
248,3,1.9296875,2
249,1,1.0,1
250,1,1.0,1
251,4,4.59375,5
252,5,5.0,5
253,5,4.96875,5
254,1,1.0,1
255,2,2.078125,2
256,2,3.765625,4
257,5,4.25,5
258,4,3.59375,4
259,5,5.0,5
260,1,2.265625,2
261,4,3.90625,4
262,2,3.28125,3
263,4,5.0,5
264,3,4.09375,4
265,3,4.71875,5
266,1,1.0,1
267,1,1.0,1
268,2,3.390625,4
269,3,5.0,5
270,4,2.546875,3
271,5,5.0,5
272,5,5.0,5
273,4,3.03125,3
274,4,5.0,5
275,5,4.90625,5
276,2,3.296875,3
277,2,3.984375,4
278,1,2.65625,3
279,4,4.78125,5
280,3,2.21875,2
281,1,2.4375,2
282,5,4.9375,5
283,4,4.15625,4
284,2,5.0,5
285,4,4.5,5
286,1,1.28125,1
287,4,4.5,5
288,1,2.640625,3
289,1,3.28125,3
290,1,4.625,5
291,5,5.0,5
292,4,4.15625,4
293,5,5.0,5
294,1,1.640625,1
295,2,1.6484375,1
296,3,5.0,5
297,3,3.1875,3
298,4,4.6875,5
299,5,4.5625,5
300,3,3.65625,4
301,2,4.125,4
302,4,5.0,5
303,5,4.59375,5
304,5,4.96875,5
305,1,1.0,1
306,1,1.0,1
307,1,3.203125,3
308,2,4.625,5
309,2,2.28125,2
310,4,4.875,5
311,3,4.25,5
312,3,4.3125,5
313,1,3.234375,3
314,2,3.59375,4
315,4,3.203125,3
316,2,3.6875,4
317,5,3.53125,4
