seed,fold,valid_rows,valid_score_mean,valid_score_std
252,1,499,2.4586787591991186,0.6827225410206006
252,2,499,2.423722326374573,0.6777842485430057
252,3,499,2.4233430331444805,0.6610577734943285
252,4,499,2.4587037295643235,0.6966181555560321
252,5,498,2.4806004045989183,0.6881340341416246
253,1,499,2.4642408636912765,0.6617841628501422
253,2,499,2.4839988163744393,0.7085073861456104
253,3,499,2.433601396529597,0.6741484960787357
253,4,499,2.4213810682020274,0.6781883027350193
253,5,498,2.421730410302881,0.6800078151963495
254,1,499,2.4236193057766164,0.6680092582079968
254,2,499,2.432939056056716,0.6783643840743502
254,3,499,2.4530733840981216,0.7176603772586454
254,4,499,2.4284621993333215,0.689171361073439
254,5,498,2.4881392292855296,0.6544305210906108
255,1,499,2.4310673387190493,0.6550026201603018
255,2,499,2.5027171021937575,0.7184822136168927
255,3,499,2.4392815810168518,0.7020359805342362
255,4,499,2.4633610113275495,0.6732526760789204
255,5,498,2.4232327572001777,0.6611242414837395
256,1,499,2.4933971326321283,0.7072429386374799
256,2,499,2.430443549077832,0.6658993062691374
256,3,499,2.44320924900347,0.6727458408283586
256,4,499,2.456776866403929,0.690093953145804
256,5,498,2.412788006473426,0.6790756419520955
