id,Label,oof_score,oof_pred
0,1,1.8731484972067647,1
1,1,2.382329047657921,2
2,2,2.9114981472265398,3
3,1,2.610374111398375,3
4,1,2.0117335081363965,1
5,2,2.56521772150877,3
6,3,2.526520026618456,3
7,3,2.704385466036622,3
8,4,2.48873867273067,3
9,1,2.3222797111638718,2
10,3,3.3197180496088103,5
11,4,2.779470773024966,3
12,4,2.413008540196791,2
13,2,2.5013696768837526,3
14,5,3.899494029396248,5
15,2,3.068775017005683,4
16,4,2.9668732173497765,3
17,5,3.155824307125499,4
18,5,2.9114664983782528,3
19,4,3.1211297554260318,4
20,4,3.2066501375897154,4
21,2,2.2564174841909823,2
22,5,3.4188460997719603,5
23,5,3.2862217608958737,5
24,3,2.3360618597183653,2
25,2,2.564020461607636,3
26,5,3.650010507661796,5
27,4,2.3800150042209127,2
28,4,3.0648804316156757,4
29,4,2.939123746170171,3
30,4,3.7994649824213456,5
31,5,3.2935538760171967,5
32,5,3.09494961125812,4
33,4,3.674234409824318,5
34,3,1.6455901266105066,1
35,3,2.064843429931403,1
36,3,2.6665061364655243,3
37,4,3.157149709107012,4
38,5,3.613139223056156,5
39,5,3.707366757976139,5
40,3,2.8936324213347375,3
41,5,3.018401256829968,4
42,5,3.27043571244086,5
43,5,3.0541813732961787,4
44,1,1.8882272735849255,1
45,4,3.3603299278893908,5
46,1,2.390042285113452,2
47,5,4.391483205562246,5
48,4,3.17569781027309,4
49,1,1.7119629178912414,1
50,4,3.0533307997170795,4
51,3,3.3534836018207543,5
52,5,2.7166537552578336,3
53,4,3.2045676637186657,4
54,1,1.9265497270352963,1
55,1,2.4637934128465444,3
56,2,3.1206550697943007,4
57,1,2.08064545694358,1
58,1,1.7258387872693048,1
59,2,2.456684275498149,3
60,4,4.117227925863331,5
61,3,3.195583668095717,4
62,2,3.141312728899247,4
63,5,4.894104622999639,5
64,4,4.117543670927083,5
65,5,3.4320042196671223,5
66,3,3.6707806815226816,5
67,1,1.8122354117909492,1
68,4,3.347672749000374,5
69,5,3.3259920640704523,5
70,3,2.9669714873137574,3
71,3,2.9265928799182577,3
72,5,3.5837732407671234,5
73,2,1.9272654032581642,1
74,4,2.518971772481666,3
75,5,4.535906679053879,5
76,5,5.0,5
77,5,5.0,5
78,2,2.7499049282068926,3
79,3,2.374169572356177,2
80,1,2.2381387636098333,2
81,2,3.466371430510061,5
82,3,2.403729559778194,2
83,2,2.427807615043137,2
84,3,2.1605560172267104,2
85,1,2.5473529218201447,3
86,5,3.3894578196636793,5
87,1,1.0672727698846802,1
88,1,1.2216523212534744,1
89,1,1.5374134785886582,1
90,2,3.6819240129135706,5
91,4,3.196691592373187,4
92,4,3.434538555895203,5
93,3,3.1151136728008404,4
94,4,3.951770940109674,5
95,2,2.293067606881791,2
96,4,3.127059965161579,4
97,4,2.956899236388577,3
98,4,2.7612953896757597,3
99,5,3.60625053697132,5
100,3,2.847029751638076,3
101,4,1.8986027474840916,1
102,3,2.8351407305224674,3
103,1,2.06287977832321,1
104,2,3.391566990292131,5
105,1,2.844916471931223,3
106,3,3.993854915324988,5
107,4,2.8156885928121858,3
108,1,3.1040017902455377,4
109,1,3.5975752181611824,5
110,3,3.876431038761843,5
111,5,3.6857640368264315,5
112,4,2.840784382265732,3
113,2,2.96584186558251,3
114,4,2.4451214721608343,3
115,3,2.9690375391769948,3
116,1,1.989189851975733,1
117,2,2.7423559066814756,3
118,1,2.3019093737245577,2
119,3,2.858042500954641,3
120,1,2.587507997694209,3
121,3,3.715881781488682,5
122,5,3.49259672842067,5
123,5,2.881367774104117,3
124,5,3.625829726477119,5
125,3,3.563911800319649,5
126,4,3.317681092232116,5
127,2,1.7332875367445886,1
128,3,3.108228151708031,4
129,5,2.2414788020456187,2
130,4,3.2038116292431043,4
131,3,2.485938844531721,3
132,1,2.056039975201132,1
133,2,2.345807345288659,2
134,5,3.094393647519393,4
135,5,2.672288104266908,3
136,1,2.2795463316715923,2
137,1,2.0023493307105396,1
138,3,3.3503464491158836,5
139,5,4.634788730867314,5
140,5,4.263751450649698,5
141,5,4.488396993139659,5
142,5,3.343168317283643,5
143,3,2.232855147211346,2
144,1,2.667269521158777,3
145,4,2.6814793321892423,3
146,5,4.026457948923979,5
147,1,1.6377554248694355,1
148,1,2.9117206365996786,3
149,1,1.2046712625393738,1
150,2,2.8746083196002354,3
151,4,3.1071974780023224,4
152,4,3.3787095619113834,5
153,1,2.3370411183126256,2
154,1,2.429746105430472,2
155,5,3.8521721955902684,5
156,4,4.131517952433236,5
157,1,2.8315290084184026,3
158,1,3.7953298132404036,5
159,2,2.0268135451159957,1
160,2,2.6289699740404386,3
161,3,3.366883430850218,5
162,4,1.6987029041677553,1
163,5,4.33575652631778,5
164,1,1.5743270817558195,1
165,2,2.6230601227851076,3
166,1,2.1293790200644924,2
167,1,2.283545145105747,2
168,3,1.949575037699678,1
169,5,3.036690479425194,4
170,5,3.3315067188413705,5
171,5,3.845132582492881,5
172,4,2.5388766021397315,3
173,3,3.444622741822431,5
174,1,3.4617987500036023,5
175,4,3.712301333202613,5
176,4,3.0007892890103722,3
177,4,1.8424872927977538,1
178,5,3.7142589443067506,5
179,3,3.6705045874988342,5
180,4,3.8804114964448857,5
181,5,3.299642110081693,5
182,2,2.0007632550198586,1
183,3,2.705780580579149,3
184,1,4.037781058728134,5
185,4,2.895085733005005,3
186,5,4.726032361533853,5
187,2,2.0205713830108833,1
188,5,3.9041267265534594,5
189,4,3.0387030230883876,4
190,2,2.4256501462950792,2
191,1,2.1601757842994926,2
192,2,2.9770216696115974,3
193,5,3.754732308547916,5
194,4,3.261035193173435,5
195,3,3.323610496971386,5
196,1,2.8775807303520535,3
197,1,2.1862302837505863,2
198,2,2.6704935383057333,3
199,3,2.824365946874829,3
200,2,2.6577879589610767,3
201,5,3.480550263301918,5
202,5,4.0383545306426845,5
203,5,5.0,5
204,4,3.9142506957954657,5
205,2,3.090728151275433,4
206,1,4.015010524153344,5
207,2,3.7367095017125096,5
208,3,2.621017324507558,3
209,1,1.6243627976990531,1
210,1,1.4854652925719136,1
211,4,3.126435677572572,4
212,1,2.9227898248112267,3
213,4,3.314935845384865,5
214,5,4.071461095771357,5
215,4,2.558778131355924,3
216,3,3.0698447099728767,4
217,1,3.0379902556489418,4
218,1,2.787276613249931,3
219,5,2.35684170559529,2
220,4,3.504716222992438,5
221,5,3.9738852683975763,5
222,5,3.071717669902399,4
223,3,3.975342095906197,5
224,1,2.3104269071716983,2
225,5,3.916189896182421,5
226,5,3.602335754137478,5
227,4,3.0076031487216817,4
228,4,3.1181248691786907,4
229,2,2.602137732580162,3
230,5,4.011113929463961,5
231,4,4.041925374521691,5
232,4,3.5175792443305802,5
233,4,2.457515138613842,3
234,3,2.6861656347514313,3
235,5,4.766763500441987,5
236,1,1.8814745163473567,1
237,1,2.2280600647386675,2
238,1,2.4856026326138063,3
239,2,2.0627423665388966,1
240,2,2.566574167089128,3
241,1,2.3965503991106543,2
242,3,4.673751204446942,5
243,3,2.9551923475008905,3
244,4,3.798783677670086,5
245,5,4.281180435632916,5
246,4,2.9697891683738766,3
247,5,3.507384449560921,5
248,3,1.835817029457332,1
249,1,1.2126887693658341,1
250,1,1.3273397401239984,1
251,4,3.7771028816354693,5
252,5,4.290516593975459,5
253,5,4.263151934878129,5
254,1,1.835113834898872,1
255,2,2.5353078189238873,3
256,2,2.9066105850948296,3
257,5,3.598862133448017,5
258,4,2.842380815634984,3
259,5,3.932303796820931,5
260,1,2.0255279973618245,1
261,4,2.848977324696702,3
262,2,3.1524963344491113,4
263,4,4.403186669426234,5
264,3,3.9093601771220685,5
265,3,3.41171550940009,5
266,1,2.044540936653688,1
267,1,2.284278552565369,2
268,2,2.5256844687768583,3
269,3,4.1354388480505015,5
270,4,3.375017030558901,5
271,5,3.6429484421967224,5
272,5,3.317064643802624,5
273,4,2.5218063781666653,3
274,4,3.5531626832129044,5
275,5,3.9542707222832547,5
276,2,2.0499354333484985,1
277,2,3.625798630135076,5
278,1,2.718440493272216,3
279,4,4.185429932262121,5
280,3,3.084549561863709,4
281,1,1.9658462731954274,1
282,5,4.272059553510502,5
283,4,3.4475344596739226,5
284,2,3.073638154716485,4
285,4,3.7298588346567763,5
286,1,1.8053598189482525,1
287,4,2.9699027657290005,3
288,1,2.3821653535317413,2
289,1,2.32109200799099,2
290,1,2.017787041625053,1
291,5,4.872365217847159,5
292,4,3.830555260726174,5
293,5,3.9312856566871375,5
294,1,2.439264705744425,3
295,2,2.7043396713584538,3
296,3,3.445377993115975,5
297,3,2.752496213545183,3
298,4,3.9671564626587177,5
299,5,2.8999204918082557,3
300,3,2.534395015747612,3
301,2,3.219433514083576,4
302,4,4.051632657641372,5
303,5,4.123351215803988,5
304,5,4.224918380633471,5
305,1,1.321627809509345,1
306,1,1.4499555321507909,1
307,1,3.145378910597638,4
308,2,3.6282349997554872,5
309,2,2.2221972059421145,2
310,4,3.331838570388881,5
311,3,2.895215001092521,3
312,3,3.8337769328340316,5
313,1,2.6185280787058303,3
314,2,3.351294488745586,5
315,4,2.936864045799708,3
316,2,3.7684498029574085,5
317,5,3.558406841267067,5
318,2,2.5400207546227564,3
319,3,2.7112687698278832,3
320,1,2.5774611524391986,3
321,2,3.0742831288343373,4
322,5,3.5886994807086863,5
323,4,4.009248730184503,5
324,5,4.202191723991989,5
325,2,2.973336295258523,3
326,1,2.1117380523955376,2
327,5,2.7729419390175556,3
328,5,4.8381527491019805,5
329,3,1.9565339289279482,1
330,1,2.4340156211750887,2
331,2,2.597787412478621,3
332,1,2.0574700875314673,1
333,3,3.411650111856821,5
334,5,3.8175099420628804,5
335,5,3.2856993286251663,5
336,3,3.7977804168831226,5
337,1,2.5676265350748624,3
338,5,4.0243307703744025,5
339,3,2.7948384505419446,3
340,1,2.3487499945096335,2
341,2,2.7757469876057885,3
342,5,4.680673001730821,5
343,2,1.977152376026627,1
344,1,3.2490799301105335,5
345,1,2.3187124741742657,2
346,1,1.6313608695067487,1
347,1,1.4510578105583363,1
348,5,3.421845026827588,5
349,4,2.838135731767667,3
350,2,2.106556525972562,2
351,2,3.519363881926233,5
352,5,2.5222891859191896,3
353,5,3.329966457157103,5
354,5,2.12117051462888,2
355,5,2.672143305466985,3
356,5,3.8027048792287212,5
357,2,2.5484516986037375,3
358,3,2.7056833169856658,3
359,1,2.0073097219911675,1
360,3,3.1960673427382154,4
361,1,2.340574518357686,2
362,1,2.147645102992063,2
363,5,3.44732881686244,5
364,2,2.2842323689725816,2
365,3,2.1934318427100807,2
366,4,1.9504209851039882,1
367,1,3.30166346859746,5
368,2,2.837333836496292,3
369,5,2.8728220212337896,3
370,4,3.1143298410971623,4
371,3,3.167428298381724,4
372,1,2.4302446699926104,2
373,1,3.1279396659257195,4
374,4,3.022905530703016,4
375,4,4.070128779533699,5
376,1,3.0018181215553152,3
377,2,2.7637718972073597,3
378,1,2.154991882353779,2
379,5,2.4536604831071793,3
380,3,2.908778030048798,3
381,1,1.8204078835895892,1
382,2,3.703211521246211,5
383,4,3.8789926494669147,5
384,1,2.6518745797932928,3
385,1,3.1021950650987025,4
386,1,2.175953268212442,2
387,1,1.425621381582273,1
388,2,2.9440868268382365,3
389,3,3.40313920921104,5
390,2,2.5649489635488045,3
391,3,3.4833184305571905,5
392,2,2.113731609188019,2
393,4,3.4321196202872883,5
394,1,2.2306784596215037,2
395,2,3.141911811064682,4
396,1,2.2591173171930423,2
397,3,3.562387926435336,5
398,4,3.79641523100221,5
399,3,3.3346168990116496,5
400,2,3.209279384770132,4
401,2,4.137982046470589,5
402,1,2.410107503562271,2
403,1,1.9702004118170564,1
404,1,3.0781687875781545,4
405,3,2.2299066598697683,2
406,2,3.418099746176304,5
407,1,3.6533041156340764,5
408,2,3.506434317631946,5
409,1,1.403370010864455,1
410,2,3.9601548705667837,5
411,3,2.1424557025802926,2
412,4,4.2118519968980435,5
413,1,1.4243044828323517,1
414,1,1.5601537917912094,1
415,5,2.6733952970944843,3
416,1,2.236966350639102,2
417,3,2.552098105340721,3
418,2,3.503108447313246,5
419,5,2.855132615582515,3
420,3,2.8822976850236435,3
421,2,3.419611811439821,5
422,1,2.282827628447322,2
423,5,3.4813445802696847,5
424,5,3.106090020245272,4
425,2,4.164878760108376,5
426,1,2.12165230063696,2
427,3,1.824018847481435,1
428,4,2.5643155675568727,3
429,1,1.3746368067605472,1
430,1,1.7518243687809387,1
431,1,2.117257961368313,2
432,1,2.688665725826805,3
433,2,3.7404896049734004,5
434,3,3.3476833202525222,5
435,4,4.523100798542785,5
436,3,2.2859158547216927,2
437,5,3.9751538294857918,5
438,2,2.3286122880411413,2
439,1,2.0228539972382586,1
440,2,3.052232849056354,4
441,1,2.4676207828459074,3
442,4,2.411413833811029,2
443,5,3.282527136032787,5
444,5,3.3090075866733537,5
445,5,2.4771603688360977,3
446,2,1.9934583320787802,1
447,1,2.0808857616673513,1
448,1,2.341264268129788,2
449,3,3.5899235787816215,5
450,3,4.214430889215366,5
451,2,3.0318675368821086,4
452,5,3.1544167924889086,4
453,5,4.0026048525484414,5
454,1,1.7402280337438776,1
455,1,1.4500190760494034,1
456,1,1.6317556102954243,1
457,2,2.3553856882921314,2
458,2,2.3209904212262393,2
459,3,2.498009686112171,3
460,2,2.833156588100299,3
461,1,2.713252874878111,3
462,3,2.6877718993735082,3
463,2,2.59485465444449,3
464,2,2.5930432372785672,3
465,1,2.7227707481312717,3
466,1,2.2412312329685795,2
467,2,2.659328661823661,3
468,4,3.364850621659835,5
469,5,3.861538958329014,5
470,3,3.0328914462788563,4
471,1,1.6133109664088638,1
472,2,2.1707233532489,2
473,1,1.8937284305347646,1
474,2,3.03331567182561,4
475,4,4.181791621679652,5
476,4,4.316600794455607,5
477,1,2.745096995676481,3
478,3,2.1168875220203103,2
479,1,2.947858371512404,3
480,4,2.454937624272249,3
481,3,2.766921012668594,3
482,2,2.542244550584706,3
483,1,2.201888758869324,2
484,3,2.476617841014222,3
485,3,3.2504224288009853,5
486,4,3.222725261571248,4
487,1,2.140615779829436,2
488,2,1.6685093662182602,1
489,5,2.4814040138529,3
490,5,2.2525450101670788,2
491,4,2.8739786419280486,3
492,1,1.605896699744728,1
493,2,2.7805865694250187,3
494,3,2.113688801197423,2
495,3,2.946879731961281,3
496,5,4.10104601151881,5
497,4,3.076918597958125,4
498,5,3.903455316963472,5
499,4,2.8073102282434474,3
500,5,2.611437148764794,3
501,4,2.567475969786698,3
502,5,3.041529491746462,4
503,5,3.2398358634782367,5
504,2,2.5614663898005774,3
505,4,3.5809463850941454,5
506,2,3.2042592028691614,4
507,2,2.1984254930095313,2
508,5,2.3641942015256,2
509,2,2.73632589344532,3
510,3,1.6041066126038799,1
511,1,2.590536702866104,3
512,5,3.093185492746726,4
513,2,2.8246002984323004,3
514,1,2.706099001773726,3
515,1,1.8787594688930143,1
516,2,2.0950448038838445,2
517,4,2.7639122463026853,3
518,5,2.3919211758930077,2
519,5,1.8394763220627381,1
520,2,3.05459091172245,4
521,4,2.8445302397660606,3
522,5,4.589038985486036,5
523,2,2.0040907913821577,1
524,1,2.894434103105205,3
525,1,2.448244011462916,3
526,1,2.1623963873840073,2
527,3,3.206945382846425,4
528,2,2.112694033743716,2
529,2,2.0499276331683287,1
530,1,3.0099715419411717,4
531,2,2.346895159728408,2
532,3,2.177502551360489,2
533,2,3.378355497265139,5
534,4,3.143659788179626,4
535,3,2.537709427723983,3
536,5,3.1721836240739036,4
537,5,2.8629812819008347,3
538,1,1.868035829932531,1
539,2,3.2043788282202867,4
540,5,3.013450227926485,4
541,1,1.7214392067335478,1
542,2,3.8425672618309115,5
543,1,2.5509164659335815,3
544,1,2.5336600883333027,3
545,5,2.59726178334419,3
546,3,2.2843204427504236,2
547,1,1.9551228152025124,1
548,5,2.690204535252667,3
549,2,2.0996467979705002,2
550,5,3.3473083821220158,5
