id,Label,oof_score,oof_pred
0,1,1.9334383148225889,1
1,1,2.3883857897170153,2
2,2,2.8852676396289585,4
3,1,2.5944191464177577,3
4,1,2.129055426960289,2
5,2,2.5230528071398495,3
6,3,2.4679883940814937,2
7,3,2.7355332945769106,3
8,4,2.5010511198746856,2
9,1,2.3481108740862395,2
10,3,3.126907817484902,5
11,4,2.760712048635633,3
12,4,2.4153463941537323,2
13,2,2.4956455471672636,2
14,5,3.779720997881493,5
15,2,2.9603324537404383,4
16,4,2.8551541365648654,4
17,5,3.0284946854582238,4
18,5,2.845172811371486,3
19,4,2.982572718234798,4
20,4,3.0187154725557037,4
21,2,2.2664932406602762,2
22,5,3.244401508313566,5
23,5,3.1321826099321113,5
24,3,2.344667426145885,2
25,2,2.5338063139886864,3
26,5,3.455704656628879,5
27,4,2.405100157778913,2
28,4,2.993670667787702,4
29,4,2.9135172420122863,4
30,4,3.5055592250642773,5
31,5,3.2543057640672,5
32,5,2.9720754366786153,4
33,4,3.546359538931102,5
34,3,1.7997629086049318,1
35,3,2.137262773255763,2
36,3,2.5923938497530927,3
37,4,3.1144083287932043,5
38,5,3.66495188252797,5
39,5,3.6101146189736326,5
40,3,2.893120210871127,4
41,5,2.9750479566073422,4
42,5,3.208811207572512,5
43,5,3.0210810474614234,4
44,1,2.050289188379213,1
45,4,3.4166540193272197,5
46,1,2.5012076268044545,2
47,5,4.162147605532901,5
48,4,3.0022725964728125,4
49,1,1.82376967180514,1
50,4,3.0279751205544505,4
51,3,3.25818595461964,5
52,5,2.6690036585242516,3
53,4,3.0803915699016726,4
54,1,2.019735335880578,1
55,1,2.4874591533869657,2
56,2,3.0547975343507647,4
57,1,2.179408632116085,2
58,1,1.8152067391914286,1
59,2,2.490728370636988,2
60,4,4.055907974560476,5
61,3,3.074722491684649,4
62,2,3.075622049273415,4
63,5,4.57607898297369,5
64,4,3.80939164728278,5
65,5,3.2377647638554867,5
66,3,3.541632694842614,5
67,1,1.9106687854793805,1
68,4,3.161057003803899,5
69,5,3.268146888845789,5
70,3,2.978046439676652,4
71,3,2.911887785065539,4
