id,score,pred
2491,2.0613427714391124,1
2707,1.842659800861931,1
1248,2.6531487231414443,3
1433,2.099915730070709,1
2339,1.6301185702389729,1
773,2.542561763341349,2
1330,3.788565221268178,5
1561,2.5210676085576673,2
1904,2.136507763829053,2
912,2.840800029569903,3
2420,1.8803229403625843,1
888,1.8657656062755998,1
1780,2.1417102503909993,2
1395,3.1268591390773284,4
2551,1.8169053995393385,1
1778,1.572800661080119,1
2060,1.5248078776910627,1
2834,1.9062262541357275,1
2089,2.3634529039037155,2
744,2.7975142184251593,3
2205,2.0430212900303464,1
2156,2.478453079188326,2
1229,2.701433653907915,3
963,2.4705888335868575,2
2769,1.9772500823395156,1
885,2.8454287927723163,3
2712,1.9455687361142466,1
2657,1.814816229819945,1
1545,2.2353822461412287,2
1509,1.2019012514776248,1
1791,2.675188505134754,3
2322,1.7759866943681446,1
1838,1.8524700669929772,1
749,3.308311093215823,5
947,2.6179243501745364,3
981,3.4200173326739574,5
2471,1.7541541750447691,1
2180,2.157158104139869,2
1895,2.402100130824154,2
2113,1.8164437631025843,1
1255,3.1302412734035943,4
1893,1.6658057252518144,1
2277,2.1616433922889136,2
1955,3.7693892239034197,5
2346,1.6193033203634042,1
2871,1.9292056166462825,1
874,2.8456888972906547,3
2589,1.6846961629852972,1
1616,2.423898154247007,2
2653,1.6928999096046013,1
2305,1.8998894991396595,1
2357,2.021275375778905,1
1890,1.9989526101696276,1
1701,2.3780492500687895,2
3005,2.2201855743425245,2
2591,1.7397879064651662,1
2148,1.9293543639533515,1
1623,2.4518631760733154,2
2410,1.6124160655626905,1
2165,1.8015562327180903,1
3063,2.0975077631514076,1
2535,1.8184539687207895,1
1222,2.622154969854107,3
1816,1.482501396289538,1
1700,2.467280060084158,2
811,2.742000021642781,3
2639,1.7864341438460631,1
2208,1.9243676487066423,1
2538,1.6735301503354336,1
1087,3.2370933211527815,5
1662,2.1616282051916818,2
3077,1.6492089339387626,1
2917,1.7660098182679602,1
1922,1.7344281415960683,1
2866,1.82301196987693,1
2691,1.7759082210874775,1
1557,2.4024063149452166,2
1896,1.777958856425652,1
2247,1.9154995528457623,1
2583,2.321398434834286,2
2893,1.8770291269657986,1
1126,2.7943789765748117,3
2877,1.7529451702585908,1
1332,3.585765460864199,5
2209,1.6441063078317015,1
2460,1.6382805519771106,1
1054,3.2993975714136945,5
1455,1.9761950153057837,1
2292,1.8887717888693243,1
1753,1.0337391506689584,1
2793,1.656608356060864,1
2190,2.0933689468523675,1
2848,1.9949461760233242,1
1813,1.792959747757066,1
1907,2.050472406735329,1
940,2.4785299301318275,2
2066,1.030853180182467,1
2304,1.9674961522611056,1
2211,2.018209674712984,1
1464,2.265560700060317,2
1337,3.549884060625962,5
1592,1.898549417405409,1
2805,1.882766369566106,1
1764,2.5373934703878644,2
1195,3.0503269711360876,4
2486,2.1182917416530262,2
1988,2.2307670887565036,2
770,2.98147400415536,4
2153,2.4931625575862197,2
1615,2.3392186255439777,2
2497,1.722938093151336,1
2103,2.1828819956521293,2
1540,2.063336890434601,1
1013,2.745842926291839,3
868,2.9130083764841967,4
1150,2.210581416803833,2
2188,1.832991734679847,1
2282,1.6812321200605909,1
1157,1.6668579447680332,1
2826,1.865593745017166,1
2400,1.8921344893462226,1
2855,2.1857186751329163,2
2570,1.98863982452009,1
2154,2.044607728249276,1
2676,1.794215375804106,1
2931,1.8091009932807003,1
2518,1.523838241243563,1
2409,1.9659773853368279,1
2844,1.7825850535035428,1
1632,2.2760904795893127,2
2161,1.8308331813324847,1
937,2.7440644538380665,3
2438,1.7874850140090548,1
2822,1.8905294577509857,1
1510,1.8715729514466635,1
3079,2.209043160342696,2
1733,2.4231327785386183,2
1122,3.3420537517717563,5
1354,2.838139748399366,3
1133,3.052952298523765,4
1254,2.7286012601610685,3
2057,2.732424608826427,3
1178,2.2541436085951863,2
2122,1.8793057854234474,1
1342,3.386961034195358,5
1803,2.6326843623697256,3
2967,1.9858762691238805,1
959,2.548631276527762,2
1143,3.1232731728717575,4
2868,2.35336344504628,2
2030,2.534182852249229,2
1110,2.8642856167253927,3
784,2.5536372147089432,2
2900,2.031095772800757,1
2709,2.2312135027327904,2
3015,2.0341414837249667,1
1186,3.2001961124877742,5
2542,1.7556584932244683,1
939,2.537177517110152,2
776,3.1173824757481032,4
2167,1.8410931434985145,1
1944,3.8779217671118715,5
1264,3.106132363980949,4
999,2.6457252406663216,3
2130,1.695330877415784,1
2450,1.6670136400086804,1
3028,2.2881230862406716,2
3080,1.7664889406654571,1
2059,2.624780917619561,3
1050,3.270545325685666,5
2136,2.062151492246431,1
2078,2.6294661242048623,3
2428,1.9141847115631958,1
2514,1.7681948962128538,1
2483,1.7056908635430617,1
3053,2.0623110483977674,1
2933,1.6879111591545708,1
2408,2.021017831760603,1
2889,1.684659244430606,1
1817,2.2029921784306263,2
1717,2.3279815950077203,2
2994,2.1629689438075967,2
1736,2.30083389368069,2
1161,2.3496665321670083,2
1637,1.7757498713538498,1
1003,2.91381994430033,4
1673,2.6219063076873215,3
835,2.6133102153084837,3
824,2.3790698630888603,2
2905,2.054290769843045,1
1459,2.2272474332996324,2
879,2.7203677849728383,3
2052,2.613003150186836,3
2397,2.0705772887415295,1
1837,2.428188969945837,2
903,2.8335323268963184,3
1567,2.526965583720054,2
2692,2.310444034926476,2
918,3.0610283772036393,4
1937,3.4621958775892026,5
2284,1.7797943190299828,1
1066,2.873840820613007,3
1164,1.6032783546713811,1
1502,2.0542961196647926,1
1629,2.355965336194399,2
2475,1.6862422647457984,1
1227,3.165085312461808,4
1107,2.6244457447117884,3
878,2.467263732055997,2
1887,2.0582883391087448,1
1407,2.6889449383066335,3
1393,2.5923999374009896,3
1281,2.9067862174748114,4
1800,2.591256167358617,3
2689,2.103835452445731,1
2685,2.121378195433165,2
2344,1.6752799381102943,1
1556,2.1363475624358683,2
2484,1.7317680227786196,1
2843,1.782467695410311,1
1182,2.1160941314437514,2
1865,1.8296954896231434,1
751,3.1919281337111864,5
809,2.91768310141004,4
818,2.6331629267320626,3
1116,2.869361373368428,3
2251,2.0462922437685065,1
1804,2.0317981736338324,1
1920,3.0928756053435857,4
1456,1.982190637219728,1
2430,2.3802044977205132,2
2432,1.7085948526077945,1
1207,3.394061066963793,5
2296,1.7031780702020594,1
954,3.0986470656628984,4
