id,Label,oof_score,oof_pred
0,1,2.760210731368398,3
1,1,3.464412062701325,5
2,2,3.5023859056152276,5
3,1,3.380849822528642,5
4,1,3.8588907409344877,5
5,2,3.0996870625731847,4
6,3,2.5564511480908103,3
7,3,3.2334474704133336,4
8,4,2.737613999558667,3
9,1,3.0249096591788303,4
10,3,2.612395247497829,3
11,4,2.5798161687891983,3
12,4,3.242682496668518,4
13,2,3.0255821572005908,4
14,5,3.0894890345061543,4
15,2,2.718207956462878,3
16,4,3.5729215973570176,5
17,5,3.055963115327072,4
18,5,3.804181152863142,5
19,4,2.646724708679028,3
20,4,2.729554148921551,3
21,2,4.048489062466639,5
22,5,3.579291702815929,5
23,5,2.8942139991345583,4
24,3,2.794238855321582,3
25,2,3.145614251842128,4
26,5,2.953433595235984,4
27,4,3.1969703523279165,4
28,4,3.076798204122122,4
29,4,2.438658548916554,2
30,4,3.396981384445007,5
31,5,3.5854931669028534,5
32,5,2.9294207355303143,4
33,4,3.3223194026510643,5
34,3,3.4477062311686715,5
35,3,3.494835081010425,5
36,3,2.758717346696385,3
37,4,3.459442975587964,5
38,5,3.1941792293882068,4
39,5,3.381804984042193,5
40,3,2.131791911257411,2
41,5,2.6291167408974863,3
42,5,3.2931368841046553,5
43,5,3.509862387659826,5
44,1,2.7227868170043994,3
45,4,3.6310657133848725,5
46,1,2.6578904001093075,3
47,5,3.949617723177472,5
48,4,2.3981140040919997,2
49,1,2.5824416638342402,3
50,4,2.2763610346065626,2
51,3,2.792795994653568,3
52,5,2.9886666946897607,4
53,4,2.887556368511678,4
54,1,3.6383478103005147,5
55,1,3.036030069598771,4
56,2,3.719861208586773,5
57,1,3.646653016796907,5
58,1,3.3172918693917683,5
59,2,2.907633871135486,4
60,4,3.2331112846505925,4
61,3,2.491272608234647,2
62,2,2.8545554444650887,3
63,5,2.807527783475653,3
64,4,3.2958551388063078,5
65,5,3.9066252608881977,5
66,3,3.089618088702869,4
67,1,2.996497612610371,4
68,4,3.407176165737349,5
69,5,2.8767952617170103,4
70,3,3.4190996534835114,5
71,3,3.6163554855535804,5
72,5,3.4035358543603764,5
73,2,3.120328449647502,4
74,4,2.851820356258894,3
75,5,2.628960222339286,3
76,5,3.010046028694243,4
77,5,3.2123082508740857,4
78,2,3.1536054011182864,4
79,3,2.632770085595071,3
80,1,2.6178963908038275,3
81,2,3.3139850644209408,5
82,3,2.294014400677384,2
83,2,3.7785583285166973,5
84,3,3.130647172429168,4
85,1,3.5995210353670495,5
86,5,3.244693486598647,4
87,1,1.9066595344937867,1
88,1,1.771303329578802,1
89,1,1.8213634821643445,1
90,2,2.921134819183042,4
91,4,3.2531596873424853,4
92,4,2.69084788218492,3
93,3,3.1203938134617553,4
94,4,2.6374282207641504,3
95,2,2.9971198692277725,4
96,4,3.5636838553722927,5
97,4,3.5546114017804746,5
98,4,3.3145747623304165,5
99,5,2.5157800388370344,2
100,3,2.8682403736804267,3
101,4,2.6338335341026564,3
102,3,2.894599030785477,4
103,1,3.3265865439558495,5
104,2,2.9495628563901923,4
105,1,3.45811914547768,5
106,3,3.2365257046110023,4
107,4,3.8459979922869696,5
108,1,2.9190270137007164,4
109,1,2.9979654284345205,4
110,3,3.0821787066949615,4
111,5,2.4541667310612163,2
112,4,3.4829586798677163,5
113,2,2.0888494823215873,1
114,4,3.317841320646311,5
115,3,3.6156796990628375,5
116,1,2.4180030008541196,2
117,2,3.4099893466331217,5
118,1,3.718979066050195,5
119,3,3.452892911494434,5
120,1,3.1919309264689204,4
121,3,3.75856000365073,5
122,5,2.6499350467178315,3
123,5,2.944553958458465,4
124,5,2.156895193358077,2
125,3,3.3308471319013555,5
126,4,3.463516882643298,5
127,2,2.7474569499211907,3
128,3,3.4909785294142712,5
129,5,2.845092909809992,3
130,4,3.1384829146351136,4
131,3,2.598175573516969,3
132,1,2.7437572464714184,3
133,2,2.915862607972968,4
134,5,2.397959208549087,2
135,5,2.4156999130673453,2
136,1,2.5755289052607817,3
137,1,2.653405296175969,3
138,3,2.9731059790975283,4
139,5,3.541862441420595,5
140,5,3.9311457467488355,5
