id,title,venue,year,authors,doi,source_split,doi_norm,s2_id,first_surname,has_authors,title_len,author_count,oa_doi_found,openalex_error,oa_doi_id,oa_doi_title,oa_doi_year,oa_doi_cited_by_count,oa_doi_referenced_works_count,oa_doi_fwci,oa_doi_is_retracted,source_title,source_year,oa_title_found,title_search_error,title_match_score,title_year_delta,oa_title_id,openalex_doi,oa_title_title,oa_title_year,oa_title_cited_by_count,oa_title_referenced_works_count,oa_title_fwci,oa_title_is_retracted,oa_found,oa_source,oa_id,oa_year,oa_cited_by_count,oa_referenced_works_count,oa_fwci,oa_is_retracted,oa_title_match_score,oa_title_year_delta,oa_type,oa_type_crossref,abstract_source,abstract_len,has_abstract,s2_fields_of_study,s2_publication_types,doi_lookup_id,doi_lookup_type,doi_lookup_value,doi_s2_found,doi_s2_error,doi_s2_paper_id,doi_s2_title,doi_s2_venue,doi_s2_year,doi_s2_reference_count,doi_s2_citation_count,doi_s2_influential_citation_count,doi_s2_publication_types,doi_s2_fields_of_study,doi_s2_is_open_access,id_lookup_id,id_lookup_type,id_lookup_value,id_s2_found,id_s2_error,id_s2_paper_id,id_s2_title,id_s2_venue,id_s2_year,id_s2_reference_count,id_s2_citation_count,id_s2_influential_citation_count,id_s2_publication_types,id_s2_fields_of_study,id_s2_is_open_access,s2_found,s2_source,s2_reference_count,s2_citation_count,s2_influential_citation_count,s2_year,s2_is_open_access,s2_venue,crossref_found,crossref_error,crossref_title,crossref_publisher,crossref_type,crossref_subjects,crossref_subject_count,crossref_reference_count,crossref_is_referenced_by_count,crossref_license_count,crossref_has_abstract,coci_found,coci_error,coci_citation_count,log_oa_cited_by_count,log_oa_referenced_works_count,log_oa_fwci,log_s2_reference_count,log_s2_citation_count,log_s2_influential_citation_count,log_crossref_reference_count,log_crossref_is_referenced_by_count,log_coci_citation_count,paper_age,best_citation_count,best_reference_count,citation_velocity,citation_count_mean,citation_disagreement,citation_source_count,influential_ratio,external_found_count,top_s2_field,top_s2_pub_type,crossref_primary_subject,concept_has_logic,concept_has_ai,concept_has_asp,log_best_citation_count,best_citation_count_global_pct,best_citation_count_venue_pct,best_citation_count_year_pct,best_citation_count_venue_year_pct,log_best_reference_count,best_reference_count_global_pct,best_reference_count_venue_pct,best_reference_count_year_pct,best_reference_count_venue_year_pct,log_citation_velocity,citation_velocity_global_pct,citation_velocity_venue_pct,citation_velocity_year_pct,citation_velocity_venue_year_pct,oa_fwci_global_pct,oa_fwci_venue_pct,oa_fwci_year_pct,oa_fwci_venue_year_pct,s2_influential_citation_count_global_pct,s2_influential_citation_count_venue_pct,s2_influential_citation_count_year_pct,s2_influential_citation_count_venue_year_pct
0,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",iclp,2026,Paul Tarau,https://www.semanticscholar.org/paper/f7391104e89d3ae6456960c316a2758d5850e6b0,train,,f7391104e89d3ae6456960c316a2758d5850e6b0,tarau,1,112,1,,,,,,,,,,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",2026.0,False,,0.1945945945945946,-1.0,https://openalex.org/W4416904744,https://doi.org/10.1017/s1471068425100367,A Category-Theoretic Perspective on Higher-Order Approximation Fixpoint Theory,2025.0,0.0,25.0,0.0,False,0,none,,,,,,,0.1945945945945946,-1.0,,,oat_abstract,687,True,,,,,,,,,,,,,,,,,,S2:f7391104e89d3ae6456960c316a2758d5850e6b0,s2_id,f7391104e89d3ae6456960c316a2758d5850e6b0,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,Conditionals and Temporal Conditionals for Gradual Argumentation.,iclp,2025,,https://www.semanticscholar.org/paper/8328d53dae0b05fd09b0d1f2326bda354ee250b7,train,,8328d53dae0b05fd09b0d1f2326bda354ee250b7,,0,65,0,,,,,,,,,,Conditionals and Temporal Conditionals for Gradual Argumentation.,2025.0,False,,0.3483870967741935,-16.0,https://openalex.org/W2000196122,https://doi.org/10.1017/s0140525x0999094x,The myth of language universals: Language diversity and its importance for cognitive science,2009.0,2618.0,460.0,1227.0424,False,0,none,,,,,,,0.3483870967741935,-16.0,,,s2_tldr,296,True,,,,,,,,,,,,,,,,,,S2:8328d53dae0b05fd09b0d1f2326bda354ee250b7,s2_id,8328d53dae0b05fd09b0d1f2326bda354ee250b7,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,iclp,2025,"Ofer Arieli, Jesse Heyninck",https://www.semanticscholar.org/paper/1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,train,,1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,arieli,1,81,2,,,,,,,,,,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,2025.0,False,,0.3614457831325301,-19.0,https://openalex.org/W2112957339,,Confronting the Challenges of Participatory Culture: Media Education for the 21st Century,2006.0,3191.0,11.0,200.6913,False,0,none,,,,,,,0.3614457831325301,-19.0,,,s2_tldr,236,True,,,,,,,,,,,,,,,,,,S2:1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,s2_id,1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
3,Agentified Argumentative Learning (short paper).,iclp,2025,,https://www.semanticscholar.org/paper/666f0fa6242f59f0efad52bf4fca6e57dec3df21,train,,666f0fa6242f59f0efad52bf4fca6e57dec3df21,,0,48,0,,,,,,,,,,Agentified Argumentative Learning (short paper).,2025.0,False,,0.0,,,,,,,,,,0,none,,,,,,,0.0,,,,,0,False,,,,,,,,,,,,,,,,,,S2:666f0fa6242f59f0efad52bf4fca6e57dec3df21,s2_id,666f0fa6242f59f0efad52bf4fca6e57dec3df21,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
4,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,iclp,2025,Alejandra Casas Niño de Rivera,https://www.semanticscholar.org/paper/08195948156fdb7d400d37e1cd8af51fbcd2918b,train,,08195948156fdb7d400d37e1cd8af51fbcd2918b,rivera,1,91,1,,,,,,,,,,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,2025.0,False,,0.3673469387755102,-6.0,https://openalex.org/W2981731882,https://doi.org/10.1016/j.inffus.2019.12.012,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",2019.0,8646.0,668.0,341.6069,False,0,none,,,,,,,0.3673469387755102,-6.0,,,s2_tldr,154,True,,,,,,,,,,,,,,,,,,S2:08195948156fdb7d400d37e1cd8af51fbcd2918b,s2_id,08195948156fdb7d400d37e1cd8af51fbcd2918b,False,,,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
5,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,iclp,2025,"Shuang Wang, Wenjie Chen, Yang Zhang, Ting Chen, Jian Du",https://www.semanticscholar.org/paper/650254488e053873c1d94fbf2e1c9fb0442a202b,train,,650254488e053873c1d94fbf2e1c9fb0442a202b,wang,1,81,5,,,,,,,,,,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,2025.0,True,,1.0,0.0,https://openalex.org/W7112487812,,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs,2025.0,0.0,0.0,0.0,False,1,title,https://openalex.org/W7112487812,2025.0,0.0,0.0,0.0,False,1.0,0.0,,,s2_tldr,348,True,,,,,,,,,,,,,,,,,,S2:650254488e053873c1d94fbf2e1c9fb0442a202b,s2_id,650254488e053873c1d94fbf2e1c9fb0442a202b,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2,0.0,0.0,0.0,0.0,,1,,1,none,none,none,0,0,0,0.0,0.08357558139534883,0.19040247678018576,0.26325757575757575,0.35365853658536583,0.0,0.058684593023255814,0.11919504643962849,0.11363636363636363,0.0975609756097561,0.0,0.08357558139534883,0.19040247678018576,0.26325757575757575,0.35365853658536583,0.13566616766467066,0.2532258064516129,0.3715953307392996,0.4634146341463415,,,,
6,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,iclp,2025,,https://www.semanticscholar.org/paper/e0033a1ff429de2549c3758e1c5bf8591ecd9c53,train,,e0033a1ff429de2549c3758e1c5bf8591ecd9c53,,0,93,0,,,,,,,,,,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,2025.0,False,,0.0,,,,,,,,,,0,none,,,,,,,0.0,,,,s2_tldr,338,True,,,,,,,,,,,,,,,,,,S2:e0033a1ff429de2549c3758e1c5bf8591ecd9c53,s2_id,e0033a1ff429de2549c3758e1c5bf8591ecd9c53,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
7,Temporal Conditional Reasoning with Weighted Knowledge Bases.,iclp,2025,Christian Eichhorn,https://www.semanticscholar.org/paper/450304e6da31299973eefb780ea12ee91305da4c,train,,450304e6da31299973eefb780ea12ee91305da4c,eichhorn,1,61,1,,,,,,,,,,Temporal Conditional Reasoning with Weighted Knowledge Bases.,2025.0,False,,0.3193277310924369,-13.0,https://openalex.org/W2020519533,https://doi.org/10.1016/j.neuroimage.2012.02.018,The Human Connectome Project: A data acquisition perspective,2012.0,2790.0,70.0,36.6192,False,0,none,,,,,,,0.3193277310924369,-13.0,,,s2_tldr,210,True,,,,,,,,,,,,,,,,,,S2:450304e6da31299973eefb780ea12ee91305da4c,s2_id,450304e6da31299973eefb780ea12ee91305da4c,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
8,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,iclp,2025,Terri Lindenberg,https://www.semanticscholar.org/paper/7d8de01e15f2da146f1633cbca841525f518dfa2,train,,7d8de01e15f2da146f1633cbca841525f518dfa2,lindenberg,1,68,1,,,,,,,,,,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,2025.0,False,,0.3424657534246575,-14.0,https://openalex.org/W1732974977,,Intermediaries and Hate Speech: Fostering Digital Citizenship for Our Information Age,2011.0,129.0,0.0,2.6379,False,0,none,,,,,,,0.3424657534246575,-14.0,,,s2_tldr,214,True,,,,,,,,,,,,,,,,,,S2:7d8de01e15f2da146f1633cbca841525f518dfa2,s2_id,7d8de01e15f2da146f1633cbca841525f518dfa2,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
9,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,iclp,2025,"Amad Atiq, George Ubakanma, Muddesar Iqbal",https://www.semanticscholar.org/paper/e1ee65ae926531b70297e837445bb5e10a048588,train,,e1ee65ae926531b70297e837445bb5e10a048588,atiq,1,101,3,,,,,,,,,,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,2025.0,False,,0.2981366459627329,1.0,https://openalex.org/W7154865593,,GDPR Auto-Formalization with AI Agents and Human Verification,2026.0,0.0,0.0,0.0,False,0,none,,,,,,,0.2981366459627329,1.0,,,s2_tldr,212,True,,,,,,,,,,,,,,,,,,S2:e1ee65ae926531b70297e837445bb5e10a048588,s2_id,e1ee65ae926531b70297e837445bb5e10a048588,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
