name,model,external_weight,ridge_weight,oof_qwk,mae,thresholds,train_distribution,test_distribution,submission
huber_scholarly_w0.25,huber_scholarly,0.25,0.75,0.6025252864811075,0.8556535685645549,"2.045533934229,2.449447170300,2.850867142716,3.205405216976","{1: 784, 2: 682, 3: 434, 4: 253, 5: 341}","{1: 216, 2: 177, 3: 107, 4: 39, 5: 57}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\scholarly_meta\submissions\huber_scholarly_w0.25_submission.csv
huber_scholarly_w0.85,huber_scholarly,0.85,0.15000000000000002,0.6016304461165052,0.8520449077786688,"2.062890878905,2.454962170587,2.981737697062,3.472263939474","{1: 984, 2: 502, 3: 444, 4: 268, 5: 296}","{1: 268, 2: 128, 3: 104, 4: 43, 5: 53}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\scholarly_meta\submissions\huber_scholarly_w0.85_submission.csv
huber_scholarly_w0.65,huber_scholarly,0.65,0.35,0.6007270893314915,0.8556535685645549,"1.863141742419,2.442344591084,2.992311487691,3.369923443926","{1: 644, 2: 822, 3: 490, 4: 217, 5: 321}","{1: 176, 2: 216, 3: 114, 4: 35, 5: 55}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\scholarly_meta\submissions\huber_scholarly_w0.65_submission.csv
ridge_scholarly_w0.35,ridge_scholarly,0.35,0.65,0.6004388284455738,0.855252606255012,"2.058979398764,2.412632778344,2.882606655803,3.291141898144","{1: 800, 2: 597, 3: 519, 4: 269, 5: 309}","{1: 223, 2: 153, 3: 124, 4: 44, 5: 52}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\scholarly_meta\submissions\ridge_scholarly_w0.35_submission.csv
huber_scholarly_w0.75,huber_scholarly,0.75,0.25,0.6003532377633216,0.8532477947072975,"2.049603890470,2.461362592175,2.942567925912,3.456285941899","{1: 942, 2: 547, 3: 424, 4: 290, 5: 291}","{1: 255, 2: 142, 3: 100, 4: 46, 5: 53}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\scholarly_meta\submissions\huber_scholarly_w0.75_submission.csv
huber_scholarly_w0.35,huber_scholarly,0.35,0.65,0.5996985266425483,0.8340016038492382,"1.994089119273,2.493505713048,2.842451275055,3.644335720596","{1: 735, 2: 790, 3: 361, 4: 431, 5: 177}","{1: 199, 2: 211, 3: 88, 4: 66, 5: 32}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\scholarly_meta\submissions\huber_scholarly_w0.35_submission.csv
ridge_scholarly_w0.25,ridge_scholarly,0.25,0.75,0.5995339545286904,0.8632718524458701,"2.049585475775,2.346931466736,2.878791619782,3.218807445387","{1: 763, 2: 542, 3: 618, 4: 240, 5: 331}","{1: 212, 2: 139, 3: 150, 4: 40, 5: 55}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\scholarly_meta\submissions\ridge_scholarly_w0.25_submission.csv
huber_scholarly_w0.50,huber_scholarly,0.5,0.5,0.5992394833627537,0.8460304731355253,"1.973735344212,2.472592221755,2.913129015399,3.429309955887","{1: 754, 2: 754, 3: 409, 4: 311, 5: 266}","{1: 204, 2: 195, 3: 103, 4: 46, 5: 48}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\scholarly_meta\submissions\huber_scholarly_w0.50_submission.csv
huber_scholarly_w1.00,huber_scholarly,1.0,0.0,0.5976006819389309,0.8500400962309543,"1.907945080957,2.523383501840,3.050830467816,3.559730401219","{1: 819, 2: 739, 3: 395, 4: 262, 5: 279}","{1: 217, 2: 200, 3: 90, 4: 37, 5: 52}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\scholarly_meta\submissions\huber_scholarly_w1.00_submission.csv
ridge_scholarly_w0.75,ridge_scholarly,0.75,0.25,0.5974789339648952,0.8560545308740979,"2.114446987595,2.455263293300,3.062083140355,3.355876758365","{1: 971, 2: 481, 3: 537, 4: 175, 5: 330}","{1: 269, 2: 120, 3: 124, 4: 26, 5: 57}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\scholarly_meta\submissions\ridge_scholarly_w0.75_submission.csv
