id,Label,oof_score,oof_pred
0,1,1.03125,1
1,1,2.2625,2
2,2,2.96875,3
3,1,3.645703125,4
4,1,2.24453125,2
5,2,2.6953125,3
6,3,3.398046875,4
7,3,3.24765625,4
8,4,4.094921875,4
9,1,2.226171875,2
10,3,4.45078125,5
11,4,3.32421875,4
12,4,2.283203125,2
13,2,1.744140625,2
14,5,4.4671875,5
15,2,3.314453125,4
16,4,4.1828125,5
17,5,2.953515625,3
18,5,4.5015625,5
19,4,3.233203125,3
20,4,4.65390625,5
21,2,2.290234375,2
22,5,4.5703125,5
23,5,3.536328125,4
24,3,2.616796875,3
25,2,2.492578125,2
26,5,3.89296875,4
27,4,2.308203125,2
28,4,2.677734375,3
29,4,3.290625,4
30,4,3.7546875,4
31,5,4.33046875,5
32,5,3.605078125,4
33,4,4.131640625,4
34,3,1.535546875,1
35,3,2.79921875,3
36,3,2.25703125,2
37,4,4.33125,5
38,5,4.671875,5
39,5,3.905078125,4
40,3,2.552734375,3
41,5,3.920703125,4
42,5,2.0552734375,2
43,5,4.223046875,5
44,1,1.3388671875,1
45,4,3.830859375,4
46,1,3.092578125,3
47,5,4.97109375,5
48,4,3.9828125,4
49,1,1.0744140625,1
50,4,3.558984375,4
51,3,3.46328125,4
52,5,3.208203125,3
53,4,2.894140625,3
54,1,2.273828125,2
55,1,3.70546875,4
56,2,3.13203125,3
57,1,2.52890625,2
58,1,1.3390625,1
59,2,2.446875,2
60,4,4.9203125,5
61,3,3.98359375,4
62,2,3.8546875,4
63,5,4.308984375,5
64,4,3.9109375,4
65,5,3.902734375,4
66,3,4.72734375,5
67,1,1.34609375,1
68,4,3.852734375,4
69,5,4.55,5
70,3,3.932421875,4
71,3,3.731640625,4
72,5,4.3859375,5
73,2,1.7486328125,2
74,4,2.4236328125,2
75,5,4.7546875,5
76,5,5.0,5
77,5,5.0,5
78,2,2.782421875,3
79,3,3.8046875,4
80,1,2.2451171875,2
81,2,3.4625,4
82,3,3.315625,4
83,2,3.10859375,3
84,3,3.07421875,3
85,1,1.8111328125,2
86,5,4.329296875,5
87,1,1.0,1
88,1,1.0099609375,1
89,1,1.04453125,1
90,2,4.17265625,4
91,4,4.8,5
92,4,2.612890625,3
93,3,2.837109375,3
94,4,4.95078125,5
95,2,3.012890625,3
96,4,3.498046875,4
97,4,4.015234375,4
98,4,4.296484375,5
99,5,3.150390625,3
100,3,3.246484375,4
101,4,2.830078125,3
102,3,2.990625,3
103,1,2.584765625,3
104,2,4.228515625,5
105,1,2.047265625,2
106,3,4.278515625,5
107,4,4.50625,5
108,1,3.51171875,4
109,1,4.353515625,5
110,3,4.76328125,5
111,5,4.1546875,4
112,4,3.398828125,4
113,2,4.0640625,4
114,4,4.400390625,5
115,3,3.01953125,3
116,1,2.0765625,2
117,2,1.681640625,2
118,1,3.115625,3
119,3,2.3640625,2
120,1,3.855078125,4
121,3,3.622265625,4
122,5,3.72109375,4
123,5,1.901953125,2
124,5,4.2875,5
125,3,4.257421875,5
126,4,3.62578125,4
127,2,2.09296875,2
128,3,4.434375,5
129,5,2.048046875,2
130,4,3.884375,4
131,3,3.371875,4
132,1,2.59375,3
133,2,2.369140625,2
134,5,3.190625,3
135,5,2.4904296875,2
136,1,3.176171875,3
137,1,1.4505859375,1
138,3,3.997265625,4
139,5,4.9140625,5
140,5,4.93359375,5
141,5,4.728125,5
142,5,4.96953125,5
143,3,2.390625,2
144,1,3.05703125,3
145,4,2.49453125,2
146,5,4.9171875,5
147,1,1.27578125,1
148,1,3.192578125,3
149,1,1.0,1
150,2,3.75625,4
151,4,4.58828125,5
152,4,2.4,2
153,1,2.825390625,3
154,1,2.71015625,3
155,5,3.8046875,4
156,4,4.82890625,5
157,1,2.537109375,2
158,1,4.58984375,5
159,2,2.645703125,3
160,2,2.257421875,2
161,3,3.996875,4
162,4,1.559765625,1
163,5,4.243359375,5
164,1,1.2158203125,1
165,2,2.72734375,3
166,1,1.5185546875,1
167,1,3.348828125,4
168,3,2.3671875,2
169,5,3.25859375,4
170,5,4.6578125,5
171,5,4.50703125,5
172,4,2.773046875,3
173,3,3.3796875,4
174,1,4.409375,5
175,4,4.4328125,5
176,4,2.50703125,2
177,4,3.973046875,4
178,5,4.98984375,5
179,3,3.771484375,4
180,4,4.7234375,5
181,5,4.50234375,5
182,2,3.052734375,3
183,3,3.02890625,3
184,1,4.04296875,4
185,4,4.255859375,5
186,5,5.0,5
187,2,1.957421875,2
188,5,3.12265625,3
189,4,3.794921875,4
190,2,3.21796875,3
191,1,1.7181640625,2
192,2,4.46171875,5
193,5,4.201953125,5
194,4,4.428125,5
195,3,3.45859375,4
196,1,2.807421875,3
197,1,1.5810546875,1
198,2,4.084375,4
199,3,2.03671875,2
200,2,2.82578125,3
201,5,4.578125,5
202,5,5.0,5
203,5,5.0,5
204,4,4.621875,5
205,2,2.99453125,3
206,1,4.56640625,5
207,2,4.403125,5
208,3,3.483984375,4
209,1,1.013671875,1
210,1,1.0279296875,1
211,4,4.187890625,5
212,1,3.242578125,4
213,4,2.83515625,3
214,5,4.03671875,4
215,4,3.2875,4
216,3,3.615234375,4
217,1,3.61796875,4
218,1,1.603125,2
219,5,2.2291015625,2
220,4,4.055078125,4
221,5,4.36875,5
222,5,4.3328125,5
223,3,4.79375,5
224,1,2.548828125,3
225,5,4.8046875,5
226,5,4.60546875,5
227,4,3.71640625,4
228,4,4.62890625,5
