id,score,pred
2491,2.0,2
2707,1.0,1
1248,2.0,2
1433,2.0,2
2339,1.0,1
773,2.0,2
1330,4.0,4
1561,1.0,1
1904,1.0,1
912,3.0,3
2420,1.0,1
888,1.0,1
1780,1.0,1
1395,5.0,5
2551,1.0,1
1778,2.0,2
2060,1.0,1
2834,1.0,1
2089,1.0,1
744,1.0,1
2205,1.0,1
2156,1.0,1
1229,3.0,3
963,2.0,2
2769,1.0,1
885,5.0,5
2712,1.0,1
2657,1.0,1
1545,2.0,2
1509,1.0,1
1791,2.0,2
2322,1.0,1
1838,1.0,1
749,3.0,3
947,2.0,2
981,3.0,3
2471,1.0,1
2180,1.0,1
1895,1.0,1
2113,2.0,2
1255,3.0,3
1893,1.0,1
2277,1.0,1
1955,1.0,1
2346,1.0,1
2871,1.0,1
874,3.0,3
2589,1.0,1
1616,2.0,2
2653,1.0,1
2305,1.0,1
2357,1.0,1
1890,1.0,1
1701,2.0,2
3005,1.0,1
2591,1.0,1
2148,1.0,1
1623,1.0,1
2410,1.0,1
2165,1.0,1
3063,1.0,1
2535,1.0,1
1222,3.0,3
1816,1.0,1
1700,1.0,1
811,2.0,2
2639,1.0,1
2208,1.0,1
2538,1.0,1
1087,3.0,3
1662,1.0,1
3077,1.0,1
2917,1.0,1
1922,1.0,1
2866,1.0,1
2691,1.0,1
1557,1.0,1
1896,1.0,1
2247,1.0,1
2583,1.0,1
2893,1.0,1
1126,1.0,1
2877,1.0,1
1332,2.0,2
2209,2.0,2
2460,1.0,1
1054,3.0,3
1455,1.0,1
2292,1.0,1
1753,1.0,1
2793,1.0,1
2190,1.0,1
2848,1.0,1
1813,2.0,2
1907,1.0,1
940,3.0,3
2066,1.0,1
2304,1.0,1
2211,2.0,2
1464,1.0,1
1337,5.0,5
1592,1.0,1
2805,1.0,1
1764,1.0,1
1195,3.0,3
2486,1.0,1
1988,1.0,1
770,3.0,3
2153,1.0,1
1615,1.0,1
2497,1.0,1
2103,1.0,1
1540,1.0,1
1013,1.0,1
868,2.0,2
1150,3.0,3
2188,2.0,2
2282,1.0,1
1157,1.0,1
2826,2.0,2
2400,1.0,1
2855,1.0,1
2570,1.0,1
2154,1.0,1
2676,1.0,1
2931,1.0,1
2518,1.0,1
2409,1.0,1
2844,1.0,1
1632,1.0,1
2161,2.0,2
937,4.0,4
2438,1.0,1
2822,1.0,1
1510,1.0,1
3079,1.0,1
1733,1.0,1
1122,4.0,4
1354,3.0,3
1133,2.0,2
1254,4.0,4
2057,1.0,1
1178,1.0,1
2122,1.0,1
1342,5.0,5
1803,1.0,1
2967,1.0,1
959,3.0,3
1143,5.0,5
2868,1.0,1
2030,2.0,2
1110,3.0,3
784,2.0,2
2900,1.0,1
2709,1.0,1
3015,1.0,1
1186,3.0,3
2542,1.0,1
939,3.0,3
776,3.0,3
2167,1.0,1
1944,1.0,1
1264,4.0,4
999,1.0,1
2130,1.0,1
2450,1.0,1
3028,1.0,1
3080,1.0,1
2059,1.0,1
1050,4.0,4
2136,1.0,1
2078,1.0,1
2428,1.0,1
2514,1.0,1
2483,1.0,1
3053,1.0,1
2933,1.0,1
2408,1.0,1
2889,1.0,1
1817,1.0,1
1717,1.0,1
2994,1.0,1
1736,1.0,1
1161,1.0,1
1637,1.0,1
1003,2.0,2
1673,1.0,1
835,2.0,2
824,3.0,3
2905,1.0,1
1459,1.0,1
879,1.0,1
2052,2.0,2
2397,1.0,1
1837,5.0,5
903,3.0,3
1567,1.0,1
2692,1.0,1
918,2.0,2
1937,1.0,1
2284,2.0,2
1066,3.0,3
1164,1.0,1
1502,5.0,5
1629,2.0,2
2475,1.0,1
1227,1.0,1
1107,3.0,3
878,5.0,5
1887,1.0,1
1407,5.0,5
1393,5.0,5
1281,4.0,4
1800,2.0,2
2689,1.0,1
2685,1.0,1
2344,1.0,1
1556,2.0,2
2484,1.0,1
2843,1.0,1
1182,1.0,1
1865,1.0,1
751,5.0,5
809,3.0,3
818,4.0,4
1116,3.0,3
2251,1.0,1
1804,1.0,1
1920,2.0,2
1456,1.0,1
2430,1.0,1
2432,1.0,1
1207,3.0,3
2296,1.0,1
954,2.0,2
1507,1.0,1
2876,1.0,1
2544,1.0,1
2199,1.0,1
2782,1.0,1
2266,1.0,1
2702,1.0,1
2746,1.0,1
1603,1.0,1
991,5.0,5
930,3.0,3
1024,1.0,1
2112,1.0,1
2290,2.0,2
2360,1.0,1
834,1.0,1
911,5.0,5
2329,1.0,1
1963,2.0,2
2477,1.0,1
1761,2.0,2
1171,1.0,1
1108,2.0,2
1531,1.0,1
2654,1.0,1
2956,1.0,1
1067,3.0,3
1377,4.0,4
1317,5.0,5
1329,5.0,5
2007,2.0,2
1767,1.0,1
2884,1.0,1
2423,1.0,1
1536,1.0,1
1021,1.0,1
1802,1.0,1
1586,1.0,1
1378,4.0,4
743,1.0,1
2730,1.0,1
1723,1.0,1
713,3.0,3
1488,1.0,1
2656,1.0,1
975,2.0,2
1318,3.0,3
3035,3.0,3
2501,1.0,1
1102,3.0,3
1562,1.0,1
2625,1.0,1
1351,4.0,4
1343,5.0,5
1613,1.0,1
1754,1.0,1
2225,1.0,1
1140,3.0,3
2829,1.0,1
1785,1.0,1
2620,1.0,1
765,5.0,5
2635,1.0,1
