id,score,pred
979,4.0,4
1106,1.0,1
1894,1.0,1
1718,2.0,2
1989,1.0,1
2010,1.0,1
2356,1.0,1
1179,1.0,1
3001,1.0,1
796,3.0,3
1771,1.0,1
986,1.0,1
1725,1.0,1
1296,4.0,4
2983,1.0,1
2666,1.0,1
2573,1.0,1
1999,1.0,1
1828,1.0,1
1877,1.0,1
2087,1.0,1
1581,1.0,1
1185,5.0,5
1873,1.0,1
952,2.0,2
2572,1.0,1
1835,1.0,1
1320,3.0,3
2083,1.0,1
1310,4.0,4
1053,3.0,3
1698,1.0,1
1372,5.0,5
2847,1.0,1
2537,1.0,1
2808,1.0,1
1311,4.0,4
2863,2.0,2
3085,1.0,1
1265,1.0,1
2446,1.0,1
2186,1.0,1
2898,1.0,1
2529,1.0,1
2810,1.0,1
997,3.0,3
2836,1.0,1
2194,1.0,1
1964,2.0,2
910,3.0,3
2032,1.0,1
1405,5.0,5
1305,3.0,3
799,3.0,3
1145,2.0,2
1083,3.0,3
2913,1.0,1
1370,5.0,5
1379,3.0,3
2896,1.0,1
2406,1.0,1
3060,1.0,1
2470,1.0,1
1678,2.0,2
877,5.0,5
1972,1.0,1
1812,1.0,1
2796,1.0,1
3051,1.0,1
983,3.0,3
1275,4.0,4
1998,1.0,1
2210,2.0,2
2786,1.0,1
951,2.0,2
2465,1.0,1
1228,2.0,2
2524,1.0,1
2093,1.0,1
1921,5.0,5
3034,1.0,1
1676,1.0,1
1214,3.0,3
2275,1.0,1
2789,1.0,1
756,3.0,3
1130,3.0,3
1555,1.0,1
1487,1.0,1
2041,1.0,1
1931,1.0,1
1349,5.0,5
725,3.0,3
1006,1.0,1
989,5.0,5
2265,1.0,1
1969,1.0,1
2562,1.0,1
2959,2.0,2
2102,2.0,2
933,2.0,2
1648,1.0,1
1132,3.0,3
2912,1.0,1
1602,1.0,1
1627,1.0,1
1302,5.0,5
1910,1.0,1
1208,2.0,2
1109,3.0,3
908,3.0,3
2819,1.0,1
2106,1.0,1
899,3.0,3
2262,1.0,1
1429,1.0,1
828,3.0,3
1900,1.0,1
1368,3.0,3
767,5.0,5
849,3.0,3
1442,1.0,1
2693,1.0,1
2947,1.0,1
1925,2.0,2
2062,1.0,1
987,2.0,2
2354,1.0,1
3018,1.0,1
2577,1.0,1
1082,3.0,3
2144,2.0,2
2880,1.0,1
1626,1.0,1
1400,3.0,3
1051,2.0,2
2603,1.0,1
1135,3.0,3
2452,1.0,1
1482,1.0,1
2206,3.0,3
1282,3.0,3
1500,1.0,1
1992,1.0,1
1114,3.0,3
769,2.0,2
2828,1.0,1
2988,1.0,1
2259,1.0,1
2237,1.0,1
2121,1.0,1
2597,1.0,1
2767,1.0,1
2593,1.0,1
2878,1.0,1
1427,1.0,1
2061,1.0,1
1211,3.0,3
1467,1.0,1
929,3.0,3
1244,3.0,3
1419,5.0,5
1321,3.0,3
1747,2.0,2
1569,1.0,1
1908,1.0,1
1074,5.0,5
1814,2.0,2
723,4.0,4
2500,1.0,1
1710,1.0,1
931,3.0,3
1768,1.0,1
718,3.0,3
1978,2.0,2
1232,3.0,3
996,2.0,2
2791,1.0,1
1773,1.0,1
1011,1.0,1
2419,1.0,1
884,1.0,1
1824,1.0,1
1986,1.0,1
2037,1.0,1
2962,1.0,1
1508,1.0,1
1032,1.0,1
1061,2.0,2
1299,1.0,1
2903,1.0,1
857,2.0,2
2421,1.0,1
1806,1.0,1
2973,1.0,1
1172,1.0,1
1042,1.0,1
1007,1.0,1
2505,1.0,1
920,2.0,2
1583,1.0,1
2022,1.0,1
2951,1.0,1
2381,1.0,1
863,2.0,2
1444,1.0,1
1060,2.0,2
748,2.0,2
2989,1.0,1
3008,1.0,1
2469,1.0,1
1068,1.0,1
2258,1.0,1
3069,1.0,1
1579,2.0,2
1990,1.0,1
1209,2.0,2
1649,1.0,1
2120,1.0,1
2814,1.0,1
1313,5.0,5
2641,1.0,1
2622,1.0,1
1851,1.0,1
2650,1.0,1
2920,1.0,1
1180,1.0,1
2968,1.0,1
1827,1.0,1
1350,2.0,2
1949,1.0,1
2714,1.0,1
1737,1.0,1
3059,1.0,1
1834,1.0,1
2600,1.0,1
729,2.0,2
892,1.0,1
820,4.0,4
2191,2.0,2
1534,1.0,1
896,1.0,1
2987,1.0,1
2658,1.0,1
2549,1.0,1
1298,1.0,1
1123,3.0,3
2326,1.0,1
1573,1.0,1
1664,1.0,1
2734,1.0,1
990,3.0,3
2230,1.0,1
1441,1.0,1
1436,1.0,1
2424,1.0,1
2082,1.0,1
2643,1.0,1
1971,2.0,2
2149,1.0,1
1993,1.0,1
2390,1.0,1
2736,1.0,1
1138,3.0,3
2690,3.0,3
1757,1.0,1
1589,1.0,1
2358,1.0,1
1230,3.0,3
1120,3.0,3
2495,1.0,1
2492,1.0,1
2264,1.0,1
1481,1.0,1
2033,2.0,2
1704,1.0,1
2114,1.0,1
1699,1.0,1
2854,1.0,1
2534,1.0,1
1486,1.0,1
2476,1.0,1
2449,1.0,1
1465,1.0,1
982,3.0,3
2664,1.0,1
800,3.0,3
2017,1.0,1
1163,1.0,1
2507,1.0,1
2437,1.0,1
2074,2.0,2
1859,1.0,1
2098,2.0,2
873,1.0,1
1644,1.0,1
998,3.0,3
2269,2.0,2
