id,Label,oof_score,oof_pred
0,1,1.1062019828028031,1
1,1,2.297377062589346,2
2,2,3.041018320279477,3
3,1,3.7348497784171473,4
4,1,2.252065814409718,2
5,2,2.616092963469815,3
6,3,3.198947771354808,3
7,3,3.31237690386425,4
8,4,3.9418817895491123,4
9,1,2.2257591020223497,2
10,3,4.314590855400606,5
11,4,3.257971311867097,4
12,4,2.427606578198665,2
13,2,1.8337051641300504,1
14,5,4.587281933605315,5
15,2,3.4328059286473964,4
16,4,4.0664188713204545,5
17,5,3.0239329233152077,3
18,5,4.320857776487569,5
19,4,2.9716273800637114,3
20,4,4.481711978386446,5
21,2,2.3980983195057606,2
22,5,4.604184760176695,5
23,5,3.5650131432126746,4
24,3,2.756320198436198,3
25,2,2.5287837894261305,3
26,5,3.8499721183324356,4
27,4,2.4555946580857126,2
28,4,2.7154642697855573,3
29,4,3.288923950936356,4
30,4,3.791244491275064,4
31,5,4.33660085377605,5
32,5,3.4226970043921643,4
33,4,4.225108724710762,5
34,3,1.624925962628283,1
35,3,3.015580422566525,3
36,3,2.4331075336425094,2
37,4,4.076635911234944,5
38,5,4.583527111173793,5
39,5,3.848005387639324,4
40,3,2.8130266292214823,3
41,5,4.077394576338143,5
42,5,2.046824972166029,2
43,5,4.254881280872968,5
44,1,1.5424141925550396,1
45,4,3.788651461618061,4
46,1,3.223661995449554,3
47,5,4.875063014752825,5
48,4,3.918310042205974,4
49,1,1.1480874133685675,1
50,4,3.301057072234537,4
51,3,3.2601660664677983,4
52,5,3.3503972158379254,4
53,4,2.930699489466643,3
54,1,2.1437849446546804,2
55,1,3.5832400606739636,4
56,2,3.069324835987976,3
57,1,2.6200618763933337,3
58,1,1.3852795474424837,1
59,2,2.2841112394235763,2
60,4,4.851557538178901,5
61,3,4.031238329668236,4
62,2,3.926060358791974,4
63,5,4.304829980087662,5
64,4,4.020436042614566,4
65,5,3.713070489547988,4
66,3,4.640457388209804,5
67,1,1.410882820281123,1
68,4,3.817133858597477,4
69,5,4.329905834950575,5
70,3,3.772754919088441,4
71,3,3.6690555427490206,4
72,5,4.356286708270516,5
73,2,1.590629435201477,1
74,4,2.322591174600688,2
75,5,4.617291032775244,5
76,5,4.993401853255412,5
77,5,5.0,5
78,2,2.976266750534305,3
79,3,3.741219525438278,4
80,1,2.2103555021899934,2
81,2,3.4669305489988367,4
82,3,3.5254174691778744,4
83,2,3.011350541670046,3
84,3,3.0724395806588385,3
85,1,1.8145713587258234,1
86,5,4.150492894564958,5
87,1,1.016472124603681,1
88,1,1.0470561583708518,1
89,1,1.0769281708266507,1
90,2,4.179347036107965,5
91,4,4.561275458215284,5
92,4,2.7575260323654573,3
93,3,2.8593740904290597,3
94,4,4.848003726742771,5
95,2,2.9729016816433864,3
96,4,3.5077152627015478,4
97,4,3.981215138360789,4
98,4,4.022096161916439,4
99,5,3.232034279686516,4
100,3,2.9152195031871866,3
101,4,2.892144969944444,3
102,3,3.051210696134487,3
103,1,2.534604576994673,3
104,2,4.26786750424947,5
105,1,2.149522641823268,2
106,3,4.288291403288633,5
107,4,4.234607117471446,5
108,1,3.453140420954402,4
109,1,4.168368665096862,5
110,3,4.7899090478207915,5
111,5,4.096934941375634,5
112,4,3.247083942171495,4
113,2,3.738216454446988,4
114,4,4.4040738289340196,5
115,3,2.9713693180514635,3
116,1,2.109330028884381,2
117,2,1.718553272134307,1
118,1,2.988172476946432,3
119,3,2.3185261333575378,2
120,1,3.461989124784418,4
121,3,3.3955157648277003,4
122,5,3.7073780815880584,4
123,5,2.0139925812397883,2
124,5,4.148591153251801,5
125,3,4.07143859392366,5
126,4,3.5241412345470935,4
127,2,2.1547830627355276,2
128,3,4.340151830023302,5
129,5,2.127206938537762,2
130,4,3.885726966717459,4
131,3,3.225890454087387,3
132,1,2.6413619667500967,3
133,2,2.331582571039765,2
134,5,3.232002077521746,4
135,5,2.5375105081651195,3
136,1,3.0551934901431346,3
137,1,1.5289802087945816,1
138,3,3.9998682121517373,4
139,5,4.92609013336276,5
140,5,4.826396648515183,5
141,5,4.784038525846213,5
142,5,4.736565862837748,5
143,3,2.439518619510194,2
144,1,2.972163276208823,3
145,4,2.5193400896610725,3
146,5,4.877490039063585,5
147,1,1.2291685098584766,1
148,1,3.3028614507779595,4
149,1,1.0423474695096258,1
150,2,3.799195754144992,4
151,4,4.437378722194213,5
152,4,2.400645229612561,2
153,1,2.846623543296081,3
154,1,2.7456241000537984,3
155,5,3.818621034664703,4
156,4,4.674967307935604,5
157,1,2.633754915386493,3
158,1,4.31018697731212,5
159,2,2.766738299494903,3
160,2,2.289522592845625,2
161,3,3.999366004171214,4
162,4,1.594030499626697,1
163,5,4.424821986241788,5
164,1,1.1709050591440613,1
165,2,2.840580292036827,3
166,1,1.6372131292109657,1
167,1,3.276555054541275,4
168,3,2.172267915312449,2
169,5,3.0461260175806197,3
170,5,4.631118932321996,5
171,5,4.384427410327582,5
172,4,2.6613022377486777,3
173,3,3.149794221112473,3
174,1,4.250546391052901,5
175,4,4.340385499221752,5
176,4,2.558720353529146,3
177,4,3.7274832218174914,4
178,5,4.84781768774457,5
179,3,3.7405949795462554,4
180,4,4.720995854619929,5
181,5,4.29511689535591,5
182,2,2.704138460317682,3
183,3,2.9924425577991434,3
184,1,3.626597443433945,4
185,4,4.323903697077864,5
186,5,4.963324829580728,5
187,2,1.9103301463277345,2
188,5,3.2482049521777654,4
189,4,3.390782143286504,4
190,2,3.1904350841774582,3
191,1,1.823236849555417,1
192,2,4.370762851052712,5
193,5,3.997011582695609,4
194,4,4.31515820223102,5
195,3,3.401830307635489,4
196,1,2.804900231727819,3
197,1,1.6180583581715895,1
198,2,3.892072595524793,4
199,3,2.074897246948573,2
200,2,2.7566673563152486,3
201,5,4.358964647994295,5
202,5,4.888122274594608,5
203,5,5.0,5
204,4,4.595360480055425,5
205,2,2.947723881093166,3
206,1,4.551152085252167,5
207,2,4.41236118500459,5
208,3,3.287940105567405,4
209,1,1.083275193684473,1
210,1,1.059028278448758,1
211,4,3.8790949728178603,4
212,1,3.0651448901217435,3
213,4,2.647905221709985,3
214,5,4.246301251832291,5
215,4,3.303424365486073,4
216,3,3.7818073485610335,4
217,1,3.6496325451809204,4
218,1,1.650005902914191,1
219,5,2.2395536918955874,2
220,4,3.9022158037303862,4
221,5,4.298355725046491,5
222,5,4.1290740348178625,5
223,3,4.741631607453239,5
224,1,2.4744071518482715,2
225,5,4.668098702007799,5
226,5,4.408098382345867,5
227,4,3.582147964616322,4
228,4,4.451459012725337,5
229,2,3.172185543701009,3
230,5,4.623540601437174,5
231,4,4.2101202695062705,5
232,4,2.044367869375151,2
233,4,2.8485570630553294,3
234,3,2.7760721818328156,3
235,5,4.606706259260406,5
236,1,1.36591787446641,1
237,1,1.4972867022221057,1
238,1,3.61254421287318,4
239,2,2.3867182954017254,2
240,2,2.954466453979279,3
241,1,1.4505310306352122,1
242,3,4.929961108575902,5
243,3,3.554255681705545,4
244,4,4.811863092741256,5
245,5,4.912025236011642,5
246,4,4.725578663494162,5
247,5,3.974982441291987,4
248,3,2.0928593307355383,2
249,1,1.0990836191051572,1
250,1,1.0641724077581616,1
251,4,3.923958647881404,4
252,5,4.804097592400106,5
253,5,4.649572846891666,5
254,1,1.0905202842722665,1
255,2,2.6903496241626708,3
256,2,3.698286498777156,4
257,5,3.125731553774549,3
258,4,3.175133868595367,3
259,5,4.84104659174376,5
260,1,2.7453265686783346,3
261,4,3.853816756280754,4
262,2,2.6314482651340088,3
263,4,3.915063870910561,4
264,3,4.348317176554731,5
265,3,4.203295947518768,5
266,1,1.4601052963204124,1
267,1,1.6552569796139966,1
268,2,3.3106956301394117,4
269,3,4.886491838433701,5
270,4,3.361134476568807,4
271,5,4.37166570330864,5
272,5,2.9449701658327085,3
273,4,3.3189380296695457,4
274,4,4.221782078935879,5
275,5,4.810348636071217,5
276,2,2.3174610711259955,2
277,2,4.355087407345022,5
278,1,2.945702314122791,3
279,4,4.874010637743072,5
280,3,3.188716652053081,3
281,1,1.9478093732595747,2
282,5,3.3455819476663398,4
283,4,4.477196448951132,5
284,2,3.68887611162412,4
285,4,4.516371091898693,5
286,1,1.3466325430279995,1
287,4,2.7484181454808487,3
288,1,2.1048674791579165,2
289,1,1.9417138567193275,2
290,1,3.126214203564907,3
291,5,4.882108834766655,5
292,4,4.099194066203923,5
293,5,4.881695043601022,5
294,1,2.2857044530185924,2
295,2,2.1361827793753014,2
296,3,4.209330797387783,5
