id,score,pred
2491,1.652292821141587,1
2707,1.8729074284586928,1
1248,2.9500297078314435,3
1433,2.569437704004986,3
2339,1.541257621176476,1
773,2.091111045366615,2
1330,4.026814681333222,5
1561,2.299011678807809,2
1904,1.5792720573396908,1
912,2.0445668682966094,2
2420,2.305893339645644,2
888,1.9245168345167165,1
1780,1.916158685757343,1
1395,3.357981918538908,4
2551,2.608137070055063,3
1778,2.248069756073441,2
2060,2.3129274340516077,2
2834,1.2863775087245362,1
2089,2.685591782235077,3
744,1.2637422128706508,1
2205,2.3059432029997935,2
2156,3.297457487678727,4
1229,3.8574469831123874,5
963,2.5177093145200073,3
2769,2.516870467062771,3
885,2.0811707565268946,2
2712,2.74149280410465,3
2657,1.758902504581725,1
1545,2.9712751692488384,3
1509,1.026796252764964,1
1791,1.7472589461299894,1
2322,1.6203856759199833,1
1838,1.9467732716038006,1
749,3.043918690393024,3
947,2.883875929247808,3
981,2.3055760629696422,2
2471,1.7476007394613846,1
2180,1.2807258003161726,1
1895,2.3506880134042887,2
2113,1.9754217628014483,2
1255,3.1527066296892277,4
1893,1.7578974561534653,1
2277,1.6528792492604918,1
1955,2.5789094303720934,3
2346,1.6444534522001961,1
2871,1.4296863248280884,1
874,3.1008096864772234,4
2589,2.387476642813786,2
1616,2.5732043497855033,3
2653,1.767759236729367,1
2305,2.0650001979973416,2
2357,2.0312476243059656,2
1890,1.71343317600649,1
1701,1.8841955894819038,1
3005,1.7999920314918496,1
2591,1.8836995566443044,1
2148,2.758658236342611,3
1623,2.2284938122070046,2
2410,1.876748692715969,1
2165,1.5378628889479717,1
3063,2.299068819965303,2
2535,1.3856619542650652,1
1222,2.08524491137135,2
1816,1.4247972072973876,1
1700,4.264281482726041,5
811,2.359442679224881,2
2639,1.8880286143314555,1
2208,1.8942124793497406,1
2538,1.6188447470091527,1
1087,3.743874218627421,4
1662,1.3778536831430912,1
3077,1.5047262017665661,1
2917,1.8952707887500944,1
1922,2.0558039289146848,2
2866,1.7031638444208672,1
2691,2.0964586600094597,2
1557,1.4316876274473067,1
1896,2.075515343742674,2
2247,1.9711924848269589,2
2583,2.106312505670037,2
2893,2.41122843237774,2
1126,2.58402178493547,3
2877,3.599343230859973,4
1332,3.2595304982104047,4
2209,1.5012553529826242,1
2460,1.7036368035706657,1
1054,2.217063632450893,2
1455,1.3378046420973724,1
2292,1.8857855274873867,1
1753,1.0307532693630423,1
2793,2.351044823693878,2
2190,1.8645164321938912,1
2848,1.820047968194046,1
1813,2.621285535073545,3
