id,Label,oof_score,oof_pred
0,1,1.270852042158409,1
1,1,2.3017275419347056,2
2,2,2.9968179816717657,3
3,1,3.4919581894181073,4
4,1,2.2289318182291535,2
5,2,2.581807536242779,3
6,3,3.027819876564424,3
7,3,3.1863364407594172,4
8,4,3.644564639480671,4
9,1,2.2004413685670494,2
10,3,4.04760069120182,5
11,4,3.111479039767957,4
12,4,2.426472078345995,2
13,2,1.9948654923901512,2
14,5,4.438095800815943,5
15,2,3.337284973442189,4
16,4,3.746235780628029,4
17,5,3.039324811612291,3
18,5,3.997911871129372,5
19,4,2.948632140191134,3
20,4,4.165109893492673,5
21,2,2.3679017293506157,2
22,5,4.311512613863418,5
23,5,3.456862346304691,4
24,3,2.6641949703085936,3
25,2,2.536494597445058,3
26,5,3.8145778133306396,4
27,4,2.4956446513404713,3
28,4,2.785455309356671,3
29,4,3.234792686142401,4
30,4,3.8031214946585257,4
31,5,4.130193186328149,5
32,5,3.3327915340098273,4
33,4,4.08244856996562,5
34,3,1.6571476795515157,1
35,3,2.8298272051995754,3
36,3,2.5108199967608624,3
37,4,3.855467629538165,4
38,5,4.361779250188045,5
39,5,3.7219718920846376,4
40,3,2.8657725959977807,3
41,5,3.8743321665144306,5
42,5,2.246028301914754,2
43,5,4.0199954051189035,5
44,1,1.674443098498452,1
45,4,3.725355426520849,4
46,1,3.105126611348662,4
47,5,4.7434963359251405,5
48,4,3.7227816891179217,4
49,1,1.2666320317723687,1
50,4,3.154746737536945,4
51,3,3.251930491070062,4
52,5,3.226556230847111,4
53,4,3.012593260066597,3
54,1,2.1002480631307083,2
55,1,3.294199348688558,4
56,2,3.022271382963929,3
57,1,2.5168132333466677,3
58,1,1.4807474964941179,1
59,2,2.2618910099373957,2
60,4,4.678318447870037,5
61,3,3.822139468171373,4
62,2,3.7616185763759216,4
63,5,4.388786815262989,5
64,4,3.9854227111770335,5
65,5,3.582518760310631,4
66,3,4.405122164629413,5
67,1,1.5075963775100352,1
68,4,3.6845786591257625,4
69,5,4.108311254851723,5
70,3,3.575777778098656,4
71,3,3.464497357413728,4
72,5,4.181724708144881,5
73,2,1.6657880451877638,1
74,4,2.3298112842187315,2
75,5,4.520649139992397,5
76,5,4.980205559766233,5
77,5,5.0,5
78,2,2.9162091057695814,3
79,3,3.3860283679815,4
80,1,2.2160925482366474,2
81,2,3.4439426886631774,4
82,3,3.2545466783669563,4
83,2,2.8758875625101377,3
84,3,2.871680721143183,3
85,1,1.9505695449274707,2
86,5,3.9411661836948735,5
87,1,1.0494163738110427,1
88,1,1.1129523292792214,1
89,1,1.1925553458132854,1
90,2,4.054864024990563,5
91,4,4.266482624645852,5
92,4,2.9055728887630385,3
93,3,2.9099321671205116,3
94,4,4.651224721894981,5
95,2,2.9387636386801597,3
96,4,3.4416353714379775,4
97,4,3.755416248415702,4
98,4,3.7100905690826504,4
99,5,3.2566497140595474,4
100,3,2.897689759561559,3
101,4,2.7250677223333315,3
102,3,2.994335213403461,3
103,1,2.470929616400685,3
104,2,4.049631158581741,5
105,1,2.3096161025531377,2
106,3,4.185681501532566,5
107,4,3.899211977414338,5
108,1,3.3858535545298727,4
109,1,4.016238807790586,5
110,3,4.605716726795708,5
111,5,3.9686173241269023,5
112,4,3.130262243181151,4
113,2,3.550053009174297,4
114,4,3.9775209659687243,5
115,3,2.963782433321058,3
116,1,2.1012778470698104,2
117,2,1.9587197122362552,2
118,1,2.83972576417263,3
119,3,2.4209364729892804,2
120,1,3.2342616451865878,4
121,3,3.393943127816434,4
122,5,3.6633582030975083,4
123,5,2.2324920666360315,2
124,5,3.993117209755404,5
125,3,3.9159954692709795,5
126,4,3.4483612036412805,4
127,2,2.10205101112325,2
128,3,4.070025802569905,5
