id,Label,oof_score,oof_pred
0,1,1.2743025629917426,1
1,1,2.3004254586013726,2
2,2,3.0211669400050996,3
3,1,3.394952981084774,4
4,1,2.0933198390624868,2
5,2,2.673864827909446,3
6,3,2.914408418231091,3
7,3,3.254565607426084,4
8,4,3.5306323478140045,4
9,1,2.1351418894003826,2
10,3,3.903980899535154,5
11,4,3.1330936231012902,3
12,4,2.653164786679328,3
13,2,2.1196050757234848,2
14,5,4.356585384149277,5
15,2,3.2397589317755227,4
16,4,3.8480586972946957,4
17,5,3.160418561612291,3
18,5,4.005463954462705,5
19,4,3.0327467235244674,3
20,4,4.210682810159339,5
21,2,2.354620479350616,2
22,5,4.306043863863418,5
23,5,3.335768596304691,4
24,3,2.605991845308594,3
25,2,2.6639685557783914,3
26,5,3.9273382299973068,5
27,4,2.425462359673804,2
28,4,2.895090726023338,3
29,4,3.230626019475735,4
30,4,3.7791631613251924,4
31,5,3.9679536029948155,5
32,5,3.480057159009828,4
33,4,4.178021486632287,5
34,3,1.6728377837181823,1
35,3,2.6903740801995752,3
36,3,2.608736663427529,3
37,4,3.8751290878714983,5
38,5,4.362039666854712,5
39,5,3.6808260587513044,4
40,3,2.944678845997781,3
41,5,3.9269363331810974,5
42,5,2.394075176914754,2
43,5,4.00619332178557,5
44,1,1.752372785998452,1
45,4,3.7123345931875154,4
46,1,3.2074703613486624,4
47,5,4.596751544258474,5
48,4,3.6976514807845886,4
49,1,1.3168273442723688,1
50,4,3.3164654875369455,4
51,3,3.3922950744033953,4
52,5,3.1561135225137784,3
53,4,3.0196245100665973,3
54,1,2.1543496256307084,2
55,1,3.1923764320218915,4
56,2,3.0588599246305956,3
57,1,2.5515788583466676,3
58,1,1.520330829827451,1
59,2,2.3734144474373955,2
60,4,4.655662197870037,5
61,3,3.5940144681713733,4
62,2,3.8099258680425883,4
63,5,4.435010773596322,5
64,4,4.1319070861770335,5
65,5,3.6930656353106315,4
66,3,4.453038831296079,5
67,1,1.5729609608433683,1
68,4,3.6216880341257625,4
69,5,4.1286237548517235,5
70,3,3.6895798614319895,4
71,3,3.5189244407470612,4
72,5,4.100214291478215,5
73,2,1.6552411701877636,1
74,4,2.3282487842187316,2
75,5,4.459190806659063,5
76,5,4.954424309766233,5
77,5,4.986197916666667,5
78,2,3.0417299391029156,3
79,3,3.415585659648167,4
80,1,2.4287227565699805,2
81,2,3.476624980329844,4
82,3,3.356760220033623,4
83,2,2.9093511041768045,3
84,3,2.7957692628098494,3
85,1,2.1847492324274707,2
86,5,3.99103597536154,5
87,1,1.0494163738110427,1
88,1,1.1096971209458881,1
89,1,1.207268887479952,1
90,2,4.067884858323896,5
91,4,4.201899291312519,5
92,4,3.1769270554297053,4
93,3,3.0152707087871784,3
94,4,4.6267455552283145,5
95,2,2.8293886386801597,3
96,4,3.4981457881046447,4
97,4,3.5991662484157025,4
98,4,3.7146478607493174,4
99,5,3.240373672392881,4
100,3,2.9071949678948923,3
101,4,2.737307305666665,3
102,3,3.1565747967367948,3
103,1,2.4092108664006853,2
104,2,4.076454075248408,5
105,1,2.3086395400531377,2
106,3,4.266410668199233,5
107,4,3.8330661440810045,4
108,1,3.4773900128632063,4
109,1,3.914025266123919,5
110,3,4.5669146434623755,5
111,5,4.0221329491269024,5
112,4,3.1163299515144844,3
113,2,3.543412384174297,4
114,4,3.973093882635391,5
115,3,3.1113084749877244,3
116,1,2.1539471179031437,2
117,2,2.019071274736255,2
118,1,2.92253826417263,3
119,3,2.539556264655947,3
120,1,3.180615811853255,4
121,3,3.5116514611497673,4
122,5,3.6502071614308416,4
123,5,2.3203175874693645,2
124,5,3.953273459755404,5
125,3,3.8421673442709796,4
126,4,3.5721893286412807,4
127,2,2.117936427789917,2
128,3,3.8057028859032385,4
129,5,2.166002326029953,2
130,4,3.756907462652376,4
131,3,3.106017716428828,3
132,1,2.3742161085836235,2
133,2,2.3526904214526283,2
134,5,3.272607795065238,4
135,5,2.649907826578692,3
136,1,2.801791407929404,3
137,1,1.5837309909670783,1
138,3,3.8289405739552116,4
139,5,4.78569227508828,5
140,5,4.6739816122122155,5
141,5,4.719355160871968,5
142,5,4.412197588513245,5
143,3,2.4749360668639144,2
144,1,2.975487224459804,3
145,4,2.505364018983218,2
146,5,4.657834700524089,5
147,1,1.3740094358254296,1
148,1,3.2306286231672128,4
149,1,1.0982338147788773,1
150,2,3.553654970768308,4
151,4,4.14932366658264,5
152,4,2.875229959671017,3
153,1,2.747136254888243,3
154,1,2.7554009459947286,3
155,5,3.624417791494108,4
156,4,4.529745673806813,5
157,1,2.566173600326145,3
158,1,4.217019265269691,5
159,2,2.763339898484708,3
160,2,2.3690104868702084,2
161,3,3.683150095846974,4
162,4,1.614259467630091,1
163,5,4.406926896225366,5
164,1,1.273880542015517,1
165,2,2.7742408761104795,3
166,1,1.8630716792995639,1
167,1,2.9128422469571587,3
168,3,2.1085680688540145,2
169,5,3.037687948575192,3
170,5,4.32348700529932,5
171,5,4.169792647649413,5
172,4,2.589687963246034,3
173,3,3.3150337050040872,4
174,1,4.0159360481587045,5
175,4,4.17308358099859,5
176,4,2.6557574147541056,3
177,4,3.241447061285808,4
178,5,4.607046813233709,5
179,3,3.755964626138767,4
180,4,4.5161386055264545,5
181,5,3.8459756860677277,4
182,2,2.6172981934530464,3
183,3,2.8431349650640976,3
184,1,3.8384511844685023,4
185,4,4.00341682040026,5
186,5,4.889974488742181,5
187,2,1.99207116814987,2
188,5,3.329432564866631,4
189,4,3.372541742359514,4
190,2,2.9773338983657083,3
191,1,2.0059865903329177,2
192,2,4.111793761491466,5
193,5,3.966581623086827,5
194,4,4.011958981693059,5
195,3,3.3166107145731347,4
196,1,2.9390105910167903,3
197,1,1.7281334078481019,1
198,2,3.557676119907712,4
199,3,2.3196656991790525,2
200,2,2.8111348814457453,3
201,5,4.150331443982886,5
202,5,4.659679323783823,5
203,5,5.0,5
204,4,4.488060606832942,5
205,2,2.9808148724461643,3
206,1,4.3624406307565025,5
207,2,4.186198138347104,5
208,3,3.072010420868882,3
209,1,1.215841206053419,1
210,1,1.168705929096274,1
211,4,3.786451585120248,4
212,1,3.121879982865231,3
