id,Label,oof_score,oof_pred
0,1,1.2257100351320076,1
1,1,2.442563750223366,3
2,2,2.996067936115361,4
3,1,2.9808418939595343,3
4,1,1.9810108901909613,2
5,2,2.664874335757872,3
6,3,2.6145894804703538,3
7,3,3.142498249243959,4
8,4,3.899268275956115,5
9,1,2.3623144217225414,2
10,3,4.026125576001517,5
11,4,2.6843488525844093,3
12,4,2.741005377788329,3
13,2,1.8030780144917928,1
14,5,4.341902750679953,5
15,2,2.865120290368491,3
16,4,3.384927386634469,4
17,5,3.43209793328802,4
18,5,3.9822876703855883,5
19,4,3.1602533459926114,4
20,4,4.316845050132783,5
21,2,2.292804392514402,2
22,5,4.435071275441738,5
23,5,3.7618167121983537,4
24,3,2.3267379960904955,2
25,2,2.229348796481993,2
26,5,4.0477818583310885,5
27,4,2.1950901608392814,2
28,4,2.831824736963893,3
29,4,3.58344268984089,4
30,4,3.840057842770994,5
31,5,3.4919578636067907,4
32,5,2.8618531880637454,3
33,4,4.259158530526905,5
34,3,1.926800583654041,2
35,3,2.8535018376663133,3
36,3,2.210275344522941,2
37,4,4.07410930933736,5
38,5,4.279260486267815,5
39,5,3.976621542014976,5
40,3,2.89304834388704,3
41,5,3.686943472095359,4
42,5,2.4109914668734063,3
43,5,3.80194929593242,5
44,1,2.1439586584709325,2
45,4,3.7756000082118186,5
46,1,3.074845092790552,4
47,5,3.987983057715396,5
48,4,3.768984740931602,4
49,1,1.8205440542547517,1
50,4,3.122206482669677,4
51,3,3.20230318700283,4
52,5,2.7735841854281484,3
53,4,3.2118398694999417,4
54,1,2.4784727783033684,3
55,1,3.42372515168491,4
56,2,3.4187547983032744,4
57,1,2.408064847233334,3
58,1,1.3887848061062094,1
59,2,2.8125892964756076,3
60,4,4.73423238711392,5
61,3,3.8478549387539225,5
62,2,3.5999816261466013,4
63,5,4.5158509918858245,5
64,4,4.18774375236975,5
65,5,3.6622986197033036,4
66,3,4.312601803857844,5
67,1,1.8112239777861405,1
68,4,3.941337250660358,5
69,5,4.275025004043103,5
70,3,3.452037037304436,4
71,3,3.7638823464558846,4
72,5,4.337070937342957,5
73,2,2.137071634878692,2
74,4,2.4662923896267213,3
75,5,4.614256227771442,5
76,5,4.983504633138527,5
77,5,5.0,5
78,2,2.9298921367524295,3
79,3,3.094064438595695,4
80,1,2.573740317974984,3
81,2,3.7550216849970925,4
82,3,3.591050183361353,4
83,2,3.2945547395917814,4
84,3,2.887641920397097,3
85,1,2.1688665478562257,2
86,5,3.9436150489123953,5
87,1,1.0411803115092022,1
88,1,1.0935844063437956,1
89,1,1.7599311041499601,1
90,2,4.23808113193658,5
91,4,4.197719895538211,5
92,4,3.33098956008031,4
93,3,2.930173507322649,3
94,4,4.710308796023596,5
95,2,2.5425243864001335,3
96,4,2.9485850317538707,3
97,4,3.9922305542353076,5
98,4,3.5539383214577644,4
99,5,3.6082758033829565,4
100,3,2.9176711538012996,3
101,4,2.9694574769444433,3
102,3,2.992349657002885,4
103,1,2.371716520611682,2
104,2,3.8285554793736734,5
105,1,2.4544218389331705,3
106,3,4.343970695721583,5
107,4,3.3032495645119484,4
108,1,3.3043354273860053,4
109,1,3.4055896314921545,4
110,3,4.673210119551979,5
111,5,4.170006624272419,5
112,4,3.500522355428737,4
113,2,3.03177160486747,4
114,4,3.360217124418382,4
115,3,3.3709688680453262,4
116,1,2.2796564524192866,2
117,2,2.577405315752435,3
118,1,3.0643765048660807,4
