id,score,pred
2491,1.7375721918207936,1
2707,1.6764732454793463,1
1248,2.9135695414157214,3
1433,2.474406352002493,3
2339,1.330257716838238,1
773,2.0744813039333074,2
1330,4.057626090666611,5
1561,2.1177675581539046,2
1904,1.3503782161698454,1
912,2.1732404653983046,2
2420,2.063766982322822,2
888,1.6463209172583584,1
1780,1.7655988741286714,1
1395,3.662155021769454,4
2551,2.3137950975275317,2
1778,2.2247770655367205,2
2060,2.045799654525804,2
2834,1.1719192231122681,1
2089,2.398206047367539,2
744,1.1364804814353253,1
2205,2.021252851499897,2
2156,2.938064681339364,3
1229,3.8319266165561934,5
963,2.434030438510004,3
2769,2.2257203897813858,2
885,2.666386159513447,3
2712,2.393929995802325,2
2657,1.5188457835408624,1
1545,2.8113407096244187,3
1509,1.0175192201324819,1
1791,1.7519107230649946,1
2322,1.4578686192099914,1
1838,1.6765506983019003,1
749,3.101607782696512,4
947,2.7475629646239037,3
981,2.419350531484821,3
2471,1.5561441197306922,1
2180,1.1748941501580863,1
1895,2.0437815067021443,2
2113,1.8987069751507244,2
1255,3.1914705023446137,4
1893,1.5876791968267325,1
2277,1.4096036871302458,1
1955,2.2207828401860468,2
2346,1.5012111011000981,1
2871,1.237831443664044,1
874,3.1634907807386115,4
2589,2.1122148839068933,2
1616,2.5433795186427517,3
2653,1.5720632121146834,1
2305,1.8682422864986707,2
2357,1.7247449059029827,1
1890,1.567478306753245,1
1701,1.834382950990952,2
3005,1.5885702344959247,1
2591,1.620951340822152,1
2148,2.4840556806713057,3
1623,2.018387531103502,2
2410,1.6336868463579843,1
2165,1.417583788223986,1
3063,2.0088898787326515,2
2535,1.2182216021325325,1
1222,2.274849018185675,2
1816,1.2316368848986938,1
1700,3.7610469913630205,4
811,2.1778854021124405,2
2639,1.6512408696657277,1
2208,1.6549968646748703,1
2538,1.3980356547545763,1
1087,3.6818199218137106,4
1662,1.2422080915715454,1
3077,1.318710757133283,1
2917,1.709276019375047,1
1922,1.7550308707073423,1
2866,1.4554100472104337,1
2691,1.8741863612547298,2
1557,1.2345742824736534,1
1896,1.777855328121337,1
2247,1.7922759299134794,1
2583,1.8778242215850185,2
2893,2.2112001536888704,2
1126,2.245116361217735,2
2877,3.2345544279299867,4
1332,3.0923043116052025,4
2209,1.576799551491312,1
2460,1.4589082455353328,1
1054,2.3471450974754466,2
1455,1.1789218522986862,1
2292,1.6782247949936935,1
1753,1.0192242909315212,1
2793,2.034584911846939,2
2190,1.6330589973469456,1
2848,1.608617734097023,1
1813,2.5081037050367723,3
1907,1.2520615837410578,1
940,2.514995060526708,3
2066,1.0911163241641852,1
2304,1.2342537067306778,1
2211,1.5988333499973488,1
1464,2.462709905786555,3
1337,4.475598271217658,5
1592,1.69557278487938,1
2805,1.2384011739282161,1
1764,1.2890398689652454,1
1195,2.44643802749248,3
2486,3.038463596779058,4
1988,1.6878066716056004,1
770,3.132143244193426,4
2153,1.7981408077294312,1
1615,2.167359048318542,2
2497,1.4100491660825665,1
2103,1.8462762563818398,2
1540,1.6441172556568309,1
1013,1.5914565518436221,1
868,2.978966382045215,3
1150,2.867791187416414,3
2188,1.5238265279068406,1
2282,1.9766335533529409,2
1157,1.4464870924690003,1
2826,1.35900169519117,1
2400,1.4606641889869252,1
2855,1.6659933533797797,1
2570,1.5257789499671242,1
2154,1.48280739350438,1
2676,1.640063698068088,1
2931,3.32485454785212,4
2518,1.559998787404012,1
2409,1.3649273802294828,1
2844,2.611403716329166,3
1632,2.381507982876725,2
2161,1.7005166764713602,1
937,2.407432240428955,3
2438,1.4717392924575672,1
2822,2.3187244024083653,2
1510,1.0973042517373284,1
3079,3.394312718625452,4
1733,3.6359262920605135,4
1122,3.634012273383675,4
1354,2.5138415427926204,3
1133,2.7026875772464654,3
1254,3.325754405978743,4
2057,1.6432429585371575,1
1178,1.588098050378604,1
2122,1.8518949474929078,2
1342,4.61297639965569,5
1803,3.2302612264174364,4
2967,1.6435085221504198,1
959,3.783365229691982,4
1143,4.593399706087727,5
2868,1.9275938634032,2
2030,3.2386222883030236,4
1110,3.3102279861982207,4
784,3.122747739113142,4
2900,1.690319995438336,1
2709,1.5040372259074246,1
3015,2.071708050543943,2
1186,2.223081756606019,2
2542,2.8638721917780074,3
939,2.5815167123985487,3
776,1.8237334445214506,1
2167,1.668548943531223,1
1944,1.242161320102844,1
1264,3.833718405295558,5
999,1.1451551859126203,1
2130,1.7797119374756405,1
2450,1.4492432357822493,1
3028,1.4197460919319214,1
3080,1.4531495898677542,1
2059,2.9119090867349504,3
1050,2.034510595417623,2
2136,1.2541020283462936,1
2078,1.4231744033422138,1
2428,1.4227031744832805,1
2514,1.3525493419981605,1
2483,1.2488890444587315,1
3053,1.8217529097724743,1
2933,1.820360432255108,1
2408,2.3836931823027503,2
2889,1.8176339793654166,1
1817,1.965969514650272,2
1717,3.552255281281123,4
2994,1.2380123471425806,1
1736,1.5615562763794175,1
1161,1.4139834120878079,1
1637,1.2210906354947602,1
1003,3.5130206396947816,4
1673,1.7339874109743554,1
835,2.4889783009035935,3
824,2.121669292435599,2
2905,2.45043343904123,3
1459,1.7132206521081352,1
879,2.879787506034414,3
2052,2.1513018793594925,2
2397,1.7044241100914546,1
1837,4.385515767802945,5
903,4.078698502927256,5
1567,2.54560998813811,3
2692,1.2181686244091523,1
918,2.242074809074257,2
1937,2.247193566041619,2
2284,2.259586381121058,2
1066,2.765398814392706,3
1164,1.3181494442311703,1
1502,4.060177311980665,5
1629,1.9417423180261335,2
2475,1.2881947958479005,1
1227,2.5577023406011943,3
1107,2.307296551910481,2
878,3.4212249716358274,4
1887,1.5457569791175323,1
1407,4.447635665883925,5
1393,4.437411145712844,5
1281,2.9784336275361367,3
1800,3.082100971626832,4
2689,1.1693427526455302,1
2685,2.183533548346448,2
2344,1.174517455464686,1
1556,2.0955197096914966,2
2484,1.7816602906706485,1
2843,2.3530582470642694,2
1182,1.1365439154388788,1
