id,Label,oof_score,oof_pred
0,1,1.4629760598473487,1
1,1,2.2752316671133985,2
2,2,2.9251436847307213,3
3,1,3.015134308752401,4
4,1,1.920778290798589,1
5,2,2.418355442349077,2
6,3,2.5681763567740408,3
7,3,2.9501006651545847,3
8,4,3.1105157185788963,4
9,1,2.1496613955284154,2
10,3,3.200753756169701,4
11,4,3.2384242676688175,4
12,4,2.8755003389099913,3
13,2,2.504951601900252,3
14,5,4.310888834693238,5
15,2,3.283170268236982,4
16,4,3.6026672732689375,5
17,5,2.8004588874093734,3
18,5,3.370760236604509,4
19,4,3.22037648365189,4
20,4,3.8211901002655653,5
21,2,2.2984994100288043,2
22,5,4.054777967550142,5
23,5,3.400651653563374,4
24,3,2.206926513014323,2
25,2,2.4956116554639864,3
26,5,3.731436112495511,5
27,4,2.43653448834523,2
28,4,2.8351338489277853,3
29,4,2.5545155880151134,3
30,4,3.5534880813753205,4
31,5,3.7557256230469145,5
32,5,3.370516271960824,4
33,4,3.781077477720478,5
34,3,1.6633342402247482,1
35,3,2.126209404499292,2
36,3,2.5168397515458816,3
37,4,3.5645597645080533,4
38,5,4.174145972535631,5
39,5,3.601615479863285,5
40,3,3.0758753336074127,4
41,5,3.3377541316907178,4
42,5,2.5915792879134782,3
43,5,3.5639246335315065,4
44,1,1.5974876294418645,1
45,4,3.6020463705903034,5
46,1,2.92260685224777,3
47,5,4.633257782097457,5
48,4,3.704961669363203,5
49,1,1.5206128480928367,1
50,4,3.5200640070060203,4
51,3,3.4637209573389924,4
52,5,2.83147826668963,3
53,4,3.3688620306665507,4
54,1,1.78090388994007,1
55,1,2.996083115869819,4
56,2,3.3079523049398816,4
57,1,2.433512506966669,2
58,1,1.5906881017957517,1
59,2,2.4209142700345483,2
60,4,4.544376232561174,5
61,3,3.7047593566745105,5
62,2,3.474116898126536,4
63,5,4.601428546271649,5
64,4,4.218000525572834,5
65,5,3.723685781073274,5
66,3,4.183016107715689,5
67,1,1.7938021222389473,1
68,4,3.662557313820715,5
69,5,3.6701020914195386,5
70,3,3.1836964704422046,4
71,3,3.458624067911769,4
72,5,3.7437382288525805,5
73,2,1.699924519757384,1
74,4,2.282975404253442,2
75,5,4.397913497209549,5
76,5,4.967009266277055,5
77,5,5.0,5
78,2,2.5812686485048584,3
79,3,2.9349387730247227,3
80,1,2.257832198449968,2
81,2,3.2114756616608515,4
82,3,2.9770873458893714,4
83,2,2.908054791683563,3
84,3,2.3794505074608603,2
85,1,2.4815807519624506,3
86,5,3.6219957228247894,5
87,1,1.0823606230184044,1
88,1,1.1931909481042577,1
89,1,1.3236382499665869,1
90,2,3.8263575763731597,5
