id,score,pred
979,4.6,5
1106,1.8410156249999998,2
1894,1.4464843749999998,1
1718,1.67546875,2
1989,1.2130859375,1
2010,1.3916015625,1
2356,1.4967187499999999,1
1179,1.6338671875,1
3001,1.4790625,1
796,3.5090625,4
1771,1.36375,1
986,1.8173828125,2
1725,1.1029296875,1
1296,3.9255468749999998,5
2983,1.42421875,1
2666,1.7056640625,2
2573,1.5944140624999998,1
1999,2.1756640625,2
1828,1.1240234375,1
1877,3.3940625,4
2087,1.3887109375,1
1581,1.4829296875,1
1185,4.9818750000000005,5
1873,1.44296875,1
952,2.708203125,3
2572,1.0758203125,1
1835,2.93953125,3
1320,2.2858984375,2
2083,1.3821093750000002,1
1310,3.9642187499999997,5
1053,3.166875,4
1698,1.5175,1
1372,3.4588671875,4
2847,1.239296875,1
2537,1.5823828124999997,1
2808,1.435,1
1311,3.36015625,4
2863,2.099453125,2
3085,1.1193749999999998,1
1265,2.419140625,3
2446,1.4703125,1
2186,1.9654687499999999,2
2898,1.4153515624999997,1
2529,2.1999218750000002,2
2810,1.0537890625,1
997,2.285234375,2
2836,1.2459375,1
2194,1.299140625,1
1964,1.8212109374999998,2
910,3.92703125,5
2032,1.209453125,1
1405,4.87328125,5
1305,4.13234375,5
799,3.027890625,4
1145,3.0728124999999995,4
1083,3.79453125,4
2913,1.8394921874999999,2
1370,4.153124999999999,5
1379,3.022578125,4
2896,1.8441796875,2
2406,1.7047265624999999,2
3060,1.4856249999999998,1
2470,1.9416406249999998,2
1678,3.4027343749999996,4
877,3.4314453125,4
1972,1.6570703125000001,1
1812,1.0227734375,1
2796,1.6203906250000002,1
3051,1.2768359375,1
983,2.225859375,2
1275,2.7746484375,3
1998,1.241171875,1
2210,1.988984375,2
2786,1.0862500000000002,1
951,2.9565624999999995,3
2465,1.0153515625,1
1228,1.712421875,2
2524,1.2450390625,1
2093,1.2435937499999998,1
1921,4.53953125,5
3034,1.063984375,1
1676,2.306796875,2
1214,3.443671875,4
2275,1.695234375,2
2789,1.9401562499999998,2
756,2.53359375,3
1130,2.7092578125,3
1555,1.1349609374999998,1
1487,1.2662109375,1
2041,1.309140625,1
1931,1.1465234375,1
1349,3.1774609375000002,4
725,2.8129687500000005,3
1006,3.04125,4
989,4.758906250000001,5
2265,1.7704296875,2
1969,1.3175,1
2562,1.9627343750000001,2
2959,2.4090625,3
2102,1.9167187499999998,2
933,2.8873437500000003,3
1648,3.1196875,4
1132,2.4203125,3
2912,1.5976953125,1
1602,1.0040234375,1
1627,2.8594531249999995,3
1302,4.363125,5
1910,1.664609375,2
1208,1.7572265625,2
1109,2.7707421875,3
908,3.448359375,4
2819,1.1220703125,1
2106,1.2131640625,1
899,3.9621875,5
2262,1.832890625,2
1429,1.4683984374999999,1
828,2.131953125,2
1900,1.11078125,1
1368,2.3401562499999997,2
767,4.65859375,5
849,2.7658593750000002,3
1442,1.0983593749999998,1
2693,1.804140625,2
2947,1.2716796875,1
1925,3.4817968749999997,4
2062,1.970625,2
987,2.7771875,3
2354,1.2934765625,1
3018,1.109375,1
2577,1.6032421874999998,1
