id,Label,oof_score,oof_pred
0,1,1.0086263020833335,1
1,1,2.263020833333333,2
2,2,3.0992838541666665,3
3,1,3.631184895833333,4
4,1,1.9539388020833335,2
5,2,2.8291015625,3
6,3,2.9742838541666665,3
7,3,3.554036458333333,4
8,4,3.8512369791666665,4
9,1,1.9783528645833335,2
10,3,4.047200520833333,4
11,4,3.310546875,4
12,4,2.998372395833333,3
13,2,2.091145833333333,2
14,5,4.491536458333334,5
15,2,3.234700520833333,3
16,4,4.362630208333334,5
17,5,3.3229166666666665,4
18,5,4.498046875,5
19,4,3.118489583333333,3
20,4,4.736328125,5
21,2,2.380208333333333,2
22,5,4.722005208333333,5
23,5,3.2643229166666665,3
24,3,2.6572265625,3
25,2,2.8505859375,3
26,5,4.212890625,5
27,4,2.3629557291666665,2
28,4,2.9557291666666665,3
29,4,3.3561197916666665,4
30,4,3.81640625,4
31,5,4.090494791666667,4
32,5,3.832356770833333,4
33,4,4.525390625,5
34,3,1.6638997395833335,1
35,3,2.7919921875,3
36,3,2.70703125,3
37,4,4.212565104166666,5
38,5,4.667317708333334,5
39,5,3.647786458333333,4
40,3,3.050130208333333,3
41,5,4.381510416666666,5
42,5,2.1910807291666665,2
43,5,4.406901041666666,5
44,1,1.7371419270833333,1
45,4,3.833333333333333,4
46,1,3.638671875,4
47,5,4.5810546875,5
48,4,3.937174479166667,4
49,1,1.1749674479166667,1
50,4,3.606770833333333,4
51,3,3.580078125,4
52,5,3.2802734375,3
53,4,2.9772135416666665,3
54,1,2.2872721354166665,2
55,1,3.388671875,4
56,2,3.0856119791666665,3
57,1,2.7652994791666665,3
58,1,1.4541015625,1
59,2,2.4484049479166665,2
60,4,4.874348958333333,5
61,3,3.547526041666667,4
62,2,4.161783854166666,5
63,5,4.359700520833334,5
64,4,4.369466145833333,5
65,5,3.970377604166667,4
66,3,4.869791666666666,5
67,1,1.5166015625,1
68,4,3.717122395833333,4
69,5,4.5078125,5
70,3,4.117838541666667,4
71,3,3.83203125,4
72,5,4.227213541666666,5
73,2,1.5061848958333333,1
74,4,2.2526041666666665,2
75,5,4.434895833333334,5
76,5,4.935546875,5
77,5,4.965494791666666,5
78,2,3.322265625,4
79,3,3.902669270833333,4
80,1,2.7216796875,3
81,2,3.529622395833333,4
82,3,3.8876953125,4
83,2,3.1442057291666665,3
84,3,2.972981770833333,3
85,1,2.28369140625,2
86,5,4.345377604166666,5
87,1,1.0,1
88,1,1.0081380208333335,1
89,1,1.052734375,1
90,2,4.26171875,5
91,4,4.569010416666666,5
92,4,3.388020833333333,4
93,3,3.1064453125,3
94,4,4.91015625,5
95,2,2.919921875,3
96,4,3.724609375,4
97,4,3.727864583333333,4
98,4,4.1455078125,4
99,5,3.127278645833333,3
100,3,2.935872395833333,3
101,4,3.073567708333333,3
102,3,3.493489583333333,4
103,1,2.4674479166666665,2
104,2,4.451171875,5
105,1,2.105305989583333,2
106,3,4.524739583333334,5
107,4,4.217447916666666,5
108,1,3.7451171875,4
109,1,3.982747395833333,4
110,3,4.849609375,5
111,5,4.2490234375,5
112,4,3.2060546875,3
113,2,3.7815755208333335,4
114,4,4.620442708333334,5
115,3,3.334309895833333,4
116,1,2.27392578125,2
117,2,1.7967122395833333,1
118,1,3.268880208333333,3
119,3,2.545247395833333,2
120,1,3.37890625,4
121,3,3.5904947916666665,4
122,5,3.704752604166667,4
123,5,2.18994140625,2
124,5,4.083984375,4
125,3,3.8974609375,4
126,4,3.8525390625,4
127,2,2.261067708333333,2
128,3,3.870442708333333,4
129,5,2.1339518229166665,2
130,4,4.0498046875,4
131,3,3.4215494791666665,4
132,1,2.363606770833333,2
133,2,2.377766927083333,2
134,5,3.3935546875,4
135,5,2.765950520833333,3
136,1,2.93359375,3
137,1,1.3289388020833333,1
138,3,4.02734375,4
139,5,4.865234375,5
140,5,4.902994791666666,5
141,5,4.919270833333334,5
142,5,4.890625,5
143,3,2.652669270833333,3
144,1,3.207356770833333,3
145,4,2.43359375,2
146,5,4.942708333333334,5
147,1,1.27783203125,1
148,1,3.389973958333333,4
149,1,1.0,1
150,2,3.791341145833333,4
151,4,4.6640625,5
152,4,3.002278645833333,3
153,1,2.984375,3
154,1,2.966145833333333,3
155,5,3.359375,4
156,4,4.71875,5
157,1,2.3932291666666665,2
158,1,4.450520833333334,5
159,2,3.1826171875,3
160,2,2.225423177083333,2
161,3,3.690755208333333,4
162,4,1.50048828125,1
163,5,4.447265625,5
164,1,1.1140950520833335,1
165,2,2.841796875,3
166,1,1.8092447916666665,1
167,1,3.013997395833333,3
168,3,2.1578776041666665,2
169,5,3.119466145833333,3
170,5,4.723958333333334,5
171,5,4.263346354166667,5
172,4,2.5810546875,3
173,3,3.432291666666667,4
174,1,4.158203125,5
175,4,4.411458333333334,5
176,4,2.5690104166666665,2
177,4,3.745442708333333,4
178,5,5.0,5
179,3,3.9169921875,4
180,4,4.848307291666666,5
181,5,3.9248046875,4
182,2,2.978515625,3
183,3,2.8258463541666665,3
184,1,4.040690104166666,4
185,4,4.449869791666666,5
186,5,5.0,5
187,2,2.0084635416666665,2
188,5,3.084309895833333,3
189,4,3.603515625,4
190,2,3.172200520833333,3
191,1,2.0372721354166665,2
192,2,4.712239583333334,5
193,5,4.181640625,5
194,4,4.30078125,5
195,3,3.2789713541666665,3
196,1,3.070638020833333,3
197,1,1.5105794270833335,1
198,2,3.883138020833333,4
199,3,2.230794270833333,2
200,2,3.0224609375,3
201,5,4.4921875,5
202,5,4.98046875,5
203,5,5.0,5
204,4,4.846354166666666,5
205,2,2.9606119791666665,3
206,1,4.5634765625,5
207,2,4.281575520833334,5
208,3,3.2311197916666665,3
209,1,1.0322265625,1
210,1,1.0,1
211,4,4.201822916666666,5
212,1,3.337890625,4
213,4,2.961263020833333,3
214,5,4.276041666666666,5
215,4,3.475911458333333,4
216,3,3.8001302083333335,4
217,1,3.934895833333333,4
218,1,1.5550130208333333,1
219,5,2.65087890625,3
220,4,3.8841145833333335,4
221,5,4.192057291666666,5
222,5,4.375,5
223,3,4.770833333333333,5
224,1,2.0032552083333335,2
225,5,4.692057291666666,5
226,5,4.375,5
227,4,3.244466145833333,3
228,4,4.393229166666666,5
229,2,3.529622395833333,4
230,5,4.804036458333334,5
231,4,4.233072916666666,5
232,4,1.85302734375,1
233,4,2.8004557291666665,3
234,3,2.6123046875,3
235,5,4.598307291666666,5
236,1,1.357421875,1
237,1,1.5069986979166667,1
238,1,3.669270833333333,4
239,2,2.7164713541666665,3
240,2,3.3251953125,4
241,1,1.330078125,1
242,3,4.983072916666666,5
243,3,3.929036458333333,4
244,4,4.865885416666667,5
245,5,5.0,5
246,4,4.964192708333334,5
247,5,4.236979166666667,5
248,3,2.2174479166666665,2
249,1,1.0470377604166665,1
250,1,1.0481770833333335,1
251,4,3.9296875,4
252,5,4.81640625,5
253,5,4.583984375,5
254,1,1.0,1
255,2,2.9840494791666665,3
256,2,4.079427083333333,4
257,5,3.4990234375,4
258,4,3.2138671875,3
259,5,4.772135416666666,5
260,1,2.9928385416666665,3
261,4,3.8740234375,4
262,2,2.6529947916666665,3
263,4,4.1630859375,5
264,3,4.580403645833334,5
265,3,4.516927083333333,5
266,1,1.4479166666666665,1
267,1,1.6233723958333333,1
268,2,3.4488932291666665,4
269,3,4.990234375,5
270,4,3.627278645833333,4
271,5,4.574869791666666,5
272,5,3.2431640625,3
273,4,3.614908854166667,4
274,4,4.1630859375,5
275,5,4.828125,5
276,2,2.26806640625,2
277,2,4.660807291666667,5
278,1,2.3800455729166665,2
279,4,4.975260416666666,5
280,3,3.385091145833333,4
281,1,2.0263671875,2
282,5,3.6702473958333335,4
283,4,4.702473958333333,5
284,2,3.933268229166667,4
285,4,4.559895833333334,5
286,1,1.23095703125,1
287,4,2.2736002604166665,2
288,1,2.0196940104166665,2
289,1,2.060546875,2
290,1,3.5651041666666665,4
291,5,4.811197916666666,5
292,4,4.3505859375,5
293,5,4.869140625,5
294,1,2.2682291666666665,2
295,2,2.184407552083333,2
296,3,4.2236328125,5
297,3,3.3102213541666665,4
298,4,4.1484375,4
299,5,4.406901041666666,5
300,3,2.3761393229166665,2
301,2,4.033854166666667,4
302,4,4.809244791666667,5
303,5,4.559244791666666,5
304,5,4.703125,5
305,1,1.0065104166666665,1
306,1,1.0872395833333333,1
307,1,2.368489583333333,2
308,2,4.3525390625,5
309,2,1.5205078125,1
310,4,4.690755208333334,5
311,3,3.5771484375,4
312,3,3.3828125,4
313,1,2.940755208333333,3
314,2,3.374674479166667,4
315,4,3.061848958333333,3
316,2,4.194986979166667,5
317,5,4.4990234375,5
318,2,2.790364583333333,3
319,3,4.0068359375,4
320,1,4.166341145833334,5
321,2,3.8020833333333335,4
322,5,4.2705078125,5
323,4,3.7770182291666665,4
324,5,4.885416666666667,5
325,2,3.755208333333333,4
326,1,2.145345052083333,2
327,5,3.196614583333333,3
328,5,5.0,5
329,3,1.8038736979166665,1
330,1,2.4410807291666665,2
331,2,2.1280924479166665,2
332,1,1.7482096354166667,1
333,3,2.7692057291666665,3
334,5,4.312174479166666,5
335,5,3.912109375,4
336,3,4.469401041666667,5
337,1,2.671875,3
338,5,4.850260416666666,5
339,3,3.642252604166667,4
340,1,1.9830729166666665,2
341,2,3.2880859375,3
342,5,4.985026041666666,5
343,2,1.4176432291666665,1
344,1,4.155598958333334,5
345,1,1.7931315104166667,1
346,1,1.1051432291666665,1
347,1,1.005859375,1
348,5,3.755859375,4
349,4,3.371419270833333,4
350,2,1.9293619791666665,2
351,2,4.626302083333334,5
352,5,3.5924479166666665,4
353,5,4.641276041666666,5
354,5,3.358723958333333,4
355,5,3.3072916666666665,4
356,5,4.397135416666666,5
357,2,2.8857421875,3
358,3,4.347981770833334,5
359,1,1.77294921875,1
360,3,3.5146484375,4
361,1,2.138671875,2
362,1,1.2257486979166667,1
363,5,3.4567057291666665,4
364,2,2.4098307291666665,2
365,3,1.9410807291666665,2
366,4,1.75048828125,1
367,1,4.649739583333334,5
368,2,3.2174479166666665,3
369,5,3.614583333333333,4
370,4,3.371419270833333,4
371,3,2.9713541666666665,3
372,1,3.5738932291666665,4
373,1,3.2604166666666665,3
374,4,3.59375,4
375,4,4.45703125,5
376,1,3.845703125,4
377,2,3.4440104166666665,4
378,1,2.333984375,2
379,5,2.17041015625,2
380,3,3.100260416666667,3
381,1,1.630859375,1
382,2,4.819661458333334,5
383,4,4.75390625,5
384,1,3.3642578125,4
385,1,2.318359375,2
386,1,1.7109375,1
387,1,1.0284830729166665,1
388,2,3.7333984375,4
389,3,4.889322916666666,5
390,2,2.105305989583333,2
391,3,4.43359375,5
392,2,1.7713216145833335,1
393,4,3.341796875,4
394,1,1.7342122395833333,1
395,2,3.8330078125,4
396,1,1.3876953125,1
397,3,3.674479166666667,4
398,4,4.932291666666667,5
399,3,4.268880208333333,5
400,2,3.568359375,4
401,2,4.620442708333334,5
402,1,3.4326171875,4
403,1,1.5491536458333335,1
404,1,3.05078125,3
405,3,1.6764322916666665,1
406,2,3.9208984375,4
407,1,3.796549479166667,4
408,2,3.5924479166666665,4
409,1,1.0296223958333335,1
410,2,3.584309895833333,4
411,3,2.2784830729166665,2
412,4,4.400390625,5
413,1,1.0094401041666667,1
414,1,1.0354817708333335,1
415,5,4.378255208333333,5
416,1,1.9947916666666665,2
417,3,2.4638671875,2
418,2,3.2578125,3
419,5,3.9593098958333335,4
420,3,2.9365234375,3
421,2,4.356770833333334,5
422,1,1.7683919270833335,1
423,5,4.049153645833333,4
424,5,4.216796875,5
425,2,4.2421875,5
426,1,1.7980143229166667,1
427,3,1.3982747395833335,1
428,4,2.962239583333333,3
429,1,1.0027669270833335,1
430,1,1.98876953125,2
431,1,2.9357096354166665,3
432,1,3.212890625,3
433,2,3.6220703125,4
434,3,4.49609375,5
435,4,4.490234375,5
436,3,1.9654947916666665,2
437,5,4.350260416666667,5
438,2,1.5100911458333335,1
439,1,2.897786458333333,3
440,2,3.1100260416666665,3
441,1,2.1300455729166665,2
442,4,3.05078125,3
443,5,4.000651041666666,4
444,5,4.897135416666666,5
445,5,2.997395833333333,3
446,2,2.990234375,3
447,1,1.7522786458333335,1
448,1,2.643880208333333,3
449,3,4.524739583333333,5
450,3,4.688151041666667,5
451,2,1.9547526041666665,2
452,5,4.284505208333333,5
453,5,4.3251953125,5
454,1,1.1355794270833333,1
455,1,1.0887044270833335,1
456,1,1.0089518229166665,1
457,2,1.76904296875,1
458,2,3.2428385416666665,3
459,3,3.392578125,4
460,2,3.490234375,4
461,1,2.991536458333333,3
462,3,3.750325520833333,4
463,2,2.5553385416666665,2
464,2,1.0159505208333333,1
465,1,3.5908203125,4
466,1,2.130208333333333,2
467,2,2.972981770833333,3
468,4,4.068684895833334,4
469,5,4.51171875,5
470,3,2.6539713541666665,3
471,1,1.7578125,1
472,2,2.8688151041666665,3
473,1,1.5455729166666665,1
474,2,3.1324869791666665,3
475,4,4.766927083333334,5
476,4,5.0,5
477,1,2.8961588541666665,3
478,3,2.9117838541666665,3
479,1,3.730794270833333,4
480,4,1.8971354166666665,2
481,3,2.1686197916666665,2
482,2,2.87109375,3
483,1,1.681640625,1
484,3,2.9049479166666665,3
485,3,3.810546875,4
486,4,3.8525390625,4
487,1,2.512044270833333,2
488,2,1.0646158854166665,1
489,5,3.277994791666667,3
490,5,2.465169270833333,2
491,4,2.9166666666666665,3
492,1,1.3717447916666665,1
493,2,4.224283854166667,5
494,3,2.392903645833333,2
495,3,2.11669921875,2
496,5,4.737630208333334,5
497,4,3.8037109375,4
498,5,4.2275390625,5
499,4,2.548177083333333,2
500,5,3.517903645833333,4
501,4,2.4404296875,2
502,5,4.706380208333334,5
503,5,4.031901041666667,4
504,2,2.943684895833333,3
505,4,3.9811197916666665,4
506,2,2.7470703125,3
507,2,2.734375,3
508,5,3.1119791666666665,3
509,2,3.715169270833333,4
510,3,2.6315104166666665,3
511,1,1.7044270833333335,1
512,5,4.33984375,5
513,2,3.5651041666666665,4
514,1,2.158040364583333,2
515,1,1.76318359375,1
516,2,2.1759440104166665,2
517,4,4.259765625,5
518,5,3.8772786458333335,4
519,5,1.3455403645833335,1
520,2,3.623046875,4
521,4,3.3984375,4
522,5,4.965494791666666,5
523,2,1.5009765625,1
524,1,3.2841796875,3
525,1,1.5558268229166665,1
526,1,2.7916666666666665,3
527,3,4.651692708333333,5
528,2,1.8138020833333335,1
529,2,2.206380208333333,2
530,1,3.578125,4
531,2,1.52978515625,1
532,3,1.7501627604166667,1
533,2,3.698567708333333,4
534,4,3.8483072916666665,4
535,3,2.619140625,3
536,5,4.153971354166667,5
537,5,3.974609375,4
538,1,1.7127278645833335,1
539,2,3.0445963541666665,3
540,5,3.630859375,4
541,1,1.0476888020833335,1
542,2,3.346354166666667,4
543,1,3.691731770833333,4
544,1,2.17431640625,2
545,5,3.423828125,4
546,3,2.2179361979166665,2
547,1,2.0611979166666665,2
548,5,3.918294270833333,4
549,2,2.8984375,3
550,5,4.516276041666667,5
551,1,2.1920572916666665,2
552,3,3.4462890625,4
553,2,3.2431640625,3
554,1,1.6482747395833335,1
555,1,1.6754557291666665,1
556,3,3.1100260416666665,3
557,4,2.2060546875,2
558,5,2.779622395833333,3
559,2,1.9899088541666665,2
560,5,3.938151041666667,4
561,3,2.77294921875,3
562,2,1.5870768229166665,1
563,5,2.954427083333333,3
564,5,4.841796875,5
565,1,2.63525390625,3
566,2,2.4928385416666665,2
567,1,2.2008463541666665,2
568,1,2.6416015625,3
569,1,2.15185546875,2
570,3,2.2685546875,2
571,1,2.1240234375,2
572,1,2.6103515625,3
573,3,2.6796875,3
574,4,3.229817708333333,3
575,5,2.687825520833333,3
576,1,1.2626953125,1
577,1,3.017578125,3
578,1,3.6022135416666665,4
579,5,4.043619791666666,4
580,2,1.13671875,1
581,3,2.2755533854166665,2
582,4,2.899739583333333,3
583,1,1.1181640625,1
584,3,4.013346354166667,4
585,5,4.704427083333334,5
586,2,2.8102213541666665,3
587,3,1.29541015625,1
588,5,4.833984375,5
589,2,2.4560546875,2
590,3,4.689453125,5
591,4,4.121744791666666,4
592,2,2.26318359375,2
593,1,2.0685221354166665,2
594,1,2.7998046875,3
595,3,3.048665364583333,3
596,2,1.5813802083333335,1
597,4,2.54296875,2
598,5,2.7451171875,3
599,5,3.934895833333333,4
600,3,4.0791015625,4
601,1,1.833984375,1
602,5,3.453450520833333,4
603,2,2.7783203125,3
604,5,2.8121744791666665,3
605,3,2.855794270833333,3
606,4,3.8935546875,4
607,2,2.8551432291666665,3
608,1,4.022135416666666,4
609,4,3.1025390625,3
610,5,2.7041015625,3
611,4,3.6953125,4
612,2,2.3427734375,2
613,1,3.305989583333333,4
614,1,1.63427734375,1
615,3,2.3932291666666665,2
616,3,3.0107421875,3
617,2,2.00341796875,2
618,4,3.2477213541666665,3
619,2,3.6962890625,4
620,4,4.021809895833333,4
621,2,1.0882161458333335,1
622,1,4.701822916666667,5
623,2,2.34765625,2
624,2,3.8727213541666665,4
625,4,4.964192708333334,5
626,1,1.9806315104166665,2
627,2,2.53369140625,2
628,3,2.12841796875,2
629,2,2.9283854166666665,3
630,5,4.861328125,5
631,4,4.910807291666667,5
632,2,1.8369140625,1
633,4,3.0875651041666665,3
634,3,2.57080078125,2
635,5,4.742838541666667,5
636,2,1.2561848958333335,1
637,1,2.5869140625,3
638,2,2.8531901041666665,3
639,1,3.5963541666666665,4
640,3,4.290364583333334,5
641,1,1.0,1
642,1,1.0120442708333335,1
643,2,2.6552734375,3
644,5,2.5458984375,2
645,4,4.2099609375,5
646,3,3.9586588541666665,4
647,2,3.4248046875,4
648,2,3.4694010416666665,4
649,4,4.509114583333334,5
650,4,3.289388020833333,3
651,3,2.7018229166666665,3
652,2,1.9521484375,2
653,2,2.9029947916666665,3
654,4,4.195963541666667,5
655,2,1.9777018229166665,2
656,3,3.3307291666666665,4
657,1,3.5621744791666665,4
658,1,3.5908203125,4
659,1,2.175130208333333,2
660,2,3.682942708333333,4
661,3,1.8566080729166665,1
662,1,1.1590169270833333,1
663,1,2.0665690104166665,2
664,5,1.7057291666666665,1
665,1,2.1681315104166665,2
666,1,1.97265625,2
667,3,3.8828125,4
668,2,2.991536458333333,3
669,2,2.1002604166666665,2
670,3,2.5859375,3
671,4,3.319661458333333,4
672,1,1.2801106770833335,1
673,4,4.315104166666666,5
674,2,3.72265625,4
675,5,4.506510416666666,5
676,3,2.080891927083333,2
677,2,2.169759114583333,2
678,2,2.7711588541666665,3
679,5,4.176106770833333,5
680,4,1.9392903645833335,2
681,1,1.3133138020833333,1
682,5,2.157063802083333,2
683,2,1.77880859375,1
684,1,2.6979166666666665,3
685,1,2.6354166666666665,3
686,2,3.7991536458333335,4
687,3,4.520833333333334,5
688,3,2.2262369791666665,2
689,3,2.266438802083333,2
690,1,3.802734375,4
691,1,3.4892578125,4
692,2,3.7718098958333335,4
693,4,4.454427083333334,5
694,3,2.569661458333333,2
695,2,2.5221354166666665,2
696,3,3.650065104166667,4
697,4,1.8396809895833333,1
698,1,1.97314453125,2
699,5,4.225260416666666,5
700,4,2.9029947916666665,3
701,5,2.783528645833333,3
702,5,4.8046875,5
703,3,3.876953125,4
704,5,1.9845377604166665,2
705,5,4.2587890625,5
706,4,3.607747395833333,4
707,5,2.8956705729166665,3
708,3,2.615234375,3
709,3,3.2262369791666665,3
710,4,3.867838541666667,4
711,2,3.0201822916666665,3
712,1,2.145833333333333,2
714,2,4.017903645833333,4
715,3,1.6875,1
716,4,2.6339518229166665,3
717,4,4.154947916666666,5
719,3,2.6142578125,3
720,2,3.0699869791666665,3
721,1,2.5888671875,3
722,1,1.0,1
724,4,4.560221354166666,5
726,2,4.069010416666667,4
727,3,2.754231770833333,3
728,4,4.649088541666666,5
730,3,3.6962890625,4
731,5,4.766927083333334,5
732,4,2.584309895833333,3
733,4,2.3583984375,2
734,5,4.806640625,5
735,3,3.915690104166667,4
736,2,3.4733072916666665,4
737,1,2.113606770833333,2
738,2,3.851236979166667,4
739,3,2.7392578125,3
740,4,4.610677083333334,5
741,5,4.1181640625,4
742,1,1.1692708333333333,1
745,1,1.0472005208333335,1
746,3,3.2311197916666665,3
747,4,3.187825520833333,3
750,2,2.44140625,2
752,2,1.7096354166666665,1
753,1,2.3955078125,2
754,4,3.9075520833333335,4
755,2,1.9443359375,2
757,1,2.6689453125,3
758,3,2.374348958333333,2
759,3,2.3046875,2
760,4,2.3544921875,2
761,2,2.5537109375,2
762,1,1.79736328125,1
763,4,2.7194010416666665,3
764,1,2.3798828125,2
766,1,1.9046223958333333,2
768,5,4.919921875,5
771,3,3.037109375,3
772,4,2.4147135416666665,2
774,2,4.518880208333334,5
775,3,2.443359375,2
777,4,3.739583333333333,4
778,3,1.4366861979166665,1
779,5,1.4298502604166665,1
780,2,2.9873046875,3
781,1,2.412109375,2
782,2,1.83203125,1
783,1,3.357421875,4
785,5,2.272298177083333,2
786,3,2.4586588541666665,2
787,1,2.1017252604166665,2
788,5,3.2197265625,3
789,2,1.86669921875,1
790,3,3.096028645833333,3
791,1,2.9267578125,3
792,5,3.014485677083333,3
793,4,3.209309895833333,3
794,4,3.5947265625,4
795,1,2.6085611979166665,3
797,5,5.0,5
798,1,1.36181640625,1
801,2,2.340169270833333,2
802,4,3.631510416666667,4
803,4,2.154134114583333,2
804,1,1.0828450520833335,1
805,2,2.1324869791666665,2
806,4,2.794270833333333,3
807,4,4.4423828125,5
808,4,2.466145833333333,2
810,2,4.143229166666667,4
812,1,2.6650390625,3
813,1,1.2423502604166665,1
814,3,2.2184244791666665,2
815,4,3.3024088541666665,4
816,2,3.992838541666667,4
817,4,3.671223958333333,4
819,3,3.209309895833333,3
821,2,2.3951822916666665,2
822,3,2.309407552083333,2
823,4,2.3720703125,2
825,1,1.5974934895833333,1
826,2,2.4513346354166665,2
827,4,3.7819010416666665,4
829,1,1.8611653645833333,1
830,2,3.564453125,4
831,2,1.943359375,2
832,1,1.7096354166666667,1
833,1,2.614095052083333,3
836,3,3.185546875,3
837,4,4.618489583333334,5
838,4,3.83984375,4
839,2,1.80419921875,1
840,1,1.2433268229166665,1
841,5,2.873046875,3
842,4,3.693033854166667,4
843,4,2.7858072916666665,3
844,3,1.3917643229166665,1
845,3,1.5403645833333335,1
846,4,1.8019205729166665,1
847,4,2.19873046875,2
848,5,4.088541666666666,4
850,3,2.500325520833333,2
851,4,3.7630208333333335,4
852,2,1.5157877604166665,1
853,3,2.295735677083333,2
854,1,1.899251302083333,2
855,5,4.700520833333334,5
