id,Label,oof_score,oof_pred
0,1,1.3505540161023204,1
1,1,2.3704210235138468,2
2,2,3.033426413423879,3
3,1,3.4585259570818705,4
4,1,2.1520704599372222,2
5,2,2.66172618494048,3
6,3,3.0206235025337076,3
7,3,3.1748901585695135,4
8,4,3.4717187215357916,4
9,1,2.4659755349482477,2
10,3,4.033522490975301,5
11,4,3.2304618861771788,4
12,4,2.442420518542563,2
13,2,1.9817247005130825,2
14,5,4.296472529104775,5
15,2,3.299546962765724,4
16,4,3.9019694084436543,5
17,5,3.0354546878614084,3
18,5,3.921513643761055,5
19,4,3.1151994928402833,4
20,4,4.119985593788639,5
21,2,2.355637226828202,2
22,5,4.221635804270426,5
23,5,3.528257091642251,4
24,3,2.6873133649213674,3
25,2,2.524555943185589,3
26,5,3.6554961338548098,4
27,4,2.239580806498654,2
28,4,2.789293901810402,3
29,4,3.088483126396908,3
30,4,3.613090925740041,4
31,5,3.914285959500041,5
32,5,3.3308312504377424,4
33,4,4.125514885221741,5
34,3,1.6319936703442377,1
35,3,2.684587342052739,3
36,3,2.3812205777158937,2
37,4,3.8216216099425715,5
38,5,4.421056069563576,5
39,5,4.037171242460914,5
40,3,2.7302438021022466,3
41,5,3.623163412744886,4
42,5,2.592248044864025,3
43,5,3.7748010992723566,4
44,1,1.5655488212012818,1
45,4,3.614656106665475,4
46,1,2.828088425385145,3
47,5,4.706398115637266,5
48,4,3.698451435833202,4
49,1,1.4108558405643157,1
50,4,3.5000581909272803,4
51,3,3.3192295283531497,4
52,5,3.1299820436535084,4
53,4,2.8863816814241936,3
54,1,2.1153408475878104,2
55,1,3.5030172182501413,4
56,2,3.255175057481627,4
57,1,2.513912866171225,3
58,1,1.4797869185921144,1
59,2,2.534242967222939,3
60,4,4.684929380173678,5
61,3,3.7743043163991024,4
62,2,3.6834148812205623,4
63,5,4.454812256545045,5
64,4,4.052443743571529,5
65,5,3.7372922897507554,4
66,3,4.4107532373052845,5
67,1,1.5673083123647067,1
68,4,3.702416937600763,4
69,5,3.977310086969668,5
70,3,3.5975264655899952,4
71,3,3.5637661387187904,4
72,5,4.137579434665474,5
73,2,1.7252980708579218,1
74,4,2.4835061752401835,2
75,5,4.664097133391325,5
76,5,4.975553249768278,5
77,5,5.0,5
78,2,2.872256689494252,3
79,3,3.6199510660887873,4
80,1,2.2577079789927494,2
81,2,3.504033796308253,4
82,3,3.3687577856374853,4
83,2,2.8820201976158386,3
84,3,2.836614206142742,3
85,1,2.084615101427916,2
86,5,3.935260339048034,5
87,1,1.058090515104186,1
88,1,1.1350401572198807,1
89,1,1.24308809362003,1
90,2,4.089429274235427,5
91,4,4.1530030577131605,5
92,4,2.860199203175779,3
93,3,2.9043382435776985,3
94,4,4.563455531358324,5
95,2,2.4535615021699146,2
96,4,3.3133106600325326,4
97,4,3.6812175650255194,4
98,4,3.696556489304033,4
99,5,3.363846790361863,4
100,3,2.889658505340161,3
101,4,2.4994966891798702,3
102,3,2.9820725490246818,3
103,1,2.3187879916179512,2
104,2,4.035756329130085,5
105,1,2.2695448837006413,2
106,3,4.232603258129899,5
107,4,3.80770578276652,4
108,1,3.29236590782973,4
109,1,3.9674629132176724,5
110,3,4.432013821602514,5
111,5,4.041756641770023,5
112,4,3.280175039950148,4
113,2,3.555048765557926,4
114,4,3.7848060387202316,4
115,3,2.9866439436356287,3
116,1,2.030981672380972,2
117,2,1.8365962157101743,1
118,1,2.8073962012650595,3
119,3,2.5027645756235906,3
120,1,3.3348981878795763,4
121,3,3.6262480815859037,4
122,5,3.627773770817009,4
123,5,2.1721132644243255,2
124,5,4.041883596499558,5
125,3,4.06656395987723,5
126,4,3.462002363375187,4
127,2,1.988618705329594,2
128,3,3.877637230466439,5
129,5,2.136249651397501,2
130,4,3.6278897172273243,4
131,3,2.9723860136269167,3
132,1,2.545335813630779,3
133,2,2.375405801630227,2
134,5,3.0213093659458536,3
135,5,2.686974674749232,3
136,1,2.782095791525932,3
137,1,1.6891950455813838,1
138,3,3.6713260727220094,4
139,5,4.760820696556866,5
140,5,4.643549069679762,5
141,5,4.647899900334084,5
142,5,4.321283401869824,5
143,3,2.3632725734930524,2
144,1,2.8045605874611095,3
145,4,2.5947774786448274,3
146,5,4.580268727943756,5
147,1,1.3973277610431991,1
148,1,3.1111804548213318,4
149,1,1.1563609107333146,1
150,2,3.4172779437285836,4
151,4,4.107750092065383,5
152,4,2.68118112970458,3
153,1,2.795287403695238,3
154,1,2.5688847641325934,3
155,5,3.8770350680069106,5
156,4,4.441012096852229,5
157,1,2.7663858496966505,3
158,1,4.242918578948048,5
159,2,2.453288480782118,2
160,2,2.288021033831862,2
161,3,3.849064215211816,5
162,4,1.5699700988817074,1
163,5,4.241740318085814,5
164,1,1.3128856473078478,1
165,2,2.768590285602886,3
166,1,1.6160975731083727,1
167,1,2.9876667397901233,3
168,3,2.1976381043049305,2
169,5,3.1130799972533847,4
170,5,4.22100405252737,5
171,5,4.296644840854504,5
172,4,2.62362875811127,3
173,3,3.4111731684933213,4
174,1,4.003309959055645,5
175,4,4.138844642288536,5
176,4,2.697908328036955,3
177,4,3.2138564843006563,4
178,5,4.438361662807145,5
179,3,3.9023724550896586,5
180,4,4.3743014275782155,5
181,5,4.0616307733065184,5
182,2,2.6656614264915626,3
183,3,2.9775323696146767,3
184,1,3.9502903836839725,5
185,4,3.764294718680955,4
186,5,4.862649522745358,5
187,2,1.9722725362756588,2
188,5,3.4106074111963505,4
189,4,3.3897800438444294,4
190,2,2.9143177251596066,3
191,1,1.9223205291934313,1
192,2,3.9731426636818856,5
193,5,4.046941303285518,5
194,4,4.01507809809906,5
195,3,3.369108778061229,4
196,1,2.699055417694625,3
197,1,1.7682880879343401,1
198,2,3.5314489495799304,4
199,3,2.3355310709907897,2
200,2,2.769588774453248,3
201,5,4.049646062621056,5
202,5,4.581677107510154,5
203,5,5.0,5
204,4,4.385362538570331,5
205,2,3.010119097205979,3
206,1,4.442335656935494,5
207,2,4.144289479319399,5
208,3,3.2017895637251392,4
209,1,1.2617431031507553,1
210,1,1.2157475242904696,1
211,4,3.764461068653078,4
212,1,3.0481416918403026,3
213,4,2.8721443296656197,3
214,5,4.113264300048728,5
215,4,3.0404048615967545,3
216,3,3.8092818382661116,4
217,1,3.357895758116806,4
218,1,2.11810796507711,2
219,5,2.3840876997692306,2
220,4,3.7811790914677372,4
221,5,4.22205355867422,5
222,5,3.8984628182030656,5
223,3,4.594829430692469,5
224,1,2.5473401346174067,3
225,5,4.340335084893919,5
226,5,4.219809562153375,5
227,4,3.555955637620895,4
228,4,4.200700837961346,5
229,2,2.870375909886696,3
230,5,4.452588427683534,5
231,4,4.182151628189665,5
232,4,2.5399493541960965,3
233,4,2.6948019898006503,3
234,3,2.7154627722580336,3
235,5,4.610391485887247,5
236,1,1.7034665466653647,1
237,1,1.7401711061837575,1
238,1,3.3111023520814484,4
239,2,2.3728497990293898,2
240,2,2.9096634518465745,3
241,1,1.9432304345930973,1
242,3,4.760683784837905,5
243,3,3.432241495798535,4
244,4,4.416823167083006,5
245,5,4.670529797625274,5
246,4,4.170791804910309,5
247,5,3.8224957098725625,5
248,3,2.0728108370370766,2
249,1,1.140782459272171,1
250,1,1.17215783312112,1
251,4,3.9584120468413184,5
252,5,4.651306982974616,5
253,5,4.446147343247723,5
254,1,1.3352633719661675,1
255,2,2.585071534294475,3
256,2,3.2746279935224045,4
257,5,3.5200179958145177,4
258,4,3.070906411454451,3
259,5,4.552738532932265,5
260,1,2.552257868747641,3
261,4,3.6404792350480717,4
262,2,2.753184500682883,3
263,4,4.195395253594937,5
264,3,4.323302453060047,5
265,3,3.93650609972297,5
266,1,1.726898636394301,1
267,1,1.7681778006951763,1
268,2,3.1087924554837123,4
269,3,4.626011759821595,5
270,4,3.4660004052087916,4
271,5,4.179315260870579,5
272,5,2.9456873881141217,3
273,4,3.0826399100166815,3
274,4,3.917738179609383,5
275,5,4.5773820572497055,5
276,2,2.219482054029589,2
277,2,4.202812082617681,5
278,1,2.9448984520026724,3
279,4,4.63639200690986,5
280,3,3.3193977948078794,4
281,1,1.92929762104924,1
282,5,3.697876406632039,4
283,4,4.187322895941573,5
284,2,3.4408937034705778,4
285,4,4.28844959750993,5
286,1,1.5241761940403205,1
287,4,2.883530675643081,3
288,1,2.1305610425657378,2
289,1,2.018435964265314,2
290,1,2.7635834131610704,3
291,5,4.863381678613483,5
292,4,4.174291156179915,5
293,5,4.5637685233380765,5
294,1,2.387943540861057,2
295,2,2.331771847541574,2
296,3,4.100866339377003,5
297,3,2.933303363366888,3
298,4,4.253892629679898,5
299,5,3.7365802333006477,4
300,3,2.3460006343395388,2
301,2,3.840401602487269,5
302,4,4.55076000727151,5
303,5,4.2149546411082905,5
304,5,4.4899072356690874,5
305,1,1.2045305275181284,1
306,1,1.2109476405113662,1
307,1,2.436200168253643,2
308,2,3.8658649004054713,5
309,2,1.796246894869854,1
310,4,4.090837601712088,5
311,3,3.521098263255295,4
312,3,3.5427477968842704,4
313,1,2.8962014265061677,3
314,2,3.184022451418843,4
315,4,3.0631529062344285,3
316,2,4.018397445050459,5
317,5,4.262038854932458,5
318,2,2.821782623520458,3
319,3,3.643930611391032,4
320,1,3.63437261821945,4
321,2,3.409848319488548,4
322,5,4.010197620958336,5
323,4,3.6827835530409656,4
324,5,4.5070716167186475,5
325,2,3.568549003096699,4
326,1,2.185646790152182,2
327,5,3.089841924802397,3
328,5,4.933279530253769,5
329,3,1.816503745983353,1
330,1,2.340873706445515,2
331,2,2.1259457333040888,2
332,1,2.0185207806703005,2
333,3,2.8515387959375085,3
334,5,4.229687800743616,5
335,5,3.6811853957815863,4
336,3,4.384272070404711,5
337,1,2.7006581208039213,3
338,5,4.579358419426535,5
339,3,3.342097958476803,4
340,1,2.063689981720649,2
341,2,3.2243718805613852,4
342,5,4.840783294715911,5
343,2,1.705448137104271,1
344,1,3.7954985737846183,4
345,1,2.0563618163365143,2
346,1,1.3366890899282646,1
347,1,1.2071747884194655,1
348,5,3.467456465136395,4
349,4,3.3823674783599857,4
350,2,1.9377760845462113,1
351,2,4.216481606097177,5
352,5,3.2011646845333184,4
353,5,4.279100921512461,5
354,5,2.5402675021743018,3
355,5,2.643191602145026,3
356,5,4.203667160685187,5
357,2,2.695654760580704,3
358,3,3.818373847959507,5
359,1,1.7892619004863946,1
360,3,3.4797715601833166,4
361,1,2.221998898570652,2
362,1,1.5866783706346368,1
363,5,3.395960131152269,4
364,2,2.547194072846369,3
365,3,2.0797854049359543,2
366,4,1.8509141341423863,1
367,1,4.2206587271844835,5
368,2,3.272800195192393,4
369,5,3.047287378160718,3
370,4,3.473071225012706,4
371,3,3.153950942628768,4
372,1,3.161450084779859,4
373,1,2.8991218658047946,3
374,4,3.4387625034142477,4
375,4,4.342015986922775,5
376,1,3.4356224235919868,4
377,2,3.2924650437922236,4
378,1,2.0354372822259923,2
379,5,2.005192485891405,2
380,3,2.8879805458310375,3
381,1,1.8395432353073355,1
382,2,4.48028695193053,5
383,4,4.512190169593719,5
384,1,3.4077649804336136,4
385,1,2.633096645097577,3
386,1,1.8165757643246239,1
387,1,1.1880636072436181,1
388,2,3.45642366402856,4
389,3,4.3379964639501125,5
390,2,2.4295706723724866,2
391,3,4.028133220899691,5
392,2,1.9350391972549594,1
393,4,3.3678801475086138,4
394,1,1.9355132328454774,1
395,2,3.2909766790913313,4
396,1,1.7615504523359957,1
397,3,3.5891865416560735,4
398,4,4.450952100416358,5
399,3,3.792674415491705,4
400,2,3.545977997751704,4
401,2,4.4916581596871925,5
402,1,3.33403517768782,4
403,1,1.5973510986549624,1
404,1,3.2054228737201216,4
405,3,1.9162065573239118,1
406,2,3.9835245098181256,5
407,1,3.628930343321409,4
408,2,3.4263434199373997,4
409,1,1.187535629409876,1
410,2,3.8216508031054692,5
411,3,2.4156910489970245,2
412,4,4.511785735825496,5
413,1,1.2398595012191067,1
414,1,1.238123405803141,1
415,5,3.902099188109392,5
416,1,2.3231012410312646,2
417,3,2.605166936172584,3
418,2,3.4695806256709596,4
419,5,3.404157988485786,4
420,3,2.8591662475839064,3
421,2,3.830634068659154,5
422,1,1.992741356226699,2
423,5,3.887064900262127,5
424,5,3.814059493313816,4
425,2,4.331579727096322,5
426,1,1.9236130328857999,1
427,3,1.576382366003455,1
428,4,2.990599705007365,3
429,1,1.1749273961723934,1
430,1,1.833762199693129,1
431,1,2.369136951277479,2
432,1,3.01279025150753,3
433,2,3.674818614582502,4
434,3,4.272331945028444,5
435,4,4.48287556575148,5
436,3,2.2369957020587568,2
437,5,4.365477316825141,5
438,2,1.818131099316291,1
439,1,2.5045394822988483,3
440,2,3.3265270017018596,4
441,1,2.4213018264044637,2
442,4,2.9040743185015336,3
443,5,3.616959532069835,4
444,5,4.4376114910399975,5
445,5,3.0338378139200146,3
446,2,2.5568899830989786,3
447,1,1.89608821027571,1
448,1,2.493828056121564,2
449,3,4.34697529088677,5
450,3,4.631940125611481,5
451,2,2.5661390037567666,3
452,5,3.827918745112641,5
453,5,4.08558038468354,5
454,1,1.36887924908533,1
455,1,1.2299245990338865,1
456,1,1.2934863381542245,1
457,2,1.8105944576484305,1
458,2,2.846959048435972,3
459,3,3.024134349958296,3
460,2,3.641541003904346,4
461,1,2.960793890920252,3
462,3,3.3407112031256485,4
463,2,2.610765751858644,3
464,2,1.6481614576924566,1
465,1,3.2034430430192695,4
466,1,2.0029139629455344,2
467,2,2.687501438865646,3
468,4,3.7448751999033814,4
469,5,4.048947801461889,5
470,3,3.190697509633741,4
471,1,1.8096556640393735,1
472,2,2.710332164602515,3
473,1,1.527002457095162,1
474,2,3.126965394237544,4
475,4,4.604741753253977,5
476,4,4.70369268906974,5
477,1,2.814742833798758,3
478,3,2.7011454278175044,3
479,1,3.800811978422468,4
480,4,1.955214867708972,1
481,3,2.439566481867743,2
482,2,2.8381951212931114,3
483,1,1.9026593212723688,1
484,3,2.6214330308384053,3
485,3,3.597183285832615,4
486,4,3.7230371394728667,4
487,1,2.2471710954024675,2
488,2,1.5314362316197754,1
489,5,2.8078864020293284,3
490,5,2.4510926896559355,2
491,4,2.7523388623301845,3
492,1,1.6380439119421348,1
493,2,3.787306262442371,4
494,3,2.4741433248240545,2
495,3,2.5689421000401524,3
496,5,4.4143401836486,5
497,4,3.729971224384811,4
498,5,3.983726224605106,5
499,4,2.51706612588497,3
500,5,3.124970868481455,4
501,4,2.3199675856451187,2
502,5,4.058756317392181,5
503,5,3.818325000430155,5
504,2,2.723525660296171,3
505,4,3.8106981867052845,4
506,2,3.3884116724453106,4
507,2,2.4057882071782437,2
508,5,2.8944471930085784,3
509,2,3.2649830057819598,4
510,3,2.446204269958287,2
511,1,2.116164938160628,2
512,5,3.9821323304734184,5
513,2,3.0899340754423985,3
514,1,2.409387943997863,2
515,1,1.8736336580282296,1
516,2,2.11812131047185,2
517,4,3.619940114214156,4
518,5,3.4059108378735274,4
519,5,1.5493218891712448,1
520,2,3.5609392188693034,4
521,4,3.1560900938081176,4
522,5,4.796244063244901,5
523,2,1.7001173437499149,1
524,1,3.383310277377846,4
525,1,1.901724170719869,1
526,1,2.352201537833855,2
527,3,3.8946520227172665,5
528,2,1.9386760307921085,1
529,2,2.2296729751009425,2
530,1,3.2343257442110183,4
531,2,1.7179332729295362,1
532,3,1.8644031695215184,1
533,2,3.342553865323907,4
534,4,3.4353270827168716,4
535,3,2.415942020885378,2
536,5,3.877090858426522,5
537,5,3.619512668677555,4
538,1,1.7911856025043729,1
539,2,2.89722152869936,3
540,5,3.2560116275341313,4
541,1,1.27593489565521,1
542,2,4.123862835844505,5
543,1,2.9572495896421653,3
544,1,2.399658274128241,2
545,5,3.113475733924915,4
546,3,2.3986678815775453,2
547,1,1.9024439292705306,1
548,5,3.0536505564290484,3
549,2,2.4084940458924193,2
550,5,3.931843918630377,5
551,1,2.6715060218060698,3
552,3,3.020170699621073,3
553,2,3.340982653998961,4
554,1,2.028330282723112,2
555,1,2.0260801974086284,2
556,3,2.838848186650395,3
557,4,2.4051085259623095,2
558,5,3.5285558379541673,4
559,2,2.2878498874646747,2
560,5,3.4960133934078663,4
561,3,2.762638675390914,3
562,2,1.5193268205656734,1
563,5,2.734912760866741,3
564,5,4.2657532164336365,5
565,1,2.8606651675739685,3
566,2,2.789333362672463,3
567,1,2.0403064785920977,2
568,1,2.3176548454855226,2
569,1,2.1452492134385306,2
570,3,1.958025141884344,1
571,1,1.929268514583808,1
572,1,2.6182435145062644,3
573,3,2.912662243928617,3
574,4,3.0466645197409634,3
575,5,2.582085017845713,3
576,1,1.6637838456170222,1
577,1,3.2817588643913247,4
578,1,2.974361009967617,3
579,5,3.5117486686782233,4
580,2,1.460746761948346,1
581,3,2.4925173541773766,2
582,4,2.9916480709634556,3
583,1,1.3647168626254378,1
584,3,3.515436539670639,4
585,5,4.234897187250204,5
