id,Label,oof_score,oof_pred
0,1,1.1676395657780014,1
1,1,2.2786197778106034,2
2,2,3.0047648572036283,3
3,1,3.420907716295684,4
4,1,2.0290147579951254,2
5,2,2.6227835083337863,3
6,3,3.021856134515107,3
7,3,3.1255092193409584,4
8,4,3.46541012411393,4
9,1,2.4327266692194036,3
10,3,4.1378263142594065,5
11,4,3.240726946757704,4
12,4,2.320320923627631,2
13,2,1.8457607544588635,2
14,5,4.35843231125682,5
15,2,3.2715112392544645,4
16,4,3.99021225161989,5
17,5,3.000707264460454,3
18,5,3.9763603109089463,5
19,4,3.1426836596331738,4
20,4,4.1997423770399385,5
21,2,2.2442832815298344,2
22,5,4.294894718903576,5
23,5,3.56265121678873,4
24,3,2.5871695939900152,3
25,2,2.435269466843386,3
26,5,3.6734104666502345,4
27,4,2.041095717380035,2
28,4,2.720034664387536,3
29,4,3.030735310475797,3
30,4,3.6163608066902313,4
31,5,3.9279827432252556,5
32,5,3.3383756791742574,4
33,4,4.16264492177411,5
34,3,1.4558021335998734,1
35,3,2.5780777870059612,3
36,3,2.2434749239205525,2
37,4,3.920458468043753,5
38,5,4.52708956546343,5
39,5,4.223047898627923,5
40,3,2.5744857576247813,3
41,5,3.563832233866738,4
42,5,2.5934488363009867,3
43,5,3.7535016625221838,4
44,1,1.3159410752752596,1
45,4,3.6315438929813926,4
46,1,2.727124975232833,3
47,5,4.819441566258212,5
48,4,3.748232695208343,4
49,1,1.2350497148927728,1
50,4,3.5876332022751853,4
51,3,3.384897296561787,4
52,5,3.040604524576463,3
53,4,2.812138104392984,3
54,1,2.0077436822218537,2
55,1,3.5692385719188926,4
56,2,3.332438845222989,4
57,1,2.4040787170248032,2
58,1,1.2665041310600302,1
59,2,2.5028872982655095,3
60,4,4.798605001322746,5
61,3,3.8071878839580338,4
62,2,3.6609115141497464,4
63,5,4.584659956070438,5
64,4,4.098184581430595,5
65,5,3.8103510194504313,4
66,3,4.503659314694712,5
67,1,1.3866751802469521,1
68,4,3.727442491563951,4
69,5,4.055721367889765,5
70,3,3.66483690722319,4
71,3,3.607440658545766,4
72,5,4.2325876372348645,5
73,2,1.6006235680184309,1
74,4,2.4510702179327533,3
75,5,4.8096467464662,5
76,5,5.0,5
77,5,5.0,5
78,2,2.818779619781096,3
79,3,3.6869814274609243,4
80,1,2.166390161702647,2
81,2,3.5530831999377765,4
82,3,3.3274208223518698,4
83,2,2.842989329580427,3
84,3,2.7721882638164344,3
85,1,1.9922686285248763,2
86,5,4.041693486330454,5
87,1,1.0,1
88,1,1.0,1
89,1,1.0461644402768218,1
90,2,4.141782243551071,5
91,4,4.2271243350340715,5
92,4,2.763395344318651,3
93,3,2.865689155233234,3
94,4,4.653535043911215,5
95,2,2.3151674411144336,2
96,4,3.283965190621257,4
97,4,3.682304711743909,4
98,4,3.768466896548479,4
99,5,3.3866720813635665,4
100,3,2.9065411860158035,3
101,4,2.3305674680695914,2
102,3,2.9182285737187432,3
103,1,2.2112329705614995,2
104,2,4.063746059683434,5
105,1,2.158488435439316,2
106,3,4.299632685830077,5
107,4,3.8852686170674042,5
108,1,3.2778684023329445,4
109,1,4.0651842505939735,5
110,3,4.46283355059477,5
111,5,4.160829340129564,5
112,4,3.3244911239883734,4
113,2,3.647399983788718,4
114,4,3.8094307688811186,4
115,3,2.9605774636552527,3
116,1,1.8939330720786864,2
117,2,1.661660463657872,1
118,1,2.755390805850644,3
119,3,2.4307116584034647,3
120,1,3.3623298331882028,4
121,3,3.701501000964222,4
122,5,3.641996814218431,4
123,5,2.0231271213698485,2
124,5,4.16689832962005,5
125,3,4.1855730736705,5
126,4,3.5102960826751213,4
127,2,1.8407615024073067,2
128,3,3.908602643981581,5
129,5,1.9857582619747376,2
130,4,3.6373156003472795,4
131,3,2.9359156097876173,3
132,1,2.456375198922946,3
133,2,2.296082256221801,2
134,5,2.931407196684048,3
135,5,2.659079142446057,3
136,1,2.713254148113253,3
137,1,1.5275645718755766,1
138,3,3.637448415872947,4
139,5,4.845756367184287,5
140,5,4.821077798038147,5
141,5,4.788231680490268,5
142,5,4.455695823220356,5
143,3,2.2581315422553496,2
144,1,2.738941534811288,3
145,4,2.524131547156486,3
146,5,4.681282397215844,5
147,1,1.2099235143850398,1
148,1,3.042870694532241,3
149,1,1.0,1
150,2,3.3699140468264672,4
151,4,4.192703652349845,5
152,4,2.634546742668607,3
153,1,2.7533939998269323,3
154,1,2.47346472144163,3
155,5,3.9750359129733237,5
156,4,4.583232755454004,5
157,1,2.7319798771661077,3
158,1,4.35641141197901,5
159,2,2.2794013581327617,2
160,2,2.1630823220311584,2
161,3,3.8933153413747306,5
162,4,1.3809355322545716,1
163,5,4.277726716996934,5
164,1,1.1069822316012186,1
165,2,2.6725655363809038,3
166,1,1.3902534271918907,1
167,1,2.9410406480556057,3
168,3,2.1349622889230595,2
169,5,3.129014570805242,4
170,5,4.2914026408034625,5
171,5,4.401554798770543,5
172,4,2.570898820944812,3
173,3,3.544439261827044,4
174,1,4.06461457475254,5
175,4,4.249209784061669,5
176,4,2.631772952942454,3
177,4,3.1934243837156453,4
178,5,4.545185272486284,5
179,3,4.0500456070837245,5
180,4,4.446538572549972,5
181,5,4.196481285535922,5
182,2,2.6942404497689503,3
183,3,2.951293862656828,3
184,1,4.077856416122538,5
185,4,3.766695160146157,4
186,5,4.989891726716745,5
187,2,1.8402125899449864,2
188,5,3.42894931421438,4
189,4,3.4577931574390908,4
190,2,2.8649345917990736,3
191,1,1.7844279318868799,1
192,2,4.033402353599001,5
193,5,4.171670185877228,5
194,4,4.100627990121584,5
195,3,3.3966736392237635,4
196,1,2.600658338668529,3
197,1,1.6117893915395474,1
198,2,3.545205596021911,4
199,3,2.267283759865302,2
200,2,2.7299517924368715,3
201,5,4.13059294090422,5
202,5,4.6949275193327615,5
203,5,5.0,5
204,4,4.453382581097995,5
205,2,2.9899113815516616,3
206,1,4.54702303895753,5
207,2,4.209364442437868,5
208,3,3.2511087491525394,4
209,1,1.0630465361204775,1
210,1,1.0,1
211,4,3.8966029197532936,5
212,1,3.066664048143571,3
213,4,2.8874259790349224,3
214,5,4.155545728161751,5
215,4,2.973101976195218,3
216,3,3.845449195330159,4
217,1,3.315314744335658,4
218,1,2.0658727965253414,2
219,5,2.315857103194066,2
220,4,3.8607514188995946,4
221,5,4.324060054593319,5
222,5,3.969363334700258,5
223,3,4.705434455379106,5
224,1,2.508665963519779,3
225,5,4.424294236650642,5
226,5,4.321677705044478,5
227,4,3.619078896761599,4
228,4,4.310496570674832,5
229,2,2.7826887983871345,3
230,5,4.570533206103468,5
231,4,4.305077188807776,5
232,4,2.4646779600922497,3
233,4,2.602946990874008,3
234,3,2.632919929464709,3
235,5,4.6817697719302815,5
236,1,1.6285142123039824,1
237,1,1.6020468180875358,1
238,1,3.2861423131619776,4
239,2,2.2591671243731426,2
240,2,2.9083447806353204,3
241,1,1.874322163155797,2
242,3,4.865328471370937,5
243,3,3.4307543647181884,4
244,4,4.515909329332844,5
245,5,4.788488208214298,5
246,4,4.262697398523458,5
247,5,3.8718042539306365,4
248,3,1.9771747061249556,2
249,1,1.0,1
250,1,1.0,1
251,4,4.036838515681088,5
252,5,4.809570526323478,5
253,5,4.528773516816899,5
254,1,1.1304471430784369,1
255,2,2.4876719591292757,3
256,2,3.2250404695833064,4
257,5,3.6091713544090576,4
258,4,3.058149483096017,3
259,5,4.701739128420085,5
260,1,2.4461803932479107,3
261,4,3.6857645949449545,4
262,2,2.667358077108359,3
263,4,4.3294297265424575,5
264,3,4.45848436354377,5
265,3,3.9804271291636386,5
266,1,1.630102501373712,1
267,1,1.6038315118059667,1
268,2,3.1246763343183277,4
269,3,4.718287092171281,5
270,4,3.5070447425456015,4
271,5,4.342483457451586,5
272,5,2.8947708196021384,3
273,4,3.0528999807752184,3
274,4,3.9618391268107596,5
275,5,4.708880279135442,5
276,2,2.0738531814525762,2
277,2,4.302839035169457,5
278,1,2.9244230338754766,3
279,4,4.7853094195836245,5
280,3,3.356206112747338,4
281,1,1.7832211022659983,1
282,5,3.8120400898602407,4
283,4,4.269410028707508,5
284,2,3.4564359325074685,4
285,4,4.403980428684719,5
286,1,1.3578252056275903,1
287,4,2.8622053349391923,3
288,1,1.9560936174633952,2
289,1,1.8453893562757087,2
290,1,2.685570946728088,3
291,5,5.0,5
292,4,4.368160107868301,5
293,5,4.6770408169149125,5
294,1,2.3075947210209202,2
295,2,2.278268060800281,2
296,3,4.281624944936261,5
297,3,2.8875695866697075,3
298,4,4.43404164902806,5
299,5,3.6412406049256028,4
300,3,2.2246171019335863,2
301,2,3.880794682630789,5
302,4,4.657342142713803,5
303,5,4.2963355805488455,5
304,5,4.586470840589249,5
305,1,1.0024671911034653,1
306,1,1.0,1
307,1,2.3341844758651815,2
308,2,3.9312057570744994,5
309,2,1.6493036860679917,1
310,4,4.1414798302901366,5
311,3,3.5456655279991898,4
312,3,3.6394855830981427,4
313,1,2.888462220962703,3
314,2,3.1894511382768087,4
315,4,3.060357283569824,3
316,2,4.075961828796861,5
317,5,4.353046673495058,5
318,2,2.7638433046711492,3
319,3,3.678318750194781,4
320,1,3.6786513173387516,4
321,2,3.400328629994677,4
322,5,4.060552354511451,5
323,4,3.830330461060788,4
324,5,4.583092009993553,5
325,2,3.593831159569034,4
326,1,2.153234625939066,2
327,5,3.1203747103643016,4
328,5,5.0,5
329,3,1.6289451394103764,1
330,1,2.2057644960302074,2
331,2,2.010888566416238,2
332,1,1.9360974063625382,2
333,3,2.8185254645400297,3
334,5,4.350952887835597,5
335,5,3.6968902258583505,4
336,3,4.52644601810526,5
337,1,2.6349400943883525,3
338,5,4.676842107959914,5
339,3,3.383650961558999,4
340,1,1.9642482028000898,2
341,2,3.269654179063343,4
342,5,5.0,5
343,2,1.5493308733377733,1
344,1,3.8507895436562007,4
345,1,1.9416913206437747,2
346,1,1.1075573043203621,1
347,1,1.0035054247482416,1
348,5,3.48368767966263,4
349,4,3.4146693134935027,4
350,2,1.8465146477599805,2
351,2,4.310654525732232,5
352,5,3.200076557275639,4
353,5,4.392127574693129,5
354,5,2.437906060923007,3
355,5,2.4977466818072935,3
356,5,4.279602727351408,5
357,2,2.6098179128769727,3
358,3,3.834377685932581,4
359,1,1.6882636123785346,1
360,3,3.5060613442386197,4
361,1,2.1342170753680287,2
362,1,1.4157659049466542,1
363,5,3.5049022869365425,4
364,2,2.5353821627932938,3
365,3,1.9722533941356544,2
366,4,1.7251164942685457,1
367,1,4.357022342324481,5
368,2,3.316679579807394,4
369,5,2.995725674853393,3
370,4,3.491790445499988,4
371,3,3.2347609512520865,4
372,1,3.169718864304894,4
373,1,2.8864580627315655,3
374,4,3.467065368530962,4
375,4,4.486929619162704,5
376,1,3.502172828830383,4
377,2,3.297741106009534,4
378,1,1.8979234551791835,2
379,5,1.8749688396248703,2
380,3,2.9022973943091284,3
381,1,1.738590910303252,1
382,2,4.596173008999663,5
383,4,4.632322452736184,5
384,1,3.3988346233817404,4
385,1,2.572253996724367,3
386,1,1.6814300217868732,1
387,1,1.0,1
388,2,3.4213833685506674,4
389,3,4.384848878737365,5
390,2,2.3613290232942687,2
391,3,4.102797484899259,5
392,2,1.7934686000719682,1
393,4,3.3663864604348896,4
394,1,1.833103532564691,2
395,2,3.2630035423137462,4
396,1,1.614300516881483,1
397,3,3.5928278810071808,4
