id,Label,oof_score,oof_pred
0,1,1.2642189222920313,1
1,1,2.2786935601084326,2
2,2,2.997335442567125,3
3,1,3.3656360407404864,4
4,1,1.9629373644268266,2
5,2,2.663111813655518,3
6,3,2.8613785976412296,3
7,3,3.1722960500951998,4
8,4,3.2781369673871894,4
9,1,2.3423727459090524,2
10,3,3.823188302958031,5
11,4,3.2715799411152267,4
12,4,2.5220512354338216,3
13,2,2.077227047143939,2
14,5,4.238127827909995,5
15,2,3.2295840477267523,4
16,4,4.002011366757451,5
17,5,3.0100043722769563,3
18,5,3.8163798988044393,4
19,4,3.1061660837202676,4
20,4,4.081829631151482,5
21,2,2.2892572602106513,2
22,5,4.200324630334641,5
23,5,3.4092154948876323,4
24,3,2.603278985412111,3
25,2,2.568683924375863,3
26,5,3.6754960566946693,4
27,4,2.1047773253702733,2
28,4,2.8071624765292214,3
29,4,2.935313392169334,3
30,4,3.5352715362229588,4
31,5,3.793416733714693,4
32,5,3.4414072353700096,4
33,4,4.15310139662804,5
34,3,1.5352851507097822,1
35,3,2.4840972477181635,3
36,3,2.4146676026689913,2
37,4,3.764821454399913,4
38,5,4.394495493361015,5
39,5,3.9733733057253433,5
40,3,2.7116993504238485,3
41,5,3.6095098169491475,4
42,5,2.6584516401466693,3
43,5,3.721484578089957,4
44,1,1.432852652996862,1
45,4,3.5688171124914447,4
46,1,2.868854622564568,3
47,5,4.618246955298657,5
48,4,3.6527967111153132,4
49,1,1.2836526656496452,1
50,4,3.6147622405178708,4
51,3,3.4055590389193244,4
52,5,3.043719257075666,3
53,4,2.836757179677144,3
54,1,1.9842203095603854,2
55,1,3.3635611791630464,4
56,2,3.233274070466011,4
57,1,2.4744975671929526,3
58,1,1.4009595956715701,1
59,2,2.453159509733689,2
60,4,4.628604200710509,5
61,3,3.571850604961235,4
62,2,3.680066609512696,4
63,5,4.512433609612991,5
64,4,4.150529265091063,5
65,5,3.7926263511193787,4
66,3,4.419606843429866,5
67,1,1.4835313331831337,1
68,4,3.573013397754691,4
69,5,3.9201220508262344,5
70,3,3.632347950724685,4
71,3,3.5455752242530876,4
72,5,4.008298018236923,5
73,2,1.5574784992796165,1
74,4,2.4041594320593074,2
75,5,4.562737449824533,5
76,5,5.0,5
77,5,4.967356221038401,5
78,2,2.8282576110036852,3
79,3,3.635158721167949,4
80,1,2.3210964327024515,2
81,2,3.4383178098745457,4
82,3,3.374995293079236,4
83,2,2.808143747263804,3
84,3,2.6789095141569064,3
85,1,2.182495058073284,2
86,5,3.929872080331246,5
