id,Label,oof_score,oof_pred
0,1,1.1595391841518814,1
1,1,2.363232311250483,2
2,2,3.046187979876616,3
3,1,3.273383184508072,4
4,1,1.9313753688730917,2
5,2,2.6870193653720156,3
6,3,2.792615511154164,3
7,3,3.2675141677610298,4
8,4,3.7838977104856357,4
9,1,2.2700537511539722,2
10,3,3.948834643652064,5
11,4,3.1449847287465107,3
12,4,2.877701731674996,3
13,2,1.9904357010755356,2
14,5,4.4268042784803745,5
15,2,3.127108508466206,3
16,4,3.975551112762205,5
17,5,3.220933128724093,4
18,5,4.123680536081327,5
19,4,3.241609824682774,4
20,4,4.4804838280987695,5
21,2,2.332360358079244,2
22,5,4.577169118198286,5
23,5,3.6105197231009543,4
24,3,2.419053768294301,2
25,2,2.472830955428963,2
26,5,3.991460807386088,5
27,4,2.209890038699079,2
28,4,2.836606173072987,3
29,4,3.217224817414416,4
30,4,3.67966599476249,4
31,5,3.784518819837919,4
32,5,3.333116156198738,4
33,4,4.287723095880441,5
34,3,1.7554171181789129,1
35,3,2.690573206518739,3
36,3,2.3500709625243124,2
37,4,4.106325023500598,5
38,5,4.495127516077838,5
39,5,3.953638853124974,5
40,3,2.925353213184004,3
41,5,3.8391704420106434,4
42,5,2.3921025653096195,2
43,5,3.9761489055310246,5
44,1,1.7690469972252765,1
45,4,3.745160005307607,4
46,1,3.1923384691992727,4
47,5,4.382144550976925,5
48,4,3.9160713938027065,5
49,1,1.531411261240895,1
50,4,3.5826093700022628,4
51,3,3.4222400182388384,4
52,5,2.9528564659692127,3
53,4,3.108866465624378,3
54,1,2.2637199619956534,2
55,1,3.4992585509514376,4
56,2,3.3993968250153057,4
57,1,2.5675057408230257,3
58,1,1.4027798148840107,1
59,2,2.71379653766271,3
60,4,4.817652409120576,5
61,3,3.8347372009156815,4
62,2,3.7868935479639965,4
63,5,4.470977174768987,5
64,4,4.306836737036403,5
65,5,3.905458451007485,4
66,3,4.5657972556913435,5
67,1,1.6904545001684266,1
68,4,3.8786626141889213,4
69,5,4.276803414849828,5
70,3,3.6953577118758707,4
71,3,3.8682528724242915,4
72,5,4.232506071059473,5
73,2,1.8152524798440806,1
74,4,2.3929176712082967,2
75,5,4.602581414686609,5
76,5,4.970848144992603,5
77,5,4.989430017196082,5
78,2,2.97540287013366,3
79,3,3.521841512376295,4
80,1,2.5541502328276353,3
81,2,3.5734758412057097,4
82,3,3.676819295886858,4
83,2,3.239684808604653,4
84,3,2.872039350862298,3
85,1,2.2745845879845,2
86,5,4.10153265119732,5
87,1,1.0234866723376146,1
88,1,1.0607906968585827,1
89,1,1.3880868867092802,1
90,2,4.204954944942075,5
91,4,4.353567694135218,5
92,4,3.3135561006186514,4
93,3,3.0787409808860424,3
94,4,4.758363970126256,5
95,2,2.515819958998939,3
96,4,3.368240364497157,4
97,4,3.8153470607169626,4
98,4,3.9168789405928504,5
99,5,3.4339840780346003,4
100,3,2.873846336441003,3
101,4,2.8131033187179577,3
102,3,3.1577870597048348,4
103,1,2.3297138413380547,2
104,2,4.0955965632946105,5
105,1,2.2141017028614187,2
106,3,4.451868759420066,5
107,4,3.7457002670779627,4
108,1,3.4191108839142457,4
109,1,3.759145853591872,4
110,3,4.668849192525462,5
111,5,4.142643222155555,5
112,4,3.3555329087406793,4
113,2,3.456064136143463,4
114,4,3.9511188082368074,5
115,3,3.173466081620596,4
116,1,2.2018445386177925,2
117,2,2.1919728413556756,2
118,1,3.090439334348603,3
119,3,2.6000529238094505,3
120,1,3.3777136194970643,4
121,3,3.5375224764882147,4
122,5,3.829470475815387,4
123,5,2.4093216242549853,2
124,5,4.2040317885293,5
125,3,3.8650116013412528,4
126,4,3.785620068408201,4
127,2,2.2724331657932355,2
128,3,3.821453293300983,4
129,5,2.0314048319996503,2
130,4,3.6104921964072103,4
131,3,3.3475641437742376,4
132,1,2.559652393551549,3
133,2,2.2125628264641573,2
134,5,3.413592311778449,4
135,5,2.692510575962743,3
136,1,2.915651676979661,3
137,1,1.4270950237439457,1
138,3,3.906546779833145,4
139,5,4.808201682564851,5
140,5,4.759484462514385,5
141,5,4.769088165993143,5
142,5,4.662556015657793,5
143,3,2.4174619729768563,2
144,1,3.056012431788224,3
145,4,2.4585095261260905,2
146,5,4.819799156851825,5
147,1,1.5603868947363342,1
148,1,3.491623505822507,4
149,1,1.3326923116828058,1
150,2,3.561064286361576,4
151,4,4.498167096338226,5
152,4,2.8596474917918924,3
153,1,2.9065098127850155,3
154,1,2.619403244880442,3
155,5,3.728661224390912,4
156,4,4.473289378616573,5
157,1,2.673667411399259,3
158,1,4.307545297894575,5
159,2,2.8921681189766852,3
160,2,2.439798077450513,2
161,3,3.960405576530377,5
