id,score,pred
979,4.90270729936608,5
1106,2.431355240137199,2
1894,1.6679890474589871,1
1718,1.6500117839806097,1
1989,1.5896159644981556,1
2010,1.6066614532758212,1
2356,1.8420766321541846,1
1179,1.7679573833796525,1
3001,1.7127805267315315,1
796,3.4427816078486844,4
1771,1.6219411814582392,1
986,2.260969823312278,2
1725,1.2655129950620756,1
1296,3.8654015651112106,4
2983,1.6786118558482366,1
2666,2.1207954065321677,2
2573,2.1458703767575997,2
1999,2.6284028336397918,3
1828,1.3164840721410047,1
1877,4.418383312024405,5
2087,1.721462550162261,1
1581,1.780937952488882,1
1185,4.851509970205007,5
1873,1.6571503747764893,1
952,2.942550699312736,3
2572,1.2514665444839086,1
1835,3.699200711307689,4
1320,2.0426613325088225,2
2083,1.8878272696001406,1
1310,3.7316206256881035,4
1053,3.1840339362475056,4
1698,1.8754430879711919,1
1372,2.6976723442866555,3
2847,1.413425286401882,1
2537,2.0746123562049616,2
2808,1.9424020704030829,2
1311,3.0538695896428374,3
2863,2.1106487251266874,2
3085,1.3682020575752905,1
1265,2.924518820845399,3
2446,1.752677420375103,1
2186,2.5504540271239584,3
2898,1.8392596643659698,1
2529,2.6820383181588943,3
2810,1.1813639050183504,1
997,1.982047425301555,2
2836,1.42489061868578,1
2194,1.5308191211831894,1
1964,1.9033990658966258,2
910,4.17916524671981,5
2032,1.477911485071949,1
1405,4.5554690994116065,5
1305,4.430134219892816,5
799,3.0490909675840414,3
1145,3.5580714508858238,4
1083,4.228349044940194,5
2913,2.5471938382115447,3
1370,3.4822441618613844,4
1379,3.028583132710268,3
2896,2.1871487392754734,2
2406,2.1050388720519955,2
3060,1.7042502216643447,1
2470,2.305833211978327,2
1678,3.8800021647721223,4
877,2.802497437633441,3
1972,1.9739095995340623,2
1812,1.1266331162136494,1
2796,1.8405464341908235,1
3051,1.6344382387046448,1
983,1.9326544830423464,2
1275,2.3165865176789042,2
1998,1.5247474558120127,1
2210,2.084244160111083,2
2786,1.200984500504227,1
951,3.37000818280422,4
2465,1.1731194935822116,1
1228,1.5419867024515086,1
2524,1.5557642044049622,1
2093,1.4253731604415631,1
1921,4.254183165378043,5
3034,1.2645735658877273,1
1676,2.820847356457822,3
1214,3.4590521890599106,4
2275,2.0854844540060293,2
2789,2.3284002403397444,2
756,2.3803221739124933,2
1130,2.686481741716156,3
1555,1.325245353783604,1
1487,1.5682212978178942,1
2041,1.64065573433192,1
1931,1.5011662664749268,1
1349,2.43964453469715,2
725,2.8305687635906356,3
1006,3.873014115180364,4
989,4.463326782837388,5
2265,2.1471065826127567,2
1969,1.4399510309391332,1
2562,2.297403238604872,2
2959,2.6125605365201583,3
2102,1.8652180020175257,1
933,3.2580896973210125,4
1648,3.977310323829644,5
1132,2.124637341895303,2
2912,2.00152504001756,2
1602,1.0424869866278423,1
1627,3.613428646057576,4
1302,4.087478363194162,5
1910,2.1228466304367446,2
1208,1.6517076943763502,1
1109,2.8361957899543087,3
908,3.6310933953218223,4
2819,1.3004025225343192,1
2106,1.431758407055344,1
899,4.262343451187394,5
2262,2.2089297621193684,2
1429,1.784036902455438,1
828,1.838797509399424,1
1900,1.2922822209501503,1
1368,2.1623668052243383,2
767,4.256907817933904,5
849,2.653935221973197,3
1442,1.289222034499482,1
2693,2.1147984781900018,2
