name,w_bge,w_scincl,w_specter,w_ridge,oof_qwk,oof_round_qwk,oof_mae,oof_l1,test_l1,thresholds,pub_dist,pri_dist,combined_dist
bge_0p25_scincl_0p25_specter_0p25_ridge_0p25,0.25,0.25,0.25,0.25,0.6593366127420917,0.6101407023913875,0.7682437850842021,0.005613472333600683,0.1723976469701781,"1.958435,2.486977,3.120300,3.867257","{1: 121, 2: 66, 3: 54, 4: 34, 5: 23}","{1: 140, 2: 63, 3: 43, 4: 30, 5: 22}","{1: 261, 2: 129, 3: 97, 4: 64, 5: 45}"
bge_0p30_scincl_0p20_specter_0p30_ridge_0p20,0.3,0.2,0.3,0.2,0.6590651772799012,0.6175234812223173,0.7734562951082599,0.020048115477145162,0.17239764697017812,"1.948114,2.499320,3.128419,3.898257","{1: 124, 2: 65, 3: 53, 4: 34, 5: 22}","{1: 141, 2: 60, 3: 44, 4: 31, 5: 22}","{1: 265, 2: 125, 3: 97, 4: 65, 5: 44}"
bge_0p40_scincl_0p20_specter_0p25_ridge_0p15,0.4,0.2,0.25,0.15,0.6580137200461349,0.6244205106054664,0.7718524458700882,0.012830793905372881,0.1723976469701781,"1.916736,2.490496,3.154223,3.944167","{1: 119, 2: 70, 3: 53, 4: 34, 5: 22}","{1: 137, 2: 64, 3: 45, 4: 29, 5: 23}","{1: 256, 2: 134, 3: 98, 4: 63, 5: 45}"
bge_0p40_scincl_0p30_specter_0p15_ridge_0p15,0.4,0.3,0.15,0.15,0.6578227901440054,0.6230756375213511,0.7674418604651163,0.012028869286287061,0.1757533516681647,"1.946982,2.518153,3.183355,3.972268","{1: 124, 2: 66, 3: 53, 4: 34, 5: 21}","{1: 140, 2: 61, 3: 48, 4: 28, 5: 21}","{1: 264, 2: 127, 3: 101, 4: 62, 5: 42}"
bge_0p40_scincl_0p30_specter_0p25_ridge_0p05,0.4,0.3,0.25,0.05,0.657552034742646,0.6352109818530315,0.7682437850842021,0.012028869286287117,0.16233053287621835,"1.902700,2.499610,3.237097,4.053034","{1: 121, 2: 66, 3: 57, 4: 33, 5: 21}","{1: 139, 2: 61, 3: 47, 4: 28, 5: 23}","{1: 260, 2: 127, 3: 104, 4: 61, 5: 44}"
bge_0p40_scincl_0p25_specter_0p15_ridge_0p20,0.4,0.25,0.15,0.2,0.6575486644055577,0.6144992187664671,0.7710505212510024,0.0056134723336006415,0.17575335166816466,"1.956351,2.499267,3.136718,3.898512","{1: 125, 2: 65, 3: 52, 4: 34, 5: 22}","{1: 139, 2: 62, 3: 46, 4: 30, 5: 21}","{1: 264, 2: 127, 3: 98, 4: 64, 5: 43}"
bge_0p35_scincl_0p25_specter_0p20_ridge_0p20,0.35,0.25,0.2,0.2,0.6573751735480835,0.6132795920826044,0.7746591820368885,0.008821170809943837,0.1656862375742049,"1.942963,2.482373,3.132993,3.890922","{1: 122, 2: 65, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 61, 3: 47, 4: 29, 5: 21}","{1: 262, 2: 126, 3: 102, 4: 63, 5: 43}"
bge_0p50_scincl_0p25_specter_0p17_ridge_0p08,0.5,0.25,0.17,0.08,0.657168228241461,0.6301189317030123,0.7706495589414595,0.014434643143544479,0.16568623757420495,"1.902583,2.499673,3.179631,4.007670","{1: 121, 2: 68, 3: 51, 4: 37, 5: 21}","{1: 133, 2: 66, 3: 49, 4: 26, 5: 24}","{1: 254, 2: 134, 3: 100, 4: 63, 5: 45}"
bge_0p30_scincl_0p25_specter_0p25_ridge_0p20,0.3,0.25,0.25,0.2,0.657160811152036,0.6135336562273254,0.7746591820368885,0.012830793905372895,0.16233053287621835,"1.938786,2.478584,3.117245,3.891577","{1: 120, 2: 65, 3: 57, 4: 34, 5: 22}","{1: 139, 2: 63, 3: 43, 4: 31, 5: 22}","{1: 259, 2: 128, 3: 100, 4: 65, 5: 44}"
bge_0p30_scincl_0p40_specter_0p10_ridge_0p20,0.3,0.4,0.1,0.2,0.657159471169554,0.6116635086925684,0.7714514835605453,0.013632718524458715,0.15841240453598704,"1.952822,2.478151,3.121360,3.895900","{1: 123, 2: 62, 3: 55, 4: 36, 5: 22}","{1: 140, 2: 60, 3: 46, 4: 32, 5: 20}","{1: 263, 2: 122, 3: 101, 4: 68, 5: 42}"
