name,w_bge,w_scincl,w_specter,w_ridge,oof_qwk,oof_round_qwk,test_l1,knob_distance,thresholds,pub_dist,pri_dist
bge0p45_scincl0p40_specter0p10_ridge0p05,0.45,0.4,0.1,0.05,0.6546725330504155,0.6351260421495399,0.16233053287621838,2,"1.915067,2.489400,3.172521,3.999458","{1: 121, 2: 68, 3: 51, 4: 36, 5: 22}","{1: 138, 2: 60, 3: 46, 4: 31, 5: 23}"
bge0p35_scincl0p40_specter0p20_ridge0p05,0.35,0.4,0.2,0.05,0.6534880335666728,0.6336914517906418,0.15897482817823178,2,"1.895941,2.500135,3.201354,4.031274","{1: 119, 2: 66, 3: 57, 4: 35, 5: 21}","{1: 136, 2: 65, 3: 44, 4: 31, 5: 22}"
bge0p45_scincl0p40_specter0p15_ridge0p00,0.45,0.4,0.15,0.0,0.6536773159498313,0.638238937814629,0.16568623757420492,2,"1.909130,2.521032,3.216351,4.051971","{1: 124, 2: 65, 3: 52, 4: 36, 5: 21}","{1: 139, 2: 60, 3: 47, 4: 29, 5: 23}"
bge0p35_scincl0p45_specter0p15_ridge0p05,0.35,0.45,0.15,0.05,0.6541463194789761,0.6336418282204601,0.16233053287621838,2,"1.903564,2.499965,3.194168,4.022232","{1: 120, 2: 65, 3: 58, 4: 34, 5: 21}","{1: 137, 2: 65, 3: 43, 4: 31, 5: 22}"
bge0p40_scincl0p45_specter0p10_ridge0p05,0.4,0.45,0.1,0.05,0.6516246610174116,0.6355884069836771,0.16568623757420498,2,"1.919762,2.514716,3.211205,4.031063","{1: 124, 2: 63, 3: 56, 4: 35, 5: 20}","{1: 140, 2: 61, 3: 47, 4: 29, 5: 21}"
bge0p40_scincl0p35_specter0p20_ridge0p05,0.4,0.35,0.2,0.05,0.65391893058865,0.6354299677568026,0.17575335166816464,2,"1.909766,2.515189,3.211276,4.040157","{1: 121, 2: 69, 3: 53, 4: 34, 5: 21}","{1: 140, 2: 61, 3: 45, 4: 29, 5: 23}"
bge0p40_scincl0p45_specter0p15_ridge0p00,0.4,0.45,0.15,0.0,0.6540362565753906,0.638303729886781,0.15226341878225863,2,"1.878233,2.496228,3.201742,4.037465","{1: 118, 2: 66, 3: 57, 4: 35, 5: 22}","{1: 137, 2: 63, 3: 42, 4: 33, 5: 23}"
bge0p45_scincl0p35_specter0p15_ridge0p05,0.45,0.35,0.15,0.05,0.6569382940811543,0.6359912724032922,0.15897482817823178,2,"1.915852,2.492477,3.188528,4.026969","{1: 124, 2: 64, 3: 52, 4: 37, 5: 21}","{1: 139, 2: 59, 3: 48, 4: 29, 5: 23}"
bge0p40_scincl0p40_specter0p10_ridge0p10,0.4,0.4,0.1,0.1,0.6546612624782457,0.6295549663902145,0.1556191234802452,2,"1.933210,2.494156,3.163412,3.970068","{1: 124, 2: 63, 3: 55, 4: 35, 5: 21}","{1: 138, 2: 60, 3: 48, 4: 30, 5: 22}"
bge0p40_scincl0p40_specter0p20_ridge0p00,0.4,0.4,0.2,0.0,0.6534171002811257,0.6370568790322138,0.15226341878225863,2,"1.888850,2.490895,3.194163,4.035904","{1: 121, 2: 63, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 62, 3: 42, 4: 33, 5: 23}"
bge0p45_scincl0p45_specter0p05_ridge0p05,0.45,0.45,0.05,0.05,0.6516667234391003,0.633906458102439,0.16233053287621832,3,"1.915066,2.498437,3.162450,4.000837","{1: 124, 2: 65, 3: 51, 4: 36, 5: 22}","{1: 138, 2: 60, 3: 47, 4: 30, 5: 23}"
bge0p45_scincl0p45_specter0p10_ridge0p00,0.45,0.45,0.1,0.0,0.6501637181634556,0.6383059554903188,0.16904194227219152,4,"1.909062,2.518155,3.227909,4.067886","{1: 124, 2: 65, 3: 53, 4: 36, 5: 20}","{1: 139, 2: 61, 3: 47, 4: 28, 5: 23}"
bge0p45_scincl0p40_specter0p05_ridge0p10,0.45,0.4,0.05,0.1,0.6538427790724186,0.6280167371006602,0.16233053287621835,3,"1.932007,2.497056,3.158434,3.988969","{1: 125, 2: 64, 3: 51, 4: 37, 5: 21}","{1: 138, 2: 60, 3: 47, 4: 32, 5: 21}"
bge0p40_scincl0p50_specter0p05_ridge0p05,0.4,0.5,0.05,0.05,0.6511215634478571,0.6318175191554859,0.1662298240609678,2,"1.922194,2.515464,3.209212,4.038240","{1: 124, 2: 62, 3: 58, 4: 34, 5: 20}","{1: 140, 2: 59, 3: 48, 4: 30, 5: 21}"
bge0p50_scincl0p40_specter0p10_ridge0p00,0.5,0.4,0.1,0.0,0.6523239331153359,0.6373955364396463,0.15897482817823178,3,"1.904224,2.499275,3.195619,4.076650","{1: 124, 2: 65, 3: 51, 4: 39, 5: 19}","{1: 139, 2: 58, 3: 47, 4: 31, 5: 23}"
bge0p50_scincl0p35_specter0p10_ridge0p05,0.5,0.35,0.1,0.05,0.6543389572936289,0.6329319603035055,0.1589748281782318,3,"1.906236,2.498034,3.193144,4.011632","{1: 121, 2: 68, 3: 50, 4: 37, 5: 22}","{1: 134, 2: 63, 3: 50, 4: 28, 5: 23}"
bge0p40_scincl0p50_specter0p10_ridge0p00,0.4,0.5,0.1,0.0,0.6513909004594511,0.6404583620497774,0.15226341878225863,3,"1.894044,2.497759,3.203689,4.060547","{1: 121, 2: 63, 3: 58, 4: 36, 5: 20}","{1: 138, 2: 62, 3: 44, 4: 33, 5: 21}"
bge0p50_scincl0p40_specter0p05_ridge0p05,0.5,0.4,0.05,0.05,0.6518093535912068,0.6315929093623671,0.1556191234802452,2,"1.907714,2.497670,3.176466,4.031339","{1: 120, 2: 69, 3: 50, 4: 40, 5: 19}","{1: 134, 2: 62, 3: 49, 4: 31, 5: 22}"
bge0p55_scincl0p35_specter0p05_ridge0p05,0.55,0.35,0.05,0.05,0.6515211827358982,0.629964925038639,0.16568623757420492,3,"1.918672,2.524418,3.194239,4.041658","{1: 124, 2: 67, 3: 48, 4: 40, 5: 19}","{1: 135, 2: 62, 3: 51, 4: 27, 5: 23}"
bge0p50_scincl0p30_specter0p15_ridge0p05,0.5,0.3,0.15,0.05,0.6563698962619786,0.6348990882369365,0.15561912348024518,2,"1.909174,2.499344,3.177966,4.026573","{1: 124, 2: 64, 3: 50, 4: 39, 5: 21}","{1: 136, 2: 61, 3: 48, 4: 30, 5: 23}"
bge0p50_scincl0p50_specter0p00_ridge0p00,0.5,0.5,0.0,0.0,0.6480065630602246,0.6340352447044759,0.16904194227219155,4,"1.912380,2.524557,3.235684,4.101612","{1: 126, 2: 65, 3: 52, 4: 37, 5: 18}","{1: 139, 2: 59, 3: 51, 4: 28, 5: 21}"
bge0p40_scincl0p40_specter0p15_ridge0p05,0.4,0.4,0.15,0.05,0.6566672624716823,0.6351025448724588,0.15561912348024518,0,"1.897122,2.494870,3.182169,4.001690","{1: 119, 2: 67, 3: 55, 4: 36, 5: 21}","{1: 137, 2: 62, 3: 46, 4: 30, 5: 23}"
