id,score,pred
2491,1.6711638812885317,1
2707,1.8953943530365034,1
1248,3.545215302020597,4
1433,2.7750599213339564,3
2339,1.2792050542095597,1
773,1.872682825983327,1
1330,3.8683648559999857,4
1561,2.133270014538476,2
1904,1.5954851790424616,1
912,1.9142736580162427,2
2420,1.9943792455807057,2
888,1.7395489793145897,1
1780,1.670071593532168,1
1395,3.857778338775697,4
2551,2.779646691048549,3
1778,2.2784598913841805,2
2060,2.5806165802981176,3
2834,1.1021464724447336,1
2089,2.678249428508552,3
744,1.0720628286921645,1
2205,1.9708861295416407,2
2156,3.2531099203348406,4
1229,3.9707941541390483,4
963,2.759132609627501,3
2769,2.78148218077868,3
885,1.7705548732116951,1
2712,2.6716074989505816,3
2657,1.5662999875518826,1
1545,3.0035643440727715,3
1509,1.0673485550331205,1
1791,1.5755297640995822,1
2322,1.4041806964691648,1
1838,1.4492939245754752,1
749,3.373006112340795,4
947,3.1732969911559756,3
981,2.2209574245378723,2
2471,1.8007287382660067,1
2180,1.1988016625395215,1
1895,2.5001901683422023,3
2113,1.624624660454348,1
1255,3.5111488755861533,4
1893,1.5146541742066832,1
2277,1.5996144634492284,1
1955,2.671862376713179,3
2346,1.615745483608358,1
2871,1.1234943192493445,1
874,3.2093101951846528,4
2589,2.24807976264339,2
1616,2.755896962994021,3
2653,1.7818960113620044,1
2305,1.9697168216246679,2
2357,1.7409518514757458,1
1890,1.5054372850216446,1
1701,1.757736362747738,1
3005,1.5440175586239813,1
2591,1.6675815852055382,1
2148,2.907107670167826,3
1623,2.3439197994425425,2
2410,1.7181873365894962,1
2165,1.4992136553893298,1
3063,2.142300594683163,2
2535,1.1507012338664664,1
1222,2.3110039212130853,2
1816,1.1750446378913402,1
1700,4.645730497840756,5
811,2.255539058861443,2
2639,1.6765081340830985,1
2208,2.0073429661687174,2
2538,1.6736495386886443,1
1087,3.9429028971200943,4
1662,1.3412551478928865,1
3077,1.3746516476166541,1
2917,2.054506504843762,2
1922,1.9225858426768356,2
