id,Label,oof_score,oof_pred
0,1,1.0543867986930682,1
1,1,1.95682004171134,2
2,2,3.1601250455564056,3
3,1,3.4493975454585732,4
4,1,1.9819053030381923,2
5,2,2.5911519504849077,3
6,3,2.9775533127607376,3
7,3,3.2571194415154583,4
8,4,4.117952613524556,5
9,1,2.2123456968445083,2
10,3,3.8936105318669703,4
11,4,3.402390603850215,4
12,4,2.8503104505576657,3
13,2,2.5903551862316916,3
14,5,4.809734716802658,5
15,2,3.6331021830736985,4
16,4,4.020162560660228,4
17,5,3.0410810449909373,3
18,5,4.312238784077118,5
19,4,3.376660044198522,4
20,4,4.578473176693223,5
21,2,2.68629525350288,3
22,5,4.6061288384216805,5
23,5,3.5940039674396713,4
24,3,2.7416236408847654,3
25,2,2.2951666342963986,2
26,5,4.1014313716662185,5
27,4,2.5310232405011894,3
28,4,2.6981618223927786,3
29,4,2.5052562463015113,2
30,4,3.7029074018875323,4
31,5,4.419745739388025,5
32,5,3.340209179279416,4
33,4,4.155581706105381,5
34,3,1.464722095897475,1
35,3,2.4021066175332626,2
36,3,2.351846735571255,2
37,4,4.128233320200805,5
38,5,4.736685430586897,5
39,5,3.9604545167363283,4
40,3,3.229234668777408,3
41,5,3.731399111085739,4
42,5,2.694411835041348,3
43,5,3.617004442519817,4
44,1,1.3330886066941865,1
45,4,3.9307450016423635,4
46,1,3.0896565185581104,3
47,5,4.955513278209746,5
48,4,4.060307364852987,4
49,1,1.1782494358509503,1
50,4,3.843738171533935,4
51,3,3.6340023040672325,4
52,5,3.3003678787522963,4
53,4,3.355961723899988,4
54,1,2.050551326494007,2
55,1,3.2233387803369817,3
56,2,3.3251311679939883,4
57,1,2.8892171361133334,3
58,1,1.5747751903879086,1
59,2,2.239926713461788,2
60,4,4.906586060756117,5
61,3,4.251888696084118,5
62,2,4.003303616895987,4
63,5,4.663560823377165,5
64,4,4.257053958807283,5
65,5,4.013970140607328,4
66,3,4.390437027438236,5
67,1,1.4655130247238948,1
68,4,4.0307414084654045,4
69,5,3.870265417475287,4
70,3,3.622438657460887,4
71,3,3.7227504276245105,4
72,5,3.889185020801925,4
73,2,1.7031955769757385,1
74,4,2.159352227925344,2
75,5,4.667330412220955,5
76,5,4.996700926627706,5
77,5,5.0,5
78,2,2.9417857190171524,3
79,3,3.8383180960524723,4
80,1,2.3670918135949965,2
81,2,3.282150170332752,4
82,3,3.845788161672271,4
83,2,2.9016453229183563,3
84,3,2.6460179674127526,3
85,1,2.215817580404578,2
86,5,4.371249051449146,5
87,1,1.0082360623018405,1
88,1,1.038508547935426,1
89,1,1.049681533329992,1
90,2,4.251939143053983,5
91,4,4.600012729107642,5
92,4,3.4404687453493956,4
93,3,3.2701232431311964,4
94,4,4.879457592538053,5
95,2,2.8928538356133604,3
96,4,3.9344565896841073,4
97,4,3.801727360847062,4
98,4,4.3853189142915525,5
99,5,3.5194676606765913,4
100,3,2.50736235576026,2
101,4,2.2377717037222222,2
102,3,2.9855793064005773,3
103,1,2.266791220789003,2
104,2,3.9755027625414017,4
105,1,2.302329680286634,2
106,3,4.496919139144317,5
107,4,4.048566579569057,4
108,1,3.4197993771438675,4
109,1,4.223930426298431,5
110,3,4.838756607243729,5
111,5,3.8767356998544837,4
112,4,3.1932815544190807,3
113,2,3.7237501543068277,4
114,4,4.378241341550343,5
115,3,2.7110427319423986,3
116,1,2.2381578529838575,2
117,2,2.622069604817154,3
118,1,3.0490471759732163,3
119,3,2.820633509387103,3
120,1,3.3558838853088755,4
121,3,3.3877709032471843,4
122,5,3.9703036241273626,4
123,5,2.4725268895782273,2
124,5,4.390910159959234,5
125,3,4.022587786545164,4
126,4,3.7636591589402135,4
127,2,1.7336317657427638,1
128,3,3.815056383761651,4
129,5,1.9044791203105478,1
130,4,3.7033647854420626,4
131,3,3.1396314249603603,3
132,1,2.7997825458750487,3
133,2,2.198831650103216,2
134,5,3.586971090844207,4
135,5,2.593387415540893,3
136,1,2.841379297154901,3
137,1,1.2233084637722909,1
138,3,4.014068220659202,4
139,5,4.681469545848047,5
140,5,4.7456201992575915,5
141,5,4.675795304589773,5
142,5,4.765574598085541,5
143,3,2.3430666014217634,2
144,1,2.855528252687745,3
145,4,2.26808150316387,2
146,5,4.937156477865126,5
147,1,1.212725530970905,1
148,1,3.9201221316389803,4
149,1,1.0705389691298128,1
150,2,3.2700536062391623,4
151,4,4.61889769443044,5
152,4,3.1128421460562805,3
153,1,2.501410729981374,2
154,1,2.9257482479435657,3
155,5,3.8232102569156847,4
156,4,4.850530528967802,5
157,1,2.8272615722765795,3
158,1,4.194676821989392,5
159,2,3.3022884205807848,4
160,2,1.9520073901728126,2
161,3,4.07653196041894,4
162,4,1.3607099112716816,1
163,5,4.644058128537561,5
164,1,1.1231641181136973,1
165,2,2.901631291851747,3
166,1,1.3386260958554828,1
167,1,2.7404650272706372,3
168,3,1.956592942031225,2
169,5,3.1129002483736428,3
170,5,4.785989153660998,5
171,5,4.601497559330458,5
172,4,2.962213618874339,3
173,3,3.8538945063895707,4
174,1,4.157734133026451,5
175,4,4.637614624610876,5
176,4,2.82233543718124,3
177,4,3.2145033296587457,3
178,5,4.814716135538951,5
179,3,3.6618665001897948,4
180,4,4.8370213648099645,5
181,5,4.276868343511288,5
182,2,3.0594585530755074,3
183,3,2.631234299732905,3
184,1,4.333057836300306,5
185,4,3.540369817288932,4
186,5,4.981662414790364,5
187,2,2.6522484064972005,3
188,5,3.3647144552555495,4
189,4,3.5025199778932525,4
190,2,2.9454193650053955,3
191,1,2.073089778944375,2
192,2,4.525967363026356,5
193,5,3.9431281871811383,4
194,4,4.568269205282177,5
195,3,3.3038318204844113,4
196,1,2.708042563780576,3
197,1,1.7399536582524615,1
198,2,4.027559735262397,4
199,3,2.331315810974287,2
200,2,2.7997073760742914,3
201,5,4.456175032330481,5
202,5,4.934165303963971,5
203,5,5.0,5
204,4,4.788461490027713,5
205,2,2.9547017842965833,3
206,1,4.718479688459417,5
207,2,4.192209238335629,5
208,3,3.3695104173670356,4
209,1,1.0383823885089032,1
210,1,1.0281176548493791,1
211,4,3.56228186140893,4
212,1,3.6430346846442054,4
213,4,2.7604174546049927,3
214,5,4.151002188416146,5
215,4,3.55592442232637,4
216,3,3.3986185180305166,4
217,1,3.83395689759046,4
218,1,1.588873394165429,1
219,5,2.735567861572794,3
220,4,3.9735167560318603,4
221,5,4.504503383356578,5
222,5,4.424589100742264,5
223,3,4.666935595393285,5
224,1,2.3074184196741356,2
225,5,4.566536330170566,5
226,5,4.326119503672933,5
227,4,3.353040128141494,4
228,4,4.428984714696003,5
229,2,2.8355458968505043,3
230,5,4.851236446551921,5
231,4,4.405353103503136,5
232,4,2.8706702628125753,3
233,4,2.6966483231943315,3
234,3,2.700438434666408,3
235,5,4.548678650463537,5
236,1,1.6825552913998718,1
237,1,1.9873217365277198,2
238,1,3.1565780960199237,3
239,2,2.157942481034196,2
240,2,3.297402497822973,4
241,1,1.5445851767759393,1
242,3,4.921230554287951,5
243,3,3.690233309602773,4
244,4,4.321777900537295,5
245,5,4.954970951339154,5
246,4,4.544924748413748,5
247,5,4.475290699812661,5
248,3,2.058167946617769,2
249,1,1.1093334762192453,1
250,1,1.049306255962414,1
251,4,4.2350652614407025,5
252,5,4.77676233786672,5
253,5,4.614812465112499,5
254,1,1.1590133973444667,1
255,2,2.6525966870813353,3
256,2,3.811389343138578,4
257,5,3.646160047720608,4
258,4,3.22407735096435,3
259,5,4.916669129205213,5
260,1,2.980872919755834,3
261,4,4.005723482307044,4
262,2,3.162019705483671,3
263,4,4.40507099795528,5
264,3,4.141463275777365,5
265,3,4.091563338342717,5
266,1,1.4316379346185397,1
267,1,1.322621979390332,1
268,2,3.306031408819706,4
269,3,4.849287585883517,5
270,4,3.6389786966177367,4
271,5,4.7375385808209876,5
272,5,3.3349427652080212,4
273,4,3.008303650251439,3
274,4,4.07917228946794,4
275,5,4.922752443035609,5
276,2,2.432620509521331,2
277,2,4.5935593286725105,5
278,1,2.4374995945613955,2
279,4,4.823841256371535,5
280,3,3.150458586443207,3
281,1,2.001642316838121,2
282,5,3.8799980050831695,4
283,4,4.543793536975567,5
284,2,4.405329982895394,5
285,4,4.162137368866013,5
286,1,1.3615779902639997,1
287,4,2.7487728748237577,3
288,1,2.4701876458289584,2
289,1,2.49256265752633,2
290,1,3.2187255913657866,3
291,5,4.823892959049994,5
292,4,4.016953803935295,4
293,5,4.925743355133845,5
294,1,1.8846946744259627,1
295,2,1.9917827959376506,2
296,3,4.230433627860559,5
297,3,3.232589292001412,3
298,4,4.270172540838388,5
299,5,4.376777884675656,5
300,3,2.3370639587170685,2
301,2,4.124095905428644,5
302,4,4.842245398275659,5
303,5,4.721789143538528,5
304,5,4.660304364163135,5
305,1,1.1942285862943403,1
306,1,1.078965064107336,1
307,1,2.3968932352044154,2
308,2,4.040986765935307,4
309,2,1.7830648216085525,1
310,4,4.555858422641546,5
311,3,4.0204535367608765,4
312,3,3.8896027448390282,4
313,1,3.4049631048696742,4
314,2,3.656706320308432,4
315,4,3.1152149188139524,3
316,2,4.00189378504005,4
317,5,3.92204607058631,4
318,2,2.938575420269306,3
319,3,3.838401836436729,4
320,1,3.849454296191204,4
321,2,3.7886636071203568,4
322,5,4.400839134213587,5
323,4,3.9480256631118005,4
324,5,4.902234980483725,5
325,2,4.055635443248217,4
326,1,2.466750321746165,2
327,5,3.2001733387917066,3
328,5,4.989535104773822,5
329,3,1.7082671694102651,1
330,1,2.2085852169606217,2
331,2,2.006054288023622,2
332,1,1.887738007330606,1
333,3,2.836804232087341,3
334,5,4.292393739069125,5
335,5,3.728810032977211,4
336,3,4.10425596110725,5
337,1,2.966227201282644,3
338,5,4.913418947407122,5
339,3,3.366123533196415,4
340,1,2.278672842366519,2
341,2,2.9794485864901095,3
342,5,4.978513807035766,5
343,2,1.4066841480361414,1
344,1,3.6164727524456404,4
345,1,2.33909428484776,2
346,1,1.115593498470842,1
347,1,1.05299103054255,1
348,5,3.2440208070018874,4
349,4,3.033009379155136,3
350,2,2.0590067608412634,2
351,2,4.608510744976239,5
352,5,3.471394586147813,4
353,5,4.662151237456155,5
354,5,2.9517298641181813,3
355,5,3.4374522419873923,4
356,5,4.610530298030854,5
357,2,3.029704857403386,3
358,3,3.8485252397402805,4
359,1,2.020697077893464,2
360,3,2.994663527020607,3
361,1,1.903599260732006,1
362,1,1.3417037338287854,1
363,5,3.6073094388207316,4
364,2,2.28141211514456,2
365,3,1.6576481046177327,1
366,4,1.8391515813050696,1
367,1,4.415055916333541,5
368,2,3.684999785582244,4
369,5,3.474968020825174,4
370,4,3.859651301472216,4
371,3,3.455288241451283,4
372,1,3.4040806563729347,4
373,1,3.324605870704465,4
374,4,3.672796337732406,4
375,4,4.605329372042608,5
376,1,3.3321011560218823,4
377,2,3.1196098390473144,3
378,1,2.1333918138186787,2
379,5,2.5975135070457704,3
380,3,3.1672908794468246,3
381,1,1.6540889891768549,1
382,2,4.786930669459318,5
383,4,4.608288447673307,5
384,1,3.1836293715307984,3
385,1,2.310718965394891,2
386,1,1.8582090400731934,1
387,1,1.0305873973428317,1
388,2,3.639085463551396,4
389,3,4.792383471366166,5
390,2,2.4897408116038617,2
391,3,4.3978760246925095,5
392,2,1.950157144136961,2
393,4,3.0805110731603556,3
394,1,1.7599576609129086,1
395,2,3.386324183834975,4
396,1,1.314210870137176,1
397,3,4.289844842123326,5
398,4,4.766100639685377,5
399,3,4.507411228550902,5
400,2,3.938673280468652,4
401,2,4.61538887157378,5
402,1,3.2783213421867132,4
403,1,1.9162535100589126,1
404,1,3.0525472751081444,3
405,3,1.5444880782278185,1
406,2,3.428115076152848,4
407,1,3.3565172942236616,4
408,2,3.114734526698447,3
409,1,1.0424688382560232,1
410,2,3.8495674307714687,4
411,3,2.263826867444119,2
412,4,4.569666687964167,5
413,1,1.0922005700111332,1
414,1,1.0664650341246824,1
415,5,4.510669523954235,5
416,1,1.9219439080381597,2
417,3,2.868397120594083,3
418,2,3.1680123019165984,3
419,5,3.853148949897982,4
420,3,2.872573062071992,3
421,2,4.128134347409245,5
422,1,1.750714938273806,1
423,5,3.892007009620093,4
424,5,3.997974756104317,4
425,2,4.488379372179302,5
426,1,1.80233343692306,1
427,3,1.6838379603323546,1
428,4,3.067797669014167,3
429,1,1.0236425560894717,1
430,1,1.6416955131220468,1
431,1,2.6049410441551424,3
432,1,3.180204907648729,3
433,2,4.347445837555607,5
434,3,4.546887794424085,5
435,4,4.743832363645467,5
436,3,2.060665459317994,2
437,5,4.46388383881103,5
438,2,1.513863458010352,1
439,1,2.673979873358204,3
440,2,3.2412515287264547,4
441,1,2.609522992394653,3
442,4,3.356769780984671,4
443,5,4.022114357680628,4
444,5,4.8822472696012404,5
445,5,3.481561759613511,4
446,2,2.821687454206608,3
447,1,1.6190369226400876,1
448,1,2.166202803884332,2
449,3,4.416402421661611,5
450,3,4.842979136681655,5
451,2,2.5929447523265896,3
452,5,4.347757814410529,5
453,5,4.274336907707365,5
454,1,1.3180673293899163,1
455,1,1.0866880847870637,1
456,1,1.0618794419249558,1
457,2,1.6572271291271905,1
458,2,3.356936837060733,4
459,3,2.955290354035365,3
460,2,3.9361696367760333,4
461,1,3.1233058976231605,3
462,3,3.5797946284358146,4
463,2,2.084701866824099,2
464,2,1.2732367507195053,1
465,1,3.392339879777136,4
466,1,2.1168484112779593,2
467,2,2.9760592646476223,3
468,4,3.8721063640944484,4
469,5,4.258760970038329,5
470,3,3.017026646269609,3
471,1,2.115184242467443,2
472,2,2.7909250764100646,3
473,1,1.477781768460161,1
474,2,2.7858017825903896,3
475,4,4.897357163219229,5
476,4,4.964013959800728,5
477,1,3.0418560712875804,3
478,3,2.9776810817301103,3
479,1,3.6201886855844787,4
480,4,1.53501797107429,1
481,3,2.235651554956447,2
482,2,3.279447170241611,4
483,1,1.6398947425199932,1
484,3,2.7585567403968847,3
485,3,3.448127914374128,4
486,4,4.068907979517447,4
487,1,2.2933993798047045,2
488,2,1.1601052721237133,1
489,5,3.1454045023712736,3
490,5,2.561823498805927,3
491,4,3.106452392100885,3
492,1,1.3539298948862215,1
493,2,4.5059050785156955,5
494,3,2.354717922680844,2
495,3,2.0514742501014886,2
496,5,4.568742714754026,5
497,4,3.5561411444861704,4
498,5,4.577900979260288,5
499,4,2.6972007438054124,3
500,5,2.8520450163398334,3
501,4,2.4677444816084786,2
502,5,4.380173781650441,5
503,5,4.079406630440176,4
504,2,2.7048567377449197,3
505,4,3.6011907209314167,4
506,2,3.6642670220205873,4
507,2,2.453090969426605,2
508,5,2.690604793333464,3
509,2,3.627818860941371,4
510,3,2.955961647653413,3
511,1,1.8495135271978995,1
512,5,4.431400910884413,5
513,2,2.748693725803883,3
514,1,2.106175659879152,2
515,1,1.469902280157647,1
516,2,2.3032366994416873,2
517,4,4.242800885545218,5
518,5,3.400498886557187,4
519,5,1.20396037098582,1
520,2,3.4709504228579946,4
521,4,3.2982290366004863,4
522,5,4.973336764924893,5
523,2,1.7001252668060802,1
524,1,3.5611689870007885,4
525,1,1.7374731357202056,1
526,1,2.222828438597037,2
527,3,4.328445984495659,5
528,2,1.9409978120117428,2
529,2,2.2161027089143794,2
530,1,4.130890916111112,5
531,2,1.6101951850121896,1
532,3,2.3111176095548083,2
533,2,3.6348014072394306,4
534,4,3.6690165139321422,4
535,3,2.6685804666337147,3
536,5,3.6696605151687662,4
537,5,3.430389128454512,4
538,1,2.131609291835842,2
539,2,3.0384329836546544,3
540,5,4.031123937240472,4
541,1,1.0986201870053935,1
542,2,3.984948765018239,4
543,1,3.803174942166891,4
544,1,2.1046252525953593,2
545,5,3.5623045065659737,4
546,3,2.3613490302540145,2
547,1,1.9394970607801865,2
548,5,3.27542330995108,4
549,2,3.103339848252072,3
550,5,4.220975304362899,5
551,1,2.4380133423662778,2
552,3,3.797636253572733,4
553,2,3.65354095380692,4
554,1,1.4336576601044977,1
555,1,2.06578047128807,2
556,3,2.665033887047886,3
557,4,2.591474000361034,3
558,5,3.9883376763247016,4
559,2,1.4635461205671239,1
560,5,3.7332670383620403,4
561,3,2.744637492540969,3
562,2,1.3154184534818012,1
563,5,2.8465657831788023,3
564,5,4.687570715383463,5
565,1,2.6827308127146012,3
566,2,2.5189404895220644,2
567,1,2.3379173598843304,2
