id,score,pred
979,4.993501423295914,5
1106,2.5547588064740094,3
1894,1.7099500460234052,1
1718,1.6665056138440897,1
1989,1.8757766247622047,1
2010,1.5072783763598159,1
2356,1.960374294768459,2
1179,1.5364886163268574,1
3001,1.5088684370732106,1
796,3.712837214909239,4
1771,1.5831282254289545,1
986,2.387768327894246,2
1725,1.2038728832430559,1
1296,3.953983520012502,4
2983,1.6834183737944266,1
2666,2.5641570314254154,3
2573,2.567927677577744,3
1999,2.672993164934418,3
1828,1.4366981211848846,1
1877,4.911006910530726,5
2087,2.048066943886305,2
1581,1.9330047849901755,2
1185,4.884345406231104,5
1873,1.481255548049776,1
952,3.239755251733915,4
2572,1.1378821758927553,1
1835,4.142348188348706,5
1320,2.077832862879084,2
2083,2.082513105347091,2
1310,3.8684954419899378,4
1053,3.1684496837949707,3
1698,1.9611335010279243,2
1372,2.647608944784052,3
2847,1.3671367727156274,1
2537,2.3703503067417544,2
2808,1.9036305013785135,1
1311,3.0930893204524654,3
2863,2.052581620970576,2
3085,1.5113057454769183,1
1265,3.0048419222100713,3
2446,1.6399033712855988,1
2186,2.815222895411772,3
2898,2.0579619467603143,2
2529,2.9122941878532256,3
2810,1.0963525291847644,1
997,1.9159904943421218,1
2836,1.4120916232216667,1
2194,1.6119220504100564,1
1964,1.731565720214112,1
910,4.329048351016228,5
2032,1.5772302643510652,1
1405,4.577506883635488,5
1305,4.619977041235836,5
799,2.787553267149332,3
1145,3.922245017554287,4
1083,4.754574914770023,5
2913,2.8243185222766325,3
1370,3.2175942575406746,3
1379,3.1146492364144396,3
2896,2.364409552138379,2
2406,2.2738715741228837,2
3060,1.8094773917295814,1
2470,2.635285563316822,3
1678,4.099039522632007,5
877,2.557199726885485,3
1972,1.9863289927812016,2
1812,1.0480694501845926,1
2796,1.954491671509677,2
3051,1.6283350891553412,1
983,1.633693363584246,1
1275,2.3100596685495915,2
1998,1.6674331603538048,1
2210,1.822762733872743,1
2786,1.2027775559815705,1
951,3.8227107873531545,4
2465,1.1355528524760228,1
1228,1.5489194520534864,1
2524,1.7893927014850017,1
2093,1.2512925238510135,1
1921,4.148529577865815,5
3034,1.2410003795992068,1
1676,3.1085872836662083,3
1214,3.706459753797173,4
2275,2.094877105754483,2
2789,2.545548458330001,3
756,2.17085176297155,2
1130,2.766183467245673,3
1555,1.3134720825709445,1
1487,1.5612513198428841,1
2041,1.8057986269405775,1
1931,1.4353276004220885,1
1349,1.8164444683109562,1
725,2.9354601537148204,3
1006,4.032659486812813,4
989,4.578392062054525,5
2265,1.9207595110903126,2
1969,1.3643852153483917,1
2562,2.1114766205668776,2
2959,2.344339796782896,2
2102,1.7725753495880054,1
933,3.436736358550812,4
1648,4.2901950010059995,5
