id,Label,oof_score,oof_pred
0,1,1.0035727620124817,1
1,1,1.8658332109451294,1
2,2,3.200645462671915,3
3,1,3.2887257734934487,4
4,1,2.1218938986460367,2
5,2,2.7595353364944457,3
6,3,3.335388922691345,4
7,3,3.3962963104248045,4
8,4,4.374917538960775,5
9,1,2.595599063237508,3
10,3,3.945559533437093,4
11,4,3.4768566131591796,4
12,4,2.4322251160939534,2
13,2,2.639045858383179,3
14,5,4.867277812957764,5
15,2,3.5326451539993284,4
16,4,4.13087158203125,5
17,5,3.352717002232869,4
18,5,4.315278768539429,5
19,4,2.980607692400614,3
20,4,4.6969770908355715,5
21,2,2.729405911763509,3
22,5,4.461621077855428,5
23,5,3.091315992673238,3
24,3,2.5954016208648683,3
25,2,1.9372859636942548,2
26,5,4.199317852656047,5
27,4,2.582020314534505,3
28,4,2.711979603767395,3
29,4,2.79816734790802,3
30,4,3.6626157283782956,4
31,5,4.560741233825684,5
32,5,3.1415316422780353,3
33,4,4.18096227645874,5
34,3,1.669261646270752,1
35,3,2.3356464544932045,2
36,3,2.308346176147461,2
37,4,4.3162346363067625,5
38,5,4.554287981987,5
39,5,4.342811091740925,5
40,3,2.9938381354014076,3
41,5,3.867686859766642,4
42,5,3.108662033081055,3
43,5,3.513526773452759,4
44,1,1.3001879771550495,1
45,4,3.5235936482747396,4
46,1,3.02998792330424,3
47,5,4.969738626480103,5
48,4,3.99770557085673,4
49,1,1.115223467350006,1
50,4,3.9319948196411136,4
51,3,3.5718532482783,4
52,5,3.7123678525288906,4
53,4,3.382393129666646,4
54,1,2.1246469338734943,2
55,1,3.2610307852427165,3
56,2,3.414740912119548,4
57,1,2.936859615643819,3
58,1,1.5778139154116313,1
59,2,2.2733027140299478,2
60,4,4.905940914154052,5
61,3,4.2931830565134685,5
62,2,4.160459899902344,5
63,5,4.77102632522583,5
64,4,4.250915002822876,5
65,5,3.8950650215148928,4
66,3,4.322319666544597,5
67,1,1.2610079884529113,1
68,4,4.246724764506022,5
69,5,3.924129581451416,4
70,3,3.6632124344507853,4
71,3,3.794713544845581,4
