id,Label,oof_score,oof_pred
0,1,1.0058662990729013,1
1,1,1.908571946620941,2
2,2,3.169445220629374,3
3,1,3.3230212608973186,4
4,1,2.080373279253642,2
5,2,2.6996290564537047,3
6,3,3.2460109512011206,4
7,3,3.3675516128540037,4
8,4,4.293051942189534,5
9,1,2.502970465024312,3
10,3,3.8717933177947996,4
11,4,3.4956715265909826,4
12,4,2.5476441939671832,3
13,2,2.6074324210484825,3
14,5,4.8547627607981365,5
15,2,3.539720571041107,4
16,4,4.147080485026041,5
17,5,3.243513083457947,4
18,5,4.272611864407857,5
19,4,3.0408167401949564,3
20,4,4.6774288256963095,5
21,2,2.6799628257751458,3
22,5,4.510487182935079,5
23,5,3.1762322942415877,3
24,3,2.5493092934290567,3
25,2,2.016971158981323,2
26,5,4.1613076289494835,5
27,4,2.56811154683431,3
28,4,2.702658784389496,3
29,4,2.729560029506683,3
30,4,3.647996830940247,4
31,5,4.5210441271464035,5
32,5,3.218208877245585,3
33,4,4.158679501215617,5
34,3,1.65159010887146,1
35,3,2.333638755480448,2
36,3,2.323345120747884,2
37,4,4.272887587547302,5
38,5,4.581437901655833,5
39,5,4.231124043464661,5
40,3,3.0295927604039505,3
41,5,3.850410707791646,4
42,5,2.9409585952758786,3
43,5,3.5988048632939655,4
44,1,1.2951490521430968,1
45,4,3.577902475992839,4
46,1,3.0790697971979775,3
47,5,4.9734801054000854,5
48,4,4.038707550366719,4
49,1,1.131786157687505,1
50,4,3.9235047976175945,4
51,3,3.5740487138430277,4
52,5,3.612395302454631,4
53,4,3.397621444861094,4
54,1,2.063627219200134,2
55,1,3.2954824686050412,4
56,2,3.416070985794067,4
57,1,2.908976980050405,3
58,1,1.5546588400999704,1
59,2,2.279431406656901,2
60,4,4.918329668045043,5
61,3,4.288877590497335,5
62,2,4.11898676554362,5
63,5,4.724862432479858,5
64,4,4.27330482006073,5
65,5,3.9223523616790774,4
66,3,4.382705624898275,5
67,1,1.319687646627426,1
68,4,4.2151363054911295,5
69,5,3.9463449637095134,4
70,3,3.636818738778432,4
71,3,3.8131401936213174,4
72,5,3.890297039349874,4
73,2,1.8711219310760496,1
74,4,2.4865888595581054,2
75,5,4.6930934429168705,5
76,5,4.979520797729492,5
77,5,4.956895112991333,5
78,2,2.906798072655995,3
79,3,3.844197118282318,4
80,1,2.430839467048645,2
81,2,3.421973141034444,4
82,3,3.8819706598917643,4
83,2,3.094953513145447,3
84,3,2.619445093472798,3
85,1,2.0259364883104958,2
86,5,4.408023913701375,5
87,1,1.0002959072589874,1
88,1,1.014543890953064,1
89,1,1.0136978904406229,1
90,2,4.324118955930074,5
91,4,4.511289787292481,5
92,4,3.5303149620691934,4
93,3,3.1938999573389686,3
94,4,4.918222848574321,5
95,2,2.9983845631281536,3
96,4,3.6824479500452676,4
97,4,3.860528898239136,4
98,4,4.4083848396937055,5
99,5,3.6486606677373246,4
100,3,2.6486302574475604,3
101,4,2.2233765443166096,2
102,3,3.0180380702018734,3
103,1,2.2307341655095416,2
104,2,4.019798374176025,4
105,1,2.1754296422004695,2
106,3,4.6070727984110516,5
107,4,4.048875896135966,4
108,1,3.523026192188263,4
109,1,4.297636596361796,5
110,3,4.864827672640483,5
111,5,4.102550991376241,5
112,4,3.2559924165407814,4
113,2,3.71581559975942,4
114,4,4.3556528647740675,5
115,3,2.766016062100728,3
116,1,2.1891746799151104,2
117,2,2.4317897756894427,2
118,1,2.9913350502649942,3
119,3,2.7286038041114806,3
120,1,3.4859131693840024,4
121,3,3.4732794920603434,4
122,5,4.180192255973816,5
123,5,2.640048587322235,3
124,5,4.376531410217285,5
125,3,3.9973050435384114,4
126,4,3.8064965565999347,4
127,2,1.8557417035102843,1
128,3,3.751197218894958,4
129,5,1.8682924250761666,1
130,4,4.016554164886474,4
131,3,3.253265023231506,4
132,1,3.0210461894671123,3
133,2,1.999216552575429,2
134,5,3.5578356186548863,4
135,5,2.8028796434402463,3
136,1,2.8716361443201697,3
137,1,1.3155954599380493,1
138,3,4.0527020454406735,4
139,5,4.733890970547994,5
140,5,4.81973237991333,5
141,5,4.524297976493836,5
142,5,4.849428327878316,5
143,3,2.399117044607798,2
144,1,2.922166574001312,3
145,4,2.219314263264338,2
146,5,4.962697752316792,5
147,1,1.256604826450348,1
148,1,3.98942437171936,4
149,1,1.0475856443246205,1
150,2,3.372938458124796,4
151,4,4.598560523986816,5
152,4,2.995973034699758,3
153,1,2.46540759007136,2
154,1,2.85179054737091,3
155,5,3.9247805992762244,4
156,4,4.7437604109446205,5
157,1,2.4783448060353592,2
158,1,4.20410566329956,5
159,2,3.3059942881266275,4
160,2,2.053682231903076,2
161,3,3.853955427805583,4
