id,Label,oof_score,oof_pred
0,1,1.006381611029307,1
1,1,1.8821646451950071,1
2,2,3.1798678080240883,3
3,1,3.229199198881785,3
4,1,1.7859188834826152,1
5,2,2.661702799797058,3
6,3,3.1018352429072062,3
7,3,3.3299017429351805,4
8,4,4.231602533658345,5
9,1,2.379253514607747,2
10,3,4.076809453964233,5
11,4,3.4747781316439306,4
12,4,2.6946990450223285,3
13,2,2.632735308011373,3
14,5,4.676447717348735,5
15,2,3.617730295658111,4
16,4,3.7414204518000282,4
17,5,3.274243450164795,4
18,5,4.192511328061421,5
19,4,3.3198705474535624,4
20,4,4.525934322675069,5
21,2,2.6863550662994378,3
22,5,4.55263565381368,5
23,5,3.593851999441783,4
24,3,2.3932620088259378,2
25,2,2.2120191931724547,2
26,5,4.07392745812734,5
27,4,2.5491897543271382,3
28,4,2.877084565162659,3
29,4,2.794899833202362,3
30,4,3.7029198288917544,4
31,5,4.375708154837291,5
32,5,3.2592668215433753,4
33,4,4.185656444231669,5
34,3,1.6316754221916199,1
35,3,2.3534658233324683,2
36,3,2.325382586320241,2
37,4,4.231856822967529,5
38,5,4.5705522457758585,5
39,5,4.194809556007385,5
40,3,3.2044251044591263,3
41,5,3.579495259126027,4
42,5,2.9218986988067623,3
43,5,3.5747448523839314,4
44,1,1.2619534075260161,1
45,4,3.848619381586711,4
46,1,3.0343422333399452,3
47,5,4.767772078514099,5
48,4,4.03496557076772,4
49,1,1.1558018525441487,1
50,4,3.564020125071208,4
51,3,3.6605897704760233,4
52,5,3.5206035534540816,4
53,4,3.4489355007807414,4
54,1,2.058626568317413,2
55,1,2.870018047094345,3
56,2,3.3464193820953367,4
57,1,2.916589625676473,3
58,1,1.5048798422018688,1
59,2,2.258329931894938,2
60,4,4.90059323310852,5
61,3,4.188189788659414,5
62,2,4.023754100004832,4
63,5,4.683016276359558,5
64,4,4.049288511276245,4
65,5,4.010678100585937,4
66,3,4.303168590863546,5
67,1,1.3692530512809753,1
68,4,4.144637362162272,5
69,5,3.886351756254832,4
70,3,3.556656034787496,4
71,3,3.8554267088572183,4
72,5,3.892673178513845,4
73,2,1.7439101815223688,1
74,4,2.458833062648773,2
75,5,4.69640007019043,5
76,5,4.931035041809082,5
77,5,4.895097255706787,5
78,2,3.0841966350873307,3
79,3,3.88871511220932,4
80,1,2.322624135017395,2
81,2,3.4538434465726215,4
82,3,3.7223891178766886,4
83,2,3.092326021194458,3
84,3,2.7996399482091263,3
85,1,2.072471503416697,2
86,5,4.4005506833394366,5
87,1,1.0000351667404175,1
88,1,1.0147330164909363,1
89,1,1.0146703700224557,1
90,2,4.215744121869405,5
91,4,4.385398101806641,5
92,4,3.572216192881266,4
93,3,3.2991600910822547,4
94,4,4.731328789393108,5
95,2,2.96561625401179,3
96,4,3.7005584041277566,4
97,4,3.8818733215332033,4
98,4,4.283938745657603,5
99,5,3.6112794359525044,4
100,3,2.5382653435071307,3
101,4,2.3559698184331257,2
102,3,3.010031676292419,3
103,1,2.3463955481847125,2
104,2,4.052603816986084,5
105,1,2.153098195791244,2
106,3,4.464410630861918,5
107,4,4.100394217173259,5
108,1,3.308810496330261,4
109,1,4.200278965632121,5
110,3,4.687301556269328,5
111,5,3.291989990075429,4
112,4,3.2669554392496742,4
113,2,3.6003202756245933,4
114,4,4.017840023835499,4
115,3,2.7863691409428912,3
116,1,2.263074008623759,2
117,2,2.682647665341695,3
118,1,2.9677828709284464,3
119,3,2.7864282965660094,3
120,1,3.386311841011047,4
121,3,3.4914198676745096,4
122,5,3.9954318046569823,4
123,5,2.6465860843658446,3
124,5,4.368375825881958,5
125,3,3.940673240025838,4
126,4,3.7708563168843585,4
127,2,1.88189777135849,1
128,3,3.75815737247467,4
129,5,2.0108122865358986,2
130,4,4.025387930870056,4
131,3,3.1765288114547725,3
132,1,2.697539774576823,3
133,2,2.1975628693898517,2
134,5,3.5678047339121495,4
135,5,2.6676830768585202,3
136,1,2.640744856993357,3
137,1,1.2926165282726287,1
138,3,4.172075724601745,5
139,5,4.6953504880269366,5
140,5,4.797379565238953,5
141,5,4.563618803024292,5
142,5,4.726527365048726,5
143,3,2.4858587900797526,2
144,1,2.9249345541000364,3
145,4,2.161358759800593,2
146,5,4.928564437230428,5
147,1,1.222920423746109,1
148,1,4.030054354667663,4
149,1,1.0482533355553945,1
150,2,3.3115938941637673,4
151,4,4.541381192207336,5
152,4,3.014511569341024,3
153,1,2.402061144510905,2
154,1,2.8592412471771236,3
155,5,3.8626865069071448,4
156,4,4.7109256426493324,5
157,1,2.8038688977559403,3
158,1,4.271547961235046,5
159,2,3.2853779951731363,4
160,2,2.386079573631286,2
161,3,3.7222522894541425,4
162,4,1.6788215239842734,1
163,5,4.471154872576395,5
164,1,1.1423144539197285,1
165,2,2.84404577811559,3
166,1,1.2376345932483672,1
167,1,2.4878847499688463,2
168,3,2.013135035832723,2
169,5,3.150067349274953,3
170,5,4.534415117899576,5
171,5,4.595186042785644,5
172,4,3.0205292264620462,3
173,3,3.891521525382995,4
174,1,4.288721187909444,5
175,4,4.3731866439183555,5
176,4,2.860747861862183,3
177,4,3.3802136023839315,4
178,5,4.720707972844441,5
179,3,3.7070605834325154,4
180,4,4.705133517583211,5
181,5,4.2297477483749395,5
182,2,3.072189394632975,3
183,3,2.7833594322204585,3
184,1,4.147376489639282,5
185,4,3.690115618705749,4
186,5,4.9819923639297485,5
187,2,2.544304021199544,3
188,5,3.6350201606750487,4
189,4,3.538340854644775,4
190,2,3.0520879586537677,3
191,1,1.8788681705792742,1
192,2,4.55764791170756,5
193,5,3.94887957572937,4
194,4,4.451798601945241,5
195,3,3.226459145545959,3
196,1,2.8174455404281615,3
197,1,1.8029030839602154,1
198,2,3.9752260645230613,4
199,3,2.145856686433156,2
200,2,2.8298043926556904,3
201,5,4.460361011823018,5
202,5,4.948447187741597,5
203,5,4.876678109169006,5
204,4,4.767853053410848,5
205,2,2.9309462865193683,3
206,1,4.485140510400136,5
207,2,4.15103083451589,5
208,3,3.4457590103149416,4
209,1,1.0039003133773805,1
210,1,1.0000447034835815,1
211,4,3.483281668027242,4
212,1,3.803388452529907,4
213,4,2.9203722715377807,3
214,5,4.24456197420756,5
215,4,3.6237972815831503,4
216,3,3.478575261433919,4
217,1,4.115506633122762,5
218,1,1.4802287260691325,1
219,5,2.8726407448450724,3
220,4,3.9316927274068196,4
221,5,4.538636008898417,5
222,5,4.166944813728332,5
223,3,4.609923712412516,5
224,1,2.321496013800303,2
225,5,4.412216262022653,5
226,5,4.408416668574016,5
227,4,2.983310608069102,3
228,4,4.344321902592977,5
229,2,2.851112580299377,3
230,5,4.606989518801371,5
231,4,4.291326216856638,5
232,4,2.9097562789916993,3
233,4,2.7422650694847106,3
234,3,2.9456325451532996,3
235,5,4.599403142929077,5
236,1,1.7540619293848674,1
237,1,1.9535376906394957,2
238,1,3.0830971797307334,3
239,2,1.8749281505743662,1
240,2,3.329206879933675,4
241,1,1.3997700015703836,1
242,3,4.918100730578105,5
243,3,3.7802645166714983,4
244,4,4.238198932011922,5
245,5,4.951841433842977,5
246,4,4.615537889798483,5
247,5,4.4490773995717365,5
248,3,2.1732211589813235,2
249,1,1.0780672689278918,1
250,1,1.0194078584512074,1
251,4,4.17800300916036,5
252,5,4.801966381072998,5
253,5,4.551829433441162,5
254,1,1.2003204842408497,1
255,2,2.5944239338239035,3
256,2,3.7312742392222082,4
257,5,3.628793835639953,4
258,4,3.1124489466349283,3
259,5,4.873822418848674,5
260,1,2.9005143801371256,3
261,4,3.9544948021570843,4
262,2,3.10108075539271,3
263,4,4.358098721504211,5
264,3,3.9922446767489115,4
265,3,3.894919526576996,4
266,1,1.2913520673910777,1
267,1,1.2811256825923922,1
268,2,3.3481411377588906,4
269,3,4.714195744196574,5
270,4,3.6612185716629027,4
271,5,4.6354211171468105,5
272,5,3.596003198623657,4
273,4,3.086564699808757,3
274,4,3.8235274235407504,4
275,5,4.890659515062968,5
276,2,2.3213685989379877,2
277,2,4.4915819247563675,5
278,1,2.2674339572588598,2
279,4,4.587336842219035,5
280,3,2.9446751912434896,3
281,1,1.9847996989885968,2
282,5,3.8005283236503598,4
283,4,4.404347133636474,5
284,2,4.203292965888977,5
285,4,4.205358568827311,5
286,1,1.5522325038909912,1
287,4,3.003627681732177,3
288,1,2.3577911257743835,2
289,1,2.378165847063064,2
290,1,3.072731240590413,3
291,5,4.858758282661438,5
292,4,4.162248667081197,5
293,5,4.775358939170838,5
294,1,1.7774274230003357,1
295,2,2.2815863410631816,2
296,3,4.096236077944438,5
297,3,3.3636410315831498,4
298,4,4.1839458306630455,5
299,5,4.1636489470799765,5
300,3,2.490995128949483,2
301,2,4.16567211151123,5
302,4,4.6497883796691895,5
303,5,4.578547509511312,5
304,5,4.603795226414998,5
305,1,1.1253951052824656,1
306,1,1.0395233074824017,1
307,1,2.2926641980806983,2
308,2,4.027504595120748,4
309,2,1.8719245473543802,1
310,4,4.6394368966420485,5
311,3,3.944258105754852,4
312,3,3.7533755938212074,4
313,1,3.280064809322357,4
314,2,3.6044851700464884,4
315,4,3.017553901672363,3
316,2,4.08716212908427,5
317,5,3.7243823250134787,4
318,2,2.958076707522074,3
319,3,3.899382408459981,4
320,1,3.809490362803141,4
321,2,3.7547995567321775,4
322,5,4.313941069444021,5
323,4,3.902916701634725,4
324,5,4.829117886225382,5
325,2,3.7788009325663245,4
326,1,2.1745726982752482,2
327,5,3.0608411510785416,3
328,5,4.848873853683472,5
329,3,1.9242510795593262,2
330,1,2.285088980197906,2
331,2,2.185449651877085,2
332,1,1.9592947204907734,2
333,3,2.8980368137359616,3
334,5,4.148226181666057,5
335,5,3.7995177149772643,4
336,3,4.093621957302093,5
337,1,2.892702666918437,3
338,5,4.897719351450602,5
339,3,3.331579172611236,4
340,1,2.27399738629659,2
341,2,2.891061727205912,3
342,5,4.850871920585632,5
343,2,1.4369113147258759,1
344,1,3.6627907673517863,4
345,1,2.4690597454706826,2
346,1,1.069664094845454,1
347,1,1.02367724776268,1
348,5,3.2651762485504148,4
349,4,3.0415813843409216,3
350,2,2.082271877924601,2
351,2,4.488148244222005,5
352,5,3.5546836137771605,4
353,5,4.565351327260335,5
354,5,2.913293302059173,3
355,5,3.508057657877604,4
356,5,4.459208424886067,5
357,2,3.117559039592743,3
358,3,3.76309810479482,4
359,1,1.797116653124491,1
360,3,3.021410957972208,3
361,1,1.7587135434150696,1
362,1,1.4960484504699707,1
363,5,3.5532381057739255,4
364,2,2.2757202545801793,2
365,3,1.527529752254486,1
366,4,1.9003437836964925,2
367,1,4.3458491722742725,5
368,2,3.7423023223876952,4
369,5,3.4299064675966897,4
370,4,3.6494440873463945,4
371,3,3.5304674466451007,4
372,1,3.367157856623332,4
373,1,3.2687784274419145,4
374,4,3.52444968620936,4
375,4,4.541322231292725,5
376,1,3.5039780298868815,4
377,2,3.087573448816935,3
378,1,2.251609257857005,2
379,5,2.6476299603780107,3
380,3,3.1701523860295615,3
381,1,1.4365647037823994,1
382,2,4.83132296403249,5
383,4,4.5163938999176025,5
384,1,3.247835942109426,4
385,1,2.4515148520469663,2
386,1,1.7512616376082102,1
387,1,1.0058388213316598,1
388,2,3.5221679528554275,4
389,3,4.743756453196208,5
390,2,2.3862891236941017,2
391,3,4.292849993705749,5
392,2,2.0853243033091227,2
393,4,3.145611528555552,3
394,1,1.974474068482717,2
395,2,3.368214162190755,4
396,1,1.2631208757559458,1
397,3,4.155774136384328,5
398,4,4.759610557556152,5
399,3,4.4039172410964955,5
400,2,3.8509580453236896,4
401,2,4.576997137069702,5
402,1,3.130726957321167,3
403,1,1.9237521390120187,2
404,1,3.051955954233805,3
405,3,1.4012822131315867,1
406,2,3.563115151723225,4
407,1,3.357267677783966,4
408,2,3.10344998439153,3
409,1,1.0153591970602673,1
410,2,3.6585899035135903,4
411,3,2.576770186424255,3
412,4,4.600475025177002,5
413,1,1.0436388055483499,1
