id,Label,oof_score,oof_pred
0,1,1.0981710637041235,1
1,1,1.9672253513090463,2
2,2,3.2361598096996405,4
3,1,3.4962814917894263,4
4,1,2.1026007210092152,2
5,2,2.6639849987156423,3
6,3,3.068054314119759,3
7,3,3.3216732810592293,4
8,4,4.244796496990804,5
9,1,2.3059133102895584,2
10,3,4.031208883065638,4
11,4,3.3408922407180404,4
12,4,2.795791852518694,3
13,2,2.6348218206222684,3
14,5,4.785298716572145,5
15,2,3.630792101150366,4
16,4,4.011267279639914,4
17,5,3.142922944400789,3
18,5,4.437782300019243,5
19,4,3.3856031803456674,4
20,4,4.562093829482134,5
21,2,2.8188788121261967,3
22,5,4.596964929496348,5
23,5,3.5999276840220076,4
24,3,2.905648956164756,3
25,2,2.3033477505513376,2
26,5,4.128761765988993,5
27,4,2.597026551743069,3
28,4,2.702217156261752,3
29,4,2.5520713350873434,3
30,4,3.737833688838017,4
31,5,4.439400832803551,5
32,5,3.2793201354517363,4
33,4,4.207513693449431,5
34,3,1.5329754758391136,1
35,3,2.533810149239371,3
36,3,2.349410131830822,2
37,4,4.174614437023332,5
38,5,4.734758061459183,5
39,5,4.0154954462750005,4
40,3,3.2329726145168403,4
41,5,3.760334369586301,4
42,5,2.8187252082176806,3
43,5,3.5665863481847824,4
44,1,1.387027473855366,1
45,4,3.9621104847172988,4
46,1,3.0723864375794427,3
47,5,4.9128255642927465,5
48,4,3.986732340318613,4
49,1,1.2210503706619311,1
50,4,3.796724955965469,4
51,3,3.6006931935270523,4
52,5,3.3618115551518652,4
53,4,3.274410806429673,4
54,1,2.2196054844491493,2
55,1,3.2168009267427466,3
56,2,3.3013595736794143,4
57,1,2.9727763884448755,3
58,1,1.665593626818532,1
59,2,2.238334598574062,2
60,4,4.839764858973933,5
61,3,4.2291302276287785,5
62,2,4.034634843155527,4
63,5,4.6079087998002395,5
64,4,4.171745788856181,5
65,5,3.974768829109947,4
66,3,4.29518271530462,5
67,1,1.4769049716231233,1
68,4,4.037323820700084,4
69,5,3.835711963485661,4
70,3,3.7015531611287593,4
71,3,3.720551463312271,4
72,5,3.885656434282232,4
73,2,1.8095132826163876,1
74,4,2.223826009067161,2
75,5,4.6661906690035435,5
76,5,4.901825902057589,5
77,5,4.92045991397758,5
78,2,3.0606239501567063,3
79,3,3.9563742368021906,4
80,1,2.4266541801891495,2
81,2,3.3094053049458623,4
82,3,3.9327816708946384,4
83,2,2.876161378764331,3
