name,kind,weight,threshold_lambda,oof_qwk,oof_lift_vs_step25,test_l1,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,thresholds
step25_pairwise_specter2_blend_w0p0100_l0p5,label_blend,0.01,0.5,0.6614367577944804,0.00017619941524749105,0.16904194227219152,"{1: 122, 2: 63, 3: 56, 4: 35, 5: 22}","{1: 134, 2: 70, 3: 40, 4: 31, 5: 23}",32,15,17,-0.0625,0,6,3,6,"1.895777,2.525213,3.246774,4.079222"
step25_pairwise_specter2_resid_w0p0100_l0p5,residual_blend,0.01,0.5,0.6614367577944804,0.00017619941524749105,0.16904194227219152,"{1: 122, 2: 63, 3: 56, 4: 35, 5: 22}","{1: 134, 2: 70, 3: 40, 4: 31, 5: 23}",32,15,17,-0.0625,0,6,3,6,"1.895777,2.525213,3.246774,4.079222"
step25_openalex_anchor_blend_w0p0150_l0p5,label_blend,0.015,0.5,0.6613164226089253,5.58642296923928e-05,0.1858204657621244,"{1: 126, 2: 63, 3: 55, 4: 34, 5: 20}","{1: 138, 2: 67, 3: 44, 4: 28, 5: 21}",81,42,39,0.037037037037037035,0,16,14,20,"1.918896,2.542694,3.288667,4.129465"
step25_openalex_anchor_resid_w0p0150_l0p5,residual_blend,0.015,0.5,0.6613164226089253,5.58642296923928e-05,0.1858204657621244,"{1: 126, 2: 63, 3: 55, 4: 34, 5: 20}","{1: 138, 2: 67, 3: 44, 4: 28, 5: 21}",81,42,39,0.037037037037037035,0,16,14,20,"1.918896,2.542694,3.288667,4.129465"
step25_deberta_v3_blend_w0p0200_l1p0,label_blend,0.02,1.0,0.6611457676244079,-0.00011479075482501155,0.16233053287621838,"{1: 124, 2: 61, 3: 57, 4: 34, 5: 22}","{1: 137, 2: 65, 3: 43, 4: 30, 5: 23}",37,17,20,-0.08108108108108109,0,4,6,8,"1.904146,2.525747,3.247808,4.090196"
step25_deberta_v3_resid_w0p0200_l1p0,residual_blend,0.02,1.0,0.6611457676244079,-0.00011479075482501155,0.16233053287621838,"{1: 124, 2: 61, 3: 57, 4: 34, 5: 22}","{1: 137, 2: 65, 3: 43, 4: 30, 5: 23}",37,17,20,-0.08108108108108109,0,4,6,8,"1.904146,2.525747,3.247808,4.090196"
step25_pairwise_e5_blend_w0p0200_l0p5,label_blend,0.02,0.5,0.6610646624337195,-0.0001958959455133913,0.17239764697017806,"{1: 126, 2: 60, 3: 57, 4: 34, 5: 21}","{1: 139, 2: 65, 3: 45, 4: 28, 5: 21}",75,40,35,0.06666666666666667,1,23,9,18,"1.914098,2.530739,3.291292,4.140958"
step25_pairwise_e5_resid_w0p0200_l0p5,residual_blend,0.02,0.5,0.6610646624337195,-0.0001958959455133913,0.17239764697017806,"{1: 126, 2: 60, 3: 57, 4: 34, 5: 21}","{1: 139, 2: 65, 3: 45, 4: 28, 5: 21}",75,40,35,0.06666666666666667,1,23,9,18,"1.914098,2.530739,3.291292,4.140958"
step25_openalex_anchor_blend_w0p0300_l2p0,label_blend,0.03,2.0,0.6610535406956866,-0.00020701768354636219,0.1824647610641378,"{1: 124, 2: 64, 3: 56, 4: 32, 5: 22}","{1: 138, 2: 67, 3: 40, 4: 30, 5: 23}",62,31,31,0.0,0,1,13,14,"1.917093,2.538658,3.250321,4.072061"
step25_pairwise_e5_blend_w0p0150_l0p5,label_blend,0.015,0.5,0.6609769633021467,-0.00028359507708619613,0.19253187515809755,"{1: 126, 2: 65, 3: 51, 4: 35, 5: 21}","{1: 140, 2: 65, 3: 42, 4: 30, 5: 21}",95,50,45,0.05263157894736842,0,25,13,18,"1.916282,2.558863,3.276982,4.139291"
step25_pairwise_e5_resid_w0p0150_l0p5,residual_blend,0.015,0.5,0.6609769633021467,-0.00028359507708619613,0.19253187515809755,"{1: 126, 2: 65, 3: 51, 4: 35, 5: 21}","{1: 140, 2: 65, 3: 42, 4: 30, 5: 21}",95,50,45,0.05263157894736842,0,25,13,18,"1.916282,2.558863,3.276982,4.139291"
step25_deberta_v3_blend_w0p0100_l0p5,label_blend,0.01,0.5,0.6609195108079031,-0.0003410475713298,0.16176810923397364,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 63, 3: 43, 4: 31, 5: 22}",44,21,23,-0.045454545454545456,0,7,3,11,"1.912580,2.521268,3.244622,4.112781"
step25_deberta_v3_resid_w0p0100_l0p5,residual_blend,0.01,0.5,0.6609195108079031,-0.0003410475713298,0.16176810923397364,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 63, 3: 43, 4: 31, 5: 22}",44,21,23,-0.045454545454545456,0,7,3,11,"1.912580,2.521268,3.244622,4.112781"
step25_pairwise_e5_blend_w0p0300_l1p0,label_blend,0.03,1.0,0.6609057403414316,-0.0003548180378013521,0.17910905636615126,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 42, 4: 30, 5: 22}",63,30,33,-0.047619047619047616,1,11,8,14,"1.916628,2.535314,3.256253,4.095448"
step25_pairwise_e5_blend_w0p0300_l2p0,label_blend,0.03,2.0,0.6608552910686871,-0.00040526731054579823,0.18246476106413784,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 66, 3: 41, 4: 30, 5: 22}",59,29,30,-0.01694915254237288,1,9,8,15,"1.914347,2.536639,3.257293,4.095693"
step25_openalex_anchor_blend_w0p0075_l2p0,label_blend,0.0075,2.0,0.6608212563826236,-0.00043930199660935365,0.17910905636615124,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 39, 4: 31, 5: 23}",45,22,23,-0.022222222222222223,0,6,6,11,"1.910895,2.535903,3.248113,4.081580"
step25_openalex_anchor_resid_w0p0075_l2p0,residual_blend,0.0075,2.0,0.6608212563826236,-0.00043930199660935365,0.17910905636615124,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 39, 4: 31, 5: 23}",45,22,23,-0.022222222222222223,0,6,6,11,"1.910895,2.535903,3.248113,4.081580"
step25_openalex_anchor_blend_w0p0200_l4p0,label_blend,0.02,4.0,0.6607844298640067,-0.00047612851522627064,0.17910905636615124,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 41, 4: 30, 5: 23}",59,29,30,-0.01694915254237288,0,4,10,13,"1.913631,2.539114,3.250912,4.073761"
step25_openalex_anchor_resid_w0p0200_l4p0,residual_blend,0.02,4.0,0.6607844298640067,-0.00047612851522627064,0.17910905636615124,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 41, 4: 30, 5: 23}",59,29,30,-0.01694915254237288,0,4,10,13,"1.913631,2.539114,3.250912,4.073761"
step25_openalex_anchor_blend_w0p0300_l0p5,label_blend,0.03,0.5,0.6607517388962367,-0.0005088194829961923,0.1824647610641378,"{1: 124, 2: 64, 3: 56, 4: 32, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",62,31,31,0.0,0,1,13,15,"1.919396,2.538534,3.259517,4.069562"
