id,Label,oof_score,oof_pred
0,1,1.026342950532232,1
1,1,1.867470671956462,1
2,2,3.222504032280131,2
3,1,3.52698758479006,4
4,1,2.064182402034908,2
5,2,2.6567925006711453,3
6,3,3.0432670418492864,3
7,3,3.2623764903419645,4
8,4,4.249218561715615,5
9,1,2.275023727518822,2
10,3,4.076303992560431,4
11,4,3.3009365069280463,4
12,4,2.7272078285147026,3
13,2,2.57686116508946,3
14,5,4.863674693502795,5
15,2,3.62036927370182,4
16,4,3.955493675642664,4
17,5,3.0831463016481475,3
18,5,4.424896540363152,5
19,4,3.3921963520734986,4
20,4,4.605702703528926,5
21,2,2.7799803622176595,3
22,5,4.575504615131803,5
23,5,3.560661018789604,4
24,3,2.919142933642977,3
25,2,2.239735663639207,2
26,5,4.126896742320783,5
27,4,2.5317002769608683,3
28,4,2.634381346923349,3
29,4,2.567728293488205,3
30,4,3.729935612047748,4
31,5,4.42685904526183,5
32,5,3.248052683513269,4
33,4,4.235010099298407,5
34,3,1.4043029810352128,1
35,3,2.492850385147509,2
36,3,2.296045899573768,2
37,4,4.155412206637554,5
38,5,4.741983797783332,5
39,5,4.070809595162682,4
40,3,3.220264434710149,3
41,5,3.7643293593346736,4
42,5,2.77711557070591,3
43,5,3.5499597190894394,4
44,1,1.3251729647579744,1
45,4,3.954692104668996,4
46,1,3.0271948481147284,3
47,5,4.931944123509559,5
48,4,4.065843729752467,4
49,1,1.0914922433852858,1
50,4,3.753906933127968,4
51,3,3.580358745844086,4
52,5,3.374037852961438,4
53,4,3.3047324978080206,4
54,1,2.1179793198996726,2
55,1,3.168354657624399,3
56,2,3.2392313548810656,3
57,1,2.9597795777985527,3
58,1,1.6087327251347217,1
59,2,2.167677109073787,2
60,4,4.873103269717825,5
61,3,4.266742267692054,5
62,2,4.015422045950144,4
63,5,4.656293812791892,5
64,4,4.152523120909727,5
65,5,3.981234768635099,4
66,3,4.267470845823796,5
67,1,1.4372216794627146,1
68,4,4.055095881561585,4
69,5,3.836899829199402,4
70,3,3.673620378171457,4
71,3,3.623418531694119,4
72,5,3.899633847666945,4
73,2,1.7386175633316387,1
74,4,2.1547229714103397,2
75,5,4.632201497926801,5
76,5,4.92987947753513,5
77,5,4.941962398505768,5
78,2,3.031474286454092,3
79,3,3.954416135981076,4
80,1,2.399256319293868,2
81,2,3.2920929644614447,4
82,3,3.9446058195601017,4
83,2,2.793221729336675,3
84,3,2.684013417733329,3
85,1,2.13626169401452,2
86,5,4.408229724882135,5
87,1,1.0389131381121772,1
88,1,1.0129649175347293,1
89,1,1.0178896243326896,1
90,2,4.281018756710474,5
91,4,4.626522341950015,5
92,4,3.4224383118802306,4
93,3,3.143973745195854,3
94,4,4.898160701329994,5
95,2,2.9246861094041865,3
96,4,3.89217658492466,4
97,4,3.861172084111367,4
98,4,4.415356688675712,5
99,5,3.612678676433945,4
100,3,2.4974907370648967,3
101,4,2.2072252234197496,2
102,3,2.951602952596611,3
103,1,2.256401532856237,2
104,2,3.93934441731168,4
105,1,2.3570664121631286,2
106,3,4.442218693147259,5
107,4,4.054975651968661,4
108,1,3.42091406648179,4
109,1,4.241545889544065,5
110,3,4.833561116106078,5
111,5,3.9242314482431566,4
112,4,3.1974902850755345,3
113,2,3.680503026764689,4
114,4,4.3651942506413794,5
115,3,2.8165545082322114,3
116,1,2.301982384388057,2
117,2,2.6906006112170564,3
118,1,3.064215782317231,3
119,3,2.8192139095668365,3
120,1,3.311946779987571,4
121,3,3.458464556931548,4
122,5,3.962024093273592,4
123,5,2.5144918862237224,3
124,5,4.414656446586872,5
125,3,4.060214945566153,4
126,4,3.734287172515073,4
127,2,1.678420702520875,1
128,3,3.802990838207928,4
129,5,1.9556193146323655,2
130,4,3.841263597128204,4
131,3,2.990342137542166,3
132,1,2.8053033523492097,3
133,2,2.201231254350219,2
134,5,3.603611659299759,4
135,5,2.629071471231576,3
136,1,2.824442908405033,3
137,1,1.1923629982506645,1
138,3,4.115602047391683,5
139,5,4.632748427464067,5
140,5,4.795335962349725,5
141,5,4.635631051871324,5
142,5,4.839167364429655,5
143,3,2.411270970875849,2
144,1,2.7279694971179174,3
