id,score,pred
979,5.0004724953600554,5
1106,2.501781394884092,3
1894,1.730534449291025,1
1718,1.718492877163217,1
1989,1.8875342686274943,1
2010,1.4620478152577645,1
2356,1.9571661647198122,2
1179,1.571458820014292,1
3001,1.4751564889764828,1
796,3.7867075179969865,4
1771,1.5072188286387593,1
986,2.382712072428764,2
1725,1.2549595262145672,1
1296,4.059451080055405,4
2983,1.7016227363201226,1
2666,2.552265500141494,3
2573,2.5400429141848795,3
1999,2.7327714690213076,3
1828,1.4826589775209533,1
1877,4.965510699416451,5
2087,2.068508092073245,2
1581,1.9741892185817091,2
1185,4.950076854360945,5
1873,1.5387644170013193,1
952,3.2525886639135377,4
2572,1.0987859925916412,1
1835,4.244455871352153,5
1320,2.0453152618610853,2
2083,2.0153695532582145,2
1310,3.8993011522447873,4
1053,3.2418489719458825,4
1698,1.9353971714012554,2
1372,2.709385882226772,3
2847,1.3468316857627978,1
2537,2.3877207184486466,2
2808,1.9048570277869565,2
1311,3.1342696024291867,3
2863,2.0311216370761027,2
3085,1.4378638722849104,1
1265,3.0733477613416453,3
2446,1.635801430977999,1
2186,2.7437584969068403,3
2898,1.9788925362432006,2
2529,2.9484388980526,3
2810,1.0579716704018134,1
997,1.9287597620457804,2
2836,1.3567861628771711,1
2194,1.5783996495224828,1
1964,1.7068389635787469,1
910,4.379514718713406,5
2032,1.5251948232759014,1
1405,4.632698507223832,5
1305,4.635068962681911,5
799,2.7580107336794577,3
1145,3.9344173151878046,4
1083,4.745885990343067,5
2913,2.7986594653168866,3
1370,3.2367933049254503,4
1379,3.1687433748866587,3
2896,2.420558205905206,2
2406,2.293913769272625,2
3060,1.8246718312753392,1
2470,2.6973512872508607,3
1678,4.13020453026399,5
877,2.5422767066068808,3
1972,1.9787918132816162,2
1812,1.042254173757624,1
2796,1.9743565754593946,2
3051,1.5686591598450075,1
983,1.6121848310488773,1
1275,2.3302052190028184,2
1998,1.6857477169875101,1
2210,1.7635203350619078,1
2786,1.2053295809393338,1
951,3.945127442983619,4
2465,1.142770588087288,1
1228,1.507425476430759,1
2524,1.765947730818805,1
2093,1.2711617709587986,1
1921,4.168265950232552,5
3034,1.2490277186777827,1
1676,3.2139993558143574,3
1214,3.790752610794852,4
2275,2.0866143934683796,2
2789,2.5464772673744513,3
756,2.207643314511517,2
1130,2.755342956004145,3
1555,1.3545017722384318,1
1487,1.5389960389340422,1
2041,1.7850728966505187,1
1931,1.3361181174730117,1
1349,1.7265430289548425,1
725,2.8883773976352165,3
1006,4.077845604945212,4
989,4.638781788122919,5
2265,1.8464961588343554,1
1969,1.4145575343885264,1
2562,2.1466031645815646,2
2959,2.2502331671466966,2
2102,1.8172904536094692,1
933,3.4683532851783436,4
1648,4.3783842185108925,5
1132,1.8800271879581518,1
2912,2.381084663338146,2
1602,1.0593890439709142,1
1627,4.162168807481231,5
1302,3.915860528390779,4
1910,2.244704778189292,2
1208,1.9820934887083845,2
1109,3.038458440860335,3
908,3.6903153092884247,4
2819,1.4164672288915685,1
2106,1.4975942828533724,1
899,4.525073197872958,5
2262,2.1303339919610065,2
1429,2.0014167466913033,2
828,1.771172061457411,1
1900,1.3205294074790652,1
1368,1.7742962831120115,1
767,4.331389329696938,5
849,2.653371304836065,3
1442,1.0693465596865175,1
2693,2.3632922836960373,2
2947,1.4909673838878952,1
1925,3.6700427151963484,4
2062,2.8229602829311786,3
987,3.409869658901703,4
2354,1.6736688353205158,1
3018,1.2281252032734973,1
2577,2.289368111528144,2
1082,4.69740494625168,5
2144,1.5348782035866737,1
2880,1.9482767208946328,2
1626,4.896402155654014,5
1400,2.549734302643884,3
1051,2.79529995271887,3
2603,1.2934285526315614,1
1135,1.2838620352889307,1
2452,2.023709896075467,2
1482,2.3510859236689305,2
2206,3.915677739106615,4
1282,3.2063175098851424,3
1500,1.330377797766932,1
1992,1.605024998224538,1
1114,3.0806290752322143,3
769,2.752442393034569,3
2828,2.202655496054113,2
2988,1.0506885405199564,1
2259,2.0634896309646926,2
2237,1.9978474177124295,2
2121,1.028505350027566,1
2597,1.4515860815487511,1
2767,1.189157775549849,1
2593,3.8873544373167745,4
2878,1.0908949550056555,1
1427,3.2127371786528975,3
2061,2.9107015284744224,3
1211,2.674617254680067,3
1467,3.816780982619704,4
929,2.5261239767606285,3
1244,2.9266257988049813,3
1419,4.434624658723011,5
1321,3.54515456833627,4
1747,4.416381098767573,5
1569,2.616735464993867,3
1908,2.2263867302290863,2
1074,3.8244418684807875,4
1814,2.7887534946242165,3
723,2.899078115680923,3
2500,1.0867896640906591,1
1710,3.8704711056720837,4
931,2.6854223737130365,3
1768,2.6414983717695275,3
718,3.657876689462795,4
1978,3.172615202036741,3
1232,3.1559999639428793,3
996,3.0268477283803725,3
2791,1.1697484813668093,1
1773,1.588479663172426,1
1011,3.9213651825369404,4
2419,1.3703514719229575,1
884,1.760135931423581,1
1824,1.3563782997818588,1
1986,1.7203619129899297,1
2037,1.1350115049646217,1
2962,3.129655760152606,3
1508,1.0005882353779088,1
1032,2.3837171660392844,2
1061,1.5675294730123814,1
1299,2.399394195034723,2
2903,1.2864281928127115,1
857,1.8214357779964168,1
2421,1.156645296804259,1
