id,Label,oof_score,oof_pred
0,1,1.0321366497057558,1
1,1,1.815664132993347,1
2,2,3.2251547778324037,3
3,1,3.4991177297050813,4
4,1,2.0548272422736944,2
5,2,2.6632821149792734,3
6,3,3.0251888702508363,3
7,3,3.2520458327103468,4
8,4,4.269833447515219,5
9,1,2.305281316892112,2
10,3,4.07031664021195,4
11,4,3.2770087270539388,4
12,4,2.7262098547038405,3
13,2,2.6429221003018015,3
14,5,4.867838307028999,5
15,2,3.6047353692134756,4
16,4,3.9346976054704577,4
17,5,3.074053788170084,3
18,5,4.430012782658971,5
19,4,3.4206306196171155,4
20,4,4.575909169936527,5
21,2,2.8340309183757255,3
22,5,4.524558678333585,5
23,5,3.5327401345239284,4
24,3,2.95986940425751,3
25,2,2.2005891038206378,2
26,5,4.12002676379191,5
27,4,2.518699128673822,2
28,4,2.615184236267977,3
29,4,2.557736373342369,3
30,4,3.730267801422655,4
31,5,4.389601305189602,5
32,5,3.234841902631865,3
33,4,4.253798985822638,5
34,3,1.3834284853055259,1
35,3,2.459961027598035,2
36,3,2.2619803169113215,2
37,4,4.15655233929741,5
38,5,4.755280305928253,5
39,5,4.090531925323948,4
40,3,3.2536011525459894,4
41,5,3.7300622435873536,4
42,5,2.848608204365712,3
43,5,3.5154576542638027,4
44,1,1.320427466201849,1
45,4,3.9506432069903705,4
46,1,2.9936397227720613,3
47,5,4.940946136311341,5
48,4,4.069290173351655,4
49,1,1.0908681518858838,1
50,4,3.7466139127965965,4
51,3,3.5913042038300995,4
52,5,3.351847683271688,4
53,4,3.29864725865886,4
54,1,2.104199261731618,2
55,1,3.1068442348210374,3
56,2,3.229105594323812,3
57,1,3.0096159838504066,3
58,1,1.6343284278010637,1
59,2,2.147984670648901,2
60,4,4.860327078199927,5
61,3,4.274269485586669,5
62,2,3.9931459472632245,4
63,5,4.669620749004293,5
64,4,4.127660321416114,5
65,5,3.9890095534814276,4
66,3,4.168062426354602,5
67,1,1.4541206799267632,1
68,4,4.0703808828005394,4
69,5,3.7675728482419992,4
70,3,3.650916078734668,4
71,3,3.5940307260113835,4
72,5,3.8593507149539916,4
73,2,1.7529018923732687,1
74,4,2.1422360258698725,2
75,5,4.630368092052972,5
76,5,4.930321311977918,5
77,5,4.923734803322938,5
78,2,3.045234463433199,3
79,3,3.966332076109338,4
80,1,2.4399333064930864,2
81,2,3.297049333756134,4
82,3,3.9631835299093088,4
83,2,2.7344029377769536,3
84,3,2.6800035190443587,3
85,1,2.1412870822270356,2
86,5,4.393303927675678,5
87,1,1.0566685919915093,1
88,1,1.0233403580913558,1
89,1,1.0232390819203165,1
90,2,4.272658361804899,5
91,4,4.627420560072009,5
92,4,3.4513028028257158,4
93,3,3.138465736356989,3
94,4,4.896818243457948,5
95,2,2.914356751871559,3
96,4,3.9123479361988163,4
97,4,3.8418286110682045,4
98,4,4.42928606101251,5
99,5,3.647632352438394,4
100,3,2.4856875799043348,2
101,4,2.1672128921202147,2
102,3,2.9258778322547556,3
103,1,2.216798114263117,2
104,2,3.8935469745182494,4
105,1,2.4133769072101905,2
106,3,4.4244710133214085,5
107,4,4.024736140388039,4
108,1,3.4052265968127213,4
109,1,4.237180372939112,5
110,3,4.792827375717663,5
111,5,3.9169347328441173,4
112,4,3.176389358336712,3
113,2,3.6559384811449305,4
114,4,4.33164242253154,5
115,3,2.8263582131162024,3
116,1,2.331973238438318,2
117,2,2.7612109052772977,3
118,1,3.0751168879582753,3
119,3,2.8692679922196884,3
120,1,3.2963018452046002,4
121,3,3.4836931641756745,4
122,5,3.949950095522811,4
123,5,2.553378121481884,3
124,5,4.446460264091504,5
125,3,4.053268954880692,4
126,4,3.719862708875438,4
127,2,1.6185715879459155,1
128,3,3.7570452001143733,4
129,5,1.955311977085207,2
130,4,3.847925978136822,4
131,3,2.9169952888338626,3
132,1,2.7936046672009525,3
133,2,2.1989252624236717,2
134,5,3.6422954269062124,4
135,5,2.6481157531554476,3
136,1,2.794619590023035,3
137,1,1.175516607286548,1
138,3,4.125639658992374,5
139,5,4.5961941235738015,5
140,5,4.785898420093656,5
141,5,4.609694616362879,5
142,5,4.8404162931854335,5
143,3,2.4069374684046454,2
144,1,2.676064039602424,3
145,4,2.3457573277428554,2
146,5,5.007292469466528,5
147,1,1.1850316513036199,1
148,1,3.977512276194346,4
149,1,1.0737000951359144,1
150,2,3.285417582940011,4
151,4,4.658934315815783,5
152,4,3.109879215632773,3
153,1,2.5391379480418212,2
154,1,2.92992505471654,3
155,5,3.8943626627307935,4
156,4,4.809333708155863,5
157,1,2.9426975175913292,3
158,1,4.178557575146609,5
159,2,3.38010432535418,4
160,2,1.8860870907199312,1
161,3,4.043923136000103,4
162,4,1.29930168608034,1
163,5,4.60855651327877,5
164,1,1.0949027081721505,1
165,2,2.9165596332912807,3
166,1,1.3010113136176182,1
167,1,2.698882766355138,3
