name,model,weight,threshold_lambda,oof_qwk,oof_lift_vs_step18b,oof_lift_vs_step25,test_l1,diff_vs_step25_public,diff_vs_step25_private,diff_vs_step25_total,forbidden_vs_step25,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,forbidden_changes,w_e5,w_scincl,w_specter,w_ridge,diff_vs_step36_public,diff_vs_step36_private,diff_vs_step36_total,diff_vs_step39_public,diff_vs_step39_private,diff_vs_step39_total,oof_lift_vs_step36,oof_lift_vs_step39,thresholds
step13retune_e50p50_scincl0p20_specter0p30_ridge0p00_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6631412678277752,0.002964932082460181,0.0018807094485422393,0.1556191234802452,6,10,16,0,"{1: 122, 2: 63, 3: 56, 4: 34, 5: 23}","{1: 129, 2: 71, 3: 45, 4: 30, 5: 23}",95,58,37,0.22105263157894736,24,22,11,12,0,0.5,0.2,0.3,0.0,7,10,17,5,11,16,0.0010432823983523853,0.0005551612182198573,"1.886290,2.499255,3.254786,4.095454"
step13retune_e50p40_scincl0p30_specter0p20_ridge0p10_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6631236560044731,0.002947320259158115,0.0018630976252401732,0.16568623757420492,10,18,28,0,"{1: 123, 2: 63, 3: 56, 4: 34, 5: 22}","{1: 139, 2: 63, 3: 44, 4: 28, 5: 24}",122,69,53,0.13114754098360656,18,22,15,20,0,0.4,0.3,0.2,0.1,9,16,25,9,15,24,0.0010256705750503192,0.0005375493949177912,"1.936039,2.526465,3.196821,4.014065"
step13retune_e50p40_scincl0p30_specter0p20_ridge0p10_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6631236560044731,0.002947320259158115,0.0018630976252401732,0.1690419422721915,10,19,29,0,"{1: 123, 2: 63, 3: 56, 4: 34, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 28, 5: 24}",122,69,53,0.13114754098360656,18,22,15,21,0,0.4,0.3,0.2,0.1,9,17,26,9,16,25,0.0010256705750503192,0.0005375493949177912,"1.936399,2.527476,3.196240,4.013693"
step13retune_e50p50_scincl0p30_specter0p20_ridge0p00_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6625861066095553,0.0024097708642403237,0.001325548230322382,0.15226341878225863,5,3,8,0,"{1: 124, 2: 60, 3: 55, 4: 36, 5: 23}","{1: 135, 2: 65, 3: 44, 4: 31, 5: 23}",66,38,28,0.15151515151515152,13,13,8,5,0,0.5,0.3,0.2,0.0,4,1,5,0,0,0,0.00048812118013252803,0.0,"1.907450,2.499396,3.235530,4.070885"
step13retune_e50p50_scincl0p30_specter0p20_ridge0p00_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6625861066095553,0.0024097708642403237,0.001325548230322382,0.15226341878225863,5,3,8,0,"{1: 124, 2: 60, 3: 55, 4: 36, 5: 23}","{1: 135, 2: 65, 3: 44, 4: 31, 5: 23}",66,38,28,0.15151515151515152,13,13,8,5,0,0.5,0.3,0.2,0.0,4,1,5,0,0,0,0.00048812118013252803,0.0,"1.907450,2.499396,3.235530,4.070885"
step13retune_e50p45_scincl0p35_specter0p13_ridge0p07_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6624056076168509,0.002229271871535876,0.0011450492376179344,0.16904194227219146,7,14,21,0,"{1: 123, 2: 63, 3: 57, 4: 33, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 29, 5: 23}",126,71,55,0.12698412698412698,18,25,12,16,0,0.45,0.35,0.13,0.07,8,12,20,8,11,19,0.00030762218742808045,-0.00018049899270444758,"1.929289,2.535191,3.217499,4.035570"
step13retune_e50p46_scincl0p36_specter0p13_ridge0p05_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6623560691861493,0.0021797334408343305,0.0010955108069163888,0.16568623757420492,7,12,19,0,"{1: 122, 2: 63, 3: 58, 4: 33, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 31, 5: 22}",114,63,51,0.10526315789473684,13,23,12,14,0,0.46,0.36,0.13,0.05,8,10,18,8,9,17,0.00025808375672653483,-0.0002300374234059932,"1.923019,2.529893,3.222192,4.051019"
step13retune_e50p45_scincl0p35_specter0p13_ridge0p07_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6622149168554028,0.0020385811100878115,0.0009543584761698698,0.1656862375742049,6,14,20,0,"{1: 123, 2: 62, 3: 58, 4: 33, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 29, 5: 23}",124,69,55,0.11290322580645161,18,25,11,16,0,0.45,0.35,0.13,0.07,7,12,19,7,11,18,0.00011693142598001582,-0.0003711897541525122,"1.928521,2.529886,3.215308,4.034898"
step13retune_e50p45_scincl0p30_specter0p20_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6619399119561904,0.0017635762108754172,0.0006793535769574754,0.17575335166816466,8,14,22,0,"{1: 124, 2: 64, 3: 55, 4: 33, 5: 22}","{1: 141, 2: 62, 3: 43, 4: 29, 5: 23}",105,58,47,0.10476190476190476,7,24,13,16,0,0.45,0.3,0.2,0.05,11,12,23,9,11,20,-0.00015807347323237853,-0.0006461946533649066,"1.925342,2.538053,3.228810,4.058718"
step13retune_e50p45_scincl0p37_specter0p13_ridge0p05_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6618291344224789,0.001652798677163947,0.0005685760432460052,0.16568623757420492,6,13,19,0,"{1: 123, 2: 62, 3: 58, 4: 33, 5: 22}","{1: 140, 2: 63, 3: 42, 4: 31, 5: 22}",117,63,54,0.07692307692307693,13,24,11,15,0,0.45,0.37,0.13,0.05,7,11,18,7,10,17,-0.0002688510069438488,-0.0007569721870763768,"1.924219,2.530474,3.224309,4.053457"
step13retune_e50p35_scincl0p35_specter0p20_ridge0p10_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6618291344224789,0.001652798677163947,0.0005685760432460052,0.17575335166816466,22,20,42,1,"{1: 125, 2: 63, 3: 53, 4: 34, 5: 23}","{1: 142, 2: 61, 3: 43, 4: 28, 5: 24}",155,81,74,0.04516129032258064,30,29,23,22,0,0.35,0.35,0.2,0.1,21,18,39,19,17,36,-0.0002688510069438488,-0.0007569721870763768,"1.940761,2.526986,3.198650,4.001536"
step13retune_e50p45_scincl0p35_specter0p12_ridge0p08_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.66176764478681,0.0015913090414950704,0.0005070864075771286,0.16568623757420495,7,13,20,0,"{1: 122, 2: 63, 3: 58, 4: 33, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 30, 5: 23}",125,69,56,0.104,19,25,12,15,0,0.45,0.35,0.12,0.08,8,11,19,8,10,18,-0.00033034064261272533,-0.0008184618227452534,"1.929687,2.527605,3.209603,4.026219"
step13retune_e50p35_scincl0p35_specter0p20_ridge0p10_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.66176764478681,0.0015913090414950704,0.0005070864075771286,0.17239764697017815,21,19,40,1,"{1: 125, 2: 62, 3: 54, 4: 34, 5: 23}","{1: 141, 2: 62, 3: 43, 4: 28, 5: 24}",153,80,73,0.0457516339869281,30,27,22,21,0,0.35,0.35,0.2,0.1,20,17,37,18,16,34,-0.00033034064261272533,-0.0008184618227452534,"1.939759,2.526449,3.199383,4.001203"
step13retune_e50p46_scincl0p36_specter0p13_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6617077817759786,0.0015314460306635747,0.00044722339674563294,0.1690419422721915,8,12,20,0,"{1: 122, 2: 64, 3: 57, 4: 33, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 31, 5: 22}",112,62,50,0.10714285714285714,12,23,13,14,0,0.46,0.36,0.13,0.05,9,10,19,9,9,18,-0.00039020365344422103,-0.0008783248335767491,"1.922896,2.536866,3.224013,4.052275"
step13retune_e50p45_scincl0p35_specter0p11_ridge0p09_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.661698592826668,0.0015222570813530067,0.00043803444743506503,0.16904194227219152,11,15,26,0,"{1: 123, 2: 63, 3: 57, 4: 33, 5: 22}","{1: 140, 2: 63, 3: 43, 4: 29, 5: 23}",128,72,56,0.125,18,25,16,17,0,0.45,0.35,0.11,0.09,10,13,23,10,12,22,-0.00039939260275478894,-0.000887513782887317,"1.935423,2.530513,3.207801,4.019857"
step13retune_e50p45_scincl0p35_specter0p11_ridge0p09_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.661698592826668,0.0015222570813530067,0.00043803444743506503,0.16904194227219152,11,15,26,0,"{1: 123, 2: 63, 3: 57, 4: 33, 5: 22}","{1: 140, 2: 63, 3: 43, 4: 29, 5: 23}",128,72,56,0.125,18,25,16,17,0,0.45,0.35,0.11,0.09,10,13,23,10,12,22,-0.00039939260275478894,-0.000887513782887317,"1.935423,2.530513,3.207801,4.019857"
step13retune_e50p45_scincl0p35_specter0p12_ridge0p08_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6616877598867057,0.001511424141390716,0.0004272015074727742,0.16904194227219152,8,13,21,0,"{1: 122, 2: 64, 3: 57, 4: 33, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 30, 5: 23}",127,70,57,0.10236220472440945,19,25,13,15,0,0.45,0.35,0.12,0.08,9,11,20,9,10,19,-0.0004102255427170798,-0.0008983467228496078,"1.930388,2.532321,3.210761,4.026030"
step13retune_e50p40_scincl0p30_specter0p30_ridge0p00_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6615586658833728,0.0013823301380577746,0.0002981075041398329,0.1757533516681647,14,16,30,1,"{1: 124, 2: 63, 3: 54, 4: 34, 5: 23}","{1: 137, 2: 67, 3: 41, 4: 30, 5: 23}",129,71,58,0.10077519379844961,20,29,15,16,0,0.4,0.3,0.3,0.0,15,14,29,11,15,26,-0.0005393195460500211,-0.0010274407261825491,"1.911289,2.541907,3.245137,4.089559"
step13retune_e50p50_scincl0p20_specter0p30_ridge0p00_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6615494773500186,0.0013731416047035871,0.00028891897078564543,0.17910905636615126,12,16,28,0,"{1: 123, 2: 67, 3: 51, 4: 34, 5: 23}","{1: 141, 2: 61, 3: 43, 4: 30, 5: 23}",119,66,53,0.1092436974789916,14,31,17,16,0,0.5,0.2,0.3,0.0,13,14,27,9,13,22,-0.0005485080794042085,-0.0010366292595367366,"1.913286,2.545285,3.257915,4.101038"
step13retune_e50p45_scincl0p35_specter0p10_ridge0p10_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6614662775781968,0.0012899418328817802,0.0002057191989638385,0.16568623757420492,13,16,29,0,"{1: 122, 2: 64, 3: 57, 4: 32, 5: 23}","{1: 140, 2: 62, 3: 44, 4: 29, 5: 23}",129,72,57,0.11627906976744186,20,23,18,18,0,0.45,0.35,0.1,0.1,12,14,26,12,13,25,-0.0006317078512260155,-0.0011198290313585435,"1.935624,2.530203,3.203335,4.014728"
step13retune_e50p50_scincl0p40_specter0p05_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6613187497825087,0.0011424140371937286,5.819140327578687e-05,0.16233053287621838,9,14,23,0,"{1: 121, 2: 65, 3: 57, 4: 33, 5: 22}","{1: 140, 2: 61, 3: 44, 4: 30, 5: 23}",135,73,62,0.08148148148148149,20,29,14,16,0,0.5,0.4,0.05,0.05,10,12,22,10,11,21,-0.0007792356469140671,-0.0012673568270465951,"1.927301,2.529340,3.225265,4.047484"
