id,score,pred
2491,1.4928936832869126,1
2707,1.85826800737067,1
1248,3.5588954530055377,4
1433,2.719927108632562,3
2339,1.1564546744558044,1
773,2.0784887270671724,2
1330,4.127131990258238,5
1561,2.1451883684015614,2
1904,1.5492944627262157,1
912,1.9223709576841577,2
2420,2.1580566782940025,2
888,1.6429342332146595,1
1780,1.8247370629419708,1
1395,3.6508750173344904,4
2551,2.7667876249349117,3
1778,2.3284408324795285,2
2060,2.535506563956012,2
2834,1.0359732598181233,1
2089,2.6369032396950836,3
744,0.9994632695922611,1
2205,1.937334810288474,2
2156,3.331706664386832,4
1229,4.21659987900345,5
963,2.7071454644229154,3
2769,2.6548421326334704,3
885,1.7579023966723129,1
2712,2.588070494593528,3
2657,1.4906337309611226,1
1545,3.1739023647575437,3
1509,1.02388962146261,1
1791,1.6058356178176905,1
2322,1.374500988479471,1
1838,1.3893688536314002,1
749,3.319596926605381,4
947,3.2060447525541527,3
981,1.972915719406342,2
2471,1.7338411315792812,1
2180,1.2427585961458207,1
1895,2.4134298774125997,2
2113,1.5119347231423486,1
1255,3.3979703957042533,4
1893,1.4944213322923405,1
2277,1.4055979161868049,1
1955,2.572762646097692,3
2346,1.6152393096343811,1
2871,1.1913926046982346,1
874,3.0417680022672404,3
2589,2.2444184727194925,2
1616,2.8111818068915286,3
2653,1.7414077796755956,1
2305,1.9346010400820437,2
2357,1.7761364883108515,1
1890,1.461836774286194,1
1701,1.6730771712262298,1
3005,1.5971447735025595,1
2591,1.666048266622033,1
2148,2.968279139505869,3
1623,2.443420660923162,2
2410,1.8743993073802372,1
2165,1.5992846309077207,1
3063,2.0185285897637177,2
2535,1.053719092927137,1
1222,2.170567339531259,2
1816,1.1143535316864375,1
1700,4.703159548532218,5
811,2.173795780760089,2
2639,1.6178945737650574,1
2208,1.9305421201354305,2
2538,1.7450865737590628,1
1087,3.9951076985170704,4
1662,1.2173009663859629,1
3077,1.2802280489333917,1
2917,2.1431870001712126,2
1922,1.7011357647214298,1
2866,1.5649884726003427,1
2691,2.2602595465569686,2
1557,1.2207571843253542,1
1896,2.0728786980202534,2
2247,1.9529437590854979,2
2583,2.1283626721326674,2
2893,2.820370857683826,3
1126,2.33476261789083,2
2877,3.984899057793108,4
1332,3.3583890118041526,4
2209,1.3082488748287147,1
2460,1.514154575948256,1
1054,2.424091731757932,2
1455,1.0641058448783025,1
2292,1.9115139922016577,1
1753,1.035736873809128,1
2793,2.2179480515048677,2
2190,2.095347589500947,2
2848,1.9562702977679223,2
1813,2.418017840686493,2
1907,1.146943655349788,1
940,2.093527302513475,2
2066,0.9951968565420773,1
2304,1.2245949632496742,1
2211,1.2614042480482681,1
1464,3.2160133765741934,3
1337,4.655522694794425,5
1592,1.4882050767224306,1
2805,1.1547024248834248,1
1764,1.0771949307793662,1
1195,2.3988655575620044,2
2486,3.7490673774140975,4
1988,1.9150778193441125,2
770,3.319829394199734,4
2153,1.7936165501278485,1
1615,2.3919496147977735,2
2497,1.5850921966816027,1
2103,1.9452518574842943,2
1540,1.7719492541711808,1
1013,1.8720761158204993,1
868,3.3382933455845936,4
1150,2.6898869029595542,3
2188,1.4086417083519307,1
2282,2.1556204179023264,2
1157,1.5238707995391039,1
2826,1.1507342592801,1
2400,1.6834079257378562,1
2855,1.6694559756313077,1
2570,1.6415773856552969,1
2154,1.4094420369505125,1
2676,1.8924218940360646,1
2931,3.91601084728316,4
2518,1.4133955914648744,1
2409,1.3944165894177583,1
2844,2.9114100322181353,3
1632,3.080275025981112,3
2161,1.8018391435913292,1
937,2.0476774389409265,2
2438,1.802698169452189,1
2822,2.7340359260775084,3
1510,0.966256808816648,1
3079,4.216659337361615,5
1733,4.155286270431891,5
1122,3.2011953648311686,3
1354,2.415121922125662,2
1133,3.013999022927559,3
1254,3.0890208421898224,3
2057,1.8984706427975206,1
1178,1.5779815224318083,1
2122,2.1946552680784484,2
1342,4.630531936621638,5
1803,3.7266256044778947,4
2967,1.4853388275255637,1
959,4.042325369381883,4
1143,4.779773065570579,5
2868,2.3035388822181964,2
2030,3.9426619592125682,4
1110,3.2930040667342975,4
784,3.6036657898074513,4
2900,1.7733514433516575,1
2709,1.5837332499740553,1
3015,2.4722284578586615,2
1186,2.232142761674282,2
2542,3.2453847685765367,3
939,2.6691811575701734,3
776,1.54551796881115,1
2167,1.7065808251235959,1
1944,1.1539605746937922,1
1264,4.149839930839381,5
999,1.0387697975060899,1
2130,2.1548265341312143,2
2450,1.5951699176454257,1
3028,1.7461537528502291,1
3080,1.591194434077712,1
2059,3.5405364117008844,4
1050,1.4394070791500333,1
2136,1.3767792444043132,1
2078,1.307205129143991,1
2428,1.5345576636924583,1
2514,1.4489441951960915,1
2483,1.3532126833727984,1
3053,1.9634101801681443,2
2933,1.973803899336114,2
2408,3.7058198445367996,4
2889,2.2390977061333546,2
1817,1.6974694604501515,1
1717,4.455225655587965,5
2994,1.188943822082305,1
1736,1.762325567153414,1
1161,1.2799261305544936,1
1637,1.056009039283388,1
1003,4.278312280030949,5
1673,1.999863349055099,2
835,2.8401363317734627,3
824,1.5969210065479542,1
2905,2.831985665164606,3
1459,1.7391399310120306,1
879,3.462606457323159,4
2052,2.1155828564896844,2
2397,1.8912723770566735,1
1837,4.400466366511158,5
903,4.58573783740594,5
1567,3.364646049599439,4
2692,1.1636062388003718,1
918,2.3557182831120254,2
1937,2.5906080030816616,3
2284,2.4952969362801776,2
1066,2.5279059737253466,2
1164,1.3383533495539015,1
1502,3.5334285170912656,4
1629,1.9765108605360169,2
2475,1.3360507675209479,1
1227,3.0305742753092684,3
1107,1.887471221247939,1
878,2.8126602819579083,3
1887,1.6941265815783197,1
1407,4.350953066831492,5
1393,4.5806705535958425,5
1281,2.576214062540605,3
1800,3.6330596406066147,4
2689,1.135896285629453,1
2685,2.483956815785057,2
2344,1.3895381346208833,1
1556,2.0343559460236342,2
2484,1.872613732418134,1
2843,3.0225759136417847,3
1182,1.054842414975627,1
1865,1.0792640839406131,1
751,3.9418006874838687,4
809,2.9394968382406907,3
818,2.375469756847093,2
1116,2.8275126983979977,3
2251,1.4742274715019223,1
1804,2.454695691964793,2
1920,4.041824782675265,4
1456,2.742522798904478,3
2430,1.8219109477028292,1
2432,1.2075566222105767,1
1207,4.699511991720693,5
2296,1.7546655920186596,1
954,1.6176263269848672,1
1507,0.9830116705157844,1
2876,2.225245640735963,2
2544,1.0152014107396812,1
2199,2.8670380675611575,3
2782,1.2024272015585455,1
2266,2.1268039914061907,2
2702,1.0744678244446566,1
2746,1.1122387201771553,1
1603,1.0291054315096648,1
991,4.700819980876963,5
930,2.730891951977345,3
1024,1.1144637658048882,1
2112,1.6912431147785152,1
2290,1.33953151747522,1
2360,1.1048170150729855,1
834,2.2370113292387486,2
911,4.36805678235262,5
2329,1.438775314675525,1
1963,1.7524052082591053,1
2477,1.3351004628992504,1
1761,1.9947900728627015,2
1171,1.2626105615529408,1
1108,3.493167110406147,4
1531,2.713052121544885,3
2654,1.020139849216992,1
2956,1.623554099697633,1
1067,2.717696219897604,3
1377,2.0308616863458253,2
1317,3.9379498558230983,4
1329,1.8996166184869572,1
2007,1.4324008950472482,1
1767,2.9947170559857863,3
2884,1.7400910257896753,1
2423,2.085285612085435,2
1536,2.8278699950492063,3
1021,1.1068808565807995,1
1802,2.239440337251593,2
1586,2.1871851046701214,2
1378,4.5533377603090095,5
743,1.0619732714037788,1
2730,2.4707674001538478,2
1723,1.9602461911690328,2
713,2.745018288093232,3
1488,3.2750356003952623,4
2656,3.038343693901002,3
975,2.223257051391508,2
1318,2.3865355699028172,2
3035,4.4991890763566476,5
2501,1.8623685325720531,1
1102,4.548379174999534,5
1562,1.2304658859707112,1
2625,1.7445763159727499,1
1351,3.9428846309689667,4
1343,5.019384267826075,5
1613,1.1362625459081945,1
1754,1.0726843578659466,1
2225,1.227135901018141,1
1140,2.892205338294776,3
2829,1.7229456224833535,1
1785,1.9868476110041102,2
2620,1.4458735966904892,1
765,4.261074057771755,5
2635,1.5017788950673645,1
