id,score,pred
979,5.007354544691244,5
1106,2.473590414487696,2
1894,1.7483779655865261,1
1718,1.7080466919501196,1
1989,1.8487562247826783,1
2010,1.4713812600715168,1
2356,1.964135517799522,2
1179,1.623105958450603,1
3001,1.4980582986178048,1
796,3.8112310015128563,4
1771,1.5029785304674592,1
986,2.386592610107537,2
1725,1.2644883630106443,1
1296,4.077586044789763,4
2983,1.7058363980634321,1
2666,2.516251197414339,3
2573,2.4778299744427104,2
1999,2.7912572947885437,3
1828,1.4778860035775236,1
1877,4.965074778581426,5
2087,2.061415747625783,2
1581,1.9789212881584377,2
1185,4.962316261988938,5
1873,1.5798581294813656,1
952,3.2541612167162324,3
2572,1.096123887682783,1
1835,4.274926202011651,5
1320,2.001564239121774,2
2083,1.9755831362743606,2
1310,3.873375445772088,4
1053,3.2711636159975837,4
1698,1.92244552689164,2
1372,2.7222401529965627,3
2847,1.3569467501613435,1
2537,2.380220632400224,2
2808,1.8785116667041017,1
1311,3.1170443640360674,3
2863,2.044238808076733,2
3085,1.4014168494146333,1
1265,3.127288353163096,3
2446,1.6486040913391347,1
2186,2.6975464110590064,3
2898,1.9264756239748002,2
2529,2.955315382361297,3
2810,1.0574630073595066,1
997,1.9332523291092112,2
2836,1.3528533910158882,1
2194,1.5732216634260852,1
1964,1.7008388537800887,1
910,4.417061848907822,5
2032,1.4955736732148346,1
1405,4.647077492120747,5
1305,4.6572102003441005,5
799,2.7549071571409756,3
1145,3.9355860658504955,4
1083,4.694295591845279,5
2913,2.7627211280857953,3
1370,3.239768309902161,3
1379,3.16452278547782,3
2896,2.4424830711047933,2
2406,2.2886577910625685,2
3060,1.8394033428830352,1
2470,2.685974910770087,3
1678,4.157912726753265,5
877,2.515161418684542,3
1972,1.9900834075753897,2
1812,1.0460604369246853,1
2796,1.9913488321254076,2
3051,1.5490091676335198,1
983,1.6059994873649766,1
1275,2.3314491015785137,2
1998,1.6845803641723343,1
2210,1.7395845081401373,1
2786,1.2086038574352376,1
951,3.9490428642396025,4
2465,1.141097866953571,1
1228,1.4893455106748457,1
2524,1.7471707637296827,1
2093,1.2830668699322854,1
1921,4.187759906071283,5
3034,1.2474250090953012,1
